year,migback,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Direct migration background,At least once per week,0.21185,1121,2755,0.19659,0.22711
2013,Direct migration background,At least once per month,0.16718,846,2755,0.15324,0.18112
2013,Direct migration background,Seldom,0.12752,576,2755,0.11506,0.13998
2013,Direct migration background,Never,0.02230,105,2755,0.01679,0.02782
2013,Indirect migration background,Daily,0.02116,114,1107,0.01268,0.02964
2013,Indirect migration background,At least once per week,0.13283,536,1107,0.11283,0.15283
2013,Indirect migration background,At least once per month,0.07610,305,1107,0.06047,0.09173
2013,Indirect migration background,Seldom,0.03892,152,1107,0.02752,0.05032
2019,No migration background,Daily,0.02966,720,20108,0.02732,0.03201
2019,No migration background,At least once per week,0.30644,7230,20108,0.30007,0.31281
2019,No migration background,At least once per month,0.28832,7001,20108,0.28206,0.29458
2019,No migration background,Seldom,0.18952,4363,20108,0.18411,0.19494
2019,No migration background,Never,0.04080,794,20108,0.03807,0.04353
2019,Direct migration background,Daily,0.03716,172,3959,0.03127,0.04306
2019,Direct migration background,At least once per week,0.33590,1425,3959,0.32119,0.35061
2019,Direct migration background,At least once per month,0.28841,1264,3959,0.27430,0.30252
2019,Direct migration background,Seldom,0.19217,870,3959,0.17990,0.20445
2019,Direct migration background,Never,0.04544,228,3959,0.03895,0.05193
2019,Indirect migration background,Daily,0.03279,118,1578,0.02400,0.04158
2019,Indirect migration background,At least once per week,0.23849,731,1578,0.21745,0.25952
2019,Indirect migration background,At least once per month,0.15094,439,1578,0.13328,0.16861
2019,Indirect migration background,Seldom,0.07730,244,1578,0.06412,0.09048
2019,Indirect migration background,Never,0.01220,46,1578,0.00678,0.01762
2021,No migration background,Daily,0.04747,715,13205,0.04384,0.05110
2021,No migration background,At least once per week,0.38516,5989,13205,0.37686,0.39346
2021,No migration background,At least once per month,0.22353,3579,13205,0.21642,0.23063
2021,No migration background,Seldom,0.16073,2429,13205,0.15446,0.16699
2021,No migration background,Never,0.03854,493,13205,0.03526,0.04182
2021,Direct migration background,Daily,0.04957,157,3048,0.04186,0.05728
2021,Direct migration background,At least once per week,0.32079,1205,3048,0.30422,0.33736
2021,Direct migration background,At least once per month,0.23084,899,3048,0.21588,0.24580
2021,Direct migration background,Seldom,0.21823,648,3048,0.20356,0.23289
2021,Direct migration background,Never,0.05187,139,3048,0.04400,0.05975
2021,Indirect migration background,Daily,0.03563,66,908,0.02356,0.04769
2021,Indirect migration background,At least once per week,0.22657,461,908,0.19932,0.25381
2021,Indirect migration background,At least once per month,0.12906,249,908,0.10724,0.15088
2021,Indirect migration background,Seldom,0.06964,132,908,0.05307,0.08620
