year,bula_h,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Thuringa,East,No,0.73377,404,519,0.69571,0.77184
2016,Schleswig-Holstein,West,Yes,0.20964,115,503,0.17403,0.24525
2016,Schleswig-Holstein,West,No,0.78139,388,503,0.74523,0.81754
2016,Hamburg,West,Yes,0.12041,35,264,0.08108,0.15975
2016,Hamburg,West,No,0.87573,229,264,0.83586,0.91560
2016,Lower Saxony,West,Yes,0.13678,232,1348,0.11843,0.15513
2016,Lower Saxony,West,No,0.85695,1116,1348,0.83825,0.87564
2016,Bremen,West,No,0.85403,87,87,0.77940,0.92865
2016,North Rhine-Westphalia,West,Yes,0.12710,397,2907,0.11499,0.13921
2016,North Rhine-Westphalia,West,No,0.86667,2510,2907,0.85431,0.87903
2016,Hesse,West,Yes,0.12950,147,978,0.10845,0.15056
2016,Hesse,West,No,0.86643,831,978,0.84510,0.88776
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.15295,144,848,0.12871,0.17719
2016,"Rhineland-Palatinate, Saarland",West,No,0.83922,704,848,0.81448,0.86396
2016,Baden-Wuerttemberg,West,Yes,0.12618,273,1627,0.11004,0.14232
2016,Baden-Wuerttemberg,West,No,0.86938,1354,1627,0.85300,0.88576
2016,Bavaria,West,Yes,0.17991,470,2300,0.16421,0.19562
2016,Bavaria,West,No,0.81689,1830,2300,0.80108,0.83270
2016,Berlin,West,Yes,0.11201,46,348,0.07882,0.14519
2016,Berlin,West,No,0.88543,302,348,0.85192,0.91894
2016,Berlin,East,Yes,0.11850,40,262,0.07929,0.15771
2016,Berlin,East,No,0.87902,222,262,0.83946,0.91858
2016,Brandenburg,East,Yes,0.28211,171,562,0.24487,0.31935
2016,Brandenburg,East,No,0.71373,391,562,0.67632,0.75113
2016,Mecklenburg-Western Pomerania,East,Yes,0.18929,66,328,0.14683,0.23175
2016,Mecklenburg-Western Pomerania,East,No,0.80360,262,328,0.76054,0.84666
2016,Saxony,East,Yes,0.23142,196,865,0.20329,0.25954
2016,Saxony,East,No,0.76406,669,865,0.73575,0.79237
2016,Saxony-Anhalt,East,Yes,0.18914,123,513,0.15522,0.22307
2016,Saxony-Anhalt,East,No,0.80328,390,513,0.76884,0.83771
2016,Thuringa,East,Yes,0.20065,126,544,0.16697,0.23434
2016,Thuringa,East,No,0.79195,418,544,0.75781,0.82609
2021,Schleswig-Holstein,West,Yes,0.15093,85,427,0.11693,0.18492
2021,Schleswig-Holstein,West,No,0.83499,342,427,0.79974,0.87024
2021,Hamburg,West,Yes,0.12340,33,268,0.08395,0.16285
2021,Hamburg,West,No,0.86557,235,268,0.82465,0.90648
2021,Lower Saxony,West,Yes,0.16815,214,1062,0.14564,0.19065
2021,Lower Saxony,West,No,0.82279,848,1062,0.79981,0.84577
2021,Bremen,West,No,0.92804,68,68,0.86616,0.98992
2021,North Rhine-Westphalia,West,Yes,0.14709,349,2283,0.13256,0.16163
2021,North Rhine-Westphalia,West,No,0.84027,1934,2283,0.82523,0.85530
2021,Hesse,West,Yes,0.15562,127,694,0.12863,0.18261
2021,Hesse,West,No,0.82045,567,694,0.79187,0.84902
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.17628,100,535,0.14396,0.20861
2021,"Rhineland-Palatinate, Saarland",West,No,0.81047,435,535,0.77722,0.84371
2021,Baden-Wuerttemberg,West,Yes,0.16444,222,1215,0.14359,0.18529
2021,Baden-Wuerttemberg,West,No,0.82630,993,1215,0.80499,0.84761
2021,Bavaria,West,Yes,0.16657,357,1747,0.14910,0.18405
2021,Bavaria,West,No,0.82659,1390,1747,0.80884,0.84435
2021,Berlin,West,Yes,0.09029,44,354,0.06039,0.12019
2021,Berlin,West,No,0.89788,310,354,0.86629,0.92947
2021,Berlin,East,No,0.89779,170,170,0.85212,0.94346
2021,Brandenburg,East,Yes,0.24514,128,446,0.20517,0.28511
2021,Brandenburg,East,No,0.74995,318,446,0.70971,0.79018
2021,Mecklenburg-Western Pomerania,East,Yes,0.18824,57,261,0.14072,0.23575
2021,Mecklenburg-Western Pomerania,East,No,0.80376,204,261,0.75549,0.85204
2021,Saxony,East,Yes,0.21876,160,733,0.18881,0.24871
2021,Saxony,East,No,0.77386,573,733,0.74355,0.80416
2021,Saxony-Anhalt,East,Yes,0.21717,100,369,0.17504,0.25930
2021,Saxony-Anhalt,East,No,0.77417,269,369,0.73145,0.81689
2021,Thuringa,East,Yes,0.16941,84,383,0.13180,0.20703
2021,Thuringa,East,No,0.82016,299,383,0.78164,0.85867
