"plj0588","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Selten","2016","Realschule","2","","",""
"Selten","2016","(Fach-)Abitur","115","","",""
"Selten","2016","AkademikerIn","147","","",""
"Nie","2016","(noch) kein Abschluss","330","0.268470139462333","0.240808771302247","0.296131507622419"
"Nie","2016","Hauptschule","237","","",""
"Nie","2016","Realschule","4","0.242511221927889","-0.0375034952797099","0.522525939135488"
"Nie","2016","(Fach-)Abitur","176","","",""
"Nie","2016","AkademikerIn","182","","",""
"Sehr oft","2017","(noch) kein Abschluss","75","0.0273222852330373","0.0194179553275019","0.0352266151385726"
"Sehr oft","2017","Hauptschule","139","","",""
"Sehr oft","2017","Realschule","67","0.0101156335440808","0.00775966086240638","0.0124716062257553"
"Sehr oft","2017","(Fach-)Abitur","56","0.0113490882534488","0.00823301620475196","0.0144651603021456"
"Sehr oft","2017","AkademikerIn","67","0.00704989187602439","0.00506260133329931","0.00903718241874948"
"Oft","2017","(noch) kein Abschluss","175","","",""
"Oft","2017","Hauptschule","444","0.0576454392853278","0.0523804446777374","0.0629104338929182"
"Oft","2017","Realschule","360","0.051033399123264","0.0458521534474968","0.0562146447990312"
"Oft","2017","(Fach-)Abitur","246","","",""
"Oft","2017","AkademikerIn","319","0.0415137884106659","0.0367757831073912","0.0462517937139406"
"Manchmal","2017","(noch) kein Abschluss","385","0.263397430896515","0.242040224393496","0.284754637399534"
"Manchmal","2017","Hauptschule","1610","","",""
"Manchmal","2017","Realschule","1307","","",""
"Manchmal","2017","(Fach-)Abitur","957","0.211736925770282","0.199718726199953","0.223755125340612"
"Manchmal","2017","AkademikerIn","1263","","",""
"Selten","2017","(noch) kein Abschluss","487","0.332383700135912","0.3095432115526","0.355224188719224"
"Selten","2017","Hauptschule","2911","","",""
"Selten","2017","Realschule","3097","0.459773655143797","0.44803978183679","0.471507528450804"
"Selten","2017","(Fach-)Abitur","1881","","",""
"Selten","2017","AkademikerIn","3040","0.459166371606759","0.447329871546771","0.471002871666748"
"Nie","2017","(noch) kein Abschluss","512","0.281825406618072","0.260011816185864","0.303638997050281"
"Nie","2017","Hauptschule","2424","","",""
"Nie","2017","Realschule","2099","","",""
"Nie","2017","(Fach-)Abitur","1299","","",""
"Nie","2017","AkademikerIn","2120","","",""
"Sehr oft","2018","(noch) kein Abschluss","11","","",""
"Sehr oft","2018","Hauptschule","12","","",""
"Sehr oft","2018","Realschule","","","",""
"Sehr oft","2018","(Fach-)Abitur","","","",""
"Sehr oft","2018","AkademikerIn","4","0.062155263286919","-0.00918359929570685","0.133494125869545"
"Oft","2018","(noch) kein Abschluss","11","","",""
"Oft","2018","Hauptschule","9","0.140485273302376","0.0678832345506823","0.213087312054069"
"Oft","2018","Realschule","","","",""
"Oft","2018","(Fach-)Abitur","9","0.12417525144435","0.0400263955145299","0.208324107374169"
"Oft","2018","AkademikerIn","6","0.117492400470681","0.0223474228757074","0.212637378065654"
"Manchmal","2018","(noch) kein Abschluss","50","0.423894536006008","0.344279125314889","0.503509946697128"
"Manchmal","2018","Hauptschule","19","","",""
"Manchmal","2018","Realschule","","","",""
"Manchmal","2018","(Fach-)Abitur","20","","",""
"Manchmal","2018","AkademikerIn","8","0.20798042508335","0.0880578511779763","0.327902998988723"
"Selten","2018","(noch) kein Abschluss","23","","",""
"Selten","2018","Hauptschule","15","","",""
"Selten","2018","Realschule","1","","",""
"Selten","2018","(Fach-)Abitur","11","","",""
"Selten","2018","AkademikerIn","8","0.161160582957443","0.0525203764423652","0.26980078947252"
"Nie","2018","(noch) kein Abschluss","53","0.34065702743426","0.264303061401146","0.417010993467374"
"Nie","2018","Hauptschule","33","0.315254908635567","0.218181082512258","0.412328734758875"
"Nie","2018","Realschule","3","","",""
"Nie","2018","(Fach-)Abitur","19","","",""
"Nie","2018","AkademikerIn","18","","",""
"Sehr oft","2019","(noch) kein Abschluss","6","0.0569310525807182","0.0167899372395667","0.0970721679218696"
"Sehr oft","2019","Hauptschule","","","",""
"Sehr oft","2019","Realschule","","","",""
"Sehr oft","2019","(Fach-)Abitur","","","",""
"Sehr oft","2019","AkademikerIn","","","",""
"Oft","2019","(noch) kein Abschluss","10","","",""
"Oft","2019","Hauptschule","3","","",""
"Oft","2019","Realschule","","","",""
"Oft","2019","(Fach-)Abitur","4","0.0904406847748077","-0.0198043023382162","0.200685671887831"
"Oft","2019","AkademikerIn","2","","",""
"Manchmal","2019","(noch) kein Abschluss","28","","",""
"Manchmal","2019","Hauptschule","7","0.328240056773802","0.187888671173725","0.468591442373879"
"Manchmal","2019","Realschule","","","",""
"Manchmal","2019","(Fach-)Abitur","4","0.164131869854575","0.0217591574533175","0.306504582255832"
"Manchmal","2019","AkademikerIn","5","0.115641818367903","-0.0179895161720587","0.249273152907864"
"Selten","2019","(noch) kein Abschluss","30","0.174000068281386","0.108323897840427","0.239676238722346"
"Selten","2019","Hauptschule","8","0.283959169281445","0.149183745650857","0.418734592912034"
"Selten","2019","Realschule","2","","",""
"Selten","2019","(Fach-)Abitur","5","0.0469906993491749","-0.0343515056285463","0.128332904326896"
"Selten","2019","AkademikerIn","8","0.310150256155752","0.11686439953925","0.503436112772254"
"Nie","2019","(noch) kein Abschluss","54","0.498516037156647","0.411897429630905","0.58513464468239"
"Nie","2019","Hauptschule","25","","",""
"Nie","2019","Realschule","3","","",""
"Nie","2019","(Fach-)Abitur","13","","",""
"Nie","2019","AkademikerIn","7","0.546470110012764","0.338441573314954","0.754498646710575"
