year,quintil_oecd_hh,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,5th Quintile,Yes,0.16133,481,2754,0.14759,0.17507
2016,5th Quintile,No,0.83848,2273,2754,0.82474,0.85223
2017,1st Quintile,Yes,0.03311,98,3196,0.02691,0.03931
2017,1st Quintile,No,0.93350,3098,3196,0.92486,0.94214
2017,2nd Quintile,Yes,0.06458,218,3233,0.05611,0.07305
2017,2nd Quintile,No,0.93124,3015,3233,0.92252,0.93997
2017,3rd Quintile,Yes,0.09642,365,3086,0.08601,0.10684
2017,3rd Quintile,No,0.90179,2721,3086,0.89129,0.91229
2017,4th Quintile,Yes,0.11442,451,3042,0.10310,0.12573
2017,4th Quintile,No,0.88430,2591,3042,0.87293,0.89567
2017,5th Quintile,Yes,0.16024,552,3093,0.14731,0.17317
2017,5th Quintile,No,0.83913,2541,3093,0.82618,0.85208
2018,1st Quintile,Yes,0.02941,105,3306,0.02365,0.03517
2018,1st Quintile,No,0.93891,3201,3306,0.93075,0.94708
2018,2nd Quintile,Yes,0.06081,236,3293,0.05265,0.06898
2018,2nd Quintile,No,0.93624,3057,3293,0.92790,0.94459
2018,3rd Quintile,Yes,0.09613,323,2937,0.08546,0.10679
2018,3rd Quintile,No,0.89884,2614,2937,0.88793,0.90975
2018,4th Quintile,Yes,0.12094,417,2876,0.10902,0.13285
2018,4th Quintile,No,0.87525,2459,2876,0.86317,0.88733
2018,5th Quintile,Yes,0.16648,556,3007,0.15316,0.17980
2018,5th Quintile,No,0.83139,2451,3007,0.81800,0.84477
2019,1st Quintile,Yes,0.03120,85,2423,0.02427,0.03812
2019,1st Quintile,No,0.80144,2338,2423,0.78555,0.81733
2019,2nd Quintile,Yes,0.06367,196,2617,0.05431,0.07303
2019,2nd Quintile,No,0.84099,2421,2617,0.82698,0.85500
2019,3rd Quintile,Yes,0.08120,263,2509,0.07051,0.09189
2019,3rd Quintile,No,0.83317,2246,2509,0.81858,0.84777
2019,4th Quintile,Yes,0.12308,385,2461,0.11010,0.13606
2019,4th Quintile,No,0.79557,2076,2461,0.77963,0.81150
2019,5th Quintile,Yes,0.14764,494,2594,0.13399,0.16129
2019,5th Quintile,No,0.73265,2100,2594,0.71562,0.74969
2020,1st Quintile,Yes,0.03389,124,3434,0.02783,0.03994
2020,1st Quintile,No,0.92085,3310,3434,0.91182,0.92988
2020,2nd Quintile,Yes,0.06297,237,3326,0.05472,0.07123
2020,2nd Quintile,No,0.93120,3089,3326,0.92259,0.93980
2020,3rd Quintile,Yes,0.12722,351,2879,0.11505,0.13940
2020,3rd Quintile,No,0.86982,2528,2879,0.85752,0.88211
2020,4th Quintile,Yes,0.14159,444,2853,0.12879,0.15438
2020,4th Quintile,No,0.85255,2409,2853,0.83954,0.86556
2020,5th Quintile,Yes,0.17256,782,3728,0.16043,0.18469
2020,5th Quintile,No,0.82434,2946,3728,0.81213,0.83656
2021,1st Quintile,Yes,0.04063,82,1777,0.03145,0.04981
2021,1st Quintile,No,0.79585,1695,1777,0.77710,0.81459
2021,2nd Quintile,Yes,0.06366,166,1977,0.05289,0.07442
2021,2nd Quintile,No,0.82854,1811,1977,0.81192,0.84516
2021,3rd Quintile,Yes,0.08711,208,1847,0.07425,0.09998
2021,3rd Quintile,No,0.81980,1639,1847,0.80226,0.83733
2021,4th Quintile,Yes,0.13470,318,1896,0.11933,0.15007
2021,4th Quintile,No,0.76024,1578,1896,0.74102,0.77946
2021,5th Quintile,Yes,0.15275,491,2431,0.13845,0.16706
2021,5th Quintile,No,0.74886,1940,2431,0.73162,0.76610
2022,1st Quintile,Yes,0.08934,458,4517,0.08102,0.09766
2022,1st Quintile,No,0.88156,4059,4517,0.87214,0.89099
2022,2nd Quintile,Yes,0.10409,444,3865,0.09446,0.11372
2022,2nd Quintile,No,0.88067,3421,3865,0.87045,0.89089
2022,3rd Quintile,Yes,0.13155,502,3392,0.12017,0.14292
2022,3rd Quintile,No,0.86339,2890,3392,0.85183,0.87495
2022,4th Quintile,Yes,0.16529,620,3411,0.15282,0.17776
2022,4th Quintile,No,0.82962,2791,3411,0.81701,0.84224
2022,5th Quintile,Yes,0.19852,927,3826,0.18588,0.21116
2022,5th Quintile,No,0.79887,2899,3826,0.78616,0.81157
