year,quintil_oecd_hh,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Tenant,Yes,0.01926,62,3058,0.01438,0.02413
2015,1st Quintile,Tenant,No,0.97647,2996,3058,0.97109,0.98184
2015,2nd Quintile,Owner,Yes,0.10780,141,1088,0.08936,0.12623
2015,2nd Quintile,Owner,No,0.89178,947,1088,0.87331,0.91025
2015,2nd Quintile,Tenant,Yes,0.04250,91,2291,0.03424,0.05076
2015,2nd Quintile,Tenant,No,0.95623,2200,2291,0.94786,0.96461
2015,3rd Quintile,Owner,Yes,0.12913,235,1438,0.11179,0.14647
2015,3rd Quintile,Owner,No,0.86937,1203,1438,0.85195,0.88679
2015,3rd Quintile,Tenant,Yes,0.05404,82,1575,0.04287,0.06521
2015,3rd Quintile,Tenant,No,0.94085,1493,1575,0.92920,0.95251
2015,4th Quintile,Owner,Yes,0.15635,335,1648,0.13881,0.17389
2015,4th Quintile,Owner,No,0.84365,1313,1648,0.82611,0.86119
2015,4th Quintile,Tenant,Yes,0.05939,62,1181,0.04591,0.07288
2015,4th Quintile,Tenant,No,0.93795,1119,1181,0.92419,0.95172
2015,5th Quintile,Owner,Yes,0.19019,442,2074,0.17330,0.20709
2015,5th Quintile,Owner,No,0.80963,1632,2074,0.79273,0.82653
2015,5th Quintile,Tenant,Yes,0.06880,67,899,0.05224,0.08535
2015,5th Quintile,Tenant,No,0.92782,832,899,0.91089,0.94474
2016,1st Quintile,Owner,Yes,0.07702,42,396,0.05072,0.10331
2016,1st Quintile,Owner,No,0.92298,354,396,0.89669,0.94928
2016,1st Quintile,Tenant,Yes,0.02093,50,2693,0.01552,0.02634
2016,1st Quintile,Tenant,No,0.97522,2643,2693,0.96934,0.98109
2016,2nd Quintile,Owner,Yes,0.09315,127,1025,0.07534,0.11095
2016,2nd Quintile,Owner,No,0.90657,898,1025,0.88875,0.92440
2016,2nd Quintile,Tenant,Yes,0.04054,76,2012,0.03192,0.04916
2016,2nd Quintile,Tenant,No,0.95869,1936,2012,0.95000,0.96739
2016,3rd Quintile,Owner,Yes,0.14478,233,1341,0.12594,0.16362
2016,3rd Quintile,Owner,No,0.85522,1108,1341,0.83638,0.87406
2016,3rd Quintile,Tenant,Yes,0.03643,59,1399,0.02661,0.04625
2016,3rd Quintile,Tenant,No,0.95253,1340,1399,0.94138,0.96368
2016,4th Quintile,Owner,Yes,0.14062,300,1561,0.12337,0.15787
2016,4th Quintile,Owner,No,0.85938,1261,1561,0.84213,0.87663
2016,4th Quintile,Tenant,Yes,0.04248,55,1100,0.03055,0.05440
2016,4th Quintile,Tenant,No,0.95681,1045,1100,0.94479,0.96883
2016,5th Quintile,Owner,Yes,0.19939,429,1977,0.18177,0.21700
2016,5th Quintile,Owner,No,0.80035,1548,1977,0.78273,0.81798
2016,5th Quintile,Tenant,Yes,0.06890,52,777,0.05108,0.08672
2016,5th Quintile,Tenant,No,0.93110,725,777,0.91328,0.94892
2017,1st Quintile,Owner,Yes,0.08174,39,389,0.05448,0.10900
2017,1st Quintile,Owner,No,0.91641,350,389,0.88887,0.94395
2017,1st Quintile,Tenant,Yes,0.02595,59,2807,0.02007,0.03183
2017,1st Quintile,Tenant,No,0.94500,2748,2807,0.93657,0.95344
2017,2nd Quintile,Owner,Yes,0.11290,151,1099,0.09418,0.13162
2017,2nd Quintile,Owner,No,0.88710,948,1099,0.86838,0.90582
2017,2nd Quintile,Tenant,Yes,0.03811,67,2134,0.02999,0.04624
2017,2nd Quintile,Tenant,No,0.95542,2067,2134,0.94666,0.96418
2017,3rd Quintile,Owner,Yes,0.14409,293,1531,0.12650,0.16169
2017,3rd Quintile,Owner,No,0.85266,1238,1531,0.83490,0.87042
2017,3rd Quintile,Tenant,Yes,0.04629,72,1555,0.03584,0.05674
2017,3rd Quintile,Tenant,No,0.95346,1483,1555,0.94298,0.96393
2017,4th Quintile,Owner,Yes,0.15918,375,1796,0.14226,0.17611
2017,4th Quintile,Owner,No,0.83977,1421,1796,0.82281,0.85674
2017,4th Quintile,Tenant,Yes,0.05181,76,1246,0.03949,0.06412
2017,4th Quintile,Tenant,No,0.94658,1170,1246,0.93409,0.95907
2017,5th Quintile,Owner,Yes,0.19831,492,2243,0.18180,0.21481
2017,5th Quintile,Owner,No,0.80085,1751,2243,0.78432,0.81738
2017,5th Quintile,Tenant,Yes,0.05676,60,850,0.04120,0.07233
2017,5th Quintile,Tenant,No,0.94319,790,850,0.92762,0.95876
2018,1st Quintile,Owner,Yes,0.09516,46,381,0.06565,0.12466
2018,1st Quintile,Owner,No,0.90478,335,381,0.87526,0.93429
2018,1st Quintile,Tenant,Yes,0.01918,59,2925,0.01421,0.02416
2018,1st Quintile,Tenant,No,0.94422,2866,2925,0.93590,0.95254
2018,2nd Quintile,Owner,Yes,0.10238,154,1086,0.08434,0.12042
2018,2nd Quintile,Owner,No,0.89762,932,1086,0.87958,0.91566
2018,2nd Quintile,Tenant,Yes,0.03744,82,2207,0.02952,0.04537
2018,2nd Quintile,Tenant,No,0.95796,2125,2207,0.94958,0.96633
2018,3rd Quintile,Owner,Yes,0.14739,257,1401,0.12882,0.16596
2018,3rd Quintile,Owner,No,0.85013,1144,1401,0.83143,0.86883
2018,3rd Quintile,Tenant,Yes,0.04391,66,1536,0.03366,0.05416
2018,3rd Quintile,Tenant,No,0.94845,1470,1536,0.93739,0.95952
2018,4th Quintile,Owner,Yes,0.16098,350,1710,0.14355,0.17840
2018,4th Quintile,Owner,No,0.83774,1360,1710,0.82026,0.85522
2018,4th Quintile,Tenant,Yes,0.06136,67,1166,0.04758,0.07515
2018,4th Quintile,Tenant,No,0.93106,1099,1166,0.91651,0.94561
2018,5th Quintile,Owner,Yes,0.19967,491,2169,0.18285,0.21650
2018,5th Quintile,Owner,No,0.79913,1678,2169,0.78226,0.81599
2018,5th Quintile,Tenant,Yes,0.07784,65,838,0.05969,0.09599
2018,5th Quintile,Tenant,No,0.91753,773,838,0.89890,0.93617
2019,1st Quintile,Owner,Yes,0.11685,38,330,0.08213,0.15156
2019,1st Quintile,Owner,No,0.83396,292,330,0.79375,0.87417
2019,1st Quintile,Tenant,Yes,0.01740,47,2093,0.01180,0.02301
2019,1st Quintile,Tenant,No,0.79620,2046,2093,0.77894,0.81347
2019,2nd Quintile,Owner,Yes,0.10084,136,926,0.08144,0.12025
2019,2nd Quintile,Owner,No,0.85616,790,926,0.83355,0.87878
2019,2nd Quintile,Tenant,Yes,0.04274,60,1691,0.03310,0.05239
2019,2nd Quintile,Tenant,No,0.83245,1631,1691,0.81465,0.85026
2019,3rd Quintile,Owner,Yes,0.13243,210,1249,0.11363,0.15124
2019,3rd Quintile,Owner,No,0.81976,1039,1249,0.79844,0.84109
2019,3rd Quintile,Tenant,Yes,0.02986,53,1260,0.02046,0.03927
2019,3rd Quintile,Tenant,No,0.84661,1207,1260,0.82670,0.86652
2019,4th Quintile,Owner,Yes,0.16947,330,1520,0.15060,0.18834
2019,4th Quintile,Owner,No,0.77764,1190,1520,0.75673,0.79855
2019,4th Quintile,Tenant,Yes,0.05176,55,941,0.03759,0.06592
2019,4th Quintile,Tenant,No,0.82313,886,941,0.79874,0.84752
2019,5th Quintile,Owner,Yes,0.17736,439,1909,0.16022,0.19450
2019,5th Quintile,Owner,No,0.73098,1470,1909,0.71108,0.75088
2019,5th Quintile,Tenant,Yes,0.07102,55,685,0.05177,0.09027
2019,5th Quintile,Tenant,No,0.73697,630,685,0.70397,0.76996
2020,1st Quintile,Owner,Yes,0.09609,35,314,0.06344,0.12874
2020,1st Quintile,Owner,No,0.89706,279,314,0.86340,0.93073
2020,1st Quintile,Tenant,Yes,0.02487,89,3120,0.01940,0.03034
2020,1st Quintile,Tenant,No,0.92430,3031,3120,0.91502,0.93358
2020,2nd Quintile,Owner,Yes,0.11549,155,984,0.09551,0.13547
2020,2nd Quintile,Owner,No,0.88432,829,984,0.86432,0.90431
2020,2nd Quintile,Tenant,Yes,0.03180,82,2342,0.02469,0.03891
2020,2nd Quintile,Tenant,No,0.95903,2260,2342,0.95100,0.96706
2020,3rd Quintile,Owner,Yes,0.17637,252,1300,0.15564,0.19709
2020,3rd Quintile,Owner,No,0.82349,1048,1300,0.80275,0.84422
2020,3rd Quintile,Tenant,Yes,0.07453,99,1579,0.06157,0.08749
2020,3rd Quintile,Tenant,No,0.91949,1480,1579,0.90607,0.93292
2020,4th Quintile,Owner,Yes,0.19639,372,1616,0.17701,0.21576
2020,4th Quintile,Owner,No,0.80022,1244,1616,0.78072,0.81972
2020,4th Quintile,Tenant,Yes,0.06317,72,1237,0.04961,0.07674
2020,4th Quintile,Tenant,No,0.92742,1165,1237,0.91296,0.94189
2020,5th Quintile,Owner,Yes,0.21494,707,2729,0.19952,0.23035
2020,5th Quintile,Owner,No,0.78363,2022,2729,0.76818,0.79909
2020,5th Quintile,Tenant,Yes,0.06352,75,999,0.04839,0.07865
2020,5th Quintile,Tenant,No,0.92908,924,999,0.91315,0.94500
2021,1st Quintile,Owner,Yes,0.12488,37,246,0.08348,0.16627
2021,1st Quintile,Owner,No,0.80777,209,246,0.75843,0.85712
2021,1st Quintile,Tenant,Yes,0.02359,45,1530,0.01598,0.03120
2021,1st Quintile,Tenant,No,0.79286,1485,1530,0.77254,0.81317
2021,2nd Quintile,Owner,Yes,0.14182,122,644,0.11486,0.16879
2021,2nd Quintile,Owner,No,0.79603,522,644,0.76489,0.82718
2021,2nd Quintile,Tenant,Yes,0.02449,44,1331,0.01618,0.03280
2021,2nd Quintile,Tenant,No,0.84463,1287,1331,0.82516,0.86410
2021,3rd Quintile,Owner,Yes,0.13341,158,858,0.11064,0.15617
2021,3rd Quintile,Owner,No,0.79565,700,858,0.76866,0.82265
2021,3rd Quintile,Tenant,Yes,0.04291,50,989,0.03027,0.05555
2021,3rd Quintile,Tenant,No,0.84285,939,989,0.82016,0.86554
2021,4th Quintile,Owner,Yes,0.18190,261,1111,0.15921,0.20460
2021,4th Quintile,Owner,No,0.73013,850,1111,0.70402,0.75624
2021,4th Quintile,Tenant,Yes,0.06337,57,785,0.04631,0.08042
2021,4th Quintile,Tenant,No,0.80575,728,785,0.77805,0.83344
2021,5th Quintile,Owner,Yes,0.17946,438,1784,0.16165,0.19727
2021,5th Quintile,Owner,No,0.72428,1346,1784,0.70354,0.74503
2021,5th Quintile,Tenant,Yes,0.07702,53,646,0.05644,0.09759
2021,5th Quintile,Tenant,No,0.82137,593,646,0.79181,0.85093
2022,1st Quintile,Owner,Yes,0.25563,294,992,0.22847,0.28279
2022,1st Quintile,Owner,No,0.74229,698,992,0.71506,0.76952
2022,1st Quintile,Tenant,Yes,0.03741,164,3518,0.03114,0.04368
2022,1st Quintile,Tenant,No,0.92492,3354,3518,0.91621,0.93363
2022,2nd Quintile,Owner,Yes,0.19800,272,1108,0.17453,0.22148
2022,2nd Quintile,Owner,No,0.79992,836,1108,0.77635,0.82349
2022,2nd Quintile,Tenant,Yes,0.05783,172,2754,0.04911,0.06655
2022,2nd Quintile,Tenant,No,0.92037,2582,2754,0.91026,0.93048
2022,3rd Quintile,Owner,Yes,0.19650,368,1405,0.17571,0.21728
2022,3rd Quintile,Owner,No,0.80307,1037,1405,0.78226,0.82387
2022,3rd Quintile,Tenant,Yes,0.06648,134,1986,0.05552,0.07744
2022,3rd Quintile,Tenant,No,0.92381,1852,1986,0.91214,0.93548
2022,4th Quintile,Owner,Yes,0.23868,505,1750,0.21870,0.25866
2022,4th Quintile,Owner,No,0.76085,1245,1750,0.74086,0.78084
2022,4th Quintile,Tenant,Yes,0.06868,115,1660,0.05651,0.08085
2022,4th Quintile,Tenant,No,0.92015,1545,1660,0.90710,0.93319
2022,5th Quintile,Owner,Yes,0.24402,801,2571,0.22742,0.26063
2022,5th Quintile,Owner,No,0.75501,1770,2571,0.73839,0.77164
2022,5th Quintile,Tenant,Yes,0.09157,126,1252,0.07559,0.10756
2022,5th Quintile,Tenant,No,0.90186,1126,1252,0.88538,0.91835
