year,bula_h,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Lower Saxony,Owner,No,0.90859,704,821,0.88887,0.92832
2012,Lower Saxony,Tenant,No,0.97901,640,640,0.96790,0.99013
2012,Bremen,Owner,No,0.97824,43,43,0.93412,1.02236
2012,Bremen,Tenant,No,0.96614,78,78,0.92574,1.00654
2012,North Rhine-Westphalia,Owner,Yes,0.08609,167,1441,0.07160,0.10058
2012,North Rhine-Westphalia,Owner,No,0.90811,1274,1441,0.89319,0.92303
2012,North Rhine-Westphalia,Tenant,Yes,0.01360,35,1763,0.00819,0.01901
2012,North Rhine-Westphalia,Tenant,No,0.98640,1728,1763,0.98099,0.99181
2012,Hesse,Owner,Yes,0.12327,96,568,0.09621,0.15033
2012,Hesse,Owner,No,0.87524,472,568,0.84804,0.90244
2012,Hesse,Tenant,No,0.95519,551,551,0.93790,0.97248
2012,"Rhineland-Palatinate, Saarland",Owner,Yes,0.13969,71,510,0.10957,0.16981
2012,"Rhineland-Palatinate, Saarland",Owner,No,0.86031,439,510,0.83019,0.89043
2012,"Rhineland-Palatinate, Saarland",Tenant,No,0.96909,408,408,0.95228,0.98591
2012,Baden-Wuerttemberg,Owner,Yes,0.17383,248,1054,0.15094,0.19672
2012,Baden-Wuerttemberg,Owner,No,0.82529,806,1054,0.80235,0.84822
2012,Baden-Wuerttemberg,Tenant,Yes,0.06382,50,850,0.04737,0.08026
2012,Baden-Wuerttemberg,Tenant,No,0.93316,800,850,0.91636,0.94996
2012,Bavaria,Owner,Yes,0.17878,337,1327,0.15815,0.19940
2012,Bavaria,Owner,No,0.82050,990,1327,0.79985,0.84116
2012,Bavaria,Tenant,Yes,0.04692,76,1201,0.03496,0.05889
2012,Bavaria,Tenant,No,0.94290,1125,1201,0.92977,0.95603
2012,Berlin,Owner,No,0.94308,124,124,0.90213,0.98403
2012,Berlin,Tenant,No,0.98274,561,561,0.97195,0.99352
2012,Brandenburg,Owner,Yes,0.09664,34,292,0.06269,0.13058
2012,Brandenburg,Owner,No,0.90336,258,292,0.86942,0.93731
2012,Brandenburg,Tenant,No,0.97788,363,363,0.96273,0.99303
2012,Mecklenburg-Western Pomerania,Owner,No,0.87564,116,116,0.81533,0.93595
2012,Mecklenburg-Western Pomerania,Tenant,No,0.99876,268,268,0.99454,1.00298
2012,Saxony,Owner,Yes,0.14272,50,373,0.10718,0.17827
2012,Saxony,Owner,No,0.85728,323,373,0.82173,0.89282
2012,Saxony,Tenant,No,0.97159,681,681,0.95910,0.98408
2012,Saxony-Anhalt,Owner,No,0.92136,237,237,0.88701,0.95570
2012,Saxony-Anhalt,Tenant,No,0.95666,355,355,0.93544,0.97787
2012,Thuringa,Owner,No,0.91915,255,255,0.88562,0.95267
2012,Thuringa,Tenant,No,0.93647,344,344,0.91066,0.96229
2013,Schleswig-Holstein,Owner,Yes,0.10481,31,280,0.06887,0.14076
2013,Schleswig-Holstein,Owner,No,0.89519,249,280,0.85924,0.93113
2013,Schleswig-Holstein,Tenant,No,0.98734,366,366,0.97587,0.99881
2013,Hamburg,Owner,No,0.97102,73,73,0.93228,1.00977
2013,Hamburg,Tenant,No,0.97660,257,257,0.95809,0.99512
2013,Lower Saxony,Owner,Yes,0.10268,129,820,0.08189,0.12347
2013,Lower Saxony,Owner,No,0.89732,691,820,0.87653,0.91811
2013,Lower Saxony,Tenant,No,0.95916,781,781,0.94527,0.97305
2013,Bremen,Owner,No,0.97299,44,44,0.92453,1.02144
2013,Bremen,Tenant,No,0.98199,98,98,0.95553,1.00846
2013,North Rhine-Westphalia,Owner,Yes,0.08236,163,1505,0.06847,0.09626
2013,North Rhine-Westphalia,Owner,No,0.91764,1342,1505,0.90374,0.93153
2013,North Rhine-Westphalia,Tenant,Yes,0.02759,46,2158,0.02068,0.03450
2013,North Rhine-Westphalia,Tenant,No,0.97206,2112,2158,0.96510,0.97901
2013,Hesse,Owner,Yes,0.11846,89,573,0.09197,0.14494
2013,Hesse,Owner,No,0.88154,484,573,0.85506,0.90803
2013,Hesse,Tenant,No,0.97207,719,719,0.96002,0.98413
2013,"Rhineland-Palatinate, Saarland",Owner,Yes,0.15548,82,550,0.12516,0.18579
2013,"Rhineland-Palatinate, Saarland",Owner,No,0.84452,468,550,0.81421,0.87484
2013,"Rhineland-Palatinate, Saarland",Tenant,No,0.97315,474,474,0.95858,0.98772
2013,Baden-Wuerttemberg,Owner,Yes,0.18681,238,1088,0.16364,0.20998
2013,Baden-Wuerttemberg,Owner,No,0.81280,850,1088,0.78961,0.83599
2013,Baden-Wuerttemberg,Tenant,Yes,0.07061,57,1045,0.05507,0.08615
2013,Baden-Wuerttemberg,Tenant,No,0.92939,988,1045,0.91385,0.94493
2013,Bavaria,Owner,Yes,0.19749,357,1349,0.17624,0.21874
2013,Bavaria,Owner,No,0.80251,992,1349,0.78126,0.82376
2013,Bavaria,Tenant,Yes,0.05099,86,1497,0.03985,0.06214
2013,Bavaria,Tenant,No,0.94722,1411,1497,0.93589,0.95855
2013,Berlin,Owner,No,0.95310,118,118,0.91479,0.99141
2013,Berlin,Tenant,No,0.98955,639,639,0.98166,0.99744
2013,Brandenburg,Owner,Yes,0.13488,37,275,0.09443,0.17533
2013,Brandenburg,Owner,No,0.86512,238,275,0.82467,0.90557
2013,Brandenburg,Tenant,No,0.96819,383,383,0.95059,0.98579
2013,Mecklenburg-Western Pomerania,Owner,No,0.88435,108,108,0.82375,0.94495
2013,Mecklenburg-Western Pomerania,Tenant,No,0.99604,256,256,0.98833,1.00375
2013,Saxony,Owner,Yes,0.14764,49,361,0.11100,0.18429
2013,Saxony,Owner,No,0.85236,312,361,0.81571,0.88900
2013,Saxony,Tenant,No,0.96886,669,669,0.95569,0.98203
2013,Saxony-Anhalt,Owner,No,0.93879,232,232,0.90788,0.96970
2013,Saxony-Anhalt,Tenant,No,0.94612,371,371,0.92311,0.96912
2013,Thuringa,Owner,No,0.92327,258,258,0.89073,0.95581
2013,Thuringa,Tenant,No,0.94986,317,317,0.92580,0.97392
2014,Schleswig-Holstein,Owner,Yes,0.10859,31,259,0.07062,0.14655
2014,Schleswig-Holstein,Owner,No,0.89069,228,259,0.85261,0.92876
2014,Schleswig-Holstein,Tenant,No,0.96463,298,298,0.94363,0.98564
2014,Hamburg,Owner,No,0.96583,69,69,0.92266,1.00901
2014,Hamburg,Tenant,No,0.97874,195,195,0.95844,0.99904
2014,Lower Saxony,Owner,Yes,0.12540,122,767,0.10195,0.14886
2014,Lower Saxony,Owner,No,0.87460,645,767,0.85114,0.89805
2014,Lower Saxony,Tenant,No,0.95752,674,674,0.94228,0.97276
2014,Bremen,Owner,No,0.96889,41,41,0.91509,1.02269
2014,Bremen,Tenant,No,0.97125,78,78,0.93392,1.00857
2014,North Rhine-Westphalia,Owner,Yes,0.08586,169,1373,0.07104,0.10069
2014,North Rhine-Westphalia,Owner,No,0.91414,1204,1373,0.89931,0.92896
2014,North Rhine-Westphalia,Tenant,Yes,0.03319,50,1852,0.02503,0.04135
2014,North Rhine-Westphalia,Tenant,No,0.96198,1802,1852,0.95327,0.97069
2014,Hesse,Owner,Yes,0.14198,86,522,0.11201,0.17196
2014,Hesse,Owner,No,0.85802,436,522,0.82804,0.88799
2014,Hesse,Tenant,No,0.96610,571,571,0.95124,0.98096
2014,"Rhineland-Palatinate, Saarland",Owner,Yes,0.13677,69,487,0.10622,0.16732
2014,"Rhineland-Palatinate, Saarland",Owner,No,0.85236,418,487,0.82082,0.88390
2014,"Rhineland-Palatinate, Saarland",Tenant,No,0.95863,419,419,0.93954,0.97772
2014,Baden-Wuerttemberg,Owner,Yes,0.20274,232,969,0.17741,0.22807
2014,Baden-Wuerttemberg,Owner,No,0.79726,737,969,0.77193,0.82259
2014,Baden-Wuerttemberg,Tenant,Yes,0.09321,53,856,0.07372,0.11269
2014,Baden-Wuerttemberg,Tenant,No,0.90341,803,856,0.88361,0.92321
2014,Bavaria,Owner,Yes,0.19434,326,1251,0.17240,0.21628
2014,Bavaria,Owner,No,0.80566,925,1251,0.78372,0.82760
2014,Bavaria,Tenant,Yes,0.05534,96,1299,0.04290,0.06778
2014,Bavaria,Tenant,No,0.94442,1203,1299,0.93195,0.95688
2014,Berlin,Owner,No,0.95140,103,103,0.90967,0.99313
2014,Berlin,Tenant,No,0.98664,538,538,0.97692,0.99635
2014,Brandenburg,Owner,Yes,0.12723,36,256,0.08633,0.16813
2014,Brandenburg,Owner,No,0.87277,220,256,0.83187,0.91367
2014,Brandenburg,Tenant,No,0.97421,351,351,0.95760,0.99082
2014,Mecklenburg-Western Pomerania,Owner,No,0.86446,93,93,0.79452,0.93441
2014,Mecklenburg-Western Pomerania,Tenant,No,0.98756,242,242,0.97357,1.00156
2014,Saxony,Owner,Yes,0.18503,49,326,0.14281,0.22725
2014,Saxony,Owner,No,0.81497,277,326,0.77275,0.85719
2014,Saxony,Tenant,No,0.96571,606,606,0.95121,0.98021
2014,Saxony-Anhalt,Owner,No,0.91362,212,212,0.87572,0.95153
2014,Saxony-Anhalt,Tenant,No,0.94263,335,335,0.91769,0.96757
2014,Thuringa,Owner,No,0.91535,241,241,0.88013,0.95057
2014,Thuringa,Tenant,No,0.93298,311,311,0.90515,0.96082
2015,Schleswig-Holstein,Owner,Yes,0.13957,37,251,0.09661,0.18253
2015,Schleswig-Holstein,Owner,No,0.86043,214,251,0.81747,0.90339
2015,Schleswig-Holstein,Tenant,No,0.95871,288,288,0.93569,0.98173
2015,Hamburg,Owner,No,0.95841,70,70,0.91129,1.00552
2015,Hamburg,Tenant,No,0.97397,204,204,0.95207,0.99588
2015,Lower Saxony,Owner,Yes,0.11370,122,747,0.09092,0.13648
2015,Lower Saxony,Owner,No,0.88630,625,747,0.86352,0.90908
2015,Lower Saxony,Tenant,No,0.96561,720,720,0.95230,0.97893
2015,Bremen,Owner,No,0.97436,37,37,0.92273,1.02599
2015,Bremen,Tenant,No,0.97084,76,76,0.93276,1.00892
2015,North Rhine-Westphalia,Owner,Yes,0.09498,165,1298,0.07903,0.11094
2015,North Rhine-Westphalia,Owner,No,0.90494,1133,1298,0.88898,0.92091
2015,North Rhine-Westphalia,Tenant,Yes,0.02346,42,1905,0.01666,0.03025
2015,North Rhine-Westphalia,Tenant,No,0.96963,1863,1905,0.96192,0.97734
2015,Hesse,Owner,Yes,0.13417,79,477,0.10355,0.16479
2015,Hesse,Owner,No,0.86583,398,477,0.83521,0.89645
2015,Hesse,Tenant,No,0.96162,625,625,0.94655,0.97670
2015,"Rhineland-Palatinate, Saarland",Owner,Yes,0.14315,67,467,0.11136,0.17495
2015,"Rhineland-Palatinate, Saarland",Owner,No,0.85685,400,467,0.82505,0.88864
2015,"Rhineland-Palatinate, Saarland",Tenant,No,0.95592,436,436,0.93663,0.97521
2015,Baden-Wuerttemberg,Owner,Yes,0.20553,224,919,0.17939,0.23167
2015,Baden-Wuerttemberg,Owner,No,0.79403,695,919,0.76787,0.82019
2015,Baden-Wuerttemberg,Tenant,Yes,0.09590,67,906,0.07671,0.11508
2015,Baden-Wuerttemberg,Tenant,No,0.90410,839,906,0.88492,0.92329
2015,Bavaria,Owner,Yes,0.21502,341,1198,0.19174,0.23829
2015,Bavaria,Owner,No,0.78498,857,1198,0.76171,0.80826
2015,Bavaria,Tenant,Yes,0.06341,95,1387,0.05058,0.07625
2015,Bavaria,Tenant,No,0.93540,1292,1387,0.92246,0.94834
2015,Berlin,Owner,No,0.94540,104,104,0.90152,0.98928
2015,Berlin,Tenant,No,0.98854,532,532,0.97948,0.99759
2015,Brandenburg,Owner,Yes,0.14761,41,262,0.10458,0.19065
2015,Brandenburg,Owner,No,0.85239,221,262,0.80935,0.89542
2015,Brandenburg,Tenant,No,0.96126,333,333,0.94050,0.98201
2015,Mecklenburg-Western Pomerania,Owner,No,0.82566,96,96,0.74936,0.90195
2015,Mecklenburg-Western Pomerania,Tenant,No,0.97213,228,228,0.95072,0.99354
2015,Saxony,Owner,Yes,0.19317,51,318,0.14971,0.23663
2015,Saxony,Owner,No,0.79817,267,318,0.75398,0.84235
2015,Saxony,Tenant,No,0.96009,577,577,0.94410,0.97607
2015,Saxony-Anhalt,Owner,No,0.91245,194,194,0.87257,0.95232
2015,Saxony-Anhalt,Tenant,No,0.95368,318,318,0.93054,0.97682
2015,Thuringa,Owner,No,0.91682,220,220,0.88024,0.95339
2015,Thuringa,Tenant,No,0.89252,315,315,0.85826,0.92678
2016,Schleswig-Holstein,Owner,No,0.86405,205,205,0.81701,0.91108
2016,Schleswig-Holstein,Tenant,No,0.96730,258,258,0.94556,0.98904
2016,Hamburg,Owner,No,0.95823,70,70,0.91102,1.00544
2016,Hamburg,Tenant,No,0.95485,184,184,0.92476,0.98493
2016,Lower Saxony,Owner,Yes,0.10795,109,693,0.08483,0.13108
2016,Lower Saxony,Owner,No,0.89205,584,693,0.86892,0.91517
2016,Lower Saxony,Tenant,No,0.97567,635,635,0.96367,0.98766
2016,Bremen,Owner,No,0.94999,32,32,0.87326,1.02672
2016,Bremen,Tenant,No,0.93561,67,67,0.87639,0.99482
2016,North Rhine-Westphalia,Owner,Yes,0.08947,157,1216,0.07342,0.10552
2016,North Rhine-Westphalia,Owner,No,0.91053,1059,1216,0.89448,0.92658
2016,North Rhine-Westphalia,Tenant,Yes,0.01697,38,1690,0.01081,0.02313
2016,North Rhine-Westphalia,Tenant,No,0.98000,1652,1690,0.97333,0.98668
