year,migback,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Direct migration background,Yes,0.09768,260,3124,0.08726,0.10809
2012,Direct migration background,No,0.86501,2864,3124,0.85302,0.87699
2012,Indirect migration background,Yes,0.02966,61,1214,0.02012,0.03921
2012,Indirect migration background,No,0.42839,1153,1214,0.40054,0.45623
2013,No migration background,Yes,0.12813,2744,21980,0.12371,0.13255
2013,No migration background,No,0.72428,19236,21980,0.71837,0.73019
2013,Direct migration background,Yes,0.10275,440,6487,0.09536,0.11014
2013,Direct migration background,No,0.85938,6047,6487,0.85092,0.86784
2013,Indirect migration background,Yes,0.02610,78,2056,0.01921,0.03300
2013,Indirect migration background,No,0.44998,1978,2056,0.42847,0.47149
2014,No migration background,Yes,0.13580,2710,20093,0.13106,0.14054
2014,No migration background,No,0.72235,17383,20093,0.71616,0.72854
2014,Direct migration background,Yes,0.10636,399,5216,0.09799,0.11473
2014,Direct migration background,No,0.85734,4817,5216,0.84784,0.86683
2014,Indirect migration background,Yes,0.03066,70,1714,0.02249,0.03882
2014,Indirect migration background,No,0.45590,1644,1714,0.43232,0.47949
2015,No migration background,Yes,0.13451,2519,19063,0.12966,0.13935
2015,No migration background,No,0.72117,16544,19063,0.71481,0.72754
2015,Direct migration background,Yes,0.09009,346,5977,0.08283,0.09735
2015,Direct migration background,No,0.86438,5631,5977,0.85570,0.87306
2015,Indirect migration background,Yes,0.02766,66,1617,0.01967,0.03566
2015,Indirect migration background,No,0.46400,1551,1617,0.43968,0.48831
2016,No migration background,Yes,0.13276,2363,17740,0.12776,0.13775
2016,No migration background,No,0.72073,15377,17740,0.71413,0.72733
2016,Direct migration background,Yes,0.08820,328,4972,0.08031,0.09608
2016,Direct migration background,No,0.83282,4644,4972,0.82245,0.84319
2016,Indirect migration background,Yes,0.02548,63,1492,0.01748,0.03348
2016,Indirect migration background,No,0.48466,1429,1492,0.45930,0.51003
2017,No migration background,Yes,0.12970,2610,20104,0.12506,0.13435
2017,No migration background,No,0.72685,17494,20104,0.72069,0.73301
2017,Direct migration background,Yes,0.09252,351,4748,0.08427,0.10076
2017,Direct migration background,No,0.81052,4397,4748,0.79937,0.82167
2017,Indirect migration background,Yes,0.02618,84,1635,0.01844,0.03392
2017,Indirect migration background,No,0.48097,1551,1635,0.45674,0.50519
2018,No migration background,Yes,0.13042,2641,19411,0.12568,0.13516
2018,No migration background,No,0.72928,16770,19411,0.72303,0.73553
2018,Direct migration background,Yes,0.09039,361,4545,0.08205,0.09872
2018,Direct migration background,No,0.80905,4184,4545,0.79762,0.82048
2018,Indirect migration background,Yes,0.03748,102,1628,0.02825,0.04671
2018,Indirect migration background,No,0.48051,1526,1628,0.45623,0.50478
2019,No migration background,Yes,0.12982,2622,20127,0.12517,0.13446
2019,No migration background,No,0.72598,17505,20127,0.71982,0.73214
2019,Direct migration background,Yes,0.09350,297,3951,0.08442,0.10258
2019,Direct migration background,No,0.80243,3654,3951,0.79001,0.81484
2019,Indirect migration background,Yes,0.02993,87,1569,0.02150,0.03837
2019,Indirect migration background,No,0.47989,1482,1569,0.45516,0.50462
2020,No migration background,Yes,0.12859,2456,18508,0.12376,0.13341
2020,No migration background,No,0.72419,16052,18508,0.71775,0.73063
2020,Direct migration background,Yes,0.09251,379,8276,0.08627,0.09875
2020,Direct migration background,No,0.83302,7897,8276,0.82498,0.84106
2020,Indirect migration background,Yes,0.03297,93,1534,0.02403,0.04190
2020,Indirect migration background,No,0.46777,1441,1534,0.44279,0.49275
2021,No migration background,Yes,0.13095,1776,13192,0.12519,0.13670
2021,No migration background,No,0.72351,11416,13192,0.71588,0.73114
2021,Direct migration background,Yes,0.10505,330,5133,0.09666,0.11344
2021,Direct migration background,No,0.81656,4803,5133,0.80597,0.82715
2021,Indirect migration background,Yes,0.03792,60,939,0.02570,0.05015
2021,Indirect migration background,No,0.43818,879,939,0.40643,0.46993
