year,regtyp,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,No,0.71763,15532,17393,0.71094,0.72432
2015,Rural regions,Yes,0.12093,1070,9264,0.11429,0.12757
2015,Rural regions,No,0.71937,8194,9264,0.71022,0.72852
2016,Urban regions,Yes,0.11582,1743,15701,0.11081,0.12083
2016,Urban regions,No,0.71459,13958,15701,0.70753,0.72166
2016,Rural regions,Yes,0.12027,1011,8503,0.11336,0.12718
2016,Rural regions,No,0.71648,7492,8503,0.70690,0.72606
2017,Urban regions,Yes,0.11430,1925,17112,0.10953,0.11906
2017,Urban regions,No,0.71534,15187,17112,0.70858,0.72211
2017,Rural regions,Yes,0.11696,1120,9375,0.11045,0.12346
2017,Rural regions,No,0.71725,8255,9375,0.70813,0.72637
2018,Urban regions,Yes,0.11348,1971,16632,0.10866,0.11830
2018,Urban regions,No,0.71911,14661,16632,0.71228,0.72594
2018,Rural regions,Yes,0.12176,1133,8952,0.11498,0.12853
2018,Rural regions,No,0.71337,7819,8952,0.70400,0.72274
2019,Urban regions,Yes,0.11103,1831,16311,0.10621,0.11585
2019,Urban regions,No,0.71531,14480,16311,0.70839,0.72224
2019,Rural regions,Yes,0.12403,1082,8783,0.11713,0.13092
2019,Rural regions,No,0.70707,7701,8783,0.69755,0.71659
2020,Urban regions,Yes,0.11025,1837,18978,0.10579,0.11470
2020,Urban regions,No,0.72109,17141,18978,0.71471,0.72747
2020,Rural regions,Yes,0.12565,1091,9340,0.11893,0.13238
2020,Rural regions,No,0.70191,8249,9340,0.69263,0.71118
2021,Urban regions,Yes,0.11440,1387,13053,0.10894,0.11986
2021,Urban regions,No,0.71067,11666,13053,0.70289,0.71844
2021,Rural regions,Yes,0.12775,779,6210,0.11945,0.13605
2021,Rural regions,No,0.70644,5431,6210,0.69511,0.71776
