year,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,female,No,0.73263,10024,11170,0.72442,0.74083
2005,male,Yes,0.12340,1340,9846,0.11691,0.12990
2005,male,No,0.70307,8506,9846,0.69405,0.71210
2005,female,Yes,0.10028,1110,10724,0.09459,0.10596
2005,female,No,0.74000,9614,10724,0.73170,0.74830
2006,male,Yes,0.12456,1462,10444,0.11823,0.13089
2006,male,No,0.69863,8982,10444,0.68983,0.70743
2006,female,Yes,0.10537,1247,11456,0.09975,0.11099
2006,female,No,0.73223,10209,11456,0.72412,0.74034
2007,male,Yes,0.12488,1370,9727,0.11831,0.13145
2007,male,No,0.69667,8357,9727,0.68754,0.70581
2007,female,Yes,0.10429,1182,10686,0.09849,0.11008
2007,female,No,0.73320,9504,10686,0.72481,0.74159
2008,male,Yes,0.12262,1295,9171,0.11590,0.12933
2008,male,No,0.70494,7876,9171,0.69561,0.71428
2008,female,Yes,0.10505,1112,10057,0.09905,0.11104
2008,female,No,0.73521,8945,10057,0.72658,0.74383
2009,male,Yes,0.12402,1250,8558,0.11704,0.13101
2009,male,No,0.70671,7308,8558,0.69706,0.71636
2009,female,Yes,0.10631,1062,9375,0.10007,0.11255
2009,female,No,0.73952,8313,9375,0.73064,0.74841
2010,male,Yes,0.12337,1303,10874,0.11719,0.12955
2010,male,No,0.71009,9571,10874,0.70157,0.71862
2010,female,Yes,0.10809,1138,13027,0.10276,0.11342
2010,female,No,0.73926,11889,13027,0.73172,0.74680
2011,male,Yes,0.11741,1593,12782,0.11183,0.12299
2011,male,No,0.70464,11189,12782,0.69673,0.71255
2011,female,Yes,0.10946,1489,15453,0.10453,0.11438
2011,female,No,0.72983,13964,15453,0.72282,0.73683
2012,male,Yes,0.12764,1693,12510,0.12180,0.13349
2012,male,No,0.70099,10817,12510,0.69297,0.70902
2012,female,Yes,0.11112,1558,15022,0.10609,0.11614
2012,female,No,0.72995,13464,15022,0.72285,0.73705
2013,male,Yes,0.12158,1700,13938,0.11616,0.12701
2013,male,No,0.70613,12238,13938,0.69856,0.71369
2013,female,Yes,0.11206,1562,16585,0.10725,0.11686
2013,female,No,0.73093,15023,16585,0.72418,0.73768
2014,male,Yes,0.12743,1634,12408,0.12156,0.13330
2014,male,No,0.70696,10774,12408,0.69895,0.71497
2014,female,Yes,0.11931,1545,14615,0.11405,0.12456
2014,female,No,0.72628,13070,14615,0.71905,0.73351
2015,male,Yes,0.12493,1474,12256,0.11907,0.13078
2015,male,No,0.70806,10782,12256,0.70001,0.71611
2015,female,Yes,0.11462,1457,14401,0.10942,0.11982
2015,female,No,0.72805,12944,14401,0.72078,0.73531
2016,male,Yes,0.12404,1394,11091,0.11791,0.13018
2016,male,No,0.70082,9697,11091,0.69229,0.70934
2016,female,Yes,0.11063,1360,13113,0.10526,0.11600
2016,female,No,0.72955,11753,13113,0.72194,0.73715
2017,male,Yes,0.11961,1528,12237,0.11386,0.12536
2017,male,No,0.70325,10709,12237,0.69515,0.71134
2017,female,Yes,0.11073,1517,14250,0.10558,0.11589
2017,female,No,0.72847,12733,14250,0.72117,0.73577
2018,male,Yes,0.12351,1551,11777,0.11757,0.12945
2018,male,No,0.70179,10226,11777,0.69352,0.71005
2018,female,Yes,0.10878,1553,13807,0.10358,0.11397
2018,female,No,0.73271,12254,13807,0.72533,0.74010
2019,male,Yes,0.12015,1532,12235,0.11439,0.12592
2019,male,No,0.69903,10703,12235,0.69091,0.70716
2019,female,Yes,0.11015,1472,13405,0.10485,0.11545
2019,female,No,0.72716,11933,13405,0.71962,0.73470
2020,male,Yes,0.11965,1474,13923,0.11426,0.12504
2020,male,No,0.70417,12449,13923,0.69659,0.71175
2020,female,Yes,0.11082,1452,14387,0.10569,0.11595
2020,female,No,0.72604,12935,14387,0.71875,0.73333
2021,male,Yes,0.12164,1082,9340,0.11501,0.12827
2021,male,No,0.70040,8258,9340,0.69111,0.70969
2021,female,Yes,0.11549,1081,9917,0.10920,0.12179
2021,female,No,0.71835,8836,9917,0.70950,0.72721
