year,age_gr,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,17-29 y.,Yes,0.01536,67,4089,0.01159,0.01913
2001,17-29 y.,No,0.98234,4022,4089,0.97830,0.98638
2001,30-45 y.,Yes,0.04452,303,7310,0.03980,0.04925
2001,30-45 y.,No,0.95219,7007,7310,0.94730,0.95708
2001,46-65 y.,Yes,0.17827,1213,7059,0.16934,0.18720
2001,46-65 y.,No,0.81517,5846,7059,0.80611,0.82422
2001,66 and older,Yes,0.24559,797,3370,0.23105,0.26012
2001,66 and older,No,0.74436,2573,3370,0.72963,0.75909
2002,17-29 y.,Yes,0.02101,77,4121,0.01663,0.02539
2002,17-29 y.,No,0.97313,4044,4121,0.96819,0.97807
2002,30-45 y.,Yes,0.04417,292,7410,0.03950,0.04885
2002,30-45 y.,No,0.95122,7118,7410,0.94631,0.95612
2002,46-65 y.,Yes,0.18955,1299,7806,0.18085,0.19824
2002,46-65 y.,No,0.80220,6507,7806,0.79336,0.81103
2002,66 and older,Yes,0.25883,878,3558,0.24444,0.27323
2002,66 and older,No,0.72892,2680,3558,0.71432,0.74353
2003,17-29 y.,Yes,0.02021,72,3993,0.01584,0.02457
2003,17-29 y.,No,0.97432,3921,3993,0.96942,0.97923
2003,30-45 y.,Yes,0.04467,279,6918,0.03980,0.04954
2003,30-45 y.,No,0.95049,6639,6918,0.94538,0.95560
2003,46-65 y.,Yes,0.18051,1233,7530,0.17183,0.18920
2003,46-65 y.,No,0.81184,6297,7530,0.80301,0.82067
2003,66 and older,Yes,0.25987,896,3610,0.24556,0.27417
2003,66 and older,No,0.72637,2714,3610,0.71183,0.74092
2004,17-29 y.,Yes,0.02111,78,3953,0.01663,0.02559
2004,17-29 y.,No,0.97550,3875,3953,0.97068,0.98032
2004,30-45 y.,Yes,0.05014,293,6513,0.04484,0.05544
2004,30-45 y.,No,0.94512,6220,6513,0.93959,0.95065
2004,46-65 y.,Yes,0.18412,1198,7329,0.17524,0.19299
2004,46-65 y.,No,0.80740,6131,7329,0.79837,0.81643
2004,66 and older,Yes,0.26176,931,3727,0.24764,0.27587
2004,66 and older,No,0.72589,2796,3727,0.71157,0.74021
2005,17-29 y.,Yes,0.01904,61,3806,0.01469,0.02338
2005,17-29 y.,No,0.97290,3745,3806,0.96774,0.97806
2005,30-45 y.,Yes,0.05255,284,6059,0.04693,0.05816
2005,30-45 y.,No,0.93926,5775,6059,0.93325,0.94528
2005,46-65 y.,Yes,0.18161,1162,6979,0.17256,0.19065
2005,46-65 y.,No,0.80909,5817,6979,0.79987,0.81831
2005,66 and older,Yes,0.26430,943,3726,0.25014,0.27846
2005,66 and older,No,0.72150,2783,3726,0.70710,0.73589
2006,17-29 y.,Yes,0.02216,64,3671,0.01740,0.02693
2006,17-29 y.,No,0.91594,3607,3671,0.90696,0.92492
2006,30-45 y.,Yes,0.05293,281,6269,0.04738,0.05847
2006,30-45 y.,No,0.94391,5988,6269,0.93821,0.94961
2006,46-65 y.,Yes,0.17988,1236,7559,0.17122,0.18854
2006,46-65 y.,No,0.81539,6323,7559,0.80664,0.82414
2006,66 and older,Yes,0.27304,1128,4401,0.25987,0.28620
2006,66 and older,No,0.71844,3273,4401,0.70515,0.73173
2007,17-29 y.,Yes,0.01620,53,3384,0.01194,0.02045
2007,17-29 y.,No,0.89930,3331,3384,0.88916,0.90944
2007,30-45 y.,Yes,0.05329,261,5686,0.04745,0.05913
2007,30-45 y.,No,0.94123,5425,5686,0.93512,0.94735
2007,46-65 y.,Yes,0.18209,1156,7037,0.17307,0.19110
2007,46-65 y.,No,0.81248,5881,7037,0.80336,0.82160
2007,66 and older,Yes,0.26396,1082,4306,0.25079,0.27712
2007,66 and older,No,0.72337,3224,4306,0.71001,0.73673
2008,17-29 y.,Yes,0.02098,56,3140,0.01596,0.02599
2008,17-29 y.,No,0.90127,3084,3140,0.89084,0.91171
2008,30-45 y.,Yes,0.05427,228,5163,0.04809,0.06045
2008,30-45 y.,No,0.94363,4935,5163,0.93734,0.94992
2008,46-65 y.,Yes,0.17583,1086,6676,0.16670,0.18496
2008,46-65 y.,No,0.82003,5590,6676,0.81081,0.82924
2008,66 and older,Yes,0.25637,1037,4249,0.24324,0.26950
2008,66 and older,No,0.72491,3212,4249,0.71148,0.73834
2009,17-29 y.,Yes,0.01591,51,2843,0.01131,0.02052
2009,17-29 y.,No,0.91406,2792,2843,0.90375,0.92436
2009,30-45 y.,Yes,0.05986,227,4662,0.05305,0.06667
2009,30-45 y.,No,0.93678,4435,4662,0.92979,0.94377
2009,46-65 y.,Yes,0.17823,1040,6304,0.16878,0.18768
2009,46-65 y.,No,0.81730,5264,6304,0.80776,0.82684
2009,66 and older,Yes,0.25189,994,4124,0.23864,0.26514
2009,66 and older,No,0.73542,3130,4124,0.72195,0.74888
2010,17-29 y.,Yes,0.02610,75,3914,0.02110,0.03109
2010,17-29 y.,No,0.91421,3839,3914,0.90543,0.92298
2010,30-45 y.,Yes,0.05145,324,9062,0.04690,0.05600
2010,30-45 y.,No,0.94721,8738,9062,0.94261,0.95182
2010,46-65 y.,Yes,0.17805,1086,6935,0.16904,0.18705
2010,46-65 y.,No,0.81943,5849,6935,0.81038,0.82848
2010,66 and older,Yes,0.24982,956,3990,0.23639,0.26325
2010,66 and older,No,0.73571,3034,3990,0.72202,0.74939
2011,17-29 y.,Yes,0.02242,76,4162,0.01793,0.02692
2011,17-29 y.,No,0.90087,4086,4162,0.89179,0.90995
2011,30-45 y.,Yes,0.05488,398,9911,0.05040,0.05937
2011,30-45 y.,No,0.94158,9513,9911,0.93696,0.94620
2011,46-65 y.,Yes,0.17360,1434,9088,0.16581,0.18139
2011,46-65 y.,No,0.81912,7654,9088,0.81121,0.82704
2011,66 and older,Yes,0.24127,1174,5074,0.22949,0.25304
2011,66 and older,No,0.73809,3900,5074,0.72599,0.75019
2012,17-29 y.,Yes,0.02626,83,3968,0.02128,0.03124
2012,17-29 y.,No,0.90126,3885,3968,0.89198,0.91055
2012,30-45 y.,Yes,0.05977,389,9055,0.05489,0.06466
2012,30-45 y.,No,0.93552,8666,9055,0.93046,0.94058
2012,46-65 y.,Yes,0.18351,1556,9342,0.17566,0.19136
2012,46-65 y.,No,0.81085,7786,9342,0.80291,0.81879
2012,66 and older,Yes,0.24224,1223,5167,0.23055,0.25392
2012,66 and older,No,0.74728,3944,5167,0.73543,0.75913
2013,17-29 y.,Yes,0.02077,84,5017,0.01683,0.02472
2013,17-29 y.,No,0.90776,4933,5017,0.89975,0.91577
2013,30-45 y.,Yes,0.05244,417,10346,0.04815,0.05674
2013,30-45 y.,No,0.94348,9929,10346,0.93903,0.94793
2013,46-65 y.,Yes,0.18716,1630,10158,0.17958,0.19475
2013,46-65 y.,No,0.80589,8528,10158,0.79820,0.81359
2013,66 and older,Yes,0.23189,1131,5002,0.22020,0.24359
2013,66 and older,No,0.75393,3871,5002,0.74199,0.76587
2014,17-29 y.,Yes,0.02751,84,4284,0.02261,0.03241
2014,17-29 y.,No,0.90050,4200,4284,0.89154,0.90947
2014,30-45 y.,Yes,0.05017,353,8507,0.04553,0.05481
2014,30-45 y.,No,0.94838,8154,8507,0.94368,0.95308
2014,46-65 y.,Yes,0.19661,1548,9295,0.18853,0.20469
2014,46-65 y.,No,0.80042,7747,9295,0.79229,0.80854
2014,66 and older,Yes,0.24479,1194,4937,0.23279,0.25678
2014,66 and older,No,0.74990,3743,4937,0.73782,0.76198
2015,17-29 y.,Yes,0.02322,82,4451,0.01880,0.02765
2015,17-29 y.,No,0.90667,4369,4451,0.89812,0.91521
2015,30-45 y.,Yes,0.04575,282,8270,0.04124,0.05025
2015,30-45 y.,No,0.95255,7988,8270,0.94797,0.95713
2015,46-65 y.,Yes,0.19093,1432,9098,0.18286,0.19901
2015,46-65 y.,No,0.80381,7666,9098,0.79565,0.81197
2015,66 and older,Yes,0.23877,1135,4838,0.22676,0.25079
2015,66 and older,No,0.74177,3703,4838,0.72944,0.75411
2016,17-29 y.,Yes,0.02230,72,3848,0.01763,0.02696
2016,17-29 y.,No,0.88688,3776,3848,0.87687,0.89689
2016,30-45 y.,Yes,0.04881,262,7090,0.04380,0.05383
2016,30-45 y.,No,0.94106,6828,7090,0.93558,0.94654
2016,46-65 y.,Yes,0.17976,1300,8584,0.17163,0.18788
2016,46-65 y.,No,0.81381,7284,8584,0.80558,0.82205
2016,66 and older,Yes,0.24646,1120,4682,0.23411,0.25880
2016,66 and older,No,0.74303,3562,4682,0.73051,0.75555
2017,17-29 y.,Yes,0.02656,93,4344,0.02178,0.03134
2017,17-29 y.,No,0.88078,4251,4344,0.87115,0.89042
2017,30-45 y.,Yes,0.05246,289,7252,0.04732,0.05759
2017,30-45 y.,No,0.93654,6963,7252,0.93092,0.94215
2017,46-65 y.,Yes,0.18044,1540,9960,0.17289,0.18799
2017,46-65 y.,No,0.81500,8420,9960,0.80737,0.82262
2017,66 and older,Yes,0.22839,1123,4931,0.21667,0.24011
2017,66 and older,No,0.76410,3808,4931,0.75225,0.77595
2018,17-29 y.,Yes,0.02610,97,4265,0.02132,0.03089
2018,17-29 y.,No,0.88521,4168,4265,0.87564,0.89477
2018,30-45 y.,Yes,0.05064,311,6730,0.04540,0.05587
2018,30-45 y.,No,0.93502,6419,6730,0.92913,0.94091
2018,46-65 y.,Yes,0.17412,1490,9620,0.16654,0.18170
2018,46-65 y.,No,0.81896,8130,9620,0.81127,0.82666
2018,66 and older,Yes,0.23946,1206,4969,0.22759,0.25133
2018,66 and older,No,0.75418,3763,4969,0.74220,0.76615
2019,17-29 y.,Yes,0.02848,101,3826,0.02321,0.03375
2019,17-29 y.,No,0.87126,3725,3826,0.86065,0.88188
2019,30-45 y.,Yes,0.05913,296,6277,0.05329,0.06496
2019,30-45 y.,No,0.92498,5981,6277,0.91846,0.93150
2019,46-65 y.,Yes,0.16790,1441,10395,0.16071,0.17508
2019,46-65 y.,No,0.82671,8954,10395,0.81943,0.83398
2019,66 and older,Yes,0.23760,1168,5149,0.22597,0.24922
2019,66 and older,No,0.75585,3981,5149,0.74412,0.76759
2020,17-29 y.,Yes,0.02542,106,5058,0.02108,0.02975
2020,17-29 y.,No,0.89256,4952,5058,0.88402,0.90109
2020,30-45 y.,Yes,0.06209,315,8020,0.05680,0.06737
2020,30-45 y.,No,0.93109,7705,8020,0.92555,0.93664
2020,46-65 y.,Yes,0.16302,1363,10368,0.15591,0.17013
2020,46-65 y.,No,0.83440,9005,10368,0.82724,0.84155
2020,66 and older,Yes,0.24464,1144,4872,0.23256,0.25671
2020,66 and older,No,0.74510,3728,4872,0.73286,0.75734
2021,17-29 y.,Yes,0.03106,72,3193,0.02505,0.03708
2021,17-29 y.,No,0.89890,3121,3193,0.88845,0.90936
2021,30-45 y.,Yes,0.06708,233,5242,0.06031,0.07386
2021,30-45 y.,No,0.92749,5009,5242,0.92046,0.93451
2021,46-65 y.,Yes,0.16949,1018,7259,0.16086,0.17812
2021,46-65 y.,No,0.82709,6241,7259,0.81839,0.83579
2021,66 and older,Yes,0.24763,843,3570,0.23347,0.26180
2021,66 and older,No,0.74380,2727,3570,0.72947,0.75812
