,Unnamed: 0,year,bula_h,rentown,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
46,46,2001,North Rhine-Westphalia,Tenant,Yes,0.05575,86,11426,0.04848,0.06293
47,47,2001,North Rhine-Westphalia,Tenant,No,0.94425,1352,11426,0.91309,0.9721
48,48,2001,Hesse,Owner,Yes,0.07345,35,11426,0.06386,0.08185
49,49,2001,Hesse,Owner,No,0.92655,324,11426,0.86305,0.98195
50,50,2001,Hesse,Tenant,No,1.0,392,11426,0.93701,1.055
51,51,2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.09769,42,11426,0.08341,0.11218
52,52,2001,"Rhineland-Palatinate, Saarland",Owner,No,0.90231,369,11426,0.85803,0.94279
53,53,2001,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,284,11426,0.91869,1.07458
54,54,2001,Baden-Wuerttemberg,Owner,Yes,0.08214,63,11426,0.0708,0.09291
55,55,2001,Baden-Wuerttemberg,Owner,No,0.91786,571,11426,0.8725,0.95949
56,56,2001,Baden-Wuerttemberg,Tenant,Yes,0.04654,45,11426,0.03778,0.05612
57,57,2001,Baden-Wuerttemberg,Tenant,No,0.95346,683,11426,0.90175,1.00186
58,58,2001,Bavaria,Owner,Yes,0.09087,89,11426,0.08138,0.10232
59,59,2001,Bavaria,Owner,No,0.90913,775,11426,0.87406,0.9448
60,60,2001,Bavaria,Tenant,Yes,0.05728,53,11426,0.04801,0.06928
61,61,2001,Bavaria,Tenant,No,0.94272,699,11426,0.89931,0.97936
62,62,2001,Berlin,Owner,No,1.0,52,11426,0.90106,1.13594
63,63,2001,Berlin,Tenant,No,1.0,394,11426,0.94907,1.06459
64,64,2001,Brandenburg,Owner,Yes,0.2119,41,11426,0.1876,0.24331
65,65,2001,Brandenburg,Owner,No,0.7881,159,11426,0.72107,0.86913
66,66,2001,Brandenburg,Tenant,No,1.0,274,11426,0.94123,1.06471
67,67,2001,Mecklenburg-Western Pomerania,Owner,No,1.0,79,11426,0.88657,1.14636
68,68,2001,Mecklenburg-Western Pomerania,Tenant,No,1.0,165,11426,0.91761,1.07704
69,69,2001,Saxony,Owner,Yes,0.17996,54,11426,0.15598,0.20835
70,70,2001,Saxony,Owner,No,0.82004,255,11426,0.76347,0.88682
71,71,2001,Saxony,Tenant,Yes,0.06711,42,11426,0.05632,0.07812
72,72,2001,Saxony,Tenant,No,0.93289,498,11426,0.89111,0.97696
73,73,2001,Saxony-Anhalt,Owner,Yes,0.19835,48,11426,0.17453,0.22422
74,74,2001,Saxony-Anhalt,Owner,No,0.80165,185,11426,0.74253,0.86395
75,75,2001,Saxony-Anhalt,Tenant,No,1.0,245,11426,0.92802,1.07181
76,76,2001,Thuringa,Owner,Yes,0.17165,43,11426,0.1541,0.18918
77,77,2001,Thuringa,Owner,No,0.82835,199,11426,0.76881,0.91034
78,78,2001,Thuringa,Tenant,No,1.0,224,11426,0.93272,1.07763
79,79,2006,Schleswig-Holstein,Owner,No,1.0,199,12080,0.90406,1.09865
80,80,2006,Schleswig-Holstein,Tenant,No,1.0,161,12080,0.89944,1.09721
81,81,2006,Hamburg,Owner,No,1.0,47,12080,0.74438,1.34055
82,82,2006,Hamburg,Tenant,No,1.0,140,12080,0.90525,1.09692
83,83,2006,Lower Saxony,Owner,Yes,0.1422,84,12080,0.11784,0.169
84,84,2006,Lower Saxony,Owner,No,0.8578,555,12080,0.80861,0.91643
85,85,2006,Lower Saxony,Tenant,Yes,0.08898,47,12080,0.07279,0.10893
86,86,2006,Lower Saxony,Tenant,No,0.91102,388,12080,0.84906,0.97126
87,87,2006,Bremen,Owner,No,1.0,34,12080,0.74744,1.29902
88,88,2006,Bremen,Tenant,No,1.0,50,12080,0.81291,1.16626
89,89,2006,North Rhine-Westphalia,Owner,Yes,0.07804,99,12080,0.06441,0.09427
90,90,2006,North Rhine-Westphalia,Owner,No,0.92196,1105,12080,0.87751,0.96582
91,91,2006,North Rhine-Westphalia,Tenant,Yes,0.05985,96,12080,0.05022,0.06822
92,92,2006,North Rhine-Westphalia,Tenant,No,0.94015,1238,12080,0.90885,0.97092
93,93,2006,Hesse,Owner,Yes,0.08098,40,12080,0.06111,0.10061
94,94,2006,Hesse,Owner,No,0.91902,386,12080,0.86087,0.99216
95,95,2006,Hesse,Tenant,Yes,0.06451,35,12080,0.04949,0.08028
96,96,2006,Hesse,Tenant,No,0.93549,384,12080,0.87427,0.99593
97,97,2006,"Rhineland-Palatinate, Saarland",Owner,Yes,0.09629,45,12080,0.07124,0.11754
98,98,2006,"Rhineland-Palatinate, Saarland",Owner,No,0.90371,363,12080,0.84096,0.96253
99,99,2006,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.08955,35,12080,0.06428,0.11333
100,100,2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.91045,284,12080,0.85085,0.98163
101,101,2006,Baden-Wuerttemberg,Owner,Yes,0.0711,62,12080,0.05503,0.09009
102,102,2006,Baden-Wuerttemberg,Owner,No,0.9289,724,12080,0.86684,0.98694
103,103,2006,Baden-Wuerttemberg,Tenant,Yes,0.0643,55,12080,0.04882,0.08279
104,104,2006,Baden-Wuerttemberg,Tenant,No,0.9357,632,12080,0.87997,0.99631
105,105,2006,Bavaria,Owner,Yes,0.09601,106,12080,0.08283,0.11082
106,106,2006,Bavaria,Owner,No,0.90399,865,12080,0.86303,0.94919
107,107,2006,Bavaria,Tenant,Yes,0.05989,55,12080,0.04932,0.07233
108,108,2006,Bavaria,Tenant,No,0.94011,704,12080,0.8912,0.98252
109,109,2006,Berlin,Owner,No,1.0,79,12080,0.86955,1.16668
110,110,2006,Berlin,Tenant,No,1.0,368,12080,0.94252,1.06878
111,111,2006,Brandenburg,Owner,Yes,0.18503,38,12080,0.1296,0.24799
112,112,2006,Brandenburg,Owner,No,0.81497,179,12080,0.71733,0.90728
113,113,2006,Brandenburg,Tenant,No,1.0,285,12080,0.9119,1.08305
114,114,2006,Mecklenburg-Western Pomerania,Owner,No,1.0,120,12080,0.86303,1.12344
115,115,2006,Mecklenburg-Western Pomerania,Tenant,No,1.0,153,12080,0.90038,1.0926
116,116,2006,Saxony,Owner,Yes,0.13781,52,12080,0.11431,0.16542
117,117,2006,Saxony,Owner,No,0.86219,291,12080,0.78709,0.93943
118,118,2006,Saxony,Tenant,Yes,0.05341,36,12080,0.04215,0.06581
119,119,2006,Saxony,Tenant,No,0.94659,498,12080,0.89134,0.99507
120,120,2006,Saxony-Anhalt,Owner,Yes,0.23307,48,12080,0.19364,0.27899
121,121,2006,Saxony-Anhalt,Owner,No,0.76693,174,12080,0.67261,0.86505
122,122,2006,Saxony-Anhalt,Tenant,No,1.0,251,12080,0.91282,1.10396
123,123,2006,Thuringa,Owner,Yes,0.18826,51,12080,0.14018,0.24249
124,124,2006,Thuringa,Owner,No,0.81174,213,12080,0.7027,0.91806
125,125,2006,Thuringa,Tenant,No,1.0,226,12080,0.90882,1.1075
126,126,2011,Schleswig-Holstein,Owner,No,1.0,176,11790,0.85841,1.12792
127,127,2011,Schleswig-Holstein,Tenant,No,1.0,193,11790,0.87445,1.13887
128,128,2011,Hamburg,Owner,No,1.0,46,11790,0.7906,1.22837
129,129,2011,Hamburg,Tenant,No,1.0,139,11790,0.89311,1.12953
130,130,2011,Lower Saxony,Owner,Yes,0.07796,53,11790,0.05748,0.09525
131,131,2011,Lower Saxony,Owner,No,0.92204,605,11790,0.86675,0.97761
132,132,2011,Lower Saxony,Tenant,Yes,0.07862,38,11790,0.05604,0.10471
133,133,2011,Lower Saxony,Tenant,No,0.92138,391,11790,0.84285,0.99109
134,134,2011,Bremen,Tenant,No,1.0,49,11790,0.8149,1.22029
135,135,2011,North Rhine-Westphalia,Owner,Yes,0.06119,87,11790,0.05052,0.07451
136,136,2011,North Rhine-Westphalia,Owner,No,0.93881,1049,11790,0.89962,0.99066
137,137,2011,North Rhine-Westphalia,Tenant,Yes,0.04359,85,11790,0.03515,0.05201
138,138,2011,North Rhine-Westphalia,Tenant,No,0.95641,1132,11790,0.90695,1.00354
139,139,2011,Hesse,Owner,Yes,0.08453,38,11790,0.05677,0.11823
140,140,2011,Hesse,Owner,No,0.91547,396,11790,0.84505,0.98268
141,141,2011,Hesse,Tenant,No,1.0,367,11790,0.90225,1.10064
142,142,2011,"Rhineland-Palatinate, Saarland",Owner,No,1.0,382,11790,0.92299,1.0667
143,143,2011,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,275,11790,0.90358,1.0988
144,144,2011,Baden-Wuerttemberg,Owner,Yes,0.08,69,11790,0.06518,0.09958
145,145,2011,Baden-Wuerttemberg,Owner,No,0.92,731,11790,0.8662,0.97134
146,146,2011,Baden-Wuerttemberg,Tenant,Yes,0.04125,38,11790,0.02927,0.054
147,147,2011,Baden-Wuerttemberg,Tenant,No,0.95875,563,11790,0.88771,1.03765
148,148,2011,Bavaria,Owner,Yes,0.06753,98,11790,0.05462,0.08025
149,149,2011,Bavaria,Owner,No,0.93247,918,11790,0.88604,0.99385
150,150,2011,Bavaria,Tenant,Yes,0.03642,49,11790,0.02499,0.04966
151,151,2011,Bavaria,Tenant,No,0.96358,774,11790,0.8969,1.03101
152,152,2011,Berlin,Owner,No,1.0,90,11790,0.84371,1.16028
153,153,2011,Berlin,Tenant,No,1.0,390,11790,0.93738,1.08292
154,154,2011,Brandenburg,Owner,Yes,0.14023,35,11790,0.10835,0.18769
155,155,2011,Brandenburg,Owner,No,0.85977,199,11790,0.75819,0.97846
156,156,2011,Brandenburg,Tenant,No,1.0,267,11790,0.89227,1.11846
157,157,2011,Mecklenburg-Western Pomerania,Owner,No,1.0,109,11790,0.82822,1.17021
158,158,2011,Mecklenburg-Western Pomerania,Tenant,No,1.0,175,11790,0.8942,1.12849
159,159,2011,Saxony,Owner,Yes,0.17614,58,11790,0.13653,0.22816
160,160,2011,Saxony,Owner,No,0.82386,241,11790,0.74309,0.91518
161,161,2011,Saxony,Tenant,Yes,0.0868,36,11790,0.05762,0.12168
162,162,2011,Saxony,Tenant,No,0.9132,473,11790,0.84925,0.99205
163,163,2011,Saxony-Anhalt,Owner,Yes,0.21835,44,11790,0.16601,0.28576
164,164,2011,Saxony-Anhalt,Owner,No,0.78165,184,11790,0.68213,0.89571
165,165,2011,Saxony-Anhalt,Tenant,No,1.0,257,11790,0.88444,1.12289
166,166,2011,Thuringa,Owner,Yes,0.1312,40,11790,0.1083,0.16161
167,167,2011,Thuringa,Owner,No,0.8688,195,11790,0.74445,1.0057
168,168,2011,Thuringa,Tenant,No,1.0,256,11790,0.88794,1.11734
169,169,2016,Schleswig-Holstein,Owner,No,1.0,231,13991,0.87754,1.11154
170,170,2016,Schleswig-Holstein,Tenant,No,1.0,265,13991,0.86468,1.1594
171,171,2016,Hamburg,Owner,No,1.0,73,13991,0.79115,1.20649
172,172,2016,Hamburg,Tenant,No,1.0,188,13991,0.85898,1.13108
173,173,2016,Lower Saxony,Owner,No,1.0,664,13991,0.91274,1.07322
174,174,2016,Lower Saxony,Tenant,No,1.0,633,13991,0.90913,1.09488
175,175,2016,Bremen,Owner,No,1.0,33,13991,0.65212,1.42739
176,176,2016,Bremen,Tenant,No,1.0,68,13991,0.74166,1.25674
177,177,2016,North Rhine-Westphalia,Owner,Yes,0.0168,32,13991,0.01051,0.02635
178,178,2016,North Rhine-Westphalia,Owner,No,0.9832,1184,13991,0.931,1.04433
179,179,2016,North Rhine-Westphalia,Tenant,Yes,0.01375,32,13991,0.00796,0.02025
180,180,2016,North Rhine-Westphalia,Tenant,No,0.98625,1659,13991,0.94126,1.04126
181,181,2016,Hesse,Owner,No,1.0,419,13991,0.90371,1.10101
182,182,2016,Hesse,Tenant,No,1.0,537,13991,0.89364,1.09489
183,183,2016,"Rhineland-Palatinate, Saarland",Owner,No,1.0,436,13991,0.91132,1.10015
184,184,2016,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,397,13991,0.90536,1.08953
185,185,2016,Baden-Wuerttemberg,Owner,Yes,0.03383,36,13991,0.02142,0.05021
186,186,2016,Baden-Wuerttemberg,Owner,No,0.96617,818,13991,0.90598,1.03368
187,187,2016,Baden-Wuerttemberg,Tenant,No,1.0,750,13991,0.91329,1.08675
188,188,2016,Bavaria,Owner,No,1.0,1069,13991,0.9321,1.06782
189,189,2016,Bavaria,Tenant,Yes,0.01392,32,13991,0.01009,0.01794
190,190,2016,Bavaria,Tenant,No,0.98608,1168,13991,0.93048,1.0537
191,191,2016,Berlin,Owner,No,1.0,107,13991,0.85007,1.17426
192,192,2016,Berlin,Tenant,No,1.0,493,13991,0.9173,1.08046
193,193,2016,Brandenburg,Owner,No,1.0,239,13991,0.87366,1.14977
194,194,2016,Brandenburg,Tenant,No,1.0,297,13991,0.87218,1.17467
195,195,2016,Mecklenburg-Western Pomerania,Owner,No,1.0,99,13991,0.80137,1.25457
196,196,2016,Mecklenburg-Western Pomerania,Tenant,No,1.0,215,13991,0.86351,1.16281
197,197,2016,Saxony,Owner,No,1.0,281,13991,0.87286,1.11162
198,198,2016,Saxony,Tenant,No,1.0,537,13991,0.90101,1.09746
199,199,2016,Saxony-Anhalt,Owner,No,1.0,195,13991,0.84473,1.12264
200,200,2016,Saxony-Anhalt,Tenant,No,1.0,288,13991,0.85467,1.1141
201,201,2016,Thuringa,Owner,No,1.0,224,13991,0.84405,1.13224
202,202,2016,Thuringa,Tenant,No,1.0,292,13991,0.86852,1.12761
203,203,2021,Schleswig-Holstein,Owner,No,1.0,233,10738,0.84155,1.1546
204,204,2021,Schleswig-Holstein,Tenant,No,1.0,181,10738,0.79936,1.18713
205,205,2021,Hamburg,Owner,No,1.0,76,10738,0.64787,1.31824
206,206,2021,Hamburg,Tenant,No,1.0,188,10738,0.83807,1.19185
207,207,2021,Lower Saxony,Owner,Yes,0.04819,33,10738,0.02823,0.07497
208,208,2021,Lower Saxony,Owner,No,0.95181,529,10738,0.84744,1.05282
209,209,2021,Lower Saxony,Tenant,No,1.0,484,10738,0.90071,1.10924
210,210,2021,Bremen,Tenant,No,1.0,54,10738,0.7161,1.32404
211,211,2021,North Rhine-Westphalia,Owner,Yes,0.02218,34,10738,0.01446,0.0332
212,212,2021,North Rhine-Westphalia,Owner,No,0.97782,974,10738,0.91028,1.04551
213,213,2021,North Rhine-Westphalia,Tenant,No,1.0,1253,10738,0.92254,1.0742
214,214,2021,Hesse,Owner,No,1.0,306,10738,0.89279,1.11726
215,215,2021,Hesse,Tenant,No,1.0,356,10738,0.88246,1.13311
216,216,2021,"Rhineland-Palatinate, Saarland",Owner,No,1.0,284,10738,0.86836,1.14794
217,217,2021,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,234,10738,0.86913,1.17257
218,218,2021,Baden-Wuerttemberg,Owner,No,1.0,627,10738,0.90409,1.08781
219,219,2021,Baden-Wuerttemberg,Tenant,No,1.0,548,10738,0.9096,1.08995
220,220,2021,Bavaria,Owner,Yes,0.03418,42,10738,0.02426,0.04775
221,221,2021,Bavaria,Owner,No,0.96582,820,10738,0.87921,1.04281
222,222,2021,Bavaria,Tenant,No,1.0,867,10738,0.91785,1.0756
223,223,2021,Berlin,Owner,No,1.0,107,10738,0.71498,1.28942
224,224,2021,Berlin,Tenant,No,1.0,439,10738,0.88898,1.1187
225,225,2021,Brandenburg,Owner,No,1.0,216,10738,0.84131,1.17116
226,226,2021,Brandenburg,Tenant,No,1.0,210,10738,0.83593,1.18436
227,227,2021,Mecklenburg-Western Pomerania,Owner,No,1.0,95,10738,0.76759,1.29322
228,228,2021,Mecklenburg-Western Pomerania,Tenant,No,1.0,155,10738,0.83375,1.1612
229,229,2021,Saxony,Owner,No,1.0,245,10738,0.86751,1.14592
230,230,2021,Saxony,Tenant,No,1.0,448,10738,0.89249,1.10787
231,231,2021,Saxony-Anhalt,Owner,No,1.0,136,10738,0.77452,1.23148
232,232,2021,Saxony-Anhalt,Tenant,No,1.0,204,10738,0.83464,1.176
233,233,2021,Thuringa,Owner,No,1.0,156,10738,0.78634,1.3165
234,234,2021,Thuringa,Tenant,No,1.0,204,10738,0.85973,1.14807
