,Unnamed: 0,year,quintil_oecd_hh,sampreg,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
100,100,2021,3rd Quintile,West,Yes,0.02862,59,10916,0.02132,0.03727
101,101,2021,3rd Quintile,West,No,0.97138,1494,10916,0.91179,1.02379
102,102,2021,3rd Quintile,East,Yes,0.04708,35,10916,0.03016,0.06479
103,103,2021,3rd Quintile,East,No,0.95292,427,10916,0.8589,1.05763
104,104,2021,4th Quintile,West,Yes,0.03237,67,10916,0.02352,0.04331
105,105,2021,4th Quintile,West,No,0.96763,1637,10916,0.91572,1.02095
106,106,2021,4th Quintile,East,No,1.0,353,10916,0.87782,1.13906
107,107,2021,5th Quintile,West,Yes,0.02313,74,10916,0.01521,0.03215
108,108,2021,5th Quintile,West,No,0.97687,2184,10916,0.92859,1.04798
109,109,2021,5th Quintile,East,No,1.0,401,10916,0.86188,1.13917
