,Unnamed: 0,year,bula_h,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
119,119,2016,Berlin,No,1.0,600,14143,0.90636,1.07575
120,120,2016,Brandenburg,No,1.0,536,14143,0.90921,1.09841
121,121,2016,Mecklenburg-Western Pomerania,No,1.0,314,14143,0.89795,1.12328
122,122,2016,Saxony,Yes,0.0541,47,14143,0.03459,0.07183
123,123,2016,Saxony,No,0.9459,818,14143,0.8831,1.00972
124,124,2016,Saxony-Anhalt,No,1.0,483,14143,0.89987,1.09875
125,125,2016,Thuringa,No,1.0,516,14143,0.90435,1.10157
126,126,2021,Schleswig-Holstein,No,1.0,414,10929,0.87487,1.12539
127,127,2021,Hamburg,No,1.0,264,10929,0.87451,1.15967
128,128,2021,Lower Saxony,Yes,0.03298,49,10929,0.02062,0.04966
129,129,2021,Lower Saxony,No,0.96702,1013,10929,0.88404,1.04944
130,130,2021,Bremen,No,1.0,77,10929,0.74178,1.32286
131,131,2021,North Rhine-Westphalia,Yes,0.01959,54,10929,0.01399,0.02612
132,132,2021,North Rhine-Westphalia,No,0.98041,2229,10929,0.92249,1.03211
133,133,2021,Hesse,Yes,0.0294,31,10929,0.0177,0.04233
134,134,2021,Hesse,No,0.9706,663,10929,0.88663,1.05499
135,135,2021,"Rhineland-Palatinate, Saarland",No,1.0,518,10929,0.90325,1.09201
136,136,2021,Baden-Wuerttemberg,Yes,0.02296,39,10929,0.01387,0.03566
137,137,2021,Baden-Wuerttemberg,No,0.97704,1176,10929,0.92157,1.04842
138,138,2021,Bavaria,Yes,0.02402,60,10929,0.0179,0.03043
139,139,2021,Bavaria,No,0.97598,1687,10929,0.91534,1.04316
140,140,2021,Berlin,No,1.0,546,10929,0.8901,1.09978
141,141,2021,Brandenburg,No,1.0,426,10929,0.89623,1.10732
142,142,2021,Mecklenburg-Western Pomerania,No,1.0,250,10929,0.8499,1.13109
143,143,2021,Saxony,Yes,0.04422,39,10929,0.02812,0.06208
144,144,2021,Saxony,No,0.95578,694,10929,0.87138,1.05841
145,145,2021,Saxony-Anhalt,No,1.0,340,10929,0.86032,1.15056
146,146,2021,Thuringa,No,1.0,360,10929,0.87984,1.15037
