,Unnamed: 0,year,bula_h,sampreg,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
98,98,2011,Brandenburg,East,No,0.91827,466,12035,0.84777,0.98948
99,99,2011,Mecklenburg-Western Pomerania,East,Yes,0.08462,31,12035,0.05522,0.11438
100,100,2011,Mecklenburg-Western Pomerania,East,No,0.91538,284,12035,0.80667,1.02147
101,101,2011,Saxony,East,Yes,0.11485,94,12035,0.09099,0.14136
102,102,2011,Saxony,East,No,0.88515,714,12035,0.83805,0.93545
103,103,2011,Saxony-Anhalt,East,Yes,0.11552,68,12035,0.09496,0.14245
104,104,2011,Saxony-Anhalt,East,No,0.88448,441,12035,0.81465,0.97528
105,105,2011,Thuringa,East,Yes,0.11477,68,12035,0.09098,0.14025
106,106,2011,Thuringa,East,No,0.88523,451,12035,0.80717,0.9669
107,107,2016,Schleswig-Holstein,West,No,1.0,496,14143,0.92054,1.08636
108,108,2016,Hamburg,West,No,1.0,261,14143,0.89721,1.12274
109,109,2016,Lower Saxony,West,Yes,0.02675,51,14143,0.01895,0.03645
110,110,2016,Lower Saxony,West,No,0.97325,1297,14143,0.91866,1.02933
111,111,2016,Bremen,West,No,1.0,101,14143,0.78203,1.24774
112,112,2016,North Rhine-Westphalia,West,Yes,0.01509,64,14143,0.00915,0.02023
113,113,2016,North Rhine-Westphalia,West,No,0.98491,2843,14143,0.9478,1.02251
114,114,2016,Hesse,West,No,1.0,956,14143,0.9354,1.06483
115,115,2016,"Rhineland-Palatinate, Saarland",West,No,1.0,833,14143,0.93425,1.0708
116,116,2016,Baden-Wuerttemberg,West,Yes,0.02974,59,14143,0.0217,0.03907
117,117,2016,Baden-Wuerttemberg,West,No,0.97026,1568,14143,0.92668,1.01405
118,118,2016,Bavaria,West,Yes,0.01667,62,14143,0.01257,0.02024
119,119,2016,Bavaria,West,No,0.98333,2238,14143,0.93592,1.02184
120,120,2016,Berlin,West,No,1.0,343,14143,0.90623,1.10032
121,121,2016,Berlin,East,No,1.0,257,14143,0.88053,1.13464
122,122,2016,Brandenburg,East,No,1.0,536,14143,0.90373,1.09816
123,123,2016,Mecklenburg-Western Pomerania,East,No,1.0,314,14143,0.87452,1.12169
124,124,2016,Saxony,East,Yes,0.0541,47,14143,0.03578,0.07587
125,125,2016,Saxony,East,No,0.9459,818,14143,0.88313,1.01804
126,126,2016,Saxony-Anhalt,East,No,1.0,483,14143,0.91148,1.09527
127,127,2016,Thuringa,East,No,1.0,516,14143,0.91259,1.10656
128,128,2021,Schleswig-Holstein,West,No,1.0,414,10929,0.88741,1.13877
129,129,2021,Hamburg,West,No,1.0,264,10929,0.88302,1.16557
130,130,2021,Lower Saxony,West,Yes,0.03298,49,10929,0.02107,0.04995
131,131,2021,Lower Saxony,West,No,0.96702,1013,10929,0.89732,1.03019
132,132,2021,Bremen,West,No,1.0,77,10929,0.73244,1.28762
133,133,2021,North Rhine-Westphalia,West,Yes,0.01959,54,10929,0.01358,0.02772
134,134,2021,North Rhine-Westphalia,West,No,0.98041,2229,10929,0.93433,1.03103
135,135,2021,Hesse,West,Yes,0.0294,31,10929,0.01687,0.04462
136,136,2021,Hesse,West,No,0.9706,663,10929,0.89654,1.05864
137,137,2021,"Rhineland-Palatinate, Saarland",West,No,1.0,518,10929,0.90266,1.11125
138,138,2021,Baden-Wuerttemberg,West,Yes,0.02296,39,10929,0.01388,0.03464
139,139,2021,Baden-Wuerttemberg,West,No,0.97704,1176,10929,0.91526,1.05281
140,140,2021,Bavaria,West,Yes,0.02402,60,10929,0.01757,0.03056
141,141,2021,Bavaria,West,No,0.97598,1687,10929,0.91949,1.02482
142,142,2021,Berlin,West,No,1.0,351,10929,0.85513,1.12791
143,143,2021,Berlin,East,No,1.0,195,10929,0.84036,1.23201
144,144,2021,Brandenburg,East,No,1.0,426,10929,0.87331,1.09281
145,145,2021,Mecklenburg-Western Pomerania,East,No,1.0,250,10929,0.87056,1.14149
146,146,2021,Saxony,East,Yes,0.04422,39,10929,0.02725,0.06239
147,147,2021,Saxony,East,No,0.95578,694,10929,0.88971,1.03902
148,148,2021,Saxony-Anhalt,East,No,1.0,340,10929,0.873,1.14629
149,149,2021,Thuringa,East,No,1.0,360,10929,0.87187,1.11435
