year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,5th Quintile,No,1.00000,87,10839,0,0.90442,0,1.10787
2001,Hamburg,1st Quintile,No,1.00000,40,10839,0,0.83281,0,1.19418
2001,Hamburg,2nd Quintile,No,1.00000,32,10839,0,0.86206,0,1.16037
2001,Hamburg,4th Quintile,No,1.00000,31,10839,0,0.82884,0,1.16887
2001,Hamburg,5th Quintile,No,1.00000,48,10839,0,0.87372,0,1.14156
2001,Lower Saxony,1st Quintile,No,1.00000,159,10839,0,0.90798,0,1.08423
2001,Lower Saxony,2nd Quintile,No,1.00000,157,10839,0,0.91205,0,1.10966
2001,Lower Saxony,3rd Quintile,No,1.00000,198,10839,0,0.90917,0,1.07208
2001,Lower Saxony,4th Quintile,No,1.00000,194,10839,0,0.92390,0,1.07717
2001,Lower Saxony,5th Quintile,No,1.00000,190,10839,0,0.93139,0,1.07246
2001,North Rhine-Westphalia,1st Quintile,No,1.00000,437,10839,0,0.94938,0,1.05183
2001,North Rhine-Westphalia,2nd Quintile,Yes,0.07221,35,10839,0,0.05810,0,0.08701
2001,North Rhine-Westphalia,2nd Quintile,No,0.92779,437,10839,0,0.87429,0,0.98803
2001,North Rhine-Westphalia,3rd Quintile,Yes,0.06519,35,10839,0,0.05441,0,0.07856
2001,North Rhine-Westphalia,3rd Quintile,No,0.93481,459,10839,0,0.88895,0,0.97718
2001,North Rhine-Westphalia,4th Quintile,No,1.00000,492,10839,0,0.94491,0,1.05714
2001,North Rhine-Westphalia,5th Quintile,No,1.00000,515,10839,0,0.95167,0,1.05733
2001,Hesse,1st Quintile,No,1.00000,133,10839,0,0.91697,0,1.08800
2001,Hesse,2nd Quintile,No,1.00000,128,10839,0,0.89068,0,1.11271
2001,Hesse,3rd Quintile,No,1.00000,148,10839,0,0.88809,0,1.09902
2001,Hesse,4th Quintile,No,1.00000,144,10839,0,0.89915,0,1.11272
2001,Hesse,5th Quintile,No,1.00000,180,10839,0,0.92136,0,1.09338
2001,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.00000,124,10839,0,0.90618,0,1.09535
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.00000,143,10839,0,0.91832,0,1.10282
2001,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.00000,133,10839,0,0.90891,0,1.07076
2001,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.00000,155,10839,0,0.92630,0,1.11437
2001,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.00000,109,10839,0,0.89037,0,1.12291
2001,Baden-Wuerttemberg,1st Quintile,No,1.00000,204,10839,0,0.90051,0,1.10206
2001,Baden-Wuerttemberg,2nd Quintile,No,1.00000,235,10839,0,0.90738,0,1.09202
2001,Baden-Wuerttemberg,3rd Quintile,No,1.00000,273,10839,0,0.90717,0,1.08322
2001,Baden-Wuerttemberg,4th Quintile,No,1.00000,304,10839,0,0.93537,0,1.05869
2001,Baden-Wuerttemberg,5th Quintile,No,1.00000,282,10839,0,0.93985,0,1.06344
2001,Bavaria,1st Quintile,No,1.00000,231,10839,0,0.93267,0,1.07452
2001,Bavaria,2nd Quintile,No,1.00000,304,10839,0,0.93264,0,1.09907
2001,Bavaria,3rd Quintile,No,1.00000,283,10839,0,0.93216,0,1.06852
2001,Bavaria,4th Quintile,No,1.00000,352,10839,0,0.93756,0,1.06397
2001,Bavaria,5th Quintile,No,1.00000,360,10839,0,0.94495,0,1.05765
2001,Berlin,1st Quintile,No,1.00000,114,10839,0,0.90746,0,1.10344
2001,Berlin,2nd Quintile,No,1.00000,86,10839,0,0.89033,0,1.13305
2001,Berlin,3rd Quintile,No,1.00000,83,10839,0,0.88892,0,1.10178
2001,Berlin,4th Quintile,No,1.00000,86,10839,0,0.89728,0,1.10311
2001,Berlin,5th Quintile,No,1.00000,84,10839,0,0.88813,0,1.13651
2001,Brandenburg,1st Quintile,No,1.00000,108,10839,0,0.90155,0,1.11258
2001,Brandenburg,2nd Quintile,No,1.00000,123,10839,0,0.90834,0,1.08056
2001,Brandenburg,3rd Quintile,No,1.00000,109,10839,0,0.89813,0,1.11877
2001,Brandenburg,4th Quintile,No,1.00000,70,10839,0,0.90176,0,1.10739
2001,Brandenburg,5th Quintile,No,1.00000,51,10839,0,0.89597,0,1.10583
2001,Mecklenburg-Western Pomerania,1st Quintile,No,1.00000,77,10839,0,0.89316,0,1.11699
2001,Mecklenburg-Western Pomerania,2nd Quintile,No,1.00000,76,10839,0,0.88806,0,1.13103
2001,Mecklenburg-Western Pomerania,3rd Quintile,No,1.00000,55,10839,0,0.88349,0,1.12551
2001,Mecklenburg-Western Pomerania,4th Quintile,No,1.00000,32,10839,0,0.84509,0,1.17126
2001,Saxony,1st Quintile,No,1.00000,187,10839,0,0.92251,0,1.09585
2001,Saxony,2nd Quintile,No,1.00000,232,10839,0,0.92655,0,1.06763
2001,Saxony,3rd Quintile,No,1.00000,188,10839,0,0.91495,0,1.07563
2001,Saxony,4th Quintile,No,1.00000,117,10839,0,0.90337,0,1.10881
2001,Saxony,5th Quintile,No,1.00000,57,10839,0,0.82701,0,1.19198
2001,Saxony-Anhalt,1st Quintile,No,1.00000,107,10839,0,0.89926,0,1.12245
2001,Saxony-Anhalt,2nd Quintile,No,1.00000,123,10839,0,0.91273,0,1.06760
2001,Saxony-Anhalt,3rd Quintile,No,1.00000,108,10839,0,0.90303,0,1.09669
2001,Saxony-Anhalt,4th Quintile,No,1.00000,80,10839,0,0.87451,0,1.12084
2001,Saxony-Anhalt,5th Quintile,No,1.00000,37,10839,0,0.80501,0,1.22456
2001,Thuringa,1st Quintile,No,1.00000,107,10839,0,0.88779,0,1.11762
2001,Thuringa,2nd Quintile,No,1.00000,123,10839,0,0.89101,0,1.10082
2001,Thuringa,3rd Quintile,No,1.00000,116,10839,0,0.88689,0,1.09982
2001,Thuringa,4th Quintile,No,1.00000,70,10839,0,0.85971,0,1.16031
2006,Schleswig-Holstein,1st Quintile,No,1.00000,59,11510,0,0.88275,0,1.14999
2006,Schleswig-Holstein,2nd Quintile,No,1.00000,64,11510,0,0.87625,0,1.13947
2006,Schleswig-Holstein,3rd Quintile,No,1.00000,77,11510,0,0.87251,0,1.13551
2006,Schleswig-Holstein,4th Quintile,No,1.00000,73,11510,0,0.85310,0,1.16136
2006,Schleswig-Holstein,5th Quintile,No,1.00000,100,11510,0,0.81714,0,1.15894
2006,Hamburg,1st Quintile,No,1.00000,38,11510,0,0.78363,0,1.22789
2006,Hamburg,3rd Quintile,No,1.00000,33,11510,0,0.77105,0,1.22550
2006,Hamburg,4th Quintile,No,1.00000,33,11510,0,0.76528,0,1.23140
2006,Hamburg,5th Quintile,No,1.00000,55,11510,0,0.80686,0,1.19587
2006,Lower Saxony,1st Quintile,No,1.00000,156,11510,0,0.90977,0,1.10540
2006,Lower Saxony,2nd Quintile,No,1.00000,167,11510,0,0.91535,0,1.11774
2006,Lower Saxony,3rd Quintile,No,1.00000,185,11510,0,0.90719,0,1.08491
2006,Lower Saxony,4th Quintile,No,1.00000,214,11510,0,0.88366,0,1.10592
2006,Lower Saxony,5th Quintile,No,1.00000,278,11510,0,0.89314,0,1.10829
2006,North Rhine-Westphalia,1st Quintile,No,1.00000,411,11510,0,0.94724,0,1.05920
2006,North Rhine-Westphalia,2nd Quintile,No,1.00000,395,11510,0,0.93084,0,1.05799
2006,North Rhine-Westphalia,3rd Quintile,Yes,0.06730,34,11510,0,0.05137,0,0.08473
2006,North Rhine-Westphalia,3rd Quintile,No,0.93270,424,11510,0,0.87968,0,0.99228
2006,North Rhine-Westphalia,4th Quintile,Yes,0.06925,38,11510,0,0.05423,0,0.09042
2006,North Rhine-Westphalia,4th Quintile,No,0.93075,479,11510,0,0.86663,0,0.99078
2006,North Rhine-Westphalia,5th Quintile,Yes,0.04488,46,11510,0,0.03431,0,0.05753
2006,North Rhine-Westphalia,5th Quintile,No,0.95512,671,11510,0,0.89937,0,1.01519
2006,Hesse,1st Quintile,No,1.00000,117,11510,0,0.88616,0,1.11759
2006,Hesse,2nd Quintile,No,1.00000,117,11510,0,0.89147,0,1.10813
2006,Hesse,3rd Quintile,No,1.00000,139,11510,0,0.90242,0,1.10049
2006,Hesse,4th Quintile,No,1.00000,152,11510,0,0.87833,0,1.10933
2006,Hesse,5th Quintile,No,1.00000,270,11510,0,0.88999,0,1.11335
2006,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.00000,129,11510,0,0.90411,0,1.11713
2006,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.00000,120,11510,0,0.86515,0,1.11386
2006,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.00000,115,11510,0,0.86747,0,1.11510
2006,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.00000,149,11510,0,0.89400,0,1.09309
2006,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.00000,167,11510,0,0.88565,0,1.12717
2006,Baden-Wuerttemberg,1st Quintile,No,1.00000,172,11510,0,0.89089,0,1.10632
2006,Baden-Wuerttemberg,2nd Quintile,No,1.00000,198,11510,0,0.89714,0,1.11555
2006,Baden-Wuerttemberg,3rd Quintile,No,1.00000,271,11510,0,0.90603,0,1.10765
2006,Baden-Wuerttemberg,4th Quintile,No,1.00000,322,11510,0,0.91694,0,1.07115
2006,Baden-Wuerttemberg,5th Quintile,No,1.00000,428,11510,0,0.92867,0,1.09091
2006,Bavaria,1st Quintile,No,1.00000,222,11510,0,0.92229,0,1.06804
2006,Bavaria,2nd Quintile,No,1.00000,249,11510,0,0.91751,0,1.07747
2006,Bavaria,3rd Quintile,No,1.00000,318,11510,0,0.91396,0,1.06226
2006,Bavaria,4th Quintile,No,1.00000,353,11510,0,0.92869,0,1.07556
2006,Bavaria,5th Quintile,Yes,0.06232,31,11510,0,0.04580,0,0.08235
2006,Bavaria,5th Quintile,No,0.93768,490,11510,0,0.86517,0,1.01659
2006,Berlin,1st Quintile,No,1.00000,110,11510,0,0.89654,0,1.13404
2006,Berlin,2nd Quintile,No,1.00000,85,11510,0,0.88056,0,1.13571
2006,Berlin,3rd Quintile,No,1.00000,69,11510,0,0.82358,0,1.17257
2006,Berlin,4th Quintile,No,1.00000,96,11510,0,0.89380,0,1.11238
2006,Berlin,5th Quintile,No,1.00000,106,11510,0,0.84177,0,1.14186
2006,Brandenburg,1st Quintile,No,1.00000,99,11510,0,0.87230,0,1.13468
2006,Brandenburg,2nd Quintile,No,1.00000,130,11510,0,0.91376,0,1.09494
2006,Brandenburg,3rd Quintile,No,1.00000,112,11510,0,0.86855,0,1.15289
2006,Brandenburg,4th Quintile,No,1.00000,85,11510,0,0.85689,0,1.16399
2006,Brandenburg,5th Quintile,No,1.00000,65,11510,0,0.77814,0,1.27589
2006,Mecklenburg-Western Pomerania,1st Quintile,No,1.00000,67,11510,0,0.85784,0,1.17904
2006,Mecklenburg-Western Pomerania,2nd Quintile,No,1.00000,77,11510,0,0.85289,0,1.14250
2006,Mecklenburg-Western Pomerania,3rd Quintile,No,1.00000,54,11510,0,0.83082,0,1.18682
2006,Mecklenburg-Western Pomerania,4th Quintile,No,1.00000,41,11510,0,0.76657,0,1.28088
2006,Mecklenburg-Western Pomerania,5th Quintile,No,1.00000,41,11510,0,0.71589,0,1.30053
2006,Saxony,1st Quintile,No,1.00000,193,11510,0,0.90277,0,1.07402
2006,Saxony,2nd Quintile,No,1.00000,200,11510,0,0.91774,0,1.11339
