,Unnamed: 0,year,bula_h,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
36,36,2001,Brandenburg,No,0.93296,461,11611,0.87967,0.97491
37,37,2001,Mecklenburg-Western Pomerania,No,1.0,267,11611,0.93413,1.0703
38,38,2001,Saxony,Yes,0.07071,68,11611,0.06328,0.08084
39,39,2001,Saxony,No,0.92929,781,11611,0.89534,0.9631
40,40,2001,Saxony-Anhalt,Yes,0.08484,50,11611,0.07497,0.0947
41,41,2001,Saxony-Anhalt,No,0.91516,455,11611,0.86964,0.96276
42,42,2001,Thuringa,Yes,0.08167,48,11611,0.06958,0.09427
43,43,2001,Thuringa,No,0.91833,446,11611,0.86588,0.97933
44,44,2006,Schleswig-Holstein,No,1.0,373,12195,0.93859,1.07903
45,45,2006,Hamburg,No,1.0,188,12195,0.9131,1.09934
46,46,2006,Lower Saxony,Yes,0.06087,73,12195,0.05311,0.06917
47,47,2006,Lower Saxony,No,0.93913,1001,12195,0.90171,0.98405
48,48,2006,Bremen,No,1.0,84,12195,0.8469,1.14637
49,49,2006,North Rhine-Westphalia,Yes,0.05098,157,12195,0.04564,0.05819
50,50,2006,North Rhine-Westphalia,No,0.94902,2381,12195,0.92248,0.97881
51,51,2006,Hesse,Yes,0.04109,51,12195,0.03235,0.05056
52,52,2006,Hesse,No,0.95891,795,12195,0.91316,1.01287
53,53,2006,"Rhineland-Palatinate, Saarland",Yes,0.05612,47,12195,0.04437,0.06733
54,54,2006,"Rhineland-Palatinate, Saarland",No,0.94388,680,12195,0.8967,0.99962
55,55,2006,Baden-Wuerttemberg,Yes,0.04501,81,12195,0.0381,0.05244
56,56,2006,Baden-Wuerttemberg,No,0.95499,1392,12195,0.9198,0.99629
57,57,2006,Bavaria,Yes,0.05124,97,12195,0.04402,0.05859
58,58,2006,Bavaria,No,0.94876,1633,12195,0.91282,0.98822
59,59,2006,Berlin,No,1.0,466,12195,0.94728,1.0587
60,60,2006,Brandenburg,Yes,0.09019,41,12195,0.06837,0.11174
61,61,2006,Brandenburg,No,0.90981,491,12195,0.84562,0.97169
62,62,2006,Mecklenburg-Western Pomerania,No,1.0,280,12195,0.94051,1.09003
63,63,2006,Saxony,Yes,0.0732,66,12195,0.05823,0.09203
64,64,2006,Saxony,No,0.9268,811,12195,0.88436,0.9694
65,65,2006,Saxony-Anhalt,Yes,0.11181,57,12195,0.08527,0.1442
66,66,2006,Saxony-Anhalt,No,0.88819,435,12195,0.83642,0.95466
67,67,2006,Thuringa,Yes,0.07884,46,12195,0.06107,0.10329
68,68,2006,Thuringa,No,0.92116,469,12195,0.85627,0.98643
69,69,2011,Schleswig-Holstein,No,1.0,391,11997,0.91498,1.0936
70,70,2011,Hamburg,No,1.0,191,11997,0.88088,1.09674
71,71,2011,Lower Saxony,Yes,0.05218,70,11997,0.04332,0.06317
72,72,2011,Lower Saxony,No,0.94782,1017,11997,0.90276,0.99503
73,73,2011,Bremen,No,1.0,76,11997,0.83395,1.16713
74,74,2011,North Rhine-Westphalia,Yes,0.05231,147,11997,0.045,0.06207
75,75,2011,North Rhine-Westphalia,No,0.94769,2206,11997,0.91577,0.97318
76,76,2011,Hesse,Yes,0.04881,45,11997,0.03147,0.06516
77,77,2011,Hesse,No,0.95119,785,11997,0.89394,1.00242
78,78,2011,"Rhineland-Palatinate, Saarland",Yes,0.04226,40,11997,0.03072,0.05399
79,79,2011,"Rhineland-Palatinate, Saarland",No,0.95774,670,11997,0.89244,1.0205
80,80,2011,Baden-Wuerttemberg,Yes,0.04483,78,11997,0.03509,0.05598
81,81,2011,Baden-Wuerttemberg,No,0.95517,1323,11997,0.91672,0.99993
82,82,2011,Bavaria,Yes,0.04356,103,11997,0.03527,0.05094
83,83,2011,Bavaria,No,0.95644,1736,11997,0.91517,0.99827
84,84,2011,Berlin,No,1.0,496,11997,0.93001,1.08215
85,85,2011,Brandenburg,No,1.0,493,11997,0.91688,1.08662
86,86,2011,Mecklenburg-Western Pomerania,No,1.0,294,11997,0.89898,1.1223
87,87,2011,Saxony,Yes,0.08316,68,11997,0.066,0.10437
88,88,2011,Saxony,No,0.91684,740,11997,0.86699,0.97277
89,89,2011,Saxony-Anhalt,Yes,0.06733,42,11997,0.05295,0.08174
90,90,2011,Saxony-Anhalt,No,0.93267,467,11997,0.8525,1.01888
91,91,2011,Thuringa,Yes,0.06567,45,11997,0.04937,0.08642
92,92,2011,Thuringa,No,0.93433,474,11997,0.85526,1.02538
93,93,2016,Schleswig-Holstein,No,1.0,474,14230,0.9139,1.07983
94,94,2016,Hamburg,No,1.0,258,14230,0.89422,1.12988
95,95,2016,Lower Saxony,Yes,0.05464,84,14230,0.04215,0.06927
96,96,2016,Lower Saxony,No,0.94536,1264,14230,0.88119,1.00763
97,97,2016,Bremen,No,1.0,101,14230,0.79437,1.21578
98,98,2016,North Rhine-Westphalia,Yes,0.03007,112,14230,0.02425,0.03595
99,99,2016,North Rhine-Westphalia,No,0.96993,2795,14230,0.92408,1.00242
100,100,2016,Hesse,Yes,0.02698,36,14230,0.01698,0.03717
101,101,2016,Hesse,No,0.97302,942,14230,0.9113,1.03607
102,102,2016,"Rhineland-Palatinate, Saarland",Yes,0.02767,31,14230,0.02117,0.03544
103,103,2016,"Rhineland-Palatinate, Saarland",No,0.97233,817,14230,0.90219,1.03971
104,104,2016,Baden-Wuerttemberg,Yes,0.01932,60,14230,0.01439,0.02487
105,105,2016,Baden-Wuerttemberg,No,0.98068,1567,14230,0.93447,1.02548
106,106,2016,Bavaria,Yes,0.03312,104,14230,0.02562,0.04162
107,107,2016,Bavaria,No,0.96688,2196,14230,0.92514,1.01001
108,108,2016,Berlin,No,1.0,589,14230,0.91943,1.07787
109,109,2016,Brandenburg,Yes,0.06598,39,14230,0.04013,0.0958
110,110,2016,Brandenburg,No,0.93402,523,14230,0.84627,1.02131
111,111,2016,Mecklenburg-Western Pomerania,No,1.0,316,14230,0.8817,1.11665
112,112,2016,Saxony,Yes,0.06919,65,14230,0.0485,0.0889
113,113,2016,Saxony,No,0.93081,800,14230,0.86328,0.98808
114,114,2016,Saxony-Anhalt,Yes,0.06406,46,14230,0.05043,0.08355
115,115,2016,Saxony-Anhalt,No,0.93594,467,14230,0.85088,1.03292
116,116,2016,Thuringa,Yes,0.05838,38,14230,0.04135,0.07356
117,117,2016,Thuringa,No,0.94162,506,14230,0.85153,1.03692
118,118,2021,Schleswig-Holstein,No,1.0,402,10902,0.9003,1.13724
119,119,2021,Hamburg,No,1.0,259,10902,0.87358,1.16584
120,120,2021,Lower Saxony,Yes,0.03642,48,10902,0.01979,0.0524
121,121,2021,Lower Saxony,No,0.96358,1014,10902,0.89876,1.04262
122,122,2021,Bremen,No,1.0,78,10902,0.76373,1.28235
123,123,2021,North Rhine-Westphalia,Yes,0.02657,84,10902,0.02081,0.03335
124,124,2021,North Rhine-Westphalia,No,0.97343,2199,10902,0.92394,1.01825
125,125,2021,Hesse,No,1.0,671,10902,0.9217,1.09625
126,126,2021,"Rhineland-Palatinate, Saarland",No,1.0,513,10902,0.89099,1.09825
127,127,2021,Baden-Wuerttemberg,Yes,0.01924,37,10902,0.01296,0.02748
128,128,2021,Baden-Wuerttemberg,No,0.98076,1178,10902,0.91722,1.03843
129,129,2021,Bavaria,Yes,0.04039,73,10902,0.02966,0.05271
130,130,2021,Bavaria,No,0.95961,1674,10902,0.90154,1.01683
131,131,2021,Berlin,No,1.0,545,10902,0.91013,1.10226
132,132,2021,Brandenburg,No,1.0,422,10902,0.89805,1.10639
133,133,2021,Mecklenburg-Western Pomerania,No,1.0,245,10902,0.84649,1.15607
134,134,2021,Saxony,Yes,0.0581,38,10902,0.03929,0.0784
135,135,2021,Saxony,No,0.9419,695,10902,0.85369,1.02873
136,136,2021,Saxony-Anhalt,Yes,0.08364,36,10902,0.05363,0.11491
137,137,2021,Saxony-Anhalt,No,0.91636,333,10902,0.78723,1.0458
138,138,2021,Thuringa,No,1.0,358,10902,0.86781,1.15839
