year,bula_h,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Bavaria,Owner,No,0.94107,806,864,0.92536,0.95678
2001,Bavaria,Tenant,No,0.96967,724,724,0.95717,0.98217
2001,Berlin,Owner,No,0.95165,58,58,0.89596,1.00734
2001,Berlin,Tenant,No,0.94556,395,395,0.92316,0.96797
2001,Brandenburg,Owner,No,0.88691,175,175,0.83986,0.93397
2001,Brandenburg,Tenant,No,0.95817,286,286,0.93493,0.98141
2001,Mecklenburg-Western Pomerania,Owner,No,0.91405,93,93,0.85678,0.97133
2001,Mecklenburg-Western Pomerania,Tenant,No,0.96790,174,174,0.94163,0.99416
2001,Saxony,Owner,No,0.94751,289,289,0.92175,0.97327
2001,Saxony,Tenant,Yes,0.07922,48,540,0.05642,0.10202
2001,Saxony,Tenant,No,0.92078,492,540,0.89798,0.94358
2001,Saxony-Anhalt,Owner,Yes,0.12884,35,233,0.08573,0.17195
2001,Saxony-Anhalt,Owner,No,0.87116,198,233,0.82805,0.91427
2001,Saxony-Anhalt,Tenant,No,0.94648,257,257,0.91891,0.97405
2001,Thuringa,Owner,No,0.88589,213,213,0.84309,0.92869
2001,Thuringa,Tenant,No,0.93983,233,233,0.90924,0.97043
2006,Schleswig-Holstein,Owner,No,0.96129,207,207,0.93495,0.98763
2006,Schleswig-Holstein,Tenant,No,0.96249,166,166,0.93350,0.99149
2006,Hamburg,Owner,No,0.98333,45,45,0.94549,1.02116
2006,Hamburg,Tenant,No,0.98886,143,143,0.97159,1.00612
2006,Lower Saxony,Owner,Yes,0.08267,56,639,0.06130,0.10403
2006,Lower Saxony,Owner,No,0.91733,583,639,0.89597,0.93870
2006,Lower Saxony,Tenant,No,0.96326,418,418,0.94521,0.98132
2006,Bremen,Owner,No,0.91250,33,33,0.81459,1.01040
2006,Bremen,Tenant,No,0.94579,51,51,0.88303,1.00855
2006,North Rhine-Westphalia,Owner,Yes,0.06460,88,1204,0.05071,0.07849
2006,North Rhine-Westphalia,Owner,No,0.93540,1116,1204,0.92151,0.94929
2006,North Rhine-Westphalia,Tenant,Yes,0.04239,69,1334,0.03157,0.05321
2006,North Rhine-Westphalia,Tenant,No,0.95761,1265,1334,0.94679,0.96843
2006,Hesse,Owner,No,0.95489,396,396,0.93442,0.97535
2006,Hesse,Tenant,No,0.96149,398,398,0.94256,0.98042
2006,"Rhineland-Palatinate, Saarland",Owner,Yes,0.08693,34,408,0.05956,0.11430
2006,"Rhineland-Palatinate, Saarland",Owner,No,0.91307,374,408,0.88570,0.94044
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.97407,306,306,0.95624,0.99191
2006,Baden-Wuerttemberg,Owner,Yes,0.04761,51,786,0.03272,0.06251
2006,Baden-Wuerttemberg,Owner,No,0.95239,735,786,0.93749,0.96728
2006,Baden-Wuerttemberg,Tenant,No,0.95741,657,657,0.94196,0.97286
2006,Bavaria,Owner,Yes,0.06431,68,971,0.04887,0.07975
2006,Bavaria,Owner,No,0.93569,903,971,0.92025,0.95113
2006,Bavaria,Tenant,No,0.96097,730,730,0.94691,0.97503
2006,Berlin,Owner,No,0.97962,83,83,0.94904,1.01020
2006,Berlin,Tenant,No,0.96272,382,382,0.94370,0.98174
2006,Brandenburg,Owner,No,0.86776,198,198,0.82046,0.91507
2006,Brandenburg,Tenant,No,0.93183,293,293,0.90292,0.96074
2006,Mecklenburg-Western Pomerania,Owner,No,0.91517,125,125,0.86612,0.96421
2006,Mecklenburg-Western Pomerania,Tenant,No,0.95994,155,155,0.92897,0.99091
2006,Saxony,Owner,Yes,0.11469,38,343,0.08092,0.14846
2006,Saxony,Owner,No,0.88531,305,343,0.85154,0.91908
2006,Saxony,Tenant,No,0.94512,506,506,0.92526,0.96499
2006,Saxony-Anhalt,Owner,Yes,0.15400,32,222,0.10641,0.20159
2006,Saxony-Anhalt,Owner,No,0.84600,190,222,0.79841,0.89359
2006,Saxony-Anhalt,Tenant,No,0.91087,245,245,0.87511,0.94662
2006,Thuringa,Owner,No,0.92257,243,243,0.88890,0.95625
2006,Thuringa,Tenant,No,0.92018,226,226,0.88477,0.95559
2011,Schleswig-Holstein,Owner,No,0.93501,185,185,0.89939,0.97063
2011,Schleswig-Holstein,Tenant,No,0.99367,206,206,0.98281,1.00453
2011,Hamburg,Owner,No,0.97650,47,47,0.93273,1.02028
2011,Hamburg,Tenant,No,0.99007,144,144,0.97382,1.00632
2011,Lower Saxony,Owner,Yes,0.06683,49,658,0.04773,0.08592
2011,Lower Saxony,Owner,No,0.93317,609,658,0.91408,0.95227
2011,Lower Saxony,Tenant,No,0.96750,408,408,0.95027,0.98472
2011,Bremen,Tenant,No,0.96903,51,51,0.92102,1.01705
2011,North Rhine-Westphalia,Owner,Yes,0.07228,86,1136,0.05722,0.08735
2011,North Rhine-Westphalia,Owner,No,0.92772,1050,1136,0.91265,0.94278
2011,North Rhine-Westphalia,Tenant,Yes,0.03576,61,1217,0.02533,0.04620
2011,North Rhine-Westphalia,Tenant,No,0.96424,1156,1217,0.95380,0.97467
2011,Hesse,Owner,Yes,0.05865,32,434,0.03652,0.08078
2011,Hesse,Owner,No,0.94135,402,434,0.91922,0.96348
2011,Hesse,Tenant,No,0.96077,383,383,0.94130,0.98024
2011,"Rhineland-Palatinate, Saarland",Owner,No,0.94674,382,382,0.92419,0.96929
2011,"Rhineland-Palatinate, Saarland",Tenant,No,0.97087,288,288,0.95141,0.99032
2011,Baden-Wuerttemberg,Owner,Yes,0.05692,53,800,0.04086,0.07299
2011,Baden-Wuerttemberg,Owner,No,0.94308,747,800,0.92701,0.95914
2011,Baden-Wuerttemberg,Tenant,No,0.97035,576,576,0.95649,0.98422
2011,Bavaria,Owner,Yes,0.05126,61,1016,0.03769,0.06483
2011,Bavaria,Owner,No,0.94874,955,1016,0.93517,0.96231
2011,Bavaria,Tenant,Yes,0.03477,42,823,0.02225,0.04729
2011,Bavaria,Tenant,No,0.96523,781,823,0.95271,0.97775
2011,Berlin,Owner,No,0.97807,96,96,0.94862,1.00752
2011,Berlin,Tenant,No,0.96661,400,400,0.94898,0.98424
2011,Brandenburg,Owner,No,0.92466,217,217,0.88946,0.95986
2011,Brandenburg,Tenant,No,0.96570,276,276,0.94419,0.98721
2011,Mecklenburg-Western Pomerania,Owner,No,0.95045,117,117,0.91095,0.98994
2011,Mecklenburg-Western Pomerania,Tenant,No,0.96476,177,177,0.93752,0.99200
2011,Saxony,Owner,Yes,0.11321,32,299,0.07724,0.14919
2011,Saxony,Owner,No,0.88679,267,299,0.85081,0.92276
2011,Saxony,Tenant,Yes,0.06928,36,509,0.04720,0.09136
2011,Saxony,Tenant,No,0.93072,473,509,0.90864,0.95280
2011,Saxony-Anhalt,Owner,No,0.88713,201,201,0.84328,0.93099
2011,Saxony-Anhalt,Tenant,No,0.96398,266,266,0.94154,0.98641
2011,Thuringa,Owner,No,0.91049,207,207,0.87151,0.94948
2011,Thuringa,Tenant,No,0.95205,267,267,0.92638,0.97773
2016,Schleswig-Holstein,Owner,No,0.94792,218,218,0.91836,0.97748
2016,Schleswig-Holstein,Tenant,No,0.95609,256,256,0.93094,0.98124
2016,Hamburg,Owner,No,0.97195,72,72,0.93355,1.01036
2016,Hamburg,Tenant,No,0.97993,186,186,0.95972,1.00014
2016,Lower Saxony,Owner,Yes,0.05844,48,693,0.04096,0.07592
2016,Lower Saxony,Owner,No,0.94156,645,693,0.92408,0.95904
2016,Lower Saxony,Tenant,Yes,0.05135,36,655,0.03443,0.06827
2016,Lower Saxony,Tenant,No,0.94865,619,655,0.93173,0.96557
2016,Bremen,Owner,No,0.98245,31,31,0.93545,1.02944
2016,North Rhine-Westphalia,Owner,Yes,0.04199,60,1216,0.03071,0.05326
2016,North Rhine-Westphalia,Owner,No,0.95801,1156,1216,0.94674,0.96929
2016,North Rhine-Westphalia,Tenant,Yes,0.02079,52,1691,0.01399,0.02759
2016,North Rhine-Westphalia,Tenant,No,0.97921,1639,1691,0.97241,0.98601
2016,Hesse,Owner,No,0.96856,406,406,0.95156,0.98555
2016,Hesse,Tenant,No,0.97630,536,536,0.96341,0.98919
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.96678,423,423,0.94968,0.98388
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.97836,394,394,0.96397,0.99274
2016,Baden-Wuerttemberg,Owner,Yes,0.02310,36,854,0.01302,0.03318
2016,Baden-Wuerttemberg,Owner,No,0.97690,818,854,0.96682,0.98698
2016,Baden-Wuerttemberg,Tenant,No,0.98870,749,749,0.98112,0.99627
2016,Bavaria,Owner,Yes,0.04990,72,1099,0.03702,0.06278
2016,Bavaria,Owner,No,0.95010,1027,1099,0.93722,0.96298
2016,Bavaria,Tenant,Yes,0.01529,32,1200,0.00834,0.02223
2016,Bavaria,Tenant,No,0.98471,1168,1200,0.97777,0.99166
2016,Berlin,Owner,No,0.97758,105,105,0.94913,1.00603
2016,Berlin,Tenant,No,0.97783,484,484,0.96470,0.99096
2016,Brandenburg,Owner,No,0.92931,233,233,0.89633,0.96229
2016,Brandenburg,Tenant,No,0.93632,290,290,0.90817,0.96447
2016,Mecklenburg-Western Pomerania,Owner,No,0.97496,102,102,0.94449,1.00543
2016,Mecklenburg-Western Pomerania,Tenant,No,0.97254,214,214,0.95059,0.99449
2016,Saxony,Owner,No,0.90888,276,276,0.87487,0.94289
2016,Saxony,Tenant,Yes,0.05732,37,561,0.03807,0.07658
2016,Saxony,Tenant,No,0.94268,524,561,0.92342,0.96193
2016,Saxony-Anhalt,Owner,No,0.90035,185,185,0.85707,0.94363
2016,Saxony-Anhalt,Tenant,No,0.95876,282,282,0.93552,0.98201
2016,Thuringa,Owner,No,0.91327,219,219,0.87591,0.95063
2016,Thuringa,Tenant,No,0.96615,287,287,0.94519,0.98711
2021,Schleswig-Holstein,Owner,No,0.90906,224,224,0.87132,0.94679
2021,Schleswig-Holstein,Tenant,No,0.98081,178,178,0.96060,1.00102
2021,Hamburg,Owner,No,0.99502,74,74,0.97888,1.01117
2021,Hamburg,Tenant,No,0.96983,185,185,0.94511,0.99454
2021,Lower Saxony,Owner,No,0.94465,535,535,0.92525,0.96404
2021,Lower Saxony,Tenant,No,0.98590,479,479,0.97533,0.99647
2021,Bremen,Tenant,No,0.99837,55,55,0.98759,1.00914
2021,North Rhine-Westphalia,Owner,Yes,0.02624,43,1008,0.01637,0.03612
2021,North Rhine-Westphalia,Owner,No,0.97376,965,1008,0.96388,0.98363
2021,North Rhine-Westphalia,Tenant,Yes,0.02797,41,1273,0.01891,0.03704
2021,North Rhine-Westphalia,Tenant,No,0.97203,1232,1273,0.96296,0.98109
2021,Hesse,Owner,No,0.97232,308,308,0.95397,0.99067
2021,Hesse,Tenant,No,0.99076,362,362,0.98089,1.00063
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.95402,280,280,0.92945,0.97860
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.98548,233,233,0.97008,1.00087
2021,Baden-Wuerttemberg,Owner,No,0.97183,625,625,0.95885,0.98481
2021,Baden-Wuerttemberg,Tenant,No,0.99229,552,552,0.98499,0.99960
2021,Bavaria,Owner,Yes,0.06695,55,862,0.05025,0.08364
2021,Bavaria,Owner,No,0.93305,807,862,0.91636,0.94975
2021,Bavaria,Tenant,No,0.98555,867,867,0.97760,0.99350
2021,Berlin,Owner,No,0.99496,107,107,0.98148,1.00844
2021,Berlin,Tenant,No,0.98647,438,438,0.97564,0.99730
2021,Brandenburg,Owner,No,0.96652,215,215,0.94241,0.99062
2021,Brandenburg,Tenant,No,0.96248,207,207,0.93654,0.98843
2021,Mecklenburg-Western Pomerania,Owner,No,0.90558,91,91,0.84517,0.96599
2021,Mecklenburg-Western Pomerania,Tenant,No,0.98783,154,154,0.97046,1.00520
2021,Saxony,Owner,No,0.91950,249,249,0.88563,0.95336
2021,Saxony,Tenant,No,0.95696,445,445,0.93809,0.97584
2021,Saxony-Anhalt,Owner,No,0.88226,136,136,0.82789,0.93663
2021,Saxony-Anhalt,Tenant,No,0.94188,197,197,0.90912,0.97464
2021,Thuringa,Owner,No,0.93909,155,155,0.90132,0.97687
2021,Thuringa,Tenant,No,0.97299,203,203,0.95064,0.99535
