year,hhtyp,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Other Combinations,Owner,No,0.96602,43,43,0.91123,1.02081
2011,Other Combinations,Tenant,No,0.92461,50,50,0.85069,0.99854
2016,Single-person household,Owner,No,0.97815,914,914,0.96867,0.98763
2016,Single-person household,Tenant,No,0.98991,2430,2430,0.98593,0.99388
2016,Couple without children,Owner,Yes,0.03292,88,2222,0.02550,0.04034
2016,Couple without children,Owner,No,0.96708,2134,2222,0.95966,0.97450
2016,Couple without children,Tenant,Yes,0.03611,72,1875,0.02767,0.04456
2016,Couple without children,Tenant,No,0.96389,1803,1875,0.95544,0.97233
2016,Single parent,Owner,No,0.94128,355,355,0.91678,0.96577
2016,Single parent,Tenant,Yes,0.03197,46,1142,0.02176,0.04218
2016,Single parent,Tenant,No,0.96803,1096,1142,0.95782,0.97824
2016,Couple with children,Owner,Yes,0.08680,250,2662,0.07610,0.09749
2016,Couple with children,Owner,No,0.91320,2412,2662,0.90251,0.92390
2016,Couple with children,Tenant,Yes,0.06410,150,2328,0.05415,0.07406
2016,Couple with children,Tenant,No,0.93590,2178,2328,0.92594,0.94585
2016,Multi-generational household,Owner,No,0.94912,50,50,0.88758,1.01065
2016,Multi-generational household,Tenant,No,0.88513,52,52,0.79761,0.97264
2016,Other Combinations,Owner,No,0.99001,51,51,0.96244,1.01758
2016,Other Combinations,Tenant,No,0.96875,139,139,0.93972,0.99778
2021,Single-person household,Owner,No,0.97003,838,838,0.95848,0.98158
2021,Single-person household,Tenant,No,0.97721,2299,2299,0.97111,0.98331
2021,Couple without children,Owner,Yes,0.03611,83,1924,0.02777,0.04445
2021,Couple without children,Owner,No,0.96388,1841,1924,0.95554,0.97222
2021,Couple without children,Tenant,Yes,0.01708,39,1489,0.01050,0.02367
2021,Couple without children,Tenant,No,0.97777,1450,1489,0.97028,0.98526
2021,Single parent,Owner,No,0.93479,229,229,0.90275,0.96684
2021,Single parent,Tenant,Yes,0.06186,37,647,0.04329,0.08044
2021,Single parent,Tenant,No,0.91582,610,647,0.89440,0.93723
2021,Couple with children,Owner,Yes,0.07602,151,1881,0.06404,0.08800
2021,Couple with children,Owner,No,0.92048,1730,1881,0.90825,0.93271
2021,Couple with children,Tenant,Yes,0.04871,71,1278,0.03690,0.06051
2021,Couple with children,Tenant,No,0.89840,1207,1278,0.88183,0.91497
2021,Other Combinations,Owner,No,0.97841,101,101,0.94993,1.00690
2021,Other Combinations,Tenant,No,0.93107,151,151,0.89052,0.97161
