year,sampreg,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,West,female,Other reasons,0.10279,88,983,0.08379,0.12178
1998,West,female,Both equally,0.53803,540,983,0.50684,0.56921
1998,East,male,Earn money,0.53493,162,297,0.47811,0.59176
1998,East,male,Both equally,0.43279,135,297,0.37634,0.48923
1998,East,female,Earn money,0.36495,140,378,0.31635,0.41354
1998,East,female,Both equally,0.59463,238,378,0.54507,0.64419
1999,West,male,Earn money,0.46465,207,426,0.41723,0.51207
1999,West,male,Both equally,0.49656,219,426,0.44902,0.54410
1999,West,female,Earn money,0.33614,301,858,0.30452,0.36777
1999,West,female,Other reasons,0.07007,57,858,0.05298,0.08716
1999,West,female,Both equally,0.59379,500,858,0.56091,0.62667
1999,East,male,Earn money,0.41683,120,252,0.35583,0.47782
1999,East,male,Both equally,0.55346,132,252,0.49195,0.61496
1999,East,female,Earn money,0.29851,118,358,0.25104,0.34598
1999,East,female,Both equally,0.68262,240,358,0.63434,0.73091
2000,West,male,Earn money,0.44844,355,782,0.41356,0.48332
2000,West,male,Other reasons,0.04353,34,782,0.02922,0.05784
2000,West,male,Both equally,0.50803,393,782,0.47297,0.54309
2000,West,female,Earn money,0.33163,534,1598,0.30854,0.35472
2000,West,female,Other reasons,0.10989,170,1598,0.09455,0.12523
2000,West,female,Both equally,0.55848,894,1598,0.53412,0.58283
2000,East,male,Earn money,0.47935,202,407,0.43076,0.52795
2000,East,male,Both equally,0.49847,205,407,0.44984,0.54711
2000,East,female,Earn money,0.37985,223,545,0.33906,0.42063
2000,East,female,Both equally,0.58615,322,545,0.54476,0.62754
2001,West,male,Earn money,0.48572,323,665,0.44770,0.52374
2001,West,male,Both equally,0.48117,342,665,0.44316,0.51917
2001,West,female,Earn money,0.32545,438,1411,0.30099,0.34991
2001,West,female,Other reasons,0.08541,116,1411,0.07082,0.10000
2001,West,female,Both equally,0.58914,857,1411,0.56346,0.61482
2001,East,male,Earn money,0.41657,178,392,0.36771,0.46544
2001,East,male,Both equally,0.56610,214,392,0.51697,0.61522
2001,East,female,Earn money,0.41754,208,492,0.37392,0.46116
2001,East,female,Both equally,0.56390,284,492,0.52004,0.60777
2003,West,male,Earn money,0.49485,397,807,0.46033,0.52937
2003,West,male,Both equally,0.47394,410,807,0.43947,0.50841
2003,West,female,Earn money,0.38904,460,1313,0.36266,0.41542
2003,West,female,Other reasons,0.05829,96,1313,0.04561,0.07096
2003,West,female,Both equally,0.55268,757,1313,0.52577,0.57958
2003,East,male,Earn money,0.48329,218,427,0.43583,0.53074
2003,East,male,Both equally,0.49799,209,427,0.45051,0.54547
2003,East,female,Earn money,0.41169,216,500,0.36851,0.45487
2003,East,female,Both equally,0.56642,284,500,0.52294,0.60990
2005,West,male,Earn money,0.46601,313,674,0.42832,0.50370
2005,West,male,Both equally,0.51154,361,674,0.47377,0.54930
2005,West,female,Earn money,0.36825,371,1041,0.33893,0.39756
2005,West,female,Other reasons,0.05611,67,1041,0.04212,0.07010
2005,West,female,Both equally,0.57564,603,1041,0.54560,0.60568
2005,East,male,Earn money,0.46192,174,356,0.41006,0.51378
2005,East,male,Both equally,0.51625,182,356,0.46427,0.56824
2005,East,female,Earn money,0.36139,173,467,0.31777,0.40501
2005,East,female,Both equally,0.63206,294,467,0.58828,0.67585
2007,West,male,Earn money,0.44550,269,606,0.40590,0.48511
2007,West,male,Both equally,0.51260,337,606,0.47277,0.55243
2007,West,female,Earn money,0.38064,420,1186,0.35299,0.40829
2007,West,female,Other reasons,0.05475,66,1186,0.04179,0.06770
2007,West,female,Both equally,0.56461,700,1186,0.53638,0.59284
2007,East,male,Earn money,0.43403,150,319,0.37955,0.48850
2007,East,male,Both equally,0.54528,169,319,0.49055,0.60001
2007,East,female,Earn money,0.32403,142,400,0.27811,0.36995
2007,East,female,Both equally,0.64899,258,400,0.60215,0.69582
2009,West,male,Earn money,0.45708,265,559,0.41575,0.49842
2009,West,male,Both equally,0.49828,294,559,0.45679,0.53977
2009,West,female,Earn money,0.42997,342,870,0.39705,0.46288
2009,West,female,Other reasons,0.06131,60,870,0.04536,0.07726
2009,West,female,Both equally,0.50872,468,870,0.47548,0.54196
2009,East,male,Earn money,0.50768,137,272,0.44816,0.56721
2009,East,male,Both equally,0.45272,135,272,0.39346,0.51199
2009,East,female,Earn money,0.42038,134,316,0.36587,0.47489
2009,East,female,Both equally,0.55523,182,316,0.50035,0.61011
2011,West,male,Earn money,0.42574,197,444,0.37969,0.47178
2011,West,male,Both equally,0.52612,247,444,0.47962,0.57261
2011,West,female,Earn money,0.37209,228,715,0.33663,0.40754
2011,West,female,Other reasons,0.07134,50,715,0.05246,0.09022
2011,West,female,Both equally,0.55657,437,715,0.52013,0.59301
2011,East,male,Earn money,0.60575,97,183,0.53475,0.67675
2011,East,male,Both equally,0.38629,86,183,0.31555,0.45703
2011,East,female,Earn money,0.44790,101,239,0.38472,0.51107
2011,East,female,Both equally,0.52180,138,239,0.45833,0.58526
2013,West,male,Earn money,0.41021,242,587,0.37039,0.45004
2013,West,male,Other reasons,0.06537,40,587,0.04536,0.08539
2013,West,male,Both equally,0.52442,305,587,0.48398,0.56485
2013,West,female,Earn money,0.35325,328,935,0.32260,0.38391
2013,West,female,Other reasons,0.12625,90,935,0.10495,0.14755
2013,West,female,Both equally,0.52049,517,935,0.48845,0.55253
2013,East,male,Earn money,0.52201,97,189,0.45061,0.59342
2013,East,male,Both equally,0.44447,92,189,0.37344,0.51550
2013,East,female,Earn money,0.54495,120,238,0.48155,0.60835
2013,East,female,Both equally,0.37297,118,238,0.31140,0.43454
2017,West,male,Earn money,0.36826,405,1003,0.33840,0.39813
2017,West,male,Other reasons,0.07791,82,1003,0.06131,0.09450
2017,West,male,Both equally,0.55383,516,1003,0.52305,0.58461
2017,West,female,Earn money,0.36079,613,1730,0.33816,0.38343
2017,West,female,Other reasons,0.09924,176,1730,0.08514,0.11333
2017,West,female,Both equally,0.53997,941,1730,0.51648,0.56346
2017,East,male,Earn money,0.43112,106,239,0.36820,0.49404
2017,East,male,Both equally,0.52105,133,239,0.45758,0.58452
2017,East,female,Earn money,0.38251,162,402,0.33494,0.43008
2017,East,female,Both equally,0.57518,240,402,0.52680,0.62356
