,Unnamed: 0,year,quintil_oecd,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
37,37,1997,3rd Quintile,Earn money,0.30167,127,2021,0.25919,0.34971
38,38,1997,3rd Quintile,Both equally,0.69833,248,2021,0.63002,0.78105
39,39,1997,4th Quintile,Earn money,0.39098,103,2021,0.32129,0.47398
40,40,1997,4th Quintile,Both equally,0.60902,188,2021,0.54669,0.67353
41,41,1997,5th Quintile,Earn money,0.2701,55,2021,0.2236,0.32104
42,42,1997,5th Quintile,Both equally,0.7299,142,2021,0.65375,0.82889
43,43,1998,1st Quintile,Earn money,0.53397,335,1856,0.48685,0.57513
44,44,1998,1st Quintile,Both equally,0.46603,307,1856,0.42944,0.50657
45,45,1998,2nd Quintile,Earn money,0.41747,200,1856,0.36748,0.46671
46,46,1998,2nd Quintile,Both equally,0.58253,256,1856,0.51965,0.63707
47,47,1998,3rd Quintile,Earn money,0.3654,124,1856,0.31268,0.42737
48,48,1998,3rd Quintile,Both equally,0.6346,213,1856,0.56869,0.70726
49,49,1998,4th Quintile,Earn money,0.37894,89,1856,0.32094,0.43817
50,50,1998,4th Quintile,Both equally,0.62106,153,1856,0.5484,0.68253
51,51,1998,5th Quintile,Earn money,0.32259,56,1856,0.26404,0.39117
52,52,1998,5th Quintile,Both equally,0.67741,123,1856,0.58254,0.79641
53,53,1999,1st Quintile,Earn money,0.4505,303,1837,0.41683,0.49444
54,54,1999,1st Quintile,Both equally,0.5495,349,1837,0.50685,0.58408
55,55,1999,2nd Quintile,Earn money,0.39681,187,1837,0.35739,0.45333
56,56,1999,2nd Quintile,Both equally,0.60319,262,1837,0.54216,0.68047
57,57,1999,3rd Quintile,Earn money,0.38476,135,1837,0.33448,0.45507
58,58,1999,3rd Quintile,Both equally,0.61524,209,1837,0.55539,0.67886
59,59,1999,4th Quintile,Earn money,0.32121,69,1837,0.27146,0.38457
60,60,1999,4th Quintile,Both equally,0.67879,154,1837,0.61216,0.768
61,61,1999,5th Quintile,Earn money,0.29934,52,1837,0.26016,0.34181
62,62,1999,5th Quintile,Both equally,0.70066,117,1837,0.60536,0.79606
63,63,2000,1st Quintile,Earn money,0.45633,307,1803,0.41097,0.49343
64,64,2000,1st Quintile,Both equally,0.54367,329,1803,0.49693,0.59599
65,65,2000,2nd Quintile,Earn money,0.41321,193,1803,0.37008,0.45858
66,66,2000,2nd Quintile,Both equally,0.58679,252,1803,0.53856,0.64358
67,67,2000,3rd Quintile,Earn money,0.32721,114,1803,0.28514,0.37583
68,68,2000,3rd Quintile,Both equally,0.67279,208,1803,0.60558,0.74829
69,69,2000,4th Quintile,Earn money,0.38204,81,1803,0.3103,0.44762
70,70,2000,4th Quintile,Both equally,0.61796,135,1803,0.54933,0.70014
71,71,2000,5th Quintile,Earn money,0.3284,54,1803,0.28176,0.38532
72,72,2000,5th Quintile,Both equally,0.6716,130,1803,0.60482,0.75837
73,73,2001,1st Quintile,Earn money,0.49853,476,2923,0.46751,0.53276
74,74,2001,1st Quintile,Both equally,0.50147,493,2923,0.47003,0.52738
75,75,2001,2nd Quintile,Earn money,0.43217,273,2923,0.39681,0.46595
76,76,2001,2nd Quintile,Both equally,0.56783,387,2923,0.53421,0.61028
77,77,2001,3rd Quintile,Earn money,0.38699,196,2923,0.36185,0.41492
78,78,2001,3rd Quintile,Both equally,0.61301,327,2923,0.57335,0.65316
79,79,2001,4th Quintile,Earn money,0.3098,131,2923,0.27402,0.34959
80,80,2001,4th Quintile,Other reasons,0.09463,39,2923,0.08027,0.10861
81,81,2001,4th Quintile,Both equally,0.59558,261,2923,0.55155,0.64688
82,82,2001,5th Quintile,Earn money,0.20158,71,2923,0.17771,0.22711
83,83,2001,5th Quintile,Other reasons,0.11941,41,2923,0.09612,0.14546
84,84,2001,5th Quintile,Both equally,0.67901,228,2923,0.62428,0.72653
85,85,2003,1st Quintile,Earn money,0.53336,495,3015,0.4987,0.56309
86,86,2003,1st Quintile,Both equally,0.46664,430,3015,0.43561,0.49858
87,87,2003,2nd Quintile,Earn money,0.4713,292,3015,0.43813,0.50464
88,88,2003,2nd Quintile,Both equally,0.5287,323,3015,0.49292,0.56909
89,89,2003,3rd Quintile,Earn money,0.38662,183,3015,0.3357,0.42578
90,90,2003,3rd Quintile,Both equally,0.61338,312,3015,0.56608,0.65971
91,91,2003,4th Quintile,Earn money,0.39158,171,3015,0.33145,0.43487
92,92,2003,4th Quintile,Both equally,0.60842,262,3015,0.53549,0.68432
93,93,2003,5th Quintile,Earn money,0.25614,149,3015,0.22068,0.3001
94,94,2003,5th Quintile,Other reasons,0.12348,67,3015,0.09939,0.15474
95,95,2003,5th Quintile,Both equally,0.62039,331,3015,0.55718,0.69182
96,96,2005,1st Quintile,Earn money,0.45852,417,2513,0.42204,0.4906
97,97,2005,1st Quintile,Both equally,0.54148,456,2513,0.49681,0.59299
98,98,2005,2nd Quintile,Earn money,0.43854,231,2513,0.3904,0.4848
99,99,2005,2nd Quintile,Both equally,0.56146,307,2513,0.5179,0.6153
100,100,2005,3rd Quintile,Earn money,0.42164,163,2513,0.37335,0.46711
101,101,2005,3rd Quintile,Both equally,0.57836,220,2513,0.50937,0.64771
102,102,2005,4th Quintile,Earn money,0.34456,115,2513,0.29535,0.40704
103,103,2005,4th Quintile,Both equally,0.65544,212,2513,0.57515,0.7483
104,104,2005,5th Quintile,Earn money,0.28139,104,2513,0.23224,0.32252
105,105,2005,5th Quintile,Other reasons,0.10926,44,2513,0.08693,0.14375
106,106,2005,5th Quintile,Both equally,0.60935,244,2513,0.54829,0.69278
107,107,2007,1st Quintile,Earn money,0.45801,406,2479,0.42173,0.49067
108,108,2007,1st Quintile,Both equally,0.54199,475,2479,0.50906,0.58412
109,109,2007,2nd Quintile,Earn money,0.46954,225,2479,0.42881,0.53336
110,110,2007,2nd Quintile,Both equally,0.53046,269,2479,0.4853,0.57961
111,111,2007,3rd Quintile,Earn money,0.3357,122,2479,0.2805,0.38638
112,112,2007,3rd Quintile,Both equally,0.6643,238,2479,0.58964,0.76059
113,113,2007,4th Quintile,Earn money,0.3343,122,2479,0.28304,0.38556
114,114,2007,4th Quintile,Both equally,0.6657,236,2479,0.58885,0.75492
115,115,2007,5th Quintile,Earn money,0.28074,105,2479,0.22426,0.35016
116,116,2007,5th Quintile,Other reasons,0.11987,37,2479,0.08355,0.15543
117,117,2007,5th Quintile,Both equally,0.59939,244,2479,0.52613,0.6915
118,118,2009,1st Quintile,Earn money,0.54164,364,1956,0.48914,0.59558
119,119,2009,1st Quintile,Both equally,0.45836,344,1956,0.41321,0.50018
120,120,2009,2nd Quintile,Earn money,0.41193,169,1956,0.36229,0.48236
121,121,2009,2nd Quintile,Both equally,0.58807,210,1956,0.51556,0.65286
122,122,2009,3rd Quintile,Earn money,0.45424,137,1956,0.38984,0.53033
123,123,2009,3rd Quintile,Both equally,0.54576,178,1956,0.4776,0.62974
124,124,2009,4th Quintile,Earn money,0.43377,116,1956,0.36591,0.51369
125,125,2009,4th Quintile,Both equally,0.56623,168,1956,0.49352,0.66377
126,126,2009,5th Quintile,Earn money,0.3262,91,1956,0.2659,0.39027
127,127,2009,5th Quintile,Both equally,0.6738,179,1956,0.55463,0.80949
128,128,2011,1st Quintile,Earn money,0.4817,251,1530,0.41516,0.55169
129,129,2011,1st Quintile,Both equally,0.5183,303,1530,0.45084,0.58313
130,130,2011,2nd Quintile,Earn money,0.41778,116,1530,0.33673,0.53134
131,131,2011,2nd Quintile,Both equally,0.58222,171,1530,0.48182,0.68839
132,132,2011,3rd Quintile,Earn money,0.48971,96,1530,0.39415,0.58161
133,133,2011,3rd Quintile,Both equally,0.51029,158,1530,0.42305,0.59458
134,134,2011,4th Quintile,Earn money,0.41672,85,1530,0.32936,0.52406
135,135,2011,4th Quintile,Both equally,0.58328,136,1530,0.47066,0.69967
136,136,2011,5th Quintile,Earn money,0.35211,75,1530,0.27774,0.44361
137,137,2011,5th Quintile,Both equally,0.64789,139,1530,0.55278,0.76305
138,138,2013,1st Quintile,Earn money,0.48525,372,1925,0.43392,0.54715
139,139,2013,1st Quintile,Other reasons,0.05672,32,1925,0.0317,0.07942
140,140,2013,1st Quintile,Both equally,0.45803,377,1925,0.41157,0.51016
141,141,2013,2nd Quintile,Earn money,0.44872,142,1925,0.3705,0.52827
142,142,2013,2nd Quintile,Both equally,0.55128,185,1925,0.46754,0.64469
143,143,2013,3rd Quintile,Earn money,0.45549,114,1925,0.37599,0.55517
144,144,2013,3rd Quintile,Both equally,0.54451,174,1925,0.46932,0.6123
145,145,2013,4th Quintile,Earn money,0.31002,76,1925,0.25663,0.367
146,146,2013,4th Quintile,Other reasons,0.10497,33,1925,0.07904,0.13558
147,147,2013,4th Quintile,Both equally,0.58501,148,1925,0.508,0.67074
148,148,2013,5th Quintile,Earn money,0.27433,83,1925,0.22305,0.333
149,149,2013,5th Quintile,Other reasons,0.22079,43,1925,0.17186,0.2864
150,150,2013,5th Quintile,Both equally,0.50488,146,1925,0.42837,0.57744
151,151,2017,1st Quintile,Earn money,0.40444,584,2946,0.35627,0.45241
152,152,2017,1st Quintile,Other reasons,0.05899,91,2946,0.04504,0.07307
153,153,2017,1st Quintile,Both equally,0.53657,725,2946,0.48407,0.58106
154,154,2017,2nd Quintile,Earn money,0.39159,236,2946,0.31872,0.47151
155,155,2017,2nd Quintile,Other reasons,0.05071,36,2946,0.02995,0.07446
156,156,2017,2nd Quintile,Both equally,0.5577,318,2946,0.48325,0.63873
157,157,2017,3rd Quintile,Earn money,0.3798,130,2946,0.2953,0.48886
158,158,2017,3rd Quintile,Other reasons,0.11793,41,2946,0.07716,0.17324
159,159,2017,3rd Quintile,Both equally,0.50227,205,2946,0.43226,0.58644
160,160,2017,4th Quintile,Earn money,0.34079,117,2946,0.27709,0.39992
161,161,2017,4th Quintile,Other reasons,0.09151,35,2946,0.05939,0.13101
162,162,2017,4th Quintile,Both equally,0.56771,175,2946,0.45406,0.6629
163,163,2017,5th Quintile,Earn money,0.27607,67,2946,0.19701,0.39332
164,164,2017,5th Quintile,Other reasons,0.12823,35,2946,0.08759,0.17702
165,165,2017,5th Quintile,Both equally,0.5957,151,2946,0.47938,0.71227
