,Unnamed: 0,year,quintil_oecd,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
129,129,1999,5th Quintile,No,0.88051,2340,13638,0.85775,0.9096
130,130,2000,1st Quintile,Yes,0.16095,327,13246,0.14928,0.17383
131,131,2000,1st Quintile,No,0.83905,2250,13246,0.81531,0.86034
132,132,2000,2nd Quintile,Yes,0.14318,327,13246,0.13311,0.15307
133,133,2000,2nd Quintile,No,0.85682,2426,13246,0.82832,0.88559
134,134,2000,3rd Quintile,Yes,0.11814,280,13246,0.10959,0.12758
135,135,2000,3rd Quintile,No,0.88186,2427,13246,0.85902,0.91029
136,136,2000,4th Quintile,Yes,0.12875,278,13246,0.11874,0.13947
137,137,2000,4th Quintile,No,0.87125,2406,13246,0.84482,0.90209
138,138,2000,5th Quintile,Yes,0.12808,265,13246,0.1188,0.1385
139,139,2000,5th Quintile,No,0.87192,2260,13246,0.84343,0.8991
140,140,2001,1st Quintile,Yes,0.1361,456,21826,0.12821,0.14396
141,141,2001,1st Quintile,No,0.8639,3388,21826,0.84428,0.88375
142,142,2001,2nd Quintile,Yes,0.12383,477,21826,0.11803,0.13086
143,143,2001,2nd Quintile,No,0.87617,3887,21826,0.86148,0.89121
144,144,2001,3rd Quintile,Yes,0.12869,512,21826,0.12292,0.13462
145,145,2001,3rd Quintile,No,0.87131,4005,21826,0.85562,0.88826
146,146,2001,4th Quintile,Yes,0.12093,487,21826,0.11475,0.12737
147,147,2001,4th Quintile,No,0.87907,4099,21826,0.86434,0.89838
148,148,2001,5th Quintile,Yes,0.11545,448,21826,0.10918,0.1225
149,149,2001,5th Quintile,No,0.88455,4067,21826,0.86634,0.90116
150,150,2002,1st Quintile,Yes,0.1481,467,20674,0.13996,0.15572
151,151,2002,1st Quintile,No,0.8519,2966,20674,0.83041,0.86827
152,152,2002,2nd Quintile,Yes,0.14392,501,20674,0.13684,0.15075
153,153,2002,2nd Quintile,No,0.85608,3420,20674,0.83781,0.87298
154,154,2002,3rd Quintile,Yes,0.1378,497,20674,0.13158,0.14479
155,155,2002,3rd Quintile,No,0.8622,3552,20674,0.84862,0.88257
156,156,2002,4th Quintile,Yes,0.1333,475,20674,0.12659,0.1398
157,157,2002,4th Quintile,No,0.8667,3848,20674,0.84709,0.88623
158,158,2002,5th Quintile,Yes,0.11797,475,20674,0.11073,0.12639
159,159,2002,5th Quintile,No,0.88203,4473,20674,0.86068,0.90219
160,160,2003,1st Quintile,Yes,0.13793,431,22047,0.13155,0.1458
161,161,2003,1st Quintile,No,0.86207,2942,22047,0.84276,0.88262
162,162,2003,2nd Quintile,Yes,0.13906,482,22047,0.13267,0.14492
163,163,2003,2nd Quintile,No,0.86094,3368,22047,0.84234,0.88233
164,164,2003,3rd Quintile,Yes,0.13814,488,22047,0.13053,0.1444
165,165,2003,3rd Quintile,No,0.86186,3626,22047,0.84301,0.88378
166,166,2003,4th Quintile,Yes,0.12959,513,22047,0.12112,0.13763
167,167,2003,4th Quintile,No,0.87041,3900,22047,0.84948,0.89463
168,168,2003,5th Quintile,Yes,0.1151,566,22047,0.1052,0.12306
169,169,2003,5th Quintile,No,0.8849,5731,22047,0.865,0.90292
170,170,2004,1st Quintile,Yes,0.14428,421,21519,0.13548,0.15264
171,171,2004,1st Quintile,No,0.85572,2855,21519,0.8337,0.87804
172,172,2004,2nd Quintile,Yes,0.14255,501,21519,0.13543,0.14946
173,173,2004,2nd Quintile,No,0.85745,3295,21519,0.83989,0.87667
174,174,2004,3rd Quintile,Yes,0.14074,488,21519,0.13213,0.14942
175,175,2004,3rd Quintile,No,0.85926,3432,21519,0.83767,0.88193
176,176,2004,4th Quintile,Yes,0.14141,500,21519,0.13203,0.15027
177,177,2004,4th Quintile,No,0.85859,3834,21519,0.83793,0.88294
178,178,2004,5th Quintile,Yes,0.11338,589,21519,0.10516,0.12112
179,179,2004,5th Quintile,No,0.88662,5604,21519,0.8625,0.90786
180,180,2005,1st Quintile,Yes,0.13815,398,20567,0.12965,0.14644
181,181,2005,1st Quintile,No,0.86185,2736,20567,0.84254,0.88309
182,182,2005,2nd Quintile,Yes,0.14499,508,20567,0.13775,0.15278
183,183,2005,2nd Quintile,No,0.85501,3152,20567,0.83103,0.87609
184,184,2005,3rd Quintile,Yes,0.13209,465,20567,0.12547,0.1394
185,185,2005,3rd Quintile,No,0.86791,3255,20567,0.84814,0.89421
186,186,2005,4th Quintile,Yes,0.13945,493,20567,0.13152,0.14739
187,187,2005,4th Quintile,No,0.86055,3686,20567,0.83891,0.88058
188,188,2005,5th Quintile,Yes,0.11671,586,20567,0.10832,0.12487
189,189,2005,5th Quintile,No,0.88329,5288,20567,0.86026,0.9088
190,190,2006,1st Quintile,Yes,0.1539,403,19283,0.14391,0.16243
191,191,2006,1st Quintile,No,0.8461,2542,19283,0.81899,0.87515
192,192,2006,2nd Quintile,Yes,0.16496,491,19283,0.15517,0.17412
193,193,2006,2nd Quintile,No,0.83504,2785,19283,0.80992,0.85997
194,194,2006,3rd Quintile,Yes,0.13503,470,19283,0.12623,0.14361
195,195,2006,3rd Quintile,No,0.86497,3160,19283,0.83866,0.89174
196,196,2006,4th Quintile,Yes,0.13602,459,19283,0.12696,0.14466
197,197,2006,4th Quintile,No,0.86398,3471,19283,0.83785,0.89112
198,198,2006,5th Quintile,Yes,0.11779,571,19283,0.10695,0.12694
199,199,2006,5th Quintile,No,0.88221,4931,19283,0.85358,0.90746
200,200,2007,1st Quintile,Yes,0.15116,458,20410,0.14252,0.15982
201,201,2007,1st Quintile,No,0.84884,2697,20410,0.825,0.87399
202,202,2007,2nd Quintile,Yes,0.14921,485,20410,0.13812,0.15804
203,203,2007,2nd Quintile,No,0.85079,3056,20410,0.82971,0.8735
204,204,2007,3rd Quintile,Yes,0.13918,514,20410,0.1306,0.1476
205,205,2007,3rd Quintile,No,0.86082,3317,20410,0.84172,0.88592
206,206,2007,4th Quintile,Yes,0.1351,524,20410,0.12679,0.14334
207,207,2007,4th Quintile,No,0.8649,3780,20410,0.84423,0.88789
208,208,2007,5th Quintile,Yes,0.1176,571,20410,0.10855,0.12859
209,209,2007,5th Quintile,No,0.8824,5008,20410,0.86058,0.90809
210,210,2008,1st Quintile,Yes,0.15689,449,19226,0.14673,0.16831
211,211,2008,1st Quintile,No,0.84311,2554,19226,0.81997,0.86761
212,212,2008,2nd Quintile,Yes,0.14267,444,19226,0.13341,0.15173
213,213,2008,2nd Quintile,No,0.85733,2885,19226,0.83282,0.88678
214,214,2008,3rd Quintile,Yes,0.14214,499,19226,0.133,0.15218
215,215,2008,3rd Quintile,No,0.85786,3259,19226,0.83115,0.88565
216,216,2008,4th Quintile,Yes,0.13119,474,19226,0.12356,0.14127
217,217,2008,4th Quintile,No,0.86881,3446,19226,0.84274,0.89246
218,218,2008,5th Quintile,Yes,0.11081,540,19226,0.10362,0.11902
219,219,2008,5th Quintile,No,0.88919,4676,19226,0.86405,0.91726
220,220,2009,1st Quintile,Yes,0.1705,472,17928,0.15942,0.18351
221,221,2009,1st Quintile,No,0.8295,2383,17928,0.80037,0.85755
222,222,2009,2nd Quintile,Yes,0.14921,452,17928,0.13835,0.1636
223,223,2009,2nd Quintile,No,0.85079,2698,17928,0.81982,0.88227
224,224,2009,3rd Quintile,Yes,0.13194,438,17928,0.12147,0.1426
225,225,2009,3rd Quintile,No,0.86806,2987,17928,0.83397,0.90026
226,226,2009,4th Quintile,Yes,0.12187,424,17928,0.11217,0.13266
227,227,2009,4th Quintile,No,0.87813,3294,17928,0.84304,0.90349
228,228,2009,5th Quintile,Yes,0.11586,525,17928,0.10681,0.12416
229,229,2009,5th Quintile,No,0.88414,4255,17928,0.85456,0.91175
230,230,2010,1st Quintile,Yes,0.18915,415,16576,0.17567,0.20386
231,231,2010,1st Quintile,No,0.81085,2222,16576,0.77812,0.84544
232,232,2010,2nd Quintile,Yes,0.17926,465,16576,0.16681,0.19404
233,233,2010,2nd Quintile,No,0.82074,2517,16576,0.79074,0.85688
234,234,2010,3rd Quintile,Yes,0.15221,432,16576,0.14098,0.16443
235,235,2010,3rd Quintile,No,0.84779,2732,16576,0.81226,0.88234
236,236,2010,4th Quintile,Yes,0.11907,414,16576,0.11013,0.12947
237,237,2010,4th Quintile,No,0.88093,3007,16576,0.85127,0.91391
238,238,2010,5th Quintile,Yes,0.11387,468,16576,0.10211,0.12373
239,239,2010,5th Quintile,No,0.88613,3904,16576,0.85601,0.9178
240,240,2011,1st Quintile,Yes,0.1745,534,21770,0.16093,0.18836
241,241,2011,1st Quintile,No,0.8255,3967,21770,0.79417,0.85178
242,242,2011,2nd Quintile,Yes,0.16322,488,21770,0.15243,0.17689
243,243,2011,2nd Quintile,No,0.83678,3920,21770,0.80055,0.87399
244,244,2011,3rd Quintile,Yes,0.14393,455,21770,0.13259,0.15634
245,245,2011,3rd Quintile,No,0.85607,3625,21770,0.82626,0.89298
246,246,2011,4th Quintile,Yes,0.11685,407,21770,0.10552,0.12921
247,247,2011,4th Quintile,No,0.88315,3606,21770,0.84589,0.91021
248,248,2011,5th Quintile,Yes,0.11869,477,21770,0.10823,0.12948
249,249,2011,5th Quintile,No,0.88131,4291,21770,0.84983,0.90859
250,250,2012,1st Quintile,Yes,0.17522,684,25088,0.16308,0.18613
251,251,2012,1st Quintile,No,0.82478,4680,25088,0.78994,0.85542
252,252,2012,2nd Quintile,Yes,0.17162,637,25088,0.16036,0.18388
253,253,2012,2nd Quintile,No,0.82838,4278,25088,0.79814,0.86003
254,254,2012,3rd Quintile,Yes,0.14119,527,25088,0.13073,0.15319
255,255,2012,3rd Quintile,No,0.85881,4287,25088,0.82723,0.88629
256,256,2012,4th Quintile,Yes,0.13015,545,25088,0.12167,0.14183
257,257,2012,4th Quintile,No,0.86985,4216,25088,0.83743,0.90061
258,258,2012,5th Quintile,Yes,0.10985,509,25088,0.09945,0.12064
259,259,2012,5th Quintile,No,0.89015,4725,25088,0.85983,0.91577
260,260,2013,1st Quintile,Yes,0.20213,696,25582,0.18725,0.21552
261,261,2013,1st Quintile,No,0.79787,4463,25582,0.76876,0.82755
262,262,2013,2nd Quintile,Yes,0.16211,620,25582,0.15185,0.17386
263,263,2013,2nd Quintile,No,0.83789,4559,25582,0.81017,0.86345
264,264,2013,3rd Quintile,Yes,0.14863,608,25582,0.13942,0.159
265,265,2013,3rd Quintile,No,0.85137,4303,25582,0.8223,0.87918
266,266,2013,4th Quintile,Yes,0.12377,539,25582,0.11387,0.13312
267,267,2013,4th Quintile,No,0.87623,4336,25582,0.84714,0.90593
268,268,2013,5th Quintile,Yes,0.11858,569,25582,0.10637,0.12674
269,269,2013,5th Quintile,No,0.88142,4889,25582,0.85476,0.90816
270,270,2014,1st Quintile,Yes,0.18093,746,27016,0.1681,0.19208
271,271,2014,1st Quintile,No,0.81907,5038,27016,0.79415,0.84464
272,272,2014,2nd Quintile,Yes,0.17603,692,27016,0.16477,0.18845
273,273,2014,2nd Quintile,No,0.82397,4818,27016,0.79329,0.85374
274,274,2014,3rd Quintile,Yes,0.14479,614,27016,0.13511,0.15386
275,275,2014,3rd Quintile,No,0.85521,4558,27016,0.82318,0.88284
276,276,2014,4th Quintile,Yes,0.13772,608,27016,0.12873,0.14812
277,277,2014,4th Quintile,No,0.86228,4541,27016,0.83472,0.88875
278,278,2014,5th Quintile,Yes,0.10037,517,27016,0.09164,0.11016
279,279,2014,5th Quintile,No,0.89963,4884,27016,0.87212,0.9298
280,280,2015,1st Quintile,Yes,0.18002,632,25007,0.16711,0.19299
281,281,2015,1st Quintile,No,0.81998,4390,25007,0.78548,0.85061
282,282,2015,2nd Quintile,Yes,0.16639,650,25007,0.15475,0.17915
283,283,2015,2nd Quintile,No,0.83361,4616,25007,0.80398,0.86406
284,284,2015,3rd Quintile,Yes,0.15345,588,25007,0.13962,0.16349
285,285,2015,3rd Quintile,No,0.84655,4284,25007,0.81723,0.88056
286,286,2015,4th Quintile,Yes,0.1264,515,25007,0.11728,0.13643
287,287,2015,4th Quintile,No,0.8736,4244,25007,0.84425,0.90366
288,288,2015,5th Quintile,Yes,0.10779,517,25007,0.09814,0.11734
289,289,2015,5th Quintile,No,0.89221,4571,25007,0.86686,0.9227
290,290,2016,1st Quintile,Yes,0.17465,622,24198,0.16117,0.18954
291,291,2016,1st Quintile,No,0.82535,4397,24198,0.79696,0.85369
292,292,2016,2nd Quintile,Yes,0.1622,623,24198,0.15041,0.176
293,293,2016,2nd Quintile,No,0.8378,4528,24198,0.80603,0.86638
294,294,2016,3rd Quintile,Yes,0.14823,563,24198,0.13688,0.16209
295,295,2016,3rd Quintile,No,0.85177,4077,24198,0.82914,0.88189
296,296,2016,4th Quintile,Yes,0.11877,472,24198,0.10987,0.12754
297,297,2016,4th Quintile,No,0.88123,4105,24198,0.84841,0.91296
298,298,2016,5th Quintile,Yes,0.10658,473,24198,0.09596,0.1172
299,299,2016,5th Quintile,No,0.89342,4338,24198,0.86233,0.91874
300,300,2017,1st Quintile,Yes,0.181,619,22775,0.16632,0.19647
301,301,2017,1st Quintile,No,0.819,4039,22775,0.78446,0.85561
302,302,2017,2nd Quintile,Yes,0.16732,581,22775,0.15231,0.18034
303,303,2017,2nd Quintile,No,0.83268,4260,22775,0.80083,0.86294
304,304,2017,3rd Quintile,Yes,0.14521,529,22775,0.13464,0.15562
305,305,2017,3rd Quintile,No,0.85479,3875,22775,0.82401,0.89181
306,306,2017,4th Quintile,Yes,0.11349,481,22775,0.10409,0.12214
307,307,2017,4th Quintile,No,0.88651,3850,22775,0.85688,0.91799
308,308,2017,5th Quintile,Yes,0.10351,422,22775,0.0939,0.1145
309,309,2017,5th Quintile,No,0.89649,4119,22775,0.86115,0.931
310,310,2018,1st Quintile,Yes,0.18493,661,24341,0.17169,0.2007
311,311,2018,1st Quintile,No,0.81507,4012,24341,0.78099,0.84315
312,312,2018,2nd Quintile,Yes,0.15951,686,24341,0.14939,0.17173
313,313,2018,2nd Quintile,No,0.84049,4556,24341,0.81198,0.86786
314,314,2018,3rd Quintile,Yes,0.14911,595,24341,0.13752,0.16116
315,315,2018,3rd Quintile,No,0.85089,4155,24341,0.82603,0.87848
316,316,2018,4th Quintile,Yes,0.12214,512,24341,0.11217,0.13252
317,317,2018,4th Quintile,No,0.87786,4092,24341,0.85268,0.91079
318,318,2018,5th Quintile,Yes,0.09184,464,24341,0.08329,0.10181
319,319,2018,5th Quintile,No,0.90816,4608,24341,0.88165,0.93683
320,320,2019,1st Quintile,Yes,0.19081,636,22661,0.17549,0.20791
321,321,2019,1st Quintile,No,0.80919,3743,22661,0.77621,0.84129
322,322,2019,2nd Quintile,Yes,0.15788,648,22661,0.14521,0.16777
323,323,2019,2nd Quintile,No,0.84212,4101,22661,0.81021,0.87296
324,324,2019,3rd Quintile,Yes,0.14574,551,22661,0.13602,0.15708
325,325,2019,3rd Quintile,No,0.85426,3944,22661,0.82435,0.88099
326,326,2019,4th Quintile,Yes,0.11777,493,22661,0.10577,0.12946
327,327,2019,4th Quintile,No,0.88223,3772,22661,0.84709,0.91591
328,328,2019,5th Quintile,Yes,0.09633,472,22661,0.08786,0.10538
329,329,2019,5th Quintile,No,0.90367,4301,22661,0.87716,0.93646
330,330,2020,1st Quintile,Yes,0.18358,692,26085,0.16942,0.19738
331,331,2020,1st Quintile,No,0.81642,5908,26085,0.77496,0.85275
332,332,2020,2nd Quintile,Yes,0.16231,667,26085,0.14868,0.17866
333,333,2020,2nd Quintile,No,0.83769,4019,26085,0.80637,0.86939
334,334,2020,3rd Quintile,Yes,0.14079,564,26085,0.12981,0.155
335,335,2020,3rd Quintile,No,0.85921,3827,26085,0.82939,0.88784
336,336,2020,4th Quintile,Yes,0.11747,488,26085,0.10801,0.12686
337,337,2020,4th Quintile,No,0.88253,3931,26085,0.84969,0.91524
338,338,2020,5th Quintile,Yes,0.09976,502,26085,0.08949,0.11076
339,339,2020,5th Quintile,No,0.90024,5487,26085,0.87125,0.93372
340,340,2021,1st Quintile,Yes,0.2034,564,18958,0.17784,0.22412
341,341,2021,1st Quintile,No,0.7966,4169,18958,0.74972,0.83335
342,342,2021,2nd Quintile,Yes,0.15578,491,18958,0.14408,0.16949
343,343,2021,2nd Quintile,No,0.84422,3114,18958,0.80939,0.88238
344,344,2021,3rd Quintile,Yes,0.13605,357,18958,0.11779,0.15296
345,345,2021,3rd Quintile,No,0.86395,2693,18958,0.82493,0.90268
346,346,2021,4th Quintile,Yes,0.13245,368,18958,0.11988,0.14937
347,347,2021,4th Quintile,No,0.86755,2891,18958,0.82681,0.9082
348,348,2021,5th Quintile,Yes,0.09783,368,18958,0.08657,0.11064
349,349,2021,5th Quintile,No,0.90217,3943,18958,0.86013,0.93907
