,Unnamed: 0,year,regtyp,sex,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
102,102,2000,Rural regions,female,Yes,0.09594,362,24020,0.09061,0.1023
103,103,2000,Rural regions,female,No,0.90406,3954,24020,0.88865,0.92078
104,104,2001,Urban regions,male,Yes,0.14149,873,21828,0.13576,0.14652
105,105,2001,Urban regions,male,No,0.85851,5923,21828,0.84505,0.87269
106,106,2001,Urban regions,female,Yes,0.11873,761,21828,0.11325,0.1233
107,107,2001,Urban regions,female,No,0.88127,6686,21828,0.86779,0.89216
108,108,2001,Rural regions,male,Yes,0.13724,433,21828,0.13095,0.14433
109,109,2001,Rural regions,male,No,0.86276,3251,21828,0.84482,0.88315
110,110,2001,Rural regions,female,Yes,0.09107,313,21828,0.08489,0.09749
111,111,2001,Rural regions,female,No,0.90893,3588,21828,0.89182,0.92859
112,112,2002,Urban regions,male,Yes,0.14921,929,22895,0.14304,0.15608
113,113,2002,Urban regions,male,No,0.85079,6384,22895,0.83328,0.86763
114,114,2002,Urban regions,female,Yes,0.12661,810,22895,0.12151,0.13277
115,115,2002,Urban regions,female,No,0.87339,7065,22895,0.85863,0.88988
116,116,2002,Rural regions,male,Yes,0.14348,466,22895,0.13574,0.15145
117,117,2002,Rural regions,male,No,0.85652,3289,22895,0.83656,0.8761
118,118,2002,Rural regions,female,Yes,0.10547,341,22895,0.09807,0.11204
119,119,2002,Rural regions,female,No,0.89453,3611,22895,0.87785,0.91924
120,120,2003,Urban regions,male,Yes,0.14456,894,22051,0.13809,0.14957
121,121,2003,Urban regions,male,No,0.85544,6146,22051,0.83915,0.87437
122,122,2003,Urban regions,female,Yes,0.12699,798,22051,0.12104,0.13355
123,123,2003,Urban regions,female,No,0.87301,6815,22051,0.8569,0.89155
124,124,2003,Rural regions,male,Yes,0.14742,458,22051,0.13825,0.1558
125,125,2003,Rural regions,male,No,0.85258,3131,22051,0.83371,0.87863
126,126,2003,Rural regions,female,Yes,0.09954,330,22051,0.09288,0.10849
127,127,2003,Rural regions,female,No,0.90046,3479,22051,0.87933,0.92643
128,128,2004,Urban regions,male,Yes,0.14936,897,21522,0.1416,0.15587
129,129,2004,Urban regions,male,No,0.85064,5950,21522,0.83308,0.86703
130,130,2004,Urban regions,female,Yes,0.12955,806,21522,0.1242,0.13629
131,131,2004,Urban regions,female,No,0.87045,6636,21522,0.8529,0.88649
132,132,2004,Rural regions,male,Yes,0.15082,457,21522,0.14113,0.16027
133,133,2004,Rural regions,male,No,0.84918,3048,21522,0.82209,0.87423
134,134,2004,Rural regions,female,Yes,0.10858,340,21522,0.10079,0.11675
135,135,2004,Rural regions,female,No,0.89142,3388,21522,0.8685,0.91206
136,136,2005,Urban regions,male,Yes,0.14837,888,20570,0.14044,0.1542
137,137,2005,Urban regions,male,No,0.85163,5644,20570,0.83264,0.87087
138,138,2005,Urban regions,female,Yes,0.12395,770,20570,0.11771,0.12986
139,139,2005,Urban regions,female,No,0.87605,6372,20570,0.85988,0.89245
140,140,2005,Rural regions,male,Yes,0.15135,452,20570,0.14266,0.16026
141,141,2005,Rural regions,male,No,0.84865,2862,20570,0.82043,0.87755
142,142,2005,Rural regions,female,Yes,0.10939,340,20570,0.10102,0.11773
143,143,2005,Rural regions,female,No,0.89061,3242,20570,0.86276,0.91688
144,144,2006,Urban regions,male,Yes,0.15045,962,21900,0.14197,0.15695
145,145,2006,Urban regions,male,No,0.84955,5896,21900,0.83248,0.86871
146,146,2006,Urban regions,female,Yes,0.1335,860,21900,0.1276,0.14033
147,147,2006,Urban regions,female,No,0.8665,6677,21900,0.84989,0.88373
148,148,2006,Rural regions,male,Yes,0.15315,500,21900,0.14298,0.16262
149,149,2006,Rural regions,male,No,0.84685,3086,21900,0.82213,0.8663
150,150,2006,Rural regions,female,Yes,0.10971,387,21900,0.10201,0.11672
151,151,2006,Rural regions,female,No,0.89029,3532,21900,0.86455,0.91224
152,152,2007,Urban regions,male,Yes,0.15328,895,20413,0.14658,0.16202
153,153,2007,Urban regions,male,No,0.84672,5443,20413,0.82971,0.86512
154,154,2007,Urban regions,female,Yes,0.13028,808,20413,0.12351,0.13746
155,155,2007,Urban regions,female,No,0.86972,6230,20413,0.84813,0.88991
156,156,2007,Rural regions,male,Yes,0.14936,475,20413,0.13928,0.15848
157,157,2007,Rural regions,male,No,0.85064,2914,20413,0.8244,0.87657
158,158,2007,Rural regions,female,Yes,0.11242,374,20413,0.10328,0.12074
159,159,2007,Rural regions,female,No,0.88758,3274,20413,0.8648,0.9157
160,160,2008,Urban regions,male,Yes,0.14463,826,19228,0.13733,0.15105
161,161,2008,Urban regions,male,No,0.85537,5150,19228,0.83379,0.87647
162,162,2008,Urban regions,female,Yes,0.13032,764,19228,0.12374,0.13782
163,163,2008,Urban regions,female,No,0.86968,5870,19228,0.85257,0.89023
164,164,2008,Rural regions,male,Yes,0.15565,469,19228,0.14529,0.16518
165,165,2008,Rural regions,male,No,0.84435,2726,19228,0.81619,0.87676
