"ple0040","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1994","(noch) kein Abschluss","Laendlicher Raum","8","0.0689418439088872","0.0306308603302049","0.107252827487569"
"Ja","1994","Hauptschule","Staedtischer Raum","577","0.179790930058183","0.167912706646558","0.191669153469809"
"Ja","1994","Hauptschule","Laendlicher Raum","264","","",""
"Ja","1994","Realschule","Staedtischer Raum","130","","",""
"Ja","1994","Realschule","Laendlicher Raum","48","0.054684737437118","0.0423819768114327","0.0669874980628033"
"Ja","1994","(Fach-)Abitur","Staedtischer Raum","41","0.0721048074550447","0.052929555628626","0.0912800592814633"
"Ja","1994","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Ja","1994","AkademikerIn","Staedtischer Raum","69","0.0783130394329588","0.0618576988942396","0.094768379971678"
"Ja","1994","AkademikerIn","Laendlicher Raum","51","0.103375888909823","0.0793727140666356","0.12737906375301"
"Nein","1994","(noch) kein Abschluss","Staedtischer Raum","605","0.904824198111802","0.882553668263624","0.927094727959981"
"Nein","1994","(noch) kein Abschluss","Laendlicher Raum","160","","",""
"Nein","1994","Hauptschule","Staedtischer Raum","3438","0.820209069941817","0.808330846530191","0.832087293353442"
"Nein","1994","Hauptschule","Laendlicher Raum","1731","","",""
"Nein","1994","Realschule","Staedtischer Raum","1588","","",""
"Nein","1994","Realschule","Laendlicher Raum","1264","","",""
"Nein","1994","(Fach-)Abitur","Staedtischer Raum","658","0.927895192544955","0.908719940718537","0.947070444371374"
"Nein","1994","(Fach-)Abitur","Laendlicher Raum","206","","",""
"Nein","1994","AkademikerIn","Staedtischer Raum","955","0.921686960567041","0.905231620028322","0.93814230110576"
"Nein","1994","AkademikerIn","Laendlicher Raum","567","0.896624111090177","0.87262093624699","0.920627285933364"
"Ja","1995","(noch) kein Abschluss","Staedtischer Raum","72","0.0997297037265027","0.0773234913808869","0.122135916072118"
"Ja","1995","(noch) kein Abschluss","Laendlicher Raum","5","0.0555071668795653","0.0224235453800541","0.0885907883790766"
"Ja","1995","Hauptschule","Staedtischer Raum","610","0.194074388528322","0.181865579966602","0.206283197090041"
"Ja","1995","Hauptschule","Laendlicher Raum","259","","",""
"Ja","1995","Realschule","Staedtischer Raum","135","","",""
"Ja","1995","Realschule","Laendlicher Raum","59","0.0591150010856732","0.0465437972487829","0.0716862049225636"
"Ja","1995","(Fach-)Abitur","Staedtischer Raum","47","0.0618677172136384","0.0452253830792463","0.0785100513480305"
"Ja","1995","(Fach-)Abitur","Laendlicher Raum","14","","",""
"Ja","1995","AkademikerIn","Staedtischer Raum","79","0.0884483973641368","0.0715607639918094","0.105336030736464"
"Ja","1995","AkademikerIn","Laendlicher Raum","52","0.105263521484445","0.0817070188462743","0.128820024122616"
"Nein","1995","(noch) kein Abschluss","Staedtischer Raum","615","0.900270296273497","0.877864083927882","0.922676508619113"
"Nein","1995","(noch) kein Abschluss","Laendlicher Raum","179","","",""
"Nein","1995","Hauptschule","Staedtischer Raum","3421","0.805925611471678","0.793716802909958","0.818134420033398"
"Nein","1995","Hauptschule","Laendlicher Raum","1748","","",""
"Nein","1995","Realschule","Staedtischer Raum","1598","","",""
"Nein","1995","Realschule","Laendlicher Raum","1293","","",""
"Nein","1995","(Fach-)Abitur","Staedtischer Raum","758","0.938132282786362","0.92148994865197","0.954774616920754"
"Nein","1995","(Fach-)Abitur","Laendlicher Raum","238","","",""
"Nein","1995","AkademikerIn","Staedtischer Raum","1007","","",""
"Nein","1995","AkademikerIn","Laendlicher Raum","600","0.894736478515555","0.871179975877384","0.918292981153726"
"Ja","1996","(noch) kein Abschluss","Staedtischer Raum","62","0.0837623427933297","0.06248163476268","0.105043050823979"
"Ja","1996","(noch) kein Abschluss","Laendlicher Raum","9","0.103086562049003","0.0598503553888188","0.146322768709187"
"Ja","1996","Hauptschule","Staedtischer Raum","613","0.198023927463013","0.185569445781604","0.210478409144422"
"Ja","1996","Hauptschule","Laendlicher Raum","288","","",""
"Ja","1996","Realschule","Staedtischer Raum","128","","",""
"Ja","1996","Realschule","Laendlicher Raum","63","0.0623531573954958","0.049502435959133","0.0752038788318586"
"Ja","1996","(Fach-)Abitur","Staedtischer Raum","41","0.0516205919311793","0.0361524066331464","0.0670887772292122"
"Ja","1996","(Fach-)Abitur","Laendlicher Raum","13","","",""
"Ja","1996","AkademikerIn","Staedtischer Raum","76","0.0808960191290843","0.0648622007293678","0.0969298375288007"
"Ja","1996","AkademikerIn","Laendlicher Raum","51","0.10339545040007","0.0800066051431963","0.126784295656944"
"Nein","1996","(noch) kein Abschluss","Staedtischer Raum","589","0.91623765720667","0.894956949176021","0.93751836523732"
"Nein","1996","(noch) kein Abschluss","Laendlicher Raum","181","","",""
"Nein","1996","Hauptschule","Staedtischer Raum","3320","0.801976072536987","0.789521590855578","0.814430554218396"
"Nein","1996","Hauptschule","Laendlicher Raum","1698","","",""
"Nein","1996","Realschule","Staedtischer Raum","1620","","",""
"Nein","1996","Realschule","Laendlicher Raum","1297","","",""
"Nein","1996","(Fach-)Abitur","Staedtischer Raum","745","0.948379408068821","0.932911222770788","0.963847593366854"
"Nein","1996","(Fach-)Abitur","Laendlicher Raum","227","","",""
"Nein","1996","AkademikerIn","Staedtischer Raum","1035","","",""
"Nein","1996","AkademikerIn","Laendlicher Raum","600","0.89660454959993","0.873215704343056","0.919993394856804"
"Ja","1997","(noch) kein Abschluss","Staedtischer Raum","63","0.0927478960010412","0.0701145148758527","0.11538127712623"
"Ja","1997","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Ja","1997","Hauptschule","Staedtischer Raum","596","0.198271777045563","0.185606908446992","0.210936645644135"
"Ja","1997","Hauptschule","Laendlicher Raum","290","","",""
"Ja","1997","Realschule","Staedtischer Raum","130","","",""
"Ja","1997","Realschule","Laendlicher Raum","63","0.0573933272864026","0.0449444651190079","0.0698421894537973"
"Ja","1997","(Fach-)Abitur","Staedtischer Raum","39","0.0492056345657009","0.0341131650417573","0.0642981040896445"
"Ja","1997","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Ja","1997","AkademikerIn","Staedtischer Raum","73","0.0805341691593734","0.0644606001126881","0.0966077382060588"
"Ja","1997","AkademikerIn","Laendlicher Raum","49","0.0849234847786493","0.0636558726358393","0.106191096921459"
"Nein","1997","(noch) kein Abschluss","Staedtischer Raum","568","0.907252103998959","0.88461872287377","0.929885485124147"
"Nein","1997","(noch) kein Abschluss","Laendlicher Raum","188","","",""
"Nein","1997","Hauptschule","Staedtischer Raum","3211","0.801728222954437","0.789063354355865","0.814393091553008"
"Nein","1997","Hauptschule","Laendlicher Raum","1622","","",""
"Nein","1997","Realschule","Staedtischer Raum","1593","","",""
"Nein","1997","Realschule","Laendlicher Raum","1278","","",""
"Nein","1997","(Fach-)Abitur","Staedtischer Raum","750","0.950794365434299","0.935701895910356","0.965886834958243"
"Nein","1997","(Fach-)Abitur","Laendlicher Raum","212","","",""
"Nein","1997","AkademikerIn","Staedtischer Raum","1028","","",""
"Nein","1997","AkademikerIn","Laendlicher Raum","611","0.915076515221351","0.893808903078541","0.936344127364161"
"Ja","1998","(noch) kein Abschluss","Staedtischer Raum","68","0.1084915572362","0.0840508594844982","0.132932254987901"
"Ja","1998","(noch) kein Abschluss","Laendlicher Raum","12","","",""
"Ja","1998","Hauptschule","Staedtischer Raum","658","0.19721748519387","0.184950958816135","0.209484011571605"
"Ja","1998","Hauptschule","Laendlicher Raum","318","0.182055536891109","0.165451912704271","0.198659161077948"
"Ja","1998","Realschule","Staedtischer Raum","138","","",""
"Ja","1998","Realschule","Laendlicher Raum","69","0.0500513261122503","0.0388741454828193","0.0612285067416813"
"Ja","1998","(Fach-)Abitur","Staedtischer Raum","46","0.0542853309737341","0.039399455026467","0.0691712069210012"
"Ja","1998","(Fach-)Abitur","Laendlicher Raum","17","","",""
"Ja","1998","AkademikerIn","Staedtischer Raum","93","0.0932375115006909","0.0770341414342063","0.109440881567176"
"Ja","1998","AkademikerIn","Laendlicher Raum","55","0.0811815499416631","0.0613286292064561","0.10103447067687"
"Nein","1998","(noch) kein Abschluss","Staedtischer Raum","554","0.8915084427638","0.867067745012099","0.915949140515502"
"Nein","1998","(noch) kein Abschluss","Laendlicher Raum","187","","",""
"Nein","1998","Hauptschule","Staedtischer Raum","3384","0.80278251480613","0.790515988428395","0.815049041183865"
"Nein","1998","Hauptschule","Laendlicher Raum","1757","","",""
"Nein","1998","Realschule","Staedtischer Raum","1769","","",""
"Nein","1998","Realschule","Laendlicher Raum","1393","","",""
"Nein","1998","(Fach-)Abitur","Staedtischer Raum","844","0.945714669026266","0.930828793078999","0.960600544973533"
"Nein","1998","(Fach-)Abitur","Laendlicher Raum","234","","",""
"Nein","1998","AkademikerIn","Staedtischer Raum","1144","","",""
"Nein","1998","AkademikerIn","Laendlicher Raum","672","0.918818450058337","0.89896552932313","0.938671370793544"
"Ja","1999","(noch) kein Abschluss","Staedtischer Raum","72","0.109504487051542","0.0846420552838213","0.134366918819263"
"Ja","1999","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Ja","1999","Hauptschule","Staedtischer Raum","652","0.199742454567021","0.187274373330425","0.212210535803616"
"Ja","1999","Hauptschule","Laendlicher Raum","316","0.18178038978215","0.165110029229178","0.198450750335123"
"Ja","1999","Realschule","Staedtischer Raum","144","","",""
"Ja","1999","Realschule","Laendlicher Raum","76","0.0580613003244666","0.0461509301139618","0.0699716705349714"
"Ja","1999","(Fach-)Abitur","Staedtischer Raum","49","0.0619562774972973","0.0459553908943145","0.0779571641002801"
"Ja","1999","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Ja","1999","AkademikerIn","Staedtischer Raum","85","0.0837251009147857","0.0682964304490492","0.0991537713805222"
"Ja","1999","AkademikerIn","Laendlicher Raum","58","0.0848129753750545","0.0644344879580045","0.105191462792104"
"Nein","1999","(noch) kein Abschluss","Staedtischer Raum","534","0.890495512948458","0.865633081180737","0.915357944716179"
"Nein","1999","(noch) kein Abschluss","Laendlicher Raum","171","","",""
"Nein","1999","Hauptschule","Staedtischer Raum","3298","0.800257545432979","0.787789464196384","0.812725626669575"
"Nein","1999","Hauptschule","Laendlicher Raum","1740","","",""
"Nein","1999","Realschule","Staedtischer Raum","1750","","",""
"Nein","1999","Realschule","Laendlicher Raum","1405","","",""
"Nein","1999","(Fach-)Abitur","Staedtischer Raum","823","0.938043722502703","0.92204283589972","0.954044609105685"
"Nein","1999","(Fach-)Abitur","Laendlicher Raum","248","","",""
"Nein","1999","AkademikerIn","Staedtischer Raum","1153","","",""
"Nein","1999","AkademikerIn","Laendlicher Raum","660","0.915187024624945","0.894808537207895","0.935565512041995"
"Ja","2000","(noch) kein Abschluss","Staedtischer Raum","51","0.0834607770673937","0.0623762385075202","0.104545315627267"
"Ja","2000","(noch) kein Abschluss","Laendlicher Raum","18","","",""
"Ja","2000","Hauptschule","Staedtischer Raum","1166","","",""
"Ja","2000","Hauptschule","Laendlicher Raum","566","0.165914399786493","0.153974539327102","0.177854260245884"
"Ja","2000","Realschule","Staedtischer Raum","264","","",""
"Ja","2000","Realschule","Laendlicher Raum","142","","",""
"Ja","2000","(Fach-)Abitur","Staedtischer Raum","100","","",""
"Ja","2000","(Fach-)Abitur","Laendlicher Raum","26","","",""
"Ja","2000","AkademikerIn","Staedtischer Raum","186","","",""
"Ja","2000","AkademikerIn","Laendlicher Raum","91","0.0842066685219759","0.0685403685781697","0.099872968465782"
"Nein","2000","(noch) kein Abschluss","Staedtischer Raum","610","0.916539222932606","0.895454684372733","0.93762376149248"
"Nein","2000","(noch) kein Abschluss","Laendlicher Raum","235","","",""
"Nein","2000","Hauptschule","Staedtischer Raum","5743","0.818445882390585","0.809356413025154","0.827535351756015"
"Nein","2000","Hauptschule","Laendlicher Raum","3163","0.834085600213507","0.822145739754116","0.846025460672898"
"Nein","2000","Realschule","Staedtischer Raum","3347","0.9078175437732","0.898382199082251","0.917252888464148"
"Nein","2000","Realschule","Laendlicher Raum","2517","","",""
"Nein","2000","(Fach-)Abitur","Staedtischer Raum","1691","","",""
"Nein","2000","(Fach-)Abitur","Laendlicher Raum","529","0.930948865804483","0.909855303927826","0.952042427681139"
"Nein","2000","AkademikerIn","Staedtischer Raum","2417","","",""
"Nein","2000","AkademikerIn","Laendlicher Raum","1116","","",""
"Ja","2001","(noch) kein Abschluss","Staedtischer Raum","42","0.072476736174301","0.0518676838994558","0.0930857884491462"
"Ja","2001","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Ja","2001","Hauptschule","Staedtischer Raum","1021","","",""
"Ja","2001","Hauptschule","Laendlicher Raum","473","0.157633474706982","0.145164815634431","0.170102133779533"
"Ja","2001","Realschule","Staedtischer Raum","265","","",""
"Ja","2001","Realschule","Laendlicher Raum","138","","",""
