year,sampreg,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,female,Yes,0.12147,884,9046,0.11474,0.12821
2002,West,female,No,0.87853,8162,9046,0.87179,0.88526
2002,East,male,Yes,0.11783,277,2620,0.10548,0.13018
2002,East,male,No,0.88217,2343,2620,0.86982,0.89452
2002,East,female,Yes,0.11311,267,2781,0.10134,0.12489
2002,East,female,No,0.88689,2514,2781,0.87511,0.89866
2003,West,male,Yes,0.15210,1082,8060,0.14426,0.15994
2003,West,male,No,0.84790,6978,8060,0.84006,0.85574
2003,West,female,Yes,0.12011,866,8673,0.11327,0.12695
2003,West,female,No,0.87989,7807,8673,0.87305,0.88673
2003,East,male,Yes,0.11752,270,2569,0.10506,0.12998
2003,East,male,No,0.88248,2299,2569,0.87002,0.89494
2003,East,female,Yes,0.11045,262,2749,0.09873,0.12217
2003,East,female,No,0.88955,2487,2749,0.87783,0.90127
2004,West,male,Yes,0.15521,1072,7860,0.14720,0.16321
2004,West,male,No,0.84479,6788,7860,0.83679,0.85280
2004,West,female,Yes,0.12609,888,8462,0.11902,0.13317
2004,West,female,No,0.87391,7574,8462,0.86683,0.88098
2004,East,male,Yes,0.12656,282,2492,0.11351,0.13962
2004,East,male,No,0.87344,2210,2492,0.86038,0.88649
2004,East,female,Yes,0.10913,258,2708,0.09739,0.12088
2004,East,female,No,0.89087,2450,2708,0.87912,0.90261
2005,West,male,Yes,0.15318,1058,7442,0.14500,0.16137
2005,West,male,No,0.84682,6384,7442,0.83863,0.85500
2005,West,female,Yes,0.12102,851,8129,0.11393,0.12811
2005,West,female,No,0.87898,7278,8129,0.87189,0.88607
2005,East,male,Yes,0.13273,282,2404,0.11917,0.14630
2005,East,male,No,0.86727,2122,2404,0.85370,0.88083
2005,East,female,Yes,0.11200,259,2595,0.09987,0.12414
2005,East,female,No,0.88800,2336,2595,0.87586,0.90013
2006,West,male,Yes,0.15420,1152,7925,0.14625,0.16216
2006,West,male,No,0.84580,6773,7925,0.83784,0.85375
2006,West,female,Yes,0.12666,960,8718,0.11967,0.13364
2006,West,female,No,0.87334,7758,8718,0.86636,0.88033
2006,East,male,Yes,0.13913,310,2519,0.12561,0.15265
2006,East,male,No,0.86087,2209,2519,0.84735,0.87439
2006,East,female,Yes,0.12201,287,2738,0.10975,0.13427
2006,East,female,No,0.87799,2451,2738,0.86573,0.89025
2007,West,male,Yes,0.15738,1078,7326,0.14904,0.16572
2007,West,male,No,0.84262,6248,7326,0.83428,0.85096
2007,West,female,Yes,0.12600,914,8102,0.11877,0.13322
2007,West,female,No,0.87400,7188,8102,0.86678,0.88123
2007,East,male,Yes,0.12958,292,2401,0.11614,0.14301
2007,East,male,No,0.87042,2109,2401,0.85699,0.88386
2007,East,female,Yes,0.11813,268,2584,0.10568,0.13058
2007,East,female,No,0.88187,2316,2584,0.86942,0.89432
2008,West,male,Yes,0.15215,1008,6883,0.14366,0.16064
2008,West,male,No,0.84785,5875,6883,0.83936,0.85634
2008,West,female,Yes,0.12730,870,7601,0.11981,0.13480
2008,West,female,No,0.87270,6731,7601,0.86520,0.88019
2008,East,male,Yes,0.13133,287,2288,0.11748,0.14517
2008,East,male,No,0.86867,2001,2288,0.85483,0.88252
2008,East,female,Yes,0.11462,242,2456,0.10202,0.12722
2008,East,female,No,0.88538,2214,2456,0.87278,0.89798
2009,West,male,Yes,0.15445,971,6382,0.14558,0.16331
2009,West,male,No,0.84555,5411,6382,0.83669,0.85442
2009,West,female,Yes,0.12846,815,7027,0.12064,0.13629
2009,West,female,No,0.87154,6212,7027,0.86371,0.87936
2009,East,male,Yes,0.12743,279,2176,0.11342,0.14144
2009,East,male,No,0.87257,1897,2176,0.85856,0.88658
2009,East,female,Yes,0.11344,247,2348,0.10061,0.12627
2009,East,female,No,0.88656,2101,2348,0.87373,0.89939
2010,West,male,Yes,0.14949,1006,8379,0.14185,0.15712
2010,West,male,No,0.85051,7373,8379,0.84288,0.85815
2010,West,female,Yes,0.12803,872,10071,0.12151,0.13456
2010,West,female,No,0.87197,9199,10071,0.86544,0.87849
2010,East,male,Yes,0.14118,297,2495,0.12751,0.15485
2010,East,male,No,0.85882,2198,2495,0.84515,0.87249
2010,East,female,Yes,0.12505,266,2956,0.11313,0.13698
2010,East,female,No,0.87495,2690,2956,0.86302,0.88687
2011,West,male,Yes,0.14535,1244,9922,0.13841,0.15228
2011,West,male,No,0.85465,8678,9922,0.84772,0.86159
2011,West,female,Yes,0.13147,1147,12036,0.12544,0.13751
2011,West,female,No,0.86853,10889,12036,0.86249,0.87456
2011,East,male,Yes,0.13155,349,2860,0.11916,0.14394
2011,East,male,No,0.86845,2511,2860,0.85606,0.88084
2011,East,female,Yes,0.12552,342,3417,0.11441,0.13663
2011,East,female,No,0.87448,3075,3417,0.86337,0.88559
2012,West,male,Yes,0.15386,1304,9708,0.14668,0.16104
2012,West,male,No,0.84614,8404,9708,0.83896,0.85332
2012,West,female,Yes,0.13132,1196,11678,0.12519,0.13745
2012,West,female,No,0.86868,10482,11678,0.86255,0.87481
2012,East,male,Yes,0.15463,389,2802,0.14124,0.16802
2012,East,male,No,0.84537,2413,2802,0.83198,0.85876
2012,East,female,Yes,0.13549,362,3344,0.12389,0.14710
2012,East,female,No,0.86451,2982,3344,0.85290,0.87611
2013,West,male,Yes,0.14524,1331,11161,0.13871,0.15178
2013,West,male,No,0.85476,9830,11161,0.84822,0.86129
2013,West,female,Yes,0.13454,1235,13280,0.12874,0.14034
2013,West,female,No,0.86546,12045,13280,0.85966,0.87126
2013,East,male,Yes,0.15328,369,2777,0.13988,0.16668
2013,East,male,No,0.84672,2408,2777,0.83332,0.86012
2013,East,female,Yes,0.12414,327,3305,0.11290,0.13539
2013,East,female,No,0.87586,2978,3305,0.86461,0.88710
2014,West,male,Yes,0.15155,1272,9874,0.14447,0.15862
2014,West,male,No,0.84845,8602,9874,0.84138,0.85553
2014,West,female,Yes,0.14195,1202,11584,0.13559,0.14830
2014,West,female,No,0.85805,10382,11584,0.85170,0.86441
2014,East,male,Yes,0.15717,362,2534,0.14300,0.17135
2014,East,male,No,0.84283,2172,2534,0.82865,0.85700
2014,East,female,Yes,0.13780,343,3031,0.12553,0.15008
2014,East,female,No,0.86220,2688,3031,0.84992,0.87447
2015,West,male,Yes,0.15059,1158,9810,0.14351,0.15767
2015,West,male,No,0.84941,8652,9810,0.84233,0.85649
2015,West,female,Yes,0.13663,1135,11476,0.13035,0.14291
2015,West,female,No,0.86337,10341,11476,0.85709,0.86965
2015,East,male,Yes,0.14763,316,2447,0.13357,0.16169
2015,East,male,No,0.85237,2131,2447,0.83831,0.86643
2015,East,female,Yes,0.13397,322,2924,0.12162,0.14632
2015,East,female,No,0.86603,2602,2924,0.85368,0.87838
2016,West,male,Yes,0.15239,1101,8819,0.14489,0.15989
2016,West,male,No,0.84761,7718,8819,0.84011,0.85511
2016,West,female,Yes,0.13186,1051,10373,0.12535,0.13837
2016,West,female,No,0.86814,9322,10373,0.86163,0.87465
2016,East,male,Yes,0.14310,293,2273,0.12870,0.15750
2016,East,male,No,0.85690,1980,2273,0.84250,0.87130
2016,East,female,Yes,0.13128,309,2739,0.11863,0.14393
2016,East,female,No,0.86872,2430,2739,0.85607,0.88137
2017,West,male,Yes,0.14564,1195,9665,0.13860,0.15267
2017,West,male,No,0.85436,8470,9665,0.84733,0.86140
2017,West,female,Yes,0.13406,1183,11241,0.12776,0.14036
2017,West,female,No,0.86594,10058,11241,0.85964,0.87224
2017,East,male,Yes,0.14351,332,2572,0.12996,0.15706
2017,East,male,No,0.85649,2240,2572,0.84294,0.87004
2017,East,female,Yes,0.12242,335,3009,0.11070,0.13413
2017,East,female,No,0.87758,2674,3009,0.86587,0.88930
2018,West,male,Yes,0.15032,1217,9256,0.14304,0.15760
2018,West,male,No,0.84968,8039,9256,0.84240,0.85696
2018,West,female,Yes,0.12900,1196,10854,0.12270,0.13531
2018,West,female,No,0.87100,9658,10854,0.86469,0.87730
2018,East,male,Yes,0.14658,333,2521,0.13277,0.16039
2018,East,male,No,0.85342,2188,2521,0.83961,0.86723
2018,East,female,Yes,0.13044,358,2953,0.11829,0.14259
2018,East,female,No,0.86956,2595,2953,0.85741,0.88171
2019,Does not apply,female,No,0.90137,34,34,0.79963,1.00310
2019,West,male,Yes,0.14620,1185,9569,0.13912,0.15328
2019,West,male,No,0.85380,8384,9569,0.84672,0.86088
2019,West,female,Yes,0.12976,1117,10470,0.12332,0.13620
2019,West,female,No,0.87024,9353,10470,0.86380,0.87668
2019,East,male,Yes,0.14685,338,2631,0.13332,0.16038
2019,East,male,No,0.85315,2293,2631,0.83962,0.86668
2019,East,female,Yes,0.14008,353,2899,0.12745,0.15272
2019,East,female,No,0.85992,2546,2899,0.84728,0.87255
2020,West,male,Yes,0.14338,1130,11166,0.13688,0.14988
2020,West,male,No,0.85662,10036,11166,0.85012,0.86312
2020,West,female,Yes,0.13092,1111,11454,0.12475,0.13710
2020,West,female,No,0.86908,10343,11454,0.86290,0.87525
2020,East,male,Yes,0.15006,343,2758,0.13673,0.16339
2020,East,male,No,0.84994,2415,2758,0.83661,0.86327
2020,East,female,Yes,0.14187,342,2933,0.12924,0.15450
2020,East,female,No,0.85813,2591,2933,0.84550,0.87076
2021,West,male,Yes,0.14453,843,7488,0.13656,0.15249
2021,West,male,No,0.85547,6645,7488,0.84751,0.86344
2021,West,female,Yes,0.13613,826,7893,0.12856,0.14370
2021,West,female,No,0.86387,7067,7893,0.85630,0.87144
2021,East,male,Yes,0.16185,238,1850,0.14506,0.17864
2021,East,male,No,0.83815,1612,1850,0.82136,0.85494
2021,East,female,Yes,0.15390,256,2026,0.13818,0.16961
2021,East,female,No,0.84610,1770,2026,0.83039,0.86182
2022,West,male,Yes,0.13276,1043,10789,0.12635,0.13916
2022,West,male,No,0.86724,9746,10789,0.86084,0.87365
2022,West,female,Yes,0.13459,1062,11204,0.12827,0.14091
2022,West,female,No,0.86541,10142,11204,0.85909,0.87173
2022,East,male,Yes,0.13941,290,2774,0.12652,0.15230
2022,East,male,No,0.86059,2484,2774,0.84770,0.87348
2022,East,female,Yes,0.14907,341,3064,0.13646,0.16168
2022,East,female,No,0.85093,2723,3064,0.83832,0.86354
