year,bula_h,quintil_oecd,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,North Rhine-Westphalia,1st Quintile,Seldom,0.21321,111,625,0.18107,0.24535
1986,North Rhine-Westphalia,1st Quintile,Never,0.06276,34,625,0.04373,0.08178
1986,North Rhine-Westphalia,2nd Quintile,At least once per week,0.37095,218,523,0.32951,0.41239
1986,North Rhine-Westphalia,2nd Quintile,At least once per month,0.34739,181,523,0.30654,0.38824
1986,North Rhine-Westphalia,2nd Quintile,Seldom,0.23724,124,523,0.20074,0.27373
1986,North Rhine-Westphalia,3rd Quintile,At least once per week,0.43002,255,542,0.38830,0.47174
1986,North Rhine-Westphalia,3rd Quintile,At least once per month,0.35053,196,542,0.31033,0.39074
1986,North Rhine-Westphalia,3rd Quintile,Seldom,0.19057,91,542,0.15748,0.22367
1986,North Rhine-Westphalia,4th Quintile,At least once per week,0.49083,308,571,0.44979,0.53187
1986,North Rhine-Westphalia,4th Quintile,At least once per month,0.31990,176,571,0.28161,0.35820
1986,North Rhine-Westphalia,4th Quintile,Seldom,0.16190,87,571,0.13166,0.19214
1986,North Rhine-Westphalia,5th Quintile,At least once per week,0.46841,256,534,0.42604,0.51077
1986,North Rhine-Westphalia,5th Quintile,At least once per month,0.37189,200,534,0.33086,0.41292
1986,North Rhine-Westphalia,5th Quintile,Seldom,0.14960,78,534,0.11932,0.17988
1986,Hesse,1st Quintile,At least once per week,0.49042,134,193,0.41970,0.56113
1986,Hesse,1st Quintile,At least once per month,0.24487,59,193,0.18404,0.30569
1986,Hesse,2nd Quintile,At least once per week,0.38439,91,160,0.30878,0.46001
1986,Hesse,2nd Quintile,At least once per month,0.38983,69,160,0.31402,0.46564
1986,Hesse,3rd Quintile,At least once per week,0.38856,69,104,0.29442,0.48269
1986,Hesse,3rd Quintile,At least once per month,0.29666,35,104,0.20844,0.38487
1986,Hesse,4th Quintile,At least once per week,0.41712,124,237,0.35421,0.48004
1986,Hesse,4th Quintile,At least once per month,0.29948,65,237,0.24104,0.35792
1986,Hesse,4th Quintile,Seldom,0.22337,48,237,0.17023,0.27651
1986,Hesse,5th Quintile,At least once per week,0.38025,99,216,0.31536,0.44514
1986,Hesse,5th Quintile,At least once per month,0.42327,84,216,0.35722,0.48931
1986,Hesse,5th Quintile,Seldom,0.17184,33,216,0.12142,0.22227
1986,"Rhineland-Palatinate, Saarland",1st Quintile,At least once per week,0.44659,70,149,0.36650,0.52669
1986,"Rhineland-Palatinate, Saarland",1st Quintile,At least once per month,0.30504,47,149,0.23086,0.37922
1986,"Rhineland-Palatinate, Saarland",1st Quintile,Seldom,0.20044,32,149,0.13595,0.26494
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,At least once per week,0.16093,34,160,0.10381,0.21805
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,At least once per month,0.51322,84,160,0.43553,0.59091
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,Seldom,0.23573,42,160,0.16975,0.30170
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,At least once per week,0.51098,87,144,0.42904,0.59291
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,At least once per month,0.38785,57,144,0.30798,0.46771
1986,"Rhineland-Palatinate, Saarland",4th Quintile,At least once per week,0.37291,60,121,0.28639,0.45944
1986,"Rhineland-Palatinate, Saarland",4th Quintile,At least once per month,0.42562,61,121,0.33715,0.51409
1986,"Rhineland-Palatinate, Saarland",5th Quintile,At least once per week,0.40260,58,101,0.30648,0.49873
1986,"Rhineland-Palatinate, Saarland",5th Quintile,At least once per month,0.36161,43,101,0.26744,0.45578
1986,Baden-Wuerttemberg,1st Quintile,At least once per week,0.43081,176,322,0.37664,0.48499
1986,Baden-Wuerttemberg,1st Quintile,At least once per month,0.26267,81,322,0.21452,0.31081
1986,Baden-Wuerttemberg,1st Quintile,Seldom,0.25039,65,322,0.20300,0.29779
1986,Baden-Wuerttemberg,2nd Quintile,At least once per week,0.39163,211,403,0.34391,0.43935
1986,Baden-Wuerttemberg,2nd Quintile,At least once per month,0.35416,133,403,0.30741,0.40091
1986,Baden-Wuerttemberg,2nd Quintile,Seldom,0.19057,59,403,0.15218,0.22896
1986,Baden-Wuerttemberg,3rd Quintile,At least once per week,0.38036,191,413,0.33348,0.42723
1986,Baden-Wuerttemberg,3rd Quintile,At least once per month,0.38872,148,413,0.34165,0.43579
1986,Baden-Wuerttemberg,3rd Quintile,Seldom,0.19029,74,413,0.15239,0.22819
1986,Baden-Wuerttemberg,4th Quintile,At least once per week,0.36658,193,391,0.31875,0.41440
1986,Baden-Wuerttemberg,4th Quintile,At least once per month,0.36945,140,391,0.32154,0.41735
1986,Baden-Wuerttemberg,4th Quintile,Seldom,0.19890,58,391,0.15928,0.23852
1986,Baden-Wuerttemberg,5th Quintile,At least once per week,0.37852,155,372,0.32916,0.42787
1986,Baden-Wuerttemberg,5th Quintile,At least once per month,0.31748,122,372,0.27011,0.36485
1986,Baden-Wuerttemberg,5th Quintile,Seldom,0.28459,95,372,0.23868,0.33051
1986,Bavaria,1st Quintile,At least once per week,0.31294,102,269,0.25743,0.36846
1986,Bavaria,1st Quintile,At least once per month,0.38347,101,269,0.32525,0.44168
1986,Bavaria,1st Quintile,Seldom,0.24579,66,269,0.19424,0.29734
1986,Bavaria,2nd Quintile,At least once per week,0.36659,132,310,0.31286,0.42032
1986,Bavaria,2nd Quintile,At least once per month,0.28433,95,310,0.23404,0.33463
1986,Bavaria,2nd Quintile,Seldom,0.29318,83,310,0.24242,0.34394
1986,Bavaria,3rd Quintile,At least once per week,0.44022,192,386,0.39063,0.48981
1986,Bavaria,3rd Quintile,At least once per month,0.27233,109,386,0.22786,0.31680
1986,Bavaria,3rd Quintile,Seldom,0.24768,85,386,0.20456,0.29080
1986,Bavaria,4th Quintile,At least once per week,0.43802,177,364,0.38698,0.48906
1986,Bavaria,4th Quintile,At least once per month,0.30811,107,364,0.26061,0.35560
1986,Bavaria,4th Quintile,Seldom,0.21545,80,364,0.17315,0.25774
1986,Bavaria,5th Quintile,At least once per week,0.46731,178,376,0.41681,0.51781
1986,Bavaria,5th Quintile,At least once per month,0.33282,132,376,0.28513,0.38051
1986,Bavaria,5th Quintile,Seldom,0.17388,66,376,0.13552,0.21224
1986,Berlin,2nd Quintile,At least once per week,0.54284,31,31,0.36458,0.72111
1986,Berlin,4th Quintile,At least once per week,0.49235,35,35,0.32431,0.66040
1986,Berlin,5th Quintile,At least once per month,0.50214,35,35,0.33407,0.67020
1988,Lower Saxony,1st Quintile,At least once per week,0.30578,85,200,0.24177,0.36980
1988,Lower Saxony,1st Quintile,At least once per month,0.35147,64,200,0.28514,0.41781
1988,Lower Saxony,1st Quintile,Seldom,0.26847,51,200,0.20689,0.33004
1988,Lower Saxony,2nd Quintile,At least once per week,0.28765,65,190,0.22312,0.35219
1988,Lower Saxony,2nd Quintile,At least once per month,0.44094,88,190,0.37015,0.51172
1988,Lower Saxony,2nd Quintile,Seldom,0.20463,37,190,0.14711,0.26214
1988,Lower Saxony,3rd Quintile,At least once per week,0.34105,65,177,0.27101,0.41109
1988,Lower Saxony,3rd Quintile,At least once per month,0.43869,78,177,0.36538,0.51201
1988,Lower Saxony,3rd Quintile,Seldom,0.20575,34,177,0.14603,0.26547
1988,Lower Saxony,4th Quintile,At least once per week,0.41984,104,237,0.35687,0.48281
1988,Lower Saxony,4th Quintile,At least once per month,0.35205,81,237,0.29111,0.41298
1988,Lower Saxony,4th Quintile,Seldom,0.21214,52,237,0.15998,0.26429
1988,Lower Saxony,5th Quintile,At least once per week,0.38582,86,207,0.31934,0.45229
1988,Lower Saxony,5th Quintile,At least once per month,0.37640,77,207,0.31024,0.44256
1988,Lower Saxony,5th Quintile,Seldom,0.22386,44,207,0.16693,0.28078
1988,North Rhine-Westphalia,1st Quintile,At least once per week,0.40601,282,632,0.36769,0.44433
1988,North Rhine-Westphalia,1st Quintile,At least once per month,0.26974,184,632,0.23511,0.30437
1988,North Rhine-Westphalia,1st Quintile,Seldom,0.24445,127,632,0.21092,0.27798
1988,North Rhine-Westphalia,1st Quintile,Never,0.07979,39,632,0.05865,0.10094
1988,North Rhine-Westphalia,2nd Quintile,At least once per week,0.41317,255,534,0.37137,0.45497
1988,North Rhine-Westphalia,2nd Quintile,At least once per month,0.35895,196,534,0.31823,0.39968
1988,North Rhine-Westphalia,2nd Quintile,Seldom,0.18375,83,534,0.15087,0.21663
1988,North Rhine-Westphalia,3rd Quintile,At least once per week,0.48105,235,461,0.43539,0.52671
1988,North Rhine-Westphalia,3rd Quintile,At least once per month,0.31339,152,461,0.27100,0.35578
1988,North Rhine-Westphalia,3rd Quintile,Seldom,0.15952,74,461,0.12606,0.19298
1988,North Rhine-Westphalia,4th Quintile,At least once per week,0.41843,220,488,0.37461,0.46224
1988,North Rhine-Westphalia,4th Quintile,At least once per month,0.37439,177,488,0.33141,0.41738
1988,North Rhine-Westphalia,4th Quintile,Seldom,0.18420,91,488,0.14977,0.21863
1988,North Rhine-Westphalia,5th Quintile,At least once per week,0.49488,265,518,0.45178,0.53798
1988,North Rhine-Westphalia,5th Quintile,At least once per month,0.34779,170,518,0.30674,0.38885
1988,North Rhine-Westphalia,5th Quintile,Seldom,0.15316,83,518,0.12211,0.18420
1988,Hesse,1st Quintile,At least once per week,0.52711,127,164,0.45046,0.60376
1988,Hesse,1st Quintile,At least once per month,0.23824,37,164,0.17284,0.30364
1988,Hesse,2nd Quintile,At least once per week,0.41689,105,163,0.34097,0.49282
1988,Hesse,2nd Quintile,At least once per month,0.33266,58,163,0.26010,0.40521
1988,Hesse,3rd Quintile,At least once per week,0.37706,73,122,0.29071,0.46342
1988,Hesse,3rd Quintile,At least once per month,0.33700,49,122,0.25278,0.42122
1988,Hesse,4th Quintile,At least once per week,0.52458,152,243,0.46166,0.58750
1988,Hesse,4th Quintile,At least once per month,0.26672,58,243,0.21100,0.32244
1988,Hesse,4th Quintile,Seldom,0.17440,33,243,0.12659,0.22220
1988,Hesse,5th Quintile,At least once per week,0.38629,78,174,0.31373,0.45885
1988,Hesse,5th Quintile,At least once per month,0.35672,63,174,0.28534,0.42811
1988,Hesse,5th Quintile,Seldom,0.20923,33,174,0.14861,0.26984
1988,"Rhineland-Palatinate, Saarland",1st Quintile,At least once per week,0.28341,54,143,0.20928,0.35753
1988,"Rhineland-Palatinate, Saarland",1st Quintile,At least once per month,0.27773,44,143,0.20407,0.35140
1988,"Rhineland-Palatinate, Saarland",1st Quintile,Seldom,0.32094,45,143,0.24416,0.39773
1988,"Rhineland-Palatinate, Saarland",2nd Quintile,At least once per week,0.39673,59,104,0.30225,0.49121
1988,"Rhineland-Palatinate, Saarland",2nd Quintile,At least once per month,0.37417,45,104,0.28072,0.46762
1988,"Rhineland-Palatinate, Saarland",3rd Quintile,At least once per week,0.50064,95,145,0.41898,0.58231
1988,"Rhineland-Palatinate, Saarland",3rd Quintile,At least once per month,0.29195,50,145,0.21769,0.36622
1988,"Rhineland-Palatinate, Saarland",4th Quintile,At least once per week,0.34571,56,112,0.25724,0.43419
1988,"Rhineland-Palatinate, Saarland",4th Quintile,At least once per month,0.40120,56,112,0.31002,0.49239
1988,"Rhineland-Palatinate, Saarland",5th Quintile,At least once per week,0.46714,56,89,0.36289,0.57138
1988,"Rhineland-Palatinate, Saarland",5th Quintile,At least once per month,0.27038,33,89,0.17758,0.36318
1988,Baden-Wuerttemberg,1st Quintile,At least once per week,0.46921,181,293,0.41197,0.52646
1988,Baden-Wuerttemberg,1st Quintile,At least once per month,0.25855,72,293,0.20833,0.30877
1988,Baden-Wuerttemberg,1st Quintile,Seldom,0.19463,40,293,0.14922,0.24005
1988,Baden-Wuerttemberg,2nd Quintile,At least once per week,0.42713,205,401,0.37866,0.47561
1988,Baden-Wuerttemberg,2nd Quintile,At least once per month,0.37748,141,401,0.32997,0.42499
1988,Baden-Wuerttemberg,2nd Quintile,Seldom,0.15601,55,401,0.12045,0.19157
1988,Baden-Wuerttemberg,3rd Quintile,At least once per week,0.44741,221,398,0.39850,0.49632
1988,Baden-Wuerttemberg,3rd Quintile,At least once per month,0.32366,117,398,0.27764,0.36969
1988,Baden-Wuerttemberg,3rd Quintile,Seldom,0.21479,60,398,0.17439,0.25519
1988,Baden-Wuerttemberg,4th Quintile,At least once per week,0.54669,237,393,0.49741,0.59597
1988,Baden-Wuerttemberg,4th Quintile,At least once per month,0.27759,113,393,0.23326,0.32192
1988,Baden-Wuerttemberg,4th Quintile,Seldom,0.13652,43,393,0.10253,0.17051
1988,Baden-Wuerttemberg,5th Quintile,At least once per week,0.43912,175,342,0.38645,0.49180
1988,Baden-Wuerttemberg,5th Quintile,At least once per month,0.35852,108,342,0.30762,0.40942
1988,Baden-Wuerttemberg,5th Quintile,Seldom,0.18555,59,342,0.14429,0.22681
1988,Bavaria,1st Quintile,At least once per week,0.45578,136,248,0.39367,0.51789
1988,Bavaria,1st Quintile,At least once per month,0.20115,55,248,0.15116,0.25114
1988,Bavaria,1st Quintile,Seldom,0.25353,57,248,0.19927,0.30778
1988,Bavaria,2nd Quintile,At least once per week,0.47799,160,299,0.42127,0.53470
1988,Bavaria,2nd Quintile,At least once per month,0.26255,81,299,0.21259,0.31251
1988,Bavaria,2nd Quintile,Seldom,0.20825,58,299,0.16214,0.25435
1988,Bavaria,3rd Quintile,At least once per week,0.45102,189,364,0.39983,0.50221
1988,Bavaria,3rd Quintile,At least once per month,0.29286,106,364,0.24605,0.33968
1988,Bavaria,3rd Quintile,Seldom,0.22107,69,364,0.17838,0.26376
1988,Bavaria,4th Quintile,At least once per week,0.47998,181,339,0.42672,0.53325
1988,Bavaria,4th Quintile,At least once per month,0.31428,96,339,0.26479,0.36377
1988,Bavaria,4th Quintile,Seldom,0.19662,62,339,0.15425,0.23899
1988,Bavaria,5th Quintile,At least once per week,0.45978,162,333,0.40617,0.51339
1988,Bavaria,5th Quintile,At least once per month,0.35603,116,333,0.30453,0.40754
1988,Bavaria,5th Quintile,Seldom,0.16015,55,333,0.12070,0.19960
1988,Berlin,2nd Quintile,At least once per week,0.64742,31,31,0.47645,0.81839
1988,Berlin,3rd Quintile,At least once per month,0.48280,37,37,0.31956,0.64603
1988,Berlin,5th Quintile,At least once per month,0.56465,43,43,0.41471,0.71460
1992,Lower Saxony,1st Quintile,At least once per week,0.33846,46,84,0.23666,0.44026
1992,Lower Saxony,1st Quintile,At least once per month,0.32809,38,84,0.22708,0.42911
1992,Lower Saxony,2nd Quintile,At least once per week,0.41003,62,112,0.31854,0.50153
1992,Lower Saxony,2nd Quintile,At least once per month,0.32716,50,112,0.23987,0.41444
1992,Lower Saxony,3rd Quintile,At least once per week,0.39306,76,194,0.32415,0.46197
1992,Lower Saxony,3rd Quintile,At least once per month,0.39480,85,194,0.32584,0.46377
1992,Lower Saxony,3rd Quintile,Seldom,0.17645,33,194,0.12266,0.23023
1992,Lower Saxony,4th Quintile,At least once per week,0.42830,123,269,0.36906,0.48755
1992,Lower Saxony,4th Quintile,At least once per month,0.39368,103,269,0.33519,0.45217
1992,Lower Saxony,4th Quintile,Seldom,0.17338,43,269,0.12805,0.21870
1992,Lower Saxony,5th Quintile,At least once per week,0.39425,94,224,0.33010,0.45839
1992,Lower Saxony,5th Quintile,At least once per month,0.40691,90,224,0.34243,0.47139
1992,Lower Saxony,5th Quintile,Seldom,0.17934,40,224,0.12899,0.22970
1992,North Rhine-Westphalia,1st Quintile,At least once per week,0.50362,176,316,0.44840,0.55884
1992,North Rhine-Westphalia,1st Quintile,At least once per month,0.29947,97,316,0.24889,0.35006
1992,North Rhine-Westphalia,1st Quintile,Seldom,0.13225,43,316,0.09484,0.16966
1992,North Rhine-Westphalia,2nd Quintile,At least once per week,0.39120,243,514,0.34897,0.43343
1992,North Rhine-Westphalia,2nd Quintile,At least once per month,0.39255,180,514,0.35030,0.43481
1992,North Rhine-Westphalia,2nd Quintile,Seldom,0.19755,91,514,0.16309,0.23200
1992,North Rhine-Westphalia,3rd Quintile,At least once per week,0.44584,272,535,0.40368,0.48800
1992,North Rhine-Westphalia,3rd Quintile,At least once per month,0.34215,165,535,0.30191,0.38239
1992,North Rhine-Westphalia,3rd Quintile,Seldom,0.19644,98,535,0.16274,0.23014
1992,North Rhine-Westphalia,4th Quintile,At least once per week,0.45488,248,497,0.41105,0.49870
1992,North Rhine-Westphalia,4th Quintile,At least once per month,0.32727,164,497,0.28598,0.36856
1992,North Rhine-Westphalia,4th Quintile,Seldom,0.18612,85,497,0.15186,0.22037
1992,North Rhine-Westphalia,5th Quintile,At least once per week,0.41511,255,580,0.37497,0.45524
1992,North Rhine-Westphalia,5th Quintile,At least once per month,0.38709,230,580,0.34742,0.42677
1992,North Rhine-Westphalia,5th Quintile,Seldom,0.18252,95,580,0.15106,0.21399
1992,Hesse,1st Quintile,At least once per week,0.43800,69,69,0.32007,0.55592
1992,Hesse,2nd Quintile,At least once per week,0.37709,78,117,0.28889,0.46528
1992,Hesse,2nd Quintile,At least once per month,0.37338,39,117,0.28536,0.46141
1992,Hesse,3rd Quintile,At least once per week,0.44006,122,178,0.36693,0.51319
1992,Hesse,3rd Quintile,At least once per month,0.29996,56,178,0.23245,0.36746
1992,Hesse,4th Quintile,At least once per week,0.38538,86,167,0.31135,0.45942
1992,Hesse,4th Quintile,At least once per month,0.39075,81,167,0.31653,0.46498
1992,Hesse,5th Quintile,At least once per week,0.42777,114,246,0.36581,0.48972
1992,Hesse,5th Quintile,At least once per month,0.34598,87,246,0.28641,0.40554
