year,quintil_oecd,sampreg,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,5th Quintile,East,At least once per month,0.41211,166,373,0.36209,0.46213
1996,5th Quintile,East,Seldom,0.29446,109,373,0.24814,0.34078
1997,1st Quintile,West,At least once per week,0.47778,904,1670,0.45382,0.50175
1997,1st Quintile,West,At least once per month,0.27634,468,1670,0.25488,0.29779
1997,1st Quintile,West,Seldom,0.20305,245,1670,0.18375,0.22235
1997,1st Quintile,West,Never,0.04284,53,1670,0.03312,0.05255
1997,1st Quintile,East,At least once per week,0.38087,254,678,0.34429,0.41744
1997,1st Quintile,East,At least once per month,0.31593,236,678,0.28091,0.35094
1997,1st Quintile,East,Seldom,0.26125,188,678,0.22816,0.29435
1997,2nd Quintile,West,At least once per week,0.45618,892,1746,0.43281,0.47955
1997,2nd Quintile,West,At least once per month,0.33092,563,1746,0.30884,0.35300
1997,2nd Quintile,West,Seldom,0.17664,248,1746,0.15874,0.19453
1997,2nd Quintile,West,Never,0.03626,43,1746,0.02749,0.04504
1997,2nd Quintile,East,At least once per week,0.31036,295,961,0.28109,0.33962
1997,2nd Quintile,East,At least once per month,0.37395,386,961,0.34334,0.40456
1997,2nd Quintile,East,Seldom,0.28666,280,961,0.25806,0.31527
1997,3rd Quintile,West,At least once per week,0.44013,859,1763,0.41695,0.46331
1997,3rd Quintile,West,At least once per month,0.32891,571,1763,0.30697,0.35085
1997,3rd Quintile,West,Seldom,0.19533,282,1763,0.17682,0.21384
1997,3rd Quintile,West,Never,0.03563,51,1763,0.02698,0.04429
1997,3rd Quintile,East,At least once per week,0.33649,265,837,0.30446,0.36852
1997,3rd Quintile,East,At least once per month,0.41346,376,837,0.38007,0.44684
1997,3rd Quintile,East,Seldom,0.23304,196,837,0.20439,0.26170
1997,4th Quintile,West,At least once per week,0.47297,968,1936,0.45072,0.49521
1997,4th Quintile,West,At least once per month,0.33239,636,1936,0.31140,0.35338
1997,4th Quintile,West,Seldom,0.17728,294,1936,0.16027,0.19430
1997,4th Quintile,West,Never,0.01736,38,1936,0.01154,0.02318
1997,4th Quintile,East,At least once per week,0.32430,220,701,0.28962,0.35898
1997,4th Quintile,East,At least once per month,0.42896,305,701,0.39229,0.46562
1997,4th Quintile,East,Seldom,0.23896,176,701,0.20737,0.27056
1997,5th Quintile,West,At least once per week,0.46217,998,2008,0.44036,0.48398
1997,5th Quintile,West,At least once per month,0.35703,705,2008,0.33607,0.37800
1997,5th Quintile,West,Seldom,0.17357,305,2008,0.15700,0.19014
1997,5th Quintile,East,At least once per week,0.27010,94,361,0.22423,0.31597
1997,5th Quintile,East,At least once per month,0.42357,169,361,0.37252,0.47461
1997,5th Quintile,East,Seldom,0.27086,98,361,0.22495,0.31676
1999,1st Quintile,West,At least once per week,0.47047,921,1783,0.44730,0.49365
1999,1st Quintile,West,At least once per month,0.27370,476,1783,0.25300,0.29440
1999,1st Quintile,West,Seldom,0.21014,319,1783,0.19122,0.22905
1999,1st Quintile,West,Never,0.04569,67,1783,0.03600,0.05539
1999,1st Quintile,East,At least once per week,0.35446,274,776,0.32078,0.38814
1999,1st Quintile,East,At least once per month,0.35343,293,776,0.31978,0.38709
1999,1st Quintile,East,Seldom,0.26148,209,776,0.23054,0.29242
1999,2nd Quintile,West,At least once per week,0.40982,829,1839,0.38733,0.43230
1999,2nd Quintile,West,At least once per month,0.34960,639,1839,0.32780,0.37140
1999,2nd Quintile,West,Seldom,0.19098,313,1839,0.17301,0.20895
1999,2nd Quintile,West,Never,0.04960,58,1839,0.03968,0.05953
1999,2nd Quintile,East,At least once per week,0.27919,291,1003,0.25141,0.30697
1999,2nd Quintile,East,At least once per month,0.41428,425,1003,0.38378,0.44478
1999,2nd Quintile,East,Seldom,0.28341,287,1003,0.25551,0.31132
1999,3rd Quintile,West,At least once per week,0.42781,853,1893,0.40552,0.45011
1999,3rd Quintile,West,At least once per month,0.33392,631,1893,0.31267,0.35517
1999,3rd Quintile,West,Seldom,0.20966,364,1893,0.19132,0.22801
1999,3rd Quintile,West,Never,0.02860,45,1893,0.02109,0.03611
1999,3rd Quintile,East,At least once per week,0.26975,247,909,0.24088,0.29862
1999,3rd Quintile,East,At least once per month,0.40152,388,909,0.36963,0.43340
1999,3rd Quintile,East,Seldom,0.30727,274,909,0.27726,0.33728
1999,4th Quintile,West,At least once per week,0.43065,943,2091,0.40942,0.45187
1999,4th Quintile,West,At least once per month,0.35678,760,2091,0.33624,0.37731
1999,4th Quintile,West,Seldom,0.19515,388,2091,0.17816,0.21214
1999,4th Quintile,East,At least once per week,0.27133,179,623,0.23638,0.30627
1999,4th Quintile,East,At least once per month,0.47521,296,623,0.43596,0.51445
1999,4th Quintile,East,Seldom,0.23980,148,623,0.20624,0.27335
1999,5th Quintile,West,At least once per week,0.41788,972,2192,0.39723,0.43853
1999,5th Quintile,West,At least once per month,0.37397,818,2192,0.35371,0.39423
1999,5th Quintile,West,Seldom,0.20025,402,2192,0.18349,0.21701
1999,5th Quintile,East,At least once per week,0.21844,111,389,0.17733,0.25956
1999,5th Quintile,East,At least once per month,0.48027,172,389,0.43056,0.52998
1999,5th Quintile,East,Seldom,0.29410,106,389,0.24876,0.33944
2001,1st Quintile,West,At least once per week,0.47071,1308,2679,0.45181,0.48962
2001,1st Quintile,West,At least once per month,0.26747,716,2679,0.25071,0.28424
2001,1st Quintile,West,Seldom,0.19569,488,2679,0.18066,0.21072
2001,1st Quintile,West,Never,0.06612,167,2679,0.05671,0.07554
2001,1st Quintile,East,At least once per week,0.35803,433,1174,0.33060,0.38547
2001,1st Quintile,East,At least once per month,0.33989,396,1174,0.31279,0.36700
2001,1st Quintile,East,Seldom,0.25278,292,1174,0.22791,0.27765
2001,1st Quintile,East,Never,0.04929,53,1174,0.03690,0.06168
2001,2nd Quintile,West,At least once per week,0.44489,1372,2936,0.42691,0.46287
2001,2nd Quintile,West,At least once per month,0.32952,962,2936,0.31252,0.34653
2001,2nd Quintile,West,Seldom,0.17959,482,2936,0.16571,0.19348
2001,2nd Quintile,West,Never,0.04599,120,2936,0.03841,0.05357
2001,2nd Quintile,East,At least once per week,0.32395,442,1390,0.29934,0.34856
2001,2nd Quintile,East,At least once per month,0.39244,567,1390,0.36676,0.41812
2001,2nd Quintile,East,Seldom,0.24582,334,1390,0.22318,0.26847
2001,2nd Quintile,East,Never,0.03778,47,1390,0.02776,0.04781
2001,3rd Quintile,West,At least once per week,0.44154,1475,3220,0.42439,0.45869
2001,3rd Quintile,West,At least once per month,0.34230,1101,3220,0.32591,0.35869
2001,3rd Quintile,West,Seldom,0.18420,552,3220,0.17081,0.19760
2001,3rd Quintile,West,Never,0.03196,92,3220,0.02588,0.03804
2001,3rd Quintile,East,At least once per week,0.30199,408,1280,0.27683,0.32715
2001,3rd Quintile,East,At least once per month,0.42140,552,1280,0.39434,0.44846
2001,3rd Quintile,East,Seldom,0.25260,320,1280,0.22879,0.27641
2001,4th Quintile,West,At least once per week,0.47009,1743,3634,0.45386,0.48632
2001,4th Quintile,West,At least once per month,0.33579,1244,3634,0.32043,0.35115
2001,4th Quintile,West,Seldom,0.17061,568,3634,0.15838,0.18284
2001,4th Quintile,West,Never,0.02351,79,3634,0.01858,0.02843
2001,4th Quintile,East,At least once per week,0.34883,329,944,0.31841,0.37925
2001,4th Quintile,East,At least once per month,0.44279,430,944,0.41109,0.47449
2001,4th Quintile,East,Seldom,0.19316,185,944,0.16796,0.21835
2001,5th Quintile,West,At least once per week,0.46814,1880,3921,0.45252,0.48377
2001,5th Quintile,West,At least once per month,0.35952,1406,3921,0.34450,0.37454
2001,5th Quintile,West,Seldom,0.15399,565,3921,0.14269,0.16528
2001,5th Quintile,West,Never,0.01835,70,3921,0.01415,0.02255
2001,5th Quintile,East,At least once per week,0.30319,170,575,0.26559,0.34079
2001,5th Quintile,East,At least once per month,0.43875,264,575,0.39816,0.47935
2001,5th Quintile,East,Seldom,0.23776,141,575,0.20293,0.27259
2005,1st Quintile,West,At least once per week,0.48673,1086,2124,0.46547,0.50800
2005,1st Quintile,West,At least once per month,0.25923,541,2124,0.24059,0.27787
2005,1st Quintile,West,Seldom,0.20191,398,2124,0.18483,0.21898
2005,1st Quintile,West,Never,0.05213,99,2124,0.04267,0.06158
2005,1st Quintile,East,At least once per week,0.37228,374,1012,0.34248,0.40208
2005,1st Quintile,East,At least once per month,0.32236,327,1012,0.29355,0.35117
2005,1st Quintile,East,Seldom,0.25536,261,1012,0.22848,0.28225
2005,1st Quintile,East,Never,0.05000,50,1012,0.03656,0.06343
2005,2nd Quintile,West,At least once per week,0.44584,1106,2399,0.42595,0.46574
2005,2nd Quintile,West,At least once per month,0.31624,767,2399,0.29763,0.33485
2005,2nd Quintile,West,Seldom,0.20139,443,2399,0.18533,0.21744
2005,2nd Quintile,West,Never,0.03654,83,2399,0.02903,0.04404
2005,2nd Quintile,East,At least once per week,0.28421,342,1214,0.25882,0.30959
2005,2nd Quintile,East,At least once per month,0.40055,485,1214,0.37297,0.42813
2005,2nd Quintile,East,Seldom,0.27427,344,1214,0.24916,0.29938
2005,2nd Quintile,East,Never,0.04097,43,1214,0.02982,0.05213
2005,3rd Quintile,West,At least once per week,0.44641,1243,2663,0.42752,0.46529
2005,3rd Quintile,West,At least once per month,0.33294,888,2663,0.31504,0.35084
2005,3rd Quintile,West,Seldom,0.19363,472,2663,0.17862,0.20864
2005,3rd Quintile,West,Never,0.02702,60,2663,0.02086,0.03318
2005,3rd Quintile,East,At least once per week,0.28998,319,1075,0.26285,0.31712
2005,3rd Quintile,East,At least once per month,0.39990,432,1075,0.37060,0.42920
2005,3rd Quintile,East,Seldom,0.27629,293,1075,0.24955,0.30304
2005,3rd Quintile,East,Never,0.03382,31,1075,0.02301,0.04463
2005,4th Quintile,West,At least once per week,0.45821,1560,3308,0.44122,0.47519
2005,4th Quintile,West,At least once per month,0.33799,1125,3308,0.32187,0.35411
2005,4th Quintile,West,Seldom,0.18656,568,3308,0.17328,0.19984
2005,4th Quintile,West,Never,0.01725,55,3308,0.01281,0.02168
2005,4th Quintile,East,At least once per week,0.29922,298,969,0.27037,0.32807
2005,4th Quintile,East,At least once per month,0.45502,430,969,0.42365,0.48639
2005,4th Quintile,East,Seldom,0.22912,241,969,0.20264,0.25560
2005,5th Quintile,West,At least once per week,0.46955,2424,5097,0.45585,0.48325
2005,5th Quintile,West,At least once per month,0.37162,1914,5097,0.35835,0.38489
2005,5th Quintile,West,Seldom,0.14676,706,5097,0.13704,0.15647
2005,5th Quintile,West,Never,0.01207,53,5097,0.00907,0.01507
2005,5th Quintile,East,At least once per week,0.28342,216,724,0.25057,0.31627
2005,5th Quintile,East,At least once per month,0.50394,344,724,0.46749,0.54038
2005,5th Quintile,East,Seldom,0.20323,164,724,0.17390,0.23257
2007,1st Quintile,West,At least once per week,0.46379,1016,2163,0.44277,0.48481
2007,1st Quintile,West,At least once per month,0.28098,611,2163,0.26204,0.29993
2007,1st Quintile,West,Seldom,0.19251,405,2163,0.17589,0.20913
2007,1st Quintile,West,Never,0.06272,131,2163,0.05250,0.07294
2007,1st Quintile,East,At least once per week,0.36887,374,1015,0.33917,0.39857
2007,1st Quintile,East,At least once per month,0.31778,329,1015,0.28912,0.34644
2007,1st Quintile,East,Seldom,0.25383,251,1015,0.22704,0.28062
2007,1st Quintile,East,Never,0.05951,61,1015,0.04495,0.07408
2007,2nd Quintile,West,At least once per week,0.41929,1081,2412,0.39960,0.43899
2007,2nd Quintile,West,At least once per month,0.33984,793,2412,0.32094,0.35875
2007,2nd Quintile,West,Seldom,0.20379,452,2412,0.18771,0.21987
2007,2nd Quintile,West,Never,0.03707,86,2412,0.02953,0.04462
2007,2nd Quintile,East,At least once per week,0.30091,340,1085,0.27360,0.32821
2007,2nd Quintile,East,At least once per month,0.42036,440,1085,0.39097,0.44974
2007,2nd Quintile,East,Seldom,0.23987,267,1085,0.21445,0.26529
2007,2nd Quintile,East,Never,0.03887,38,1085,0.02736,0.05037
2007,3rd Quintile,West,At least once per week,0.45394,1245,2689,0.43512,0.47276
2007,3rd Quintile,West,At least once per month,0.36339,993,2689,0.34521,0.38157
2007,3rd Quintile,West,Seldom,0.16455,403,2689,0.15053,0.17856
2007,3rd Quintile,West,Never,0.01812,48,2689,0.01308,0.02316
2007,3rd Quintile,East,At least once per week,0.33172,362,1159,0.30460,0.35884
2007,3rd Quintile,East,At least once per month,0.36649,447,1159,0.33874,0.39425
2007,3rd Quintile,East,Seldom,0.25652,314,1159,0.23136,0.28167
2007,3rd Quintile,East,Never,0.04527,36,1159,0.03329,0.05724
2007,4th Quintile,West,At least once per week,0.45229,1540,3295,0.43529,0.46928
2007,4th Quintile,West,At least once per month,0.37428,1218,3295,0.35775,0.39081
2007,4th Quintile,West,Seldom,0.15678,482,3295,0.14436,0.16919
2007,4th Quintile,West,Never,0.01666,55,3295,0.01229,0.02103
2007,4th Quintile,East,At least once per week,0.32585,303,994,0.29670,0.35500
2007,4th Quintile,East,At least once per month,0.48161,501,994,0.45053,0.51269
2007,4th Quintile,East,Seldom,0.17701,190,994,0.15327,0.20075
2007,5th Quintile,West,At least once per week,0.46823,2298,4856,0.45420,0.48227
2007,5th Quintile,West,At least once per month,0.37011,1825,4856,0.35653,0.38369
2007,5th Quintile,West,Seldom,0.14457,659,4856,0.13468,0.15447
2007,5th Quintile,West,Never,0.01708,74,4856,0.01344,0.02073
2007,5th Quintile,East,At least once per week,0.28985,208,714,0.25655,0.32315
2007,5th Quintile,East,At least once per month,0.49858,348,714,0.46188,0.53528
2007,5th Quintile,East,Seldom,0.20300,158,714,0.17347,0.23252
2009,1st Quintile,West,At least once per week,0.46738,895,1923,0.44507,0.48969
2009,1st Quintile,West,At least once per month,0.28283,569,1923,0.26270,0.30297
2009,1st Quintile,West,Seldom,0.19108,359,1923,0.17350,0.20866
2009,1st Quintile,West,Never,0.05871,100,1923,0.04820,0.06922
2009,1st Quintile,East,At least once per week,0.34977,287,921,0.31895,0.38059
2009,1st Quintile,East,At least once per month,0.33118,336,921,0.30077,0.36160
2009,1st Quintile,East,Seldom,0.27824,263,921,0.24928,0.30720
2009,1st Quintile,East,Never,0.04081,35,921,0.02802,0.05359
2009,2nd Quintile,West,At least once per week,0.42745,911,2080,0.40619,0.44872
2009,2nd Quintile,West,At least once per month,0.34983,724,2080,0.32933,0.37033
2009,2nd Quintile,West,Seldom,0.19442,388,2080,0.17740,0.21143
2009,2nd Quintile,West,Never,0.02830,57,2080,0.02117,0.03543
2009,2nd Quintile,East,At least once per week,0.33863,340,1062,0.31015,0.36710
2009,2nd Quintile,East,At least once per month,0.35074,398,1062,0.32203,0.37946
2009,2nd Quintile,East,Seldom,0.28421,292,1062,0.25707,0.31135
2009,2nd Quintile,East,Never,0.02642,32,1062,0.01677,0.03606
2009,3rd Quintile,West,At least once per week,0.39757,950,2322,0.37766,0.41749
2009,3rd Quintile,West,At least once per month,0.38414,899,2322,0.36435,0.40393
2009,3rd Quintile,West,Seldom,0.19965,435,2322,0.18339,0.21591
2009,3rd Quintile,West,Never,0.01864,38,2322,0.01313,0.02414
2009,3rd Quintile,East,At least once per week,0.33760,314,1051,0.30899,0.36620
2009,3rd Quintile,East,At least once per month,0.40875,454,1051,0.37902,0.43849
2009,3rd Quintile,East,Seldom,0.23622,283,1051,0.21053,0.26192
