year,pgisced97,sampreg,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1996,First Stage of Tertiary Education,West,At least once per month,0.020238520073153608,209,12565,0.02020418111580071,0.020272859030506504
1996,First Stage of Tertiary Education,West,Seldom,0.011564928939890374,98,12565,0.011538856414112312,0.011591001465668436
1996,First Stage of Tertiary Education,East,At least once per week,0.0026138180999026837,47,12565,0.0026013670233854505,0.002626269176419917
1996,First Stage of Tertiary Education,East,At least once per month,0.0058171192169347045,108,12565,0.005798574309475178,0.005835664124394231
1996,First Stage of Tertiary Education,East,Seldom,0.004052564706978892,70,12565,0.004037072234413058,0.004068057179544726
1996,Second Stage of Tertiary Education,West,At least once per week,0.043957823044762576,416,12565,0.0439078317756389,0.04400781431388625
1996,Second Stage of Tertiary Education,West,At least once per month,0.036811535954257506,360,12565,0.036765617722720335,0.036857454185794676
1996,Second Stage of Tertiary Education,West,Seldom,0.013848467511715635,138,12565,0.013819969783960119,0.013876965239471151
1996,Second Stage of Tertiary Education,East,At least once per week,0.009460524258622966,178,12565,0.009436917788933047,0.009484130728312886
1996,Second Stage of Tertiary Education,East,At least once per month,0.02064513812408058,404,12565,0.020610463122761682,0.020679813125399477
1996,Second Stage of Tertiary Education,East,Seldom,0.012477849451180715,250,12565,0.01245077991330601,0.012504918989055421
1997,Pre-primary Level,West,At least once per week,0.012972325814701976,174,12332,0.012944760338521561,0.01299989129088239
1997,Pre-primary Level,East,At least once per week,0.0032672641452464292,82,12332,0.003253362269745178,0.0032811660207476803
1997,Primary Level,West,At least once per week,0.010423746155343028,272,12332,0.010399004516888048,0.010448487793798008
1997,Primary Level,West,At least once per month,0.005501538600429579,115,12332,0.005483519377829197,0.005519557823029961
1997,Primary Level,West,Seldom,0.0029370506120169073,48,12332,0.00292386777403073,0.0029502334500030847
1997,Lower Secondary Level,West,At least once per week,0.07436633956612268,1022,12332,0.07430242502390824,0.07443025410833712
1997,Lower Secondary Level,West,At least once per month,0.05074784480989128,557,12332,0.05069437710924911,0.05080131251053345
1997,Lower Secondary Level,West,Seldom,0.03377270271548891,316,12332,0.033728696454478846,0.03381670897649898
1997,Lower Secondary Level,West,Never,0.008627036639902046,75,12332,0.008604507673519148,0.008649565606284944
1997,Lower Secondary Level,East,At least once per week,0.008510867372341472,163,12332,0.008488489293428927,0.008533245451254017
1997,Lower Secondary Level,East,At least once per month,0.005445584783670098,98,12332,0.005427656923869563,0.005463512643470634
1997,Lower Secondary Level,East,Seldom,0.004610495448538155,73,12332,0.00459399247368956,0.0046269984233867495
1997,Upper Secondary Level,West,At least once per week,0.18979657131843633,2140,12332,0.18970104278069352,0.18989209985617914
1997,Upper Secondary Level,West,At least once per month,0.14851972425807464,1544,12332,0.14843309366780147,0.1486063548483478
1997,Upper Secondary Level,West,Seldom,0.08062305062499908,694,12332,0.08055672698866152,0.08068937426133664
1997,Upper Secondary Level,West,Never,0.009946773111519844,92,12332,0.009922598345018893,0.009970947878020796
1997,Upper Secondary Level,East,At least once per week,0.03489444475398161,570,12332,0.034849739613476,0.03493914989448722
1997,Upper Secondary Level,East,At least once per month,0.04332071451191871,827,12332,0.04327112122409165,0.04337030779974577
1997,Upper Secondary Level,East,Seldom,0.02817202315504966,528,12332,0.028131714748762995,0.02821233156133633
1997,Upper Secondary Level,East,Never,0.0031746426959286833,49,12332,0.0031609386477969292,0.0031883467440604373
1997,Post-secondary Non-tertiary Level,West,At least once per week,0.018483154829865397,201,12332,0.01845034312172171,0.018515966538009083
1997,Post-secondary Non-tertiary Level,West,At least once per month,0.012163600155474456,133,12332,0.012136896821304597,0.012190303489644316
1997,Post-secondary Non-tertiary Level,West,Seldom,0.004318873593685155,40,12332,0.0043028987250914455,0.004334848462278864
1997,Post-secondary Non-tertiary Level,East,At least once per week,0.00215648862723852,37,12332,0.0021451881518119403,0.0021677891026650998
1997,First Stage of Tertiary Education,West,At least once per week,0.023348864953628805,231,12332,0.023312077940562875,0.023385651966694735
1997,First Stage of Tertiary Education,West,At least once per month,0.018328296098219513,186,12332,0.01829561955606975,0.018360972640369278
1997,First Stage of Tertiary Education,West,Seldom,0.011918825224640842,100,12332,0.01189238866429136,0.011945261784990323
1997,First Stage of Tertiary Education,East,At least once per week,0.0033910291842147674,56,12332,0.0033768673316046716,0.003405191036824863
1997,First Stage of Tertiary Education,East,At least once per month,0.004924711517873556,96,12332,0.004907658145371363,0.004941764890375748
1997,First Stage of Tertiary Education,East,Seldom,0.004012827960586415,72,12332,0.003997427133200535,0.004028228787972295
1997,Second Stage of Tertiary Education,West,At least once per week,0.045779352946363504,442,12332,0.04572843731422639,0.045830268578500616
1997,Second Stage of Tertiary Education,West,At least once per month,0.03258572818596713,334,12332,0.032542475620649484,0.03262898075128478
1997,Second Stage of Tertiary Education,West,Seldom,0.01582537618567294,139,12332,0.015794973985577814,0.015855778385768068
1997,Second Stage of Tertiary Education,East,At least once per week,0.011068112266713146,190,12332,0.011042625668143586,0.011093598865282706
1997,Second Stage of Tertiary Education,East,At least once per month,0.019337920101715575,399,12332,0.019304372885920705,0.019371467317510445
1997,Second Stage of Tertiary Education,East,Seldom,0.012726097074539125,237,12332,0.012698791057628495,0.012753403091449756
1999,Pre-primary Level,West,At least once per week,0.012163924849431818,166,13167,0.012137293372247825,0.01219055632661581
1999,Pre-primary Level,West,At least once per month,0.0022752444953445254,31,13167,0.0022636691125677453,0.0022868198781213055
1999,Pre-primary Level,East,At least once per week,0.002905590706617328,76,13167,0.002892513911767187,0.002918667501467469
1999,Primary Level,West,At least once per week,0.009039260439946165,204,13167,0.009016266646531391,0.009062254233360939
1999,Primary Level,West,At least once per month,0.005602769937736004,110,13167,0.0055846357837641735,0.005620904091707834
1999,Primary Level,West,Seldom,0.0047246539665103705,78,13167,0.004707994059332666,0.0047413138736880755
1999,Lower Secondary Level,West,At least once per week,0.07138822360144434,960,13167,0.07132567086226214,0.07145077634062653
1999,Lower Secondary Level,West,At least once per month,0.04974642029025602,636,13167,0.04969359807318527,0.04979924250732677
1999,Lower Secondary Level,West,Seldom,0.037908330927475746,395,13167,0.037861933755535135,0.03795472809941636
1999,Lower Secondary Level,West,Never,0.007832919948660658,71,13167,0.007811502378330479,0.007854337518990836
1999,Lower Secondary Level,East,At least once per week,0.008028710370696461,168,13167,0.008007028916965099,0.008050391824427823
1999,Lower Secondary Level,East,At least once per month,0.004777611257842022,99,13167,0.0047608586884902064,0.004794363827193838
1999,Lower Secondary Level,East,Seldom,0.004868760357221907,89,13167,0.004851849511381228,0.004885671203062586
1999,Upper Secondary Level,West,At least once per week,0.17674496227771716,2140,13167,0.17665228854165776,0.17683763601377656
1999,Upper Secondary Level,West,At least once per month,0.15072947427353958,1685,13167,0.1506425506005595,0.15081639794651966
1999,Upper Secondary Level,West,Seldom,0.08808126827599418,913,13167,0.08801241322582178,0.08815012332616658
1999,Upper Secondary Level,West,Never,0.011079113622604057,95,13167,0.011053683454329943,0.01110454379087817
1999,Upper Secondary Level,East,At least once per week,0.030753422163215808,558,13167,0.03071147720035329,0.030795367126078325
1999,Upper Secondary Level,East,At least once per month,0.04697769973366388,892,13167,0.046926293787574076,0.04702910567975368
1999,Upper Secondary Level,East,Seldom,0.030475115058869618,579,13167,0.030433354326309617,0.03051687579142962
1999,Upper Secondary Level,East,Never,0.002336131890303686,40,13167,0.002324403004658797,0.0023478607759485756
1999,Post-secondary Non-tertiary Level,West,At least once per week,0.018309548661239544,207,13167,0.018276976839156973,0.018342120483322115
1999,Post-secondary Non-tertiary Level,West,At least once per month,0.013317758384257358,163,13167,0.01328990870660848,0.013345608061906235
1999,Post-secondary Non-tertiary Level,West,Seldom,0.004886847809205661,54,13167,0.004869905734547206,0.004903789883864117
1999,Post-secondary Non-tertiary Level,East,At least once per month,0.0015610405841018134,31,13167,0.0015514491442518955,0.0015706320239517314
1999,First Stage of Tertiary Education,West,At least once per week,0.01942309804401051,220,13167,0.01938956939675555,0.01945662669126547
1999,First Stage of Tertiary Education,West,At least once per month,0.020501601356079834,235,13167,0.020467173362878417,0.02053602934928125
1999,First Stage of Tertiary Education,West,Seldom,0.010550802906821099,107,13167,0.010525979838852138,0.01057562597479006
1999,First Stage of Tertiary Education,East,At least once per week,0.0023635878748022596,52,13167,0.00235179042946711,0.002375385320137409
1999,First Stage of Tertiary Education,East,At least once per month,0.006032745094584904,119,13167,0.00601393203299374,0.006051558156176068
1999,First Stage of Tertiary Education,East,Seldom,0.0036234189608447395,64,13167,0.0036088211751709605,0.0036380167465185184
1999,Second Stage of Tertiary Education,West,At least once per week,0.0431326110760948,480,13167,0.043083254536610924,0.04318196761557867
1999,Second Stage of Tertiary Education,West,At least once per month,0.03750783603418869,401,13167,0.037461674997180026,0.03755399707119735
1999,Second Stage of Tertiary Education,West,Seldom,0.018504563173653375,201,13167,0.018471821602776134,0.018537304744530615
1999,Second Stage of Tertiary Education,East,At least once per week,0.008868964717988244,189,13167,0.008846186594012418,0.008891742841964069
1999,Second Stage of Tertiary Education,East,At least once per month,0.019451832358816968,397,13167,0.019418279411394086,0.01948538530623985
1999,Second Stage of Tertiary Education,East,Seldom,0.013524134518218925,262,13167,0.013496072821652454,0.013552196214785395
2001,Pre-primary Level,West,At least once per week,0.012553881344127596,315,21482,0.012527047310160808,0.012580715378094383
2001,Pre-primary Level,West,At least once per month,0.001506776223028316,34,21482,0.0014974278250668163,0.0015161246209898155
2001,Pre-primary Level,East,At least once per week,0.003763607150791774,134,21482,0.0037488492836696185,0.0037783650179139296
2001,Primary Level,West,At least once per week,0.004880388162385826,131,21482,0.004863592192893952,0.004897184131877701
2001,Primary Level,West,At least once per month,0.0031300716115965073,76,21482,0.003116608773086266,0.0031435344501067487
2001,Primary Level,West,Seldom,0.002616152688117713,54,21482,0.002603841415145282,0.0026284639610901443
2001,Primary Level,West,Never,0.0015243603955148572,34,21482,0.0015149576903783117,0.0015337631006514026
2001,Lower Secondary Level,West,At least once per week,0.056854368437786816,1278,21482,0.05679855849845249,0.056910178377121146
