,Unnamed: 0,year,quintil_oecd,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
131,131,1997,4th Quintile,At least once per week,0.45086,1187,12763,0.43328,0.47523
132,132,1997,4th Quintile,At least once per month,0.35029,956,12763,0.3349,0.3672
133,133,1997,4th Quintile,Seldom,0.18482,467,12763,0.17183,0.19956
134,134,1997,4th Quintile,Never,0.01403,41,12763,0.01032,0.01781
135,135,1997,5th Quintile,At least once per week,0.43978,1108,12763,0.41721,0.4616
136,136,1997,5th Quintile,At least once per month,0.36647,875,12763,0.34842,0.38452
137,137,1997,5th Quintile,Seldom,0.18353,414,12763,0.16962,0.20125
138,138,1997,5th Quintile,Never,0.01021,36,12763,0.00872,0.01195
139,139,1999,1st Quintile,At least once per week,0.43303,1174,13597,0.41722,0.44987
140,140,1999,1st Quintile,At least once per month,0.30213,773,13597,0.28639,0.3198
141,141,1999,1st Quintile,Seldom,0.22125,533,13597,0.20915,0.23656
142,142,1999,1st Quintile,Never,0.04359,91,13597,0.03838,0.04902
143,143,1999,2nd Quintile,At least once per week,0.38129,1130,13597,0.36311,0.39903
144,144,1999,2nd Quintile,At least once per month,0.35525,1052,13597,0.33965,0.3711
145,145,1999,2nd Quintile,Seldom,0.22032,601,13597,0.2103,0.23463
146,146,1999,2nd Quintile,Never,0.04314,81,13597,0.03722,0.05005
147,147,1999,3rd Quintile,At least once per week,0.40339,1124,13597,0.38758,0.42094
148,148,1999,3rd Quintile,At least once per month,0.34335,1000,13597,0.32928,0.36153
149,149,1999,3rd Quintile,Seldom,0.22753,634,13597,0.21455,0.24083
150,150,1999,3rd Quintile,Never,0.02573,56,13597,0.02056,0.03099
151,151,1999,4th Quintile,At least once per week,0.40653,1125,13597,0.38847,0.42561
152,152,1999,4th Quintile,At least once per month,0.37917,1078,13597,0.36036,0.39754
153,153,1999,4th Quintile,Seldom,0.1978,526,13597,0.184,0.20821
154,154,1999,4th Quintile,Never,0.01649,41,13597,0.01333,0.01996
155,155,1999,5th Quintile,At least once per week,0.39653,1067,13597,0.37952,0.41605
156,156,1999,5th Quintile,At least once per month,0.38914,995,13597,0.37248,0.40649
157,157,1999,5th Quintile,Seldom,0.21434,516,13597,0.20171,0.22846
158,158,2001,1st Quintile,At least once per week,0.43724,1715,21807,0.4225,0.45613
159,159,2001,1st Quintile,At least once per month,0.28615,1115,21807,0.27641,0.29496
160,160,2001,1st Quintile,Seldom,0.21362,782,21807,0.2038,0.22361
161,161,2001,1st Quintile,Never,0.06299,227,21807,0.05791,0.06774
162,162,2001,2nd Quintile,At least once per week,0.41954,1839,21807,0.40857,0.43173
163,163,2001,2nd Quintile,At least once per month,0.34366,1536,21807,0.33346,0.35286
164,164,2001,2nd Quintile,Seldom,0.19513,825,21807,0.18655,0.20309
165,165,2001,2nd Quintile,Never,0.04167,160,21807,0.0384,0.04459
166,166,2001,3rd Quintile,At least once per week,0.4114,1895,21807,0.40082,0.42646
167,167,2001,3rd Quintile,At least once per month,0.35551,1642,21807,0.3465,0.36494
168,168,2001,3rd Quintile,Seldom,0.20003,856,21807,0.19223,0.207
169,169,2001,3rd Quintile,Never,0.03306,127,21807,0.03047,0.0357
170,170,2001,4th Quintile,At least once per week,0.44776,2052,21807,0.43106,0.45802
171,171,2001,4th Quintile,At least once per month,0.36373,1698,21807,0.3525,0.37484
172,172,2001,4th Quintile,Seldom,0.16676,744,21807,0.15881,0.17691
173,173,2001,4th Quintile,Never,0.02175,89,21807,0.01965,0.02454
174,174,2001,5th Quintile,At least once per week,0.45667,2060,21807,0.44314,0.46815
175,175,2001,5th Quintile,At least once per month,0.36066,1647,21807,0.3495,0.37329
