year,regtyp,sampreg,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,East,At least once per month,0.41803,526,1204,0.39016,0.44590
1996,Urban regions,East,Seldom,0.22750,292,1204,0.20381,0.25119
1996,Rural regions,West,At least once per week,0.42411,936,2055,0.40273,0.44548
1996,Rural regions,West,At least once per month,0.32205,680,2055,0.30184,0.34226
1996,Rural regions,West,Seldom,0.22405,392,2055,0.20602,0.24208
1996,Rural regions,West,Never,0.02979,47,2055,0.02244,0.03715
1996,Rural regions,East,At least once per week,0.27602,677,2441,0.25829,0.29376
1996,Rural regions,East,At least once per month,0.40330,993,2441,0.38384,0.42277
1996,Rural regions,East,Seldom,0.30029,726,2441,0.28210,0.31848
1996,Rural regions,East,Never,0.02039,45,2441,0.01478,0.02599
1997,Urban regions,West,At least once per week,0.47540,3701,7139,0.46381,0.48699
1997,Urban regions,West,At least once per month,0.32615,2264,7139,0.31528,0.33703
1997,Urban regions,West,Seldom,0.17241,1008,7139,0.16364,0.18117
1997,Urban regions,West,Never,0.02604,166,7139,0.02235,0.02974
1997,Urban regions,East,At least once per week,0.36158,396,1177,0.33412,0.38904
1997,Urban regions,East,At least once per month,0.37143,479,1177,0.34381,0.39905
1997,Urban regions,East,Seldom,0.24479,302,1177,0.22021,0.26936
1997,Rural regions,West,At least once per week,0.41637,920,2008,0.39481,0.43794
1997,Rural regions,West,At least once per month,0.33391,679,2008,0.31328,0.35454
1997,Rural regions,West,Seldom,0.22389,366,2008,0.20565,0.24213
1997,Rural regions,West,Never,0.02583,43,2008,0.01889,0.03277
1997,Rural regions,East,At least once per week,0.31442,732,2413,0.29590,0.33295
1997,Rural regions,East,At least once per month,0.39088,993,2413,0.37141,0.41035
1997,Rural regions,East,Seldom,0.26643,636,2413,0.24878,0.28407
1997,Rural regions,East,Never,0.02827,52,2413,0.02165,0.03488
1999,Urban regions,West,At least once per week,0.43492,3550,7624,0.42379,0.44605
1999,Urban regions,West,At least once per month,0.34373,2565,7624,0.33307,0.35439
1999,Urban regions,West,Seldom,0.19136,1328,7624,0.18252,0.20019
1999,Urban regions,West,Never,0.02999,181,7624,0.02617,0.03382
1999,Urban regions,East,At least once per week,0.32582,405,1212,0.29942,0.35221
1999,Urban regions,East,At least once per month,0.39761,507,1212,0.37004,0.42517
1999,Urban regions,East,Seldom,0.25934,300,1212,0.23466,0.28403
1999,Rural regions,West,At least once per week,0.41359,968,2223,0.39311,0.43407
1999,Rural regions,West,At least once per month,0.33308,759,2223,0.31348,0.35268
1999,Rural regions,West,Seldom,0.23364,458,2223,0.21605,0.25124
1999,Rural regions,West,Never,0.01969,38,2223,0.01391,0.02546
1999,Rural regions,East,At least once per week,0.26782,697,2538,0.25059,0.28505
1999,Rural regions,East,At least once per month,0.42108,1067,2538,0.40187,0.44029
1999,Rural regions,East,Seldom,0.28751,724,2538,0.26990,0.30513
1999,Rural regions,East,Never,0.02359,50,2538,0.01768,0.02949
2001,Urban regions,West,At least once per week,0.46206,5985,12518,0.45333,0.47079
2001,Urban regions,West,At least once per month,0.33215,4171,12518,0.32390,0.34040
2001,Urban regions,West,Seldom,0.16996,1953,12518,0.16338,0.17654
2001,Urban regions,West,Never,0.03583,409,12518,0.03257,0.03909
2001,Urban regions,East,At least once per week,0.35411,620,1743,0.33165,0.37657
2001,Urban regions,East,At least once per month,0.39850,703,1743,0.37551,0.42149
2001,Urban regions,East,Seldom,0.21605,374,1743,0.19672,0.23537
2001,Urban regions,East,Never,0.03134,46,1743,0.02316,0.03952
2001,Rural regions,West,At least once per week,0.45216,1794,3875,0.43649,0.46783
2001,Rural regions,West,At least once per month,0.32257,1258,3875,0.30785,0.33730
2001,Rural regions,West,Seldom,0.19268,704,3875,0.18026,0.20510
2001,Rural regions,West,Never,0.03258,119,3875,0.02699,0.03817
2001,Rural regions,East,At least once per week,0.31706,1162,3673,0.30201,0.33211
2001,Rural regions,East,At least once per month,0.39977,1506,3673,0.38393,0.41561
2001,Rural regions,East,Seldom,0.25096,898,3673,0.23694,0.26499
2001,Rural regions,East,Never,0.03220,107,3673,0.02649,0.03791
2005,Urban regions,West,At least once per week,0.47224,5852,12030,0.46332,0.48116
2005,Urban regions,West,At least once per month,0.32509,4008,12030,0.31672,0.33346
2005,Urban regions,West,Seldom,0.17639,1903,12030,0.16958,0.18321
2005,Urban regions,West,Never,0.02628,267,12030,0.02342,0.02914
2005,Urban regions,East,At least once per week,0.34895,603,1701,0.32629,0.37161
2005,Urban regions,East,At least once per month,0.39465,668,1701,0.37141,0.41788
2005,Urban regions,East,Seldom,0.23031,395,1701,0.21029,0.25032
2005,Urban regions,East,Never,0.02610,35,1701,0.01852,0.03368
2005,Rural regions,West,At least once per week,0.42674,1568,3563,0.41050,0.44298
2005,Rural regions,West,At least once per month,0.33598,1228,3563,0.32047,0.35150
2005,Rural regions,West,Seldom,0.20650,684,3563,0.19321,0.21980
2005,Rural regions,West,Never,0.03077,83,3563,0.02510,0.03644
2005,Rural regions,East,At least once per week,0.28996,947,3313,0.27451,0.30541
2005,Rural regions,East,At least once per month,0.40316,1350,3313,0.38645,0.41986
2005,Rural regions,East,Seldom,0.26815,908,3313,0.25306,0.28324
2005,Rural regions,East,Never,0.03873,108,3313,0.03216,0.04530
2007,Urban regions,West,At least once per week,0.45824,5551,11755,0.44923,0.46725
2007,Urban regions,West,At least once per month,0.34871,4142,11755,0.34009,0.35732
2007,Urban regions,West,Seldom,0.16265,1751,11755,0.15598,0.16932
2007,Urban regions,West,Never,0.03040,311,11755,0.02730,0.03351
2007,Urban regions,East,At least once per week,0.36263,591,1666,0.33954,0.38572
2007,Urban regions,East,At least once per month,0.37647,681,1666,0.35319,0.39974
2007,Urban regions,East,Seldom,0.22263,352,1666,0.20264,0.24261
2007,Urban regions,East,Never,0.03828,42,1666,0.02906,0.04749
2007,Rural regions,West,At least once per week,0.43454,1630,3662,0.41848,0.45059
2007,Rural regions,West,At least once per month,0.34794,1299,3662,0.33251,0.36337
2007,Rural regions,West,Seldom,0.19350,650,3662,0.18070,0.20630
2007,Rural regions,West,Never,0.02402,83,3662,0.01906,0.02898
2007,Rural regions,East,At least once per week,0.31148,997,3324,0.29574,0.32723
2007,Rural regions,East,At least once per month,0.41261,1384,3324,0.39587,0.42935
2007,Rural regions,East,Seldom,0.23741,828,3324,0.22294,0.25188
2007,Rural regions,East,Never,0.03850,115,3324,0.03195,0.04504
2009,Urban regions,West,At least once per week,0.43498,4464,10140,0.42533,0.44463
2009,Urban regions,West,At least once per month,0.37033,3850,10140,0.36093,0.37973
2009,Urban regions,West,Seldom,0.16985,1615,10140,0.16254,0.17716
2009,Urban regions,West,Never,0.02484,211,10140,0.02181,0.02787
2009,Urban regions,East,At least once per week,0.36765,533,1528,0.34346,0.39183
2009,Urban regions,East,At least once per month,0.35603,595,1528,0.33201,0.38004
2009,Urban regions,East,Seldom,0.24337,365,1528,0.22185,0.26489
2009,Urban regions,East,Never,0.03296,35,1528,0.02400,0.04191
2009,Rural regions,West,At least once per week,0.44028,1411,3269,0.42326,0.45730
2009,Rural regions,West,At least once per month,0.33342,1155,3269,0.31726,0.34958
2009,Rural regions,West,Seldom,0.19747,624,3269,0.18382,0.21112
2009,Rural regions,West,Never,0.02883,79,3269,0.02309,0.03457
2009,Rural regions,East,At least once per week,0.31083,853,2986,0.29422,0.32743
2009,Rural regions,East,At least once per month,0.40705,1263,2986,0.38943,0.42468
2009,Rural regions,East,Seldom,0.26340,804,2986,0.24760,0.27920
2009,Rural regions,East,Never,0.01872,66,2986,0.01386,0.02358
2011,Urban regions,West,At least once per week,0.45325,7615,15981,0.44554,0.46097
2011,Urban regions,West,At least once per month,0.34387,5488,15981,0.33650,0.35123
2011,Urban regions,West,Seldom,0.17183,2437,15981,0.16598,0.17768
2011,Urban regions,West,Never,0.03105,441,15981,0.02836,0.03374
2011,Urban regions,East,At least once per week,0.39649,879,2172,0.37591,0.41707
2011,Urban regions,East,At least once per month,0.34701,773,2172,0.32699,0.36704
2011,Urban regions,East,Seldom,0.22401,467,2172,0.20647,0.24155
2011,Urban regions,East,Never,0.03249,53,2172,0.02503,0.03995
2011,Rural regions,West,At least once per week,0.42886,2691,6007,0.41634,0.44138
2011,Rural regions,West,At least once per month,0.32525,2055,6007,0.31340,0.33709
2011,Rural regions,West,Seldom,0.21363,1085,6007,0.20326,0.22400
2011,Rural regions,West,Never,0.03226,176,6007,0.02780,0.03673
2011,Rural regions,East,At least once per week,0.29546,1171,4116,0.28152,0.30940
2011,Rural regions,East,At least once per month,0.39604,1741,4116,0.38110,0.41099
2011,Rural regions,East,Seldom,0.26787,1028,4116,0.25434,0.28140
2011,Rural regions,East,Never,0.04063,176,4116,0.03460,0.04666
2015,Urban regions,West,At least once per week,0.45793,7310,15553,0.45010,0.46576
2015,Urban regions,West,At least once per month,0.35055,5460,15553,0.34305,0.35805
2015,Urban regions,West,Seldom,0.16292,2337,15553,0.15711,0.16872
2015,Urban regions,West,Never,0.02860,446,15553,0.02598,0.03122
2015,Urban regions,East,At least once per week,0.38862,732,1916,0.36679,0.41045
2015,Urban regions,East,At least once per month,0.34853,704,1916,0.32719,0.36987
2015,Urban regions,East,Seldom,0.23025,413,1916,0.21139,0.24911
2015,Urban regions,East,Never,0.03260,67,1916,0.02465,0.04056
2015,Rural regions,West,At least once per week,0.43784,2610,5779,0.42505,0.45063
2015,Rural regions,West,At least once per month,0.35388,2026,5779,0.34155,0.36621
2015,Rural regions,West,Seldom,0.17294,967,5779,0.16319,0.18269
2015,Rural regions,West,Never,0.03534,176,5779,0.03058,0.04011
2015,Rural regions,East,At least once per week,0.28253,1000,3474,0.26756,0.29751
2015,Rural regions,East,At least once per month,0.39716,1429,3474,0.38089,0.41344
2015,Rural regions,East,Seldom,0.28235,906,3474,0.26737,0.29732
2015,Rural regions,East,Never,0.03796,139,3474,0.03160,0.04431
2017,Urban regions,West,At least once per week,0.48276,7382,15206,0.47482,0.49071
2017,Urban regions,West,At least once per month,0.33658,5196,15206,0.32907,0.34409
2017,Urban regions,West,Seldom,0.15428,2267,15206,0.14854,0.16003
2017,Urban regions,West,Never,0.02637,361,15206,0.02382,0.02891
2017,Urban regions,East,At least once per week,0.40821,761,1948,0.38638,0.43005
2017,Urban regions,East,At least once per month,0.33345,684,1948,0.31250,0.35439
2017,Urban regions,East,Seldom,0.23319,456,1948,0.21441,0.25198
2017,Urban regions,East,Never,0.02515,47,1948,0.01819,0.03210
2017,Rural regions,West,At least once per week,0.46275,2650,5717,0.44983,0.47568
2017,Rural regions,West,At least once per month,0.35124,2065,5717,0.33886,0.36361
2017,Rural regions,West,Seldom,0.16074,882,5717,0.15122,0.17026
2017,Rural regions,West,Never,0.02527,120,5717,0.02120,0.02934
2017,Rural regions,East,At least once per week,0.31685,1103,3636,0.30173,0.33198
2017,Rural regions,East,At least once per month,0.39586,1487,3636,0.37996,0.41176
2017,Rural regions,East,Seldom,0.25061,916,3636,0.23652,0.26469
2017,Rural regions,East,Never,0.03668,130,3636,0.03057,0.04279
