year,regtyp,sex,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Urban regions,male,At least once per month,0.33324,1195,3896,0.31844,0.34805
1988,Urban regions,male,Seldom,0.18673,617,3896,0.17449,0.19896
1988,Urban regions,male,Never,0.03293,110,3896,0.02732,0.03853
1988,Urban regions,female,At least once per week,0.44010,1912,3971,0.42466,0.45554
1988,Urban regions,female,At least once per month,0.32915,1266,3971,0.31453,0.34376
1988,Urban regions,female,Seldom,0.18365,642,3971,0.17161,0.19570
1988,Urban regions,female,Never,0.04710,151,3971,0.04051,0.05369
1988,Rural regions,male,At least once per week,0.38624,440,1006,0.35614,0.41634
1988,Rural regions,male,At least once per month,0.33731,318,1006,0.30808,0.36654
1988,Rural regions,male,Seldom,0.23195,210,1006,0.20585,0.25804
1988,Rural regions,male,Never,0.04450,38,1006,0.03175,0.05725
1988,Rural regions,female,At least once per week,0.39056,438,1043,0.36094,0.42019
1988,Rural regions,female,At least once per month,0.33475,347,1043,0.30610,0.36341
1988,Rural regions,female,Seldom,0.22162,211,1043,0.19640,0.24684
1988,Rural regions,female,Never,0.05306,47,1043,0.03945,0.06667
1990,Urban regions,male,At least once per week,0.34203,224,658,0.30575,0.37830
1990,Urban regions,male,At least once per month,0.36260,250,658,0.32584,0.39936
1990,Urban regions,male,Seldom,0.25897,184,658,0.22547,0.29246
1990,Urban regions,female,At least once per week,0.30781,232,739,0.27451,0.34111
1990,Urban regions,female,At least once per month,0.35076,294,739,0.31633,0.38519
1990,Urban regions,female,Seldom,0.29335,213,739,0.26050,0.32620
1990,Rural regions,male,At least once per week,0.26803,368,1373,0.24459,0.29146
1990,Rural regions,male,At least once per month,0.35785,505,1373,0.33248,0.38322
1990,Rural regions,male,Seldom,0.32494,442,1373,0.30016,0.34972
1990,Rural regions,male,Never,0.04919,58,1373,0.03774,0.06063
1990,Rural regions,female,At least once per week,0.27159,399,1479,0.24891,0.29427
1990,Rural regions,female,At least once per month,0.34923,541,1479,0.32492,0.37353
1990,Rural regions,female,Seldom,0.32002,463,1479,0.29623,0.34380
1990,Rural regions,female,Never,0.05917,76,1479,0.04714,0.07120
1992,Urban regions,male,At least once per week,0.42658,1936,4181,0.41159,0.44157
1992,Urban regions,male,At least once per month,0.34616,1392,4181,0.33174,0.36058
1992,Urban regions,male,Seldom,0.19561,739,4181,0.18359,0.20764
1992,Urban regions,male,Never,0.03165,114,4181,0.02634,0.03696
1992,Urban regions,female,At least once per week,0.42136,1989,4422,0.40681,0.43592
1992,Urban regions,female,At least once per month,0.36799,1559,4422,0.35377,0.38221
1992,Urban regions,female,Seldom,0.16580,709,4422,0.15484,0.17676
1992,Urban regions,female,Never,0.04484,165,4422,0.03874,0.05094
1992,Rural regions,male,At least once per week,0.30658,650,2180,0.28722,0.32594
1992,Rural regions,male,At least once per month,0.37007,813,2180,0.34980,0.39034
1992,Rural regions,male,Seldom,0.27475,633,2180,0.25600,0.29349
1992,Rural regions,male,Never,0.04860,84,2180,0.03957,0.05763
1992,Rural regions,female,At least once per week,0.32084,692,2317,0.30183,0.33986
1992,Rural regions,female,At least once per month,0.36676,876,2317,0.34714,0.38639
1992,Rural regions,female,Seldom,0.26863,664,2317,0.25058,0.28668
1992,Rural regions,female,Never,0.04376,85,2317,0.03543,0.05209
1994,Urban regions,male,At least once per week,0.40325,1781,4070,0.38818,0.41832
1994,Urban regions,male,At least once per month,0.34032,1342,4070,0.32576,0.35488
1994,Urban regions,male,Seldom,0.22834,847,4070,0.21544,0.24124
1994,Urban regions,male,Never,0.02810,100,4070,0.02302,0.03317
1994,Urban regions,female,At least once per week,0.40197,1858,4367,0.38743,0.41651
1994,Urban regions,female,At least once per month,0.35380,1522,4367,0.33962,0.36799
1994,Urban regions,female,Seldom,0.21002,855,4367,0.19794,0.22210
1994,Urban regions,female,Never,0.03421,132,4367,0.02882,0.03960
1994,Rural regions,male,At least once per week,0.30647,634,2113,0.28681,0.32614
1994,Rural regions,male,At least once per month,0.37487,795,2113,0.35423,0.39552
1994,Rural regions,male,Seldom,0.27949,610,2113,0.26035,0.29863
1994,Rural regions,male,Never,0.03916,74,2113,0.03089,0.04744
1994,Rural regions,female,At least once per week,0.30722,646,2253,0.28817,0.32627
1994,Rural regions,female,At least once per month,0.35942,853,2253,0.33960,0.37924
1994,Rural regions,female,Seldom,0.27949,658,2253,0.26095,0.29802
1994,Rural regions,female,Never,0.05388,96,2253,0.04455,0.06320
1996,Urban regions,male,At least once per week,0.43385,1918,4093,0.41866,0.44903
1996,Urban regions,male,At least once per month,0.35438,1409,4093,0.33972,0.36903
1996,Urban regions,male,Seldom,0.19182,686,4093,0.17976,0.20388
1996,Urban regions,male,Never,0.01996,80,4093,0.01567,0.02424
1996,Urban regions,female,At least once per week,0.45006,2110,4417,0.43539,0.46474
1996,Urban regions,female,At least once per month,0.36216,1528,4417,0.34799,0.37634
1996,Urban regions,female,Seldom,0.16015,679,4417,0.14934,0.17097
1996,Urban regions,female,Never,0.02762,100,4417,0.02279,0.03246
1996,Rural regions,male,At least once per week,0.35580,786,2184,0.33572,0.37589
1996,Rural regions,male,At least once per month,0.35706,813,2184,0.33696,0.37716
1996,Rural regions,male,Seldom,0.26303,543,2184,0.24456,0.28150
1996,Rural regions,male,Never,0.02410,42,2184,0.01767,0.03054
1996,Rural regions,female,At least once per week,0.37387,827,2312,0.35414,0.39360
1996,Rural regions,female,At least once per month,0.35195,860,2312,0.33248,0.37142
1996,Rural regions,female,Seldom,0.24630,575,2312,0.22874,0.26387
1996,Rural regions,female,Never,0.02788,50,2312,0.02117,0.03459
1997,Urban regions,male,At least once per week,0.46207,1983,4035,0.44669,0.47746
1997,Urban regions,male,At least once per month,0.32691,1319,4035,0.31244,0.34139
1997,Urban regions,male,Seldom,0.18707,644,4035,0.17504,0.19910
1997,Urban regions,male,Never,0.02395,89,4035,0.01923,0.02867
1997,Urban regions,female,At least once per week,0.46670,2114,4307,0.45180,0.48160
1997,Urban regions,female,At least once per month,0.33381,1424,4307,0.31972,0.34789
1997,Urban regions,female,Seldom,0.17222,666,4307,0.16094,0.18350
1997,Urban regions,female,Never,0.02727,103,4307,0.02240,0.03213
1997,Rural regions,male,At least once per week,0.37286,819,2146,0.35239,0.39332
1997,Rural regions,male,At least once per month,0.34954,792,2146,0.32936,0.36972
1997,Rural regions,male,Seldom,0.25212,490,2146,0.23374,0.27050
1997,Rural regions,male,Never,0.02548,45,2146,0.01881,0.03215
1997,Rural regions,female,At least once per week,0.37766,833,2275,0.35774,0.39759
1997,Rural regions,female,At least once per month,0.36375,880,2275,0.34398,0.38352
1997,Rural regions,female,Seldom,0.23052,512,2275,0.21321,0.24783
1997,Rural regions,female,Never,0.02807,50,2275,0.02128,0.03485
1999,Urban regions,male,At least once per week,0.42670,1921,4276,0.41187,0.44152
1999,Urban regions,male,At least once per month,0.34450,1468,4276,0.33026,0.35875
1999,Urban regions,male,Seldom,0.20382,797,4276,0.19174,0.21589
1999,Urban regions,male,Never,0.02498,90,4276,0.02030,0.02966
1999,Urban regions,female,At least once per week,0.42306,2034,4580,0.40875,0.43737
1999,Urban regions,female,At least once per month,0.35269,1604,4580,0.33885,0.36653
1999,Urban regions,female,Seldom,0.19182,831,4580,0.18042,0.20323
1999,Urban regions,female,Never,0.03243,111,4580,0.02730,0.03756
1999,Rural regions,male,At least once per week,0.33734,799,2310,0.31805,0.35662
1999,Rural regions,male,At least once per month,0.37870,890,2310,0.35891,0.39848
1999,Rural regions,male,Seldom,0.26196,578,2310,0.24402,0.27989
1999,Rural regions,male,Never,0.02201,43,2310,0.01602,0.02799
1999,Rural regions,female,At least once per week,0.37073,866,2451,0.35161,0.38986
1999,Rural regions,female,At least once per month,0.35934,936,2451,0.34034,0.37834
1999,Rural regions,female,Seldom,0.24935,604,2451,0.23222,0.26649
1999,Rural regions,female,Never,0.02057,45,2451,0.01495,0.02619
2001,Urban regions,male,At least once per week,0.44623,3083,6807,0.43442,0.45804
2001,Urban regions,male,At least once per month,0.33819,2355,6807,0.32695,0.34943
2001,Urban regions,male,Seldom,0.18210,1158,6807,0.17293,0.19126
2001,Urban regions,male,Never,0.03348,211,6807,0.02921,0.03775
2001,Urban regions,female,At least once per week,0.45778,3522,7454,0.44647,0.46909
2001,Urban regions,female,At least once per month,0.33822,2519,7454,0.32748,0.34896
2001,Urban regions,female,Seldom,0.16677,1169,7454,0.15830,0.17523
2001,Urban regions,female,Never,0.03723,244,7454,0.03293,0.04153
2001,Rural regions,male,At least once per week,0.39986,1453,3668,0.38400,0.41571
2001,Rural regions,male,At least once per month,0.34835,1326,3668,0.33293,0.36377
2001,Rural regions,male,Seldom,0.21845,776,3668,0.20507,0.23182
2001,Rural regions,male,Never,0.03335,113,3668,0.02753,0.03916
2001,Rural regions,female,At least once per week,0.39581,1503,3880,0.38042,0.41120
2001,Rural regions,female,At least once per month,0.35874,1438,3880,0.34365,0.37383
2001,Rural regions,female,Seldom,0.21390,826,3880,0.20099,0.22680
2001,Rural regions,female,Never,0.03155,113,3880,0.02605,0.03705
2005,Urban regions,male,At least once per week,0.46152,3018,6547,0.44944,0.47360
2005,Urban regions,male,At least once per month,0.32645,2231,6547,0.31509,0.33781
2005,Urban regions,male,Seldom,0.18940,1164,6547,0.17991,0.19890
2005,Urban regions,male,Never,0.02262,134,6547,0.01902,0.02623
2005,Urban regions,female,At least once per week,0.45961,3437,7184,0.44809,0.47114
2005,Urban regions,female,At least once per month,0.33663,2445,7184,0.32570,0.34756
2005,Urban regions,female,Seldom,0.17407,1134,7184,0.16530,0.18283
2005,Urban regions,female,Never,0.02969,168,7184,0.02577,0.03362
2005,Rural regions,male,At least once per week,0.36153,1177,3311,0.34516,0.37790
2005,Rural regions,male,At least once per month,0.35749,1217,3311,0.34117,0.37382
2005,Rural regions,male,Seldom,0.24089,811,3311,0.22632,0.25545
2005,Rural regions,male,Never,0.04009,106,3311,0.03341,0.04677
2005,Rural regions,female,At least once per week,0.38541,1338,3565,0.36943,0.40139
2005,Rural regions,female,At least once per month,0.36628,1361,3565,0.35046,0.38210
2005,Rural regions,female,Seldom,0.22039,781,3565,0.20678,0.23399
2005,Rural regions,female,Never,0.02793,85,3565,0.02252,0.03334
2007,Urban regions,male,At least once per week,0.44073,2821,6354,0.42852,0.45294
2007,Urban regions,male,At least once per month,0.35381,2306,6354,0.34206,0.36557
2007,Urban regions,male,Seldom,0.17458,1058,6354,0.16524,0.18391
2007,Urban regions,male,Never,0.03088,169,6354,0.02663,0.03513
2007,Urban regions,female,At least once per week,0.45700,3321,7067,0.44539,0.46862
2007,Urban regions,female,At least once per month,0.34904,2517,7067,0.33793,0.36016
2007,Urban regions,female,Seldom,0.16254,1045,7067,0.15394,0.17114
2007,Urban regions,female,Never,0.03141,184,7067,0.02735,0.03548
2007,Rural regions,male,At least once per week,0.37107,1215,3369,0.35475,0.38738
2007,Rural regions,male,At least once per month,0.36976,1295,3369,0.35345,0.38606
2007,Rural regions,male,Seldom,0.22100,743,3369,0.20699,0.23502
2007,Rural regions,male,Never,0.03817,116,3369,0.03170,0.04464
2007,Rural regions,female,At least once per week,0.40109,1412,3617,0.38511,0.41706
2007,Rural regions,female,At least once per month,0.37655,1388,3617,0.36075,0.39234
2007,Rural regions,female,Seldom,0.20080,735,3617,0.18774,0.21386
2007,Rural regions,female,Never,0.02157,82,3617,0.01683,0.02630
2009,Urban regions,male,At least once per week,0.43257,2326,5527,0.41951,0.44564
2009,Urban regions,male,At least once per month,0.36224,2092,5527,0.34956,0.37491
2009,Urban regions,male,Seldom,0.17958,997,5527,0.16946,0.18970
2009,Urban regions,male,Never,0.02561,112,5527,0.02145,0.02978
2009,Urban regions,female,At least once per week,0.42450,2671,6141,0.41213,0.43686
2009,Urban regions,female,At least once per month,0.37528,2353,6141,0.36317,0.38739
2009,Urban regions,female,Seldom,0.17459,983,6141,0.16509,0.18408
2009,Urban regions,female,Never,0.02564,134,6141,0.02169,0.02959
2009,Rural regions,male,At least once per week,0.38167,1081,3022,0.36434,0.39899
2009,Rural regions,male,At least once per month,0.35714,1160,3022,0.34005,0.37423
2009,Rural regions,male,Seldom,0.23579,703,3022,0.22065,0.25092
2009,Rural regions,male,Never,0.02540,78,3022,0.01979,0.03102
2009,Rural regions,female,At least once per week,0.40078,1183,3233,0.38389,0.41768
2009,Rural regions,female,At least once per month,0.36502,1258,3233,0.34843,0.38162
2009,Rural regions,female,Seldom,0.20954,725,3233,0.19551,0.22357
2009,Rural regions,female,Never,0.02465,67,3233,0.01930,0.03000
2011,Urban regions,male,At least once per week,0.44420,3627,8160,0.43342,0.45499
2011,Urban regions,male,At least once per month,0.33776,2893,8160,0.32750,0.34802
2011,Urban regions,male,Seldom,0.18898,1413,8160,0.18048,0.19747
2011,Urban regions,male,Never,0.02906,227,8160,0.02541,0.03270
2011,Urban regions,female,At least once per week,0.45131,4867,9993,0.44155,0.46107
2011,Urban regions,female,At least once per month,0.35015,3368,9993,0.34080,0.35951
2011,Urban regions,female,Seldom,0.16535,1491,9993,0.15807,0.17264
2011,Urban regions,female,Never,0.03318,267,9993,0.02967,0.03669
2011,Rural regions,male,At least once per week,0.38128,1693,4648,0.36732,0.39525
2011,Rural regions,male,At least once per month,0.34107,1759,4648,0.32744,0.35470
2011,Rural regions,male,Seldom,0.24429,1021,4648,0.23194,0.25664
2011,Rural regions,male,Never,0.03335,175,4648,0.02819,0.03852
2011,Rural regions,female,At least once per week,0.37917,2169,5475,0.36632,0.39202
2011,Rural regions,female,At least once per month,0.36058,2037,5475,0.34786,0.37330
2011,Rural regions,female,Seldom,0.22307,1092,5475,0.21204,0.23410
2011,Rural regions,female,Never,0.03718,177,5475,0.03217,0.04220
2015,Urban regions,male,At least once per week,0.43626,3494,7992,0.42539,0.44713
2015,Urban regions,male,At least once per month,0.35326,2896,7992,0.34278,0.36374
2015,Urban regions,male,Seldom,0.18230,1363,7992,0.17384,0.19077
2015,Urban regions,male,Never,0.02818,239,7992,0.02455,0.03180
2015,Urban regions,female,At least once per week,0.46578,4548,9477,0.45573,0.47582
2015,Urban regions,female,At least once per month,0.34759,3268,9477,0.33800,0.35718
2015,Urban regions,female,Seldom,0.15688,1387,9477,0.14956,0.16421
2015,Urban regions,female,Never,0.02975,274,9477,0.02633,0.03317
2015,Rural regions,male,At least once per week,0.38732,1649,4290,0.37274,0.40190
2015,Rural regions,male,At least once per month,0.35214,1567,4290,0.33784,0.36643
2015,Rural regions,male,Seldom,0.22455,918,4290,0.21206,0.23704
2015,Rural regions,male,Never,0.03599,156,4290,0.03042,0.04156
2015,Rural regions,female,At least once per week,0.37884,1961,4963,0.36534,0.39234
2015,Rural regions,female,At least once per month,0.38567,1888,4963,0.37212,0.39921
2015,Rural regions,female,Seldom,0.19896,955,4963,0.18785,0.21007
2015,Rural regions,female,Never,0.03654,159,4963,0.03132,0.04176
2017,Urban regions,male,At least once per week,0.46177,3563,7870,0.45075,0.47279
2017,Urban regions,male,At least once per month,0.34194,2755,7870,0.33146,0.35242
2017,Urban regions,male,Seldom,0.17095,1363,7870,0.16264,0.17927
2017,Urban regions,male,Never,0.02533,189,7870,0.02186,0.02881
2017,Urban regions,female,At least once per week,0.48931,4580,9284,0.47914,0.49948
2017,Urban regions,female,At least once per month,0.33093,3125,9284,0.32135,0.34050
2017,Urban regions,female,Seldom,0.15264,1360,9284,0.14532,0.15995
2017,Urban regions,female,Never,0.02713,219,9284,0.02382,0.03043
2017,Rural regions,male,At least once per week,0.41912,1736,4372,0.40450,0.43375
2017,Rural regions,male,At least once per month,0.35836,1645,4372,0.34415,0.37258
2017,Rural regions,male,Seldom,0.19552,871,4372,0.18376,0.20727
2017,Rural regions,male,Never,0.02700,120,4372,0.02219,0.03180
2017,Rural regions,female,At least once per week,0.40445,2017,4981,0.39082,0.41808
2017,Rural regions,female,At least once per month,0.37521,1907,4981,0.36176,0.38865
2017,Rural regions,female,Seldom,0.18885,927,4981,0.17797,0.19972
2017,Rural regions,female,Never,0.03150,130,4981,0.02664,0.03635
