year,migback,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Never,0.45675,8145,15504,0.44891,0.46459
2009,Direct migration background,At least once per week,0.06544,116,1643,0.05348,0.07740
2009,Direct migration background,At least once per month,0.05134,87,1643,0.04066,0.06201
2009,Direct migration background,Seldom,0.22714,366,1643,0.20687,0.24740
2009,Direct migration background,Never,0.62273,1074,1643,0.59929,0.64618
2009,Indirect migration background,At least once per week,0.05873,71,703,0.04134,0.07613
2009,Indirect migration background,At least once per month,0.06631,83,703,0.04790,0.08472
2009,Indirect migration background,Seldom,0.17120,211,703,0.14333,0.19906
2009,Indirect migration background,Never,0.23112,338,703,0.19993,0.26230
2011,No migration background,At least once per week,0.10213,3034,23692,0.09827,0.10598
2011,No migration background,At least once per month,0.05920,1686,23692,0.05619,0.06220
2011,No migration background,Seldom,0.21025,5801,23692,0.20506,0.21544
2011,No migration background,Never,0.47461,13171,23692,0.46825,0.48097
2011,Direct migration background,At least once per week,0.07624,232,3288,0.06717,0.08531
2011,Direct migration background,At least once per month,0.06378,179,3288,0.05542,0.07213
2011,Direct migration background,Seldom,0.17936,588,3288,0.16624,0.19248
2011,Direct migration background,Never,0.64463,2289,3288,0.62827,0.66099
2011,Indirect migration background,At least once per week,0.05953,167,1247,0.04639,0.07267
2011,Indirect migration background,At least once per month,0.04591,112,1247,0.03429,0.05753
2011,Indirect migration background,Seldom,0.12245,282,1247,0.10425,0.14065
2011,Indirect migration background,Never,0.23108,686,1247,0.20768,0.25449
2013,No migration background,At least once per week,0.13448,3825,21526,0.12992,0.13903
2013,No migration background,At least once per month,0.08374,2195,21526,0.08004,0.08744
2013,No migration background,Seldom,0.22422,5679,21526,0.21865,0.22979
2013,No migration background,Never,0.39936,9827,21526,0.39281,0.40590
2013,Direct migration background,At least once per week,0.05976,380,2753,0.05090,0.06861
2013,Direct migration background,At least once per month,0.04765,255,2753,0.03969,0.05561
2013,Direct migration background,Seldom,0.13139,656,2753,0.11876,0.14401
2013,Direct migration background,Never,0.30657,1462,2753,0.28934,0.32380
2013,Indirect migration background,At least once per week,0.06193,290,1128,0.04786,0.07600
2013,Indirect migration background,At least once per month,0.03263,125,1128,0.02226,0.04301
2013,Indirect migration background,Seldom,0.07105,266,1128,0.05605,0.08605
2013,Indirect migration background,Never,0.10951,447,1128,0.09128,0.12774
2015,No migration background,At least once per week,0.11217,2572,19091,0.10770,0.11665
2015,No migration background,At least once per month,0.06410,1455,19091,0.06063,0.06758
2015,No migration background,Seldom,0.20454,4691,19091,0.19881,0.21026
2015,No migration background,Never,0.47613,10373,19091,0.46905,0.48322
2015,Direct migration background,At least once per week,0.07849,494,5977,0.07167,0.08531
2015,Direct migration background,At least once per month,0.05484,375,5977,0.04906,0.06061
2015,Direct migration background,Seldom,0.19070,1171,5977,0.18074,0.20066
2015,Direct migration background,Never,0.63273,3937,5977,0.62051,0.64495
2015,Indirect migration background,At least once per week,0.07154,240,1618,0.05898,0.08411
2015,Indirect migration background,At least once per month,0.04126,165,1618,0.03157,0.05096
2015,Indirect migration background,Seldom,0.11407,347,1618,0.09857,0.12956
2015,Indirect migration background,Never,0.26597,866,1618,0.24444,0.28751
2017,No migration background,At least once per week,0.11922,2946,20081,0.11474,0.12370
2017,No migration background,At least once per month,0.07026,1689,20081,0.06673,0.07380
2017,No migration background,Seldom,0.21439,5122,20081,0.20871,0.22006
2017,No migration background,Never,0.45110,10324,20081,0.44422,0.45798
2017,Direct migration background,At least once per week,0.09335,796,8700,0.08724,0.09946
2017,Direct migration background,At least once per month,0.06615,517,8700,0.06093,0.07138
2017,Direct migration background,Seldom,0.19846,1628,8700,0.19008,0.20684
2017,Direct migration background,Never,0.58563,5759,8700,0.57528,0.59598
2017,Indirect migration background,At least once per week,0.07421,252,1636,0.06151,0.08692
2017,Indirect migration background,At least once per month,0.05300,160,1636,0.04214,0.06386
2017,Indirect migration background,Seldom,0.13571,403,1636,0.11911,0.15232
2017,Indirect migration background,Never,0.24369,821,1636,0.22288,0.26450
2018,Direct migration background,At least once per week,0.00405,225,3168,0.00184,0.00626
2018,Direct migration background,At least once per month,0.00271,210,3168,0.00090,0.00452
2018,Direct migration background,Seldom,0.00670,557,3168,0.00386,0.00955
2018,Direct migration background,Never,0.02565,2176,3168,0.02015,0.03116
2019,No migration background,At least once per week,0.15156,3751,20121,0.14661,0.15652
2019,No migration background,At least once per month,0.07707,2002,20121,0.07339,0.08076
2019,No migration background,Seldom,0.21158,4925,20121,0.20593,0.21722
2019,No migration background,Never,0.41567,9443,20121,0.40886,0.42248
2019,Direct migration background,At least once per week,0.12612,759,7044,0.11837,0.13388
2019,Direct migration background,At least once per month,0.08016,554,7044,0.07382,0.08650
2019,Direct migration background,Seldom,0.19281,1260,7044,0.18360,0.20203
2019,Direct migration background,Never,0.54520,4471,7044,0.53357,0.55683
2019,Indirect migration background,At least once per week,0.10400,344,1576,0.08893,0.11908
2019,Indirect migration background,At least once per month,0.04804,165,1576,0.03748,0.05860
2019,Indirect migration background,Seldom,0.12876,356,1576,0.11222,0.14530
2019,Indirect migration background,Never,0.23229,711,1576,0.21144,0.25315
2021,No migration background,At least once per week,0.16567,2759,13203,0.15933,0.17201
2021,No migration background,At least once per month,0.10160,1686,13203,0.09644,0.10675
2021,No migration background,Seldom,0.20726,3167,13203,0.20034,0.21417
2021,No migration background,Never,0.38113,5591,13203,0.37285,0.38942
2021,Direct migration background,At least once per week,0.13824,608,3045,0.12598,0.15050
2021,Direct migration background,At least once per month,0.08505,351,3045,0.07514,0.09496
2021,Direct migration background,Seldom,0.21738,711,3045,0.20273,0.23204
2021,Direct migration background,Never,0.42964,1375,3045,0.41206,0.44723
2021,Indirect migration background,At least once per week,0.09020,218,937,0.07185,0.10855
2021,Indirect migration background,At least once per month,0.05803,134,937,0.04305,0.07301
2021,Indirect migration background,Seldom,0.12151,190,937,0.10057,0.14244
2021,Indirect migration background,Never,0.20367,395,937,0.17787,0.22947
