year,sampreg,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,East,Seldom,0.20918,1223,4755,0.19762,0.22074
2008,East,Never,0.48732,2537,4755,0.47311,0.50153
2009,West,At least once per week,0.08912,1569,13361,0.08429,0.09395
2009,West,At least once per month,0.06392,1075,13361,0.05977,0.06806
2009,West,Seldom,0.22460,3648,13361,0.21752,0.23167
2009,West,Never,0.45012,7069,13361,0.44168,0.45856
2009,East,At least once per week,0.07449,408,4489,0.06681,0.08217
2009,East,At least once per month,0.06747,305,4489,0.06013,0.07481
2009,East,Seldom,0.22693,1288,4489,0.21467,0.23918
2009,East,Never,0.48447,2488,4489,0.46985,0.49909
2011,West,At least once per week,0.09959,2828,21946,0.09563,0.10355
2011,West,At least once per month,0.05930,1595,21946,0.05617,0.06242
2011,West,Seldom,0.19661,5121,21946,0.19136,0.20187
2011,West,Never,0.46903,12402,21946,0.46243,0.47563
2011,East,At least once per week,0.07940,605,6281,0.07271,0.08609
2011,East,At least once per month,0.05608,382,6281,0.05039,0.06177
2011,East,Seldom,0.21704,1550,6281,0.20684,0.22723
2011,East,Never,0.50735,3744,6281,0.49498,0.51971
2013,West,At least once per week,0.12168,3686,19713,0.11712,0.12625
2013,West,At least once per month,0.07575,2071,19713,0.07206,0.07944
2013,West,Seldom,0.19370,5097,19713,0.18818,0.19922
2013,West,Never,0.35194,8859,19713,0.34527,0.35861
2013,East,At least once per week,0.10843,809,5694,0.10036,0.11651
2013,East,At least once per month,0.07226,504,5694,0.06553,0.07898
2013,East,Seldom,0.23163,1504,5694,0.22067,0.24259
2013,East,Never,0.42319,2877,5694,0.41035,0.43602
2015,West,At least once per week,0.10716,2732,21305,0.10301,0.11131
2015,West,At least once per month,0.06181,1626,21305,0.05858,0.06505
2015,West,Seldom,0.19516,4972,21305,0.18984,0.20049
2015,West,Never,0.47233,11975,21305,0.46563,0.47904
2015,East,At least once per week,0.09105,574,5381,0.08337,0.09874
2015,East,At least once per month,0.05696,369,5381,0.05077,0.06316
2015,East,Seldom,0.19477,1237,5381,0.18419,0.20536
2015,East,Never,0.50974,3201,5381,0.49638,0.52310
2017,West,At least once per week,0.11441,3289,24267,0.11040,0.11841
2017,West,At least once per month,0.06805,1929,24267,0.06488,0.07121
2017,West,Seldom,0.20651,5725,24267,0.20142,0.21161
2017,West,Never,0.44475,13324,24267,0.43850,0.45100
2017,East,At least once per week,0.09771,705,6150,0.09029,0.10513
2017,East,At least once per month,0.06849,437,6150,0.06217,0.07480
2017,East,Seldom,0.19775,1428,6150,0.18780,0.20771
2017,East,Never,0.47957,3580,6150,0.46708,0.49206
2018,West,At least once per week,0.00052,163,2696,-0.00034,0.00138
2018,West,At least once per month,0.00038,179,2696,-0.00036,0.00112
2018,West,Seldom,0.00105,503,2696,-0.00017,0.00227
2018,West,Never,0.00365,1851,2696,0.00137,0.00593
2018,East,At least once per week,0.00084,62,472,-0.00178,0.00347
2018,East,At least once per month,0.00040,31,472,-0.00140,0.00220
2018,East,Seldom,0.00047,54,472,-0.00148,0.00241
2018,East,Never,0.00355,325,472,-0.00182,0.00891
2019,West,At least once per week,0.14554,3915,22708,0.14095,0.15012
2019,West,At least once per month,0.07608,2198,22708,0.07263,0.07953
2019,West,Seldom,0.20159,5145,22708,0.19637,0.20681
2019,West,Never,0.41015,11450,22708,0.40375,0.41655
2019,East,At least once per week,0.13142,910,5957,0.12284,0.14000
2019,East,At least once per month,0.06765,512,5957,0.06127,0.07402
2019,East,Seldom,0.19812,1381,5957,0.18800,0.20825
2019,East,Never,0.44772,3154,5957,0.43509,0.46035
2021,West,At least once per week,0.15879,2937,13569,0.15264,0.16494
2021,West,At least once per month,0.09615,1756,13569,0.09119,0.10111
2021,West,Seldom,0.20000,3199,13569,0.19327,0.20673
2021,West,Never,0.36514,5677,13569,0.35704,0.37325
2021,East,At least once per week,0.13521,648,3616,0.12406,0.14635
2021,East,At least once per month,0.09069,415,3616,0.08133,0.10005
2021,East,Seldom,0.20336,869,3616,0.19024,0.21648
2021,East,Never,0.40008,1684,3616,0.38411,0.41605
