"plh0038","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1989","(Fach-)Abitur","378","0.517717714795654","0.48181239567274","0.553623033918567"
"Einige Sorgen","1989","(noch) kein Abschluss","383","0.446510461061504","0.41338129033936","0.479639631783648"
"Einige Sorgen","1989","AkademikerIn","355","0.509197957134639","0.471923993728326","0.546471920540951"
"Einige Sorgen","1989","Hauptschule","2492","0.459479992450402","0.446229638983317","0.472730345917488"
"Einige Sorgen","1989","Realschule","833","0.50307016808591","0.478886435521787","0.527253900650033"
"Grosse Sorgen","1989","(Fach-)Abitur","241","0.31268947887446","0.279377935583378","0.346001022165542"
"Grosse Sorgen","1989","(noch) kein Abschluss","301","0.348092357029041","0.316346992565229","0.379837721492853"
"Grosse Sorgen","1989","AkademikerIn","208","0.292558035228081","0.258637672186281","0.326478398269881"
"Grosse Sorgen","1989","Hauptschule","1947","0.359108941276918","0.346353558685971","0.371864323867865"
"Grosse Sorgen","1989","Realschule","522","0.311240962770506","0.288846350648387","0.333635574892625"
"Keine Sorgen","1989","(Fach-)Abitur","125","0.169592806329886","0.142627156661211","0.196558455998561"
"Keine Sorgen","1989","(noch) kein Abschluss","181","0.205397181909455","0.17847487144832","0.23231949237059"
"Keine Sorgen","1989","AkademikerIn","128","0.19824400763728","0.168518436418801","0.227969578855759"
"Keine Sorgen","1989","Hauptschule","995","0.181411066272679","0.171165095879885","0.191657036665474"
"Keine Sorgen","1989","Realschule","287","0.185688869143584","0.166880565134508","0.204497173152659"
"Einige Sorgen","1990","(Fach-)Abitur","438","0.521412903483395","0.488180664047242","0.554645142919547"
"Einige Sorgen","1990","(noch) kein Abschluss","399","0.435556358151373","0.402870911044227","0.468241805258519"
"Einige Sorgen","1990","AkademikerIn","833","0.500940349525595","0.477066779118186","0.524813919933003"
"Einige Sorgen","1990","Hauptschule","3025","0.443045618672175","0.431367047167634","0.454724190176715"
"Einige Sorgen","1990","Realschule","1486","0.482394501515432","0.465024356583088","0.499764646447775"
"Grosse Sorgen","1990","(Fach-)Abitur","227","0.2340272533293","0.205861063298153","0.262193443360447"
"Grosse Sorgen","1990","(noch) kein Abschluss","271","0.280744677725931","0.251122344264963","0.3103670111869"
"Grosse Sorgen","1990","AkademikerIn","457","0.241238009257441","0.220810106113728","0.261665912401154"
"Grosse Sorgen","1990","Hauptschule","2369","0.320939746420536","0.309964315088099","0.331915177752973"
"Grosse Sorgen","1990","Realschule","909","0.250442734568204","0.235381538761506","0.265503930374902"
"Keine Sorgen","1990","(Fach-)Abitur","203","0.244559843187306","0.215965453238042","0.27315423313657"
"Keine Sorgen","1990","(noch) kein Abschluss","214","0.283698964122695","0.253982398016711","0.31341553022868"
"Keine Sorgen","1990","AkademikerIn","395","0.257821641216965","0.23693531936625","0.278707963067679"
"Keine Sorgen","1990","Hauptschule","1556","0.236014634907289","0.226031483098759","0.24599778671582"
"Keine Sorgen","1990","Realschule","784","0.267162763916365","0.251781410359401","0.282544117473328"
"Einige Sorgen","1991","(Fach-)Abitur","415","0.470089804246057","0.437207063422297","0.502972545069817"
"Einige Sorgen","1991","(noch) kein Abschluss","369","0.440369755374176","0.40732535519521","0.473414155553143"
"Einige Sorgen","1991","AkademikerIn","858","0.504433816954405","0.480475679687919","0.528391954220891"
"Einige Sorgen","1991","Hauptschule","2872","0.434547214632748","0.422676967489351","0.446417461776145"
"Einige Sorgen","1991","Realschule","1516","0.476042332652728","0.458551595971707","0.493533069333749"
"Grosse Sorgen","1991","(Fach-)Abitur","373","0.418565748548949","0.386063859378622","0.451067637719276"
"Grosse Sorgen","1991","(noch) kein Abschluss","361","0.411557065103584","0.378799942251723","0.444314187955446"
"Grosse Sorgen","1991","AkademikerIn","625","0.365000772860432","0.341931515666546","0.388070030054319"
"Grosse Sorgen","1991","Hauptschule","3084","0.462515808501966","0.450576223263159","0.474455393740773"
"Grosse Sorgen","1991","Realschule","1293","0.415371128029214","0.398112928055964","0.432629328002463"
"Keine Sorgen","1991","(Fach-)Abitur","97","0.111344447204994","0.0906202619000431","0.132068632509944"
"Keine Sorgen","1991","(noch) kein Abschluss","137","0.148073179522239","0.124431523797898","0.17171483524658"
"Keine Sorgen","1991","AkademikerIn","190","0.130565410185163","0.114420611039476","0.14671020933085"
"Keine Sorgen","1991","Hauptschule","743","0.102936976865286","0.0956601794476014","0.11021377428297"
"Keine Sorgen","1991","Realschule","323","0.108586539318058","0.0976905967767128","0.119482481859404"
"Einige Sorgen","1992","(Fach-)Abitur","427","0.511741150129667","0.478974687109393","0.544507613149941"
"Einige Sorgen","1992","(noch) kein Abschluss","341","0.413506297600969","0.380573831781161","0.446438763420778"
"Einige Sorgen","1992","AkademikerIn","807","0.486030912895816","0.461914841295136","0.510146984496495"
"Einige Sorgen","1992","Hauptschule","2797","0.450405778158157","0.438301223987051","0.462510332329264"
"Einige Sorgen","1992","Realschule","1443","0.473099135508596","0.455483810399289","0.490714460617904"
"Grosse Sorgen","1992","(Fach-)Abitur","347","0.352326638828585","0.321013248658732","0.383640028998438"
"Grosse Sorgen","1992","(noch) kein Abschluss","386","0.430564564304072","0.397451993797908","0.463677134810237"
"Grosse Sorgen","1992","AkademikerIn","659","0.373063228707092","0.349728153083688","0.396398304330495"
"Grosse Sorgen","1992","Hauptschule","2938","0.433956018761045","0.421898062916734","0.446013974605355"
"Grosse Sorgen","1992","Realschule","1317","0.409285812364208","0.391937702005387","0.426633922723029"
"Keine Sorgen","1992","(Fach-)Abitur","120","0.135932211041748","0.11346679685212","0.158397625231376"
"Keine Sorgen","1992","(noch) kein Abschluss","132","0.155929138094958","0.131668366876643","0.180189909313274"
"Keine Sorgen","1992","AkademikerIn","184","0.140905858397093","0.12411816523965","0.157693551554535"
"Keine Sorgen","1992","Hauptschule","755","0.115638203080798","0.10785799169859","0.123418414463006"
"Keine Sorgen","1992","Realschule","326","0.117615052127196","0.10624897422332","0.128981130031071"
"Einige Sorgen","1993","(Fach-)Abitur","414","0.469467316794886","0.436952406906336","0.501982226683436"
"Einige Sorgen","1993","(noch) kein Abschluss","322","0.410483247819075","0.377157403867902","0.443809091770247"
"Einige Sorgen","1993","AkademikerIn","764","0.470089092578831","0.445866946041486","0.494311239116176"
"Einige Sorgen","1993","Hauptschule","2535","0.413667056891223","0.401510707841427","0.425823405941019"
"Einige Sorgen","1993","Realschule","1434","0.473969159464357","0.456332192886882","0.491606126041833"
"Grosse Sorgen","1993","(Fach-)Abitur","402","0.420237559364235","0.388079023144887","0.452396095583584"
"Grosse Sorgen","1993","(noch) kein Abschluss","424","0.455545967447903","0.421806977668448","0.489284957227357"
"Grosse Sorgen","1993","AkademikerIn","725","0.418880640753493","0.394936518187277","0.442824763319709"
"Grosse Sorgen","1993","Hauptschule","3241","0.499141669935943","0.486799972080455","0.511483367791432"
"Grosse Sorgen","1993","Realschule","1393","0.442977262331969","0.42543157339115","0.460522951272787"
"Keine Sorgen","1993","(Fach-)Abitur","89","0.110295123840879","0.0898859726406493","0.130704275041109"
"Keine Sorgen","1993","(noch) kein Abschluss","91","0.133970784733023","0.110894989092409","0.157046580373637"
"Keine Sorgen","1993","AkademikerIn","142","0.111030266667676","0.0957832354548094","0.126277297880542"
"Keine Sorgen","1993","Hauptschule","529","0.0871912731728335","0.0802277031514404","0.0941548431942267"
"Keine Sorgen","1993","Realschule","252","0.0830535782036738","0.073306052241589","0.0928011041657586"
"Einige Sorgen","1994","(Fach-)Abitur","446","0.498918084178049","0.466626655240501","0.531209513115597"
"Einige Sorgen","1994","(noch) kein Abschluss","330","0.404697963970226","0.371485484092426","0.437910443848026"
"Einige Sorgen","1994","AkademikerIn","797","0.488351481560306","0.464225228520596","0.512477734600015"
"Einige Sorgen","1994","Hauptschule","2573","0.427835769011258","0.415375764438804","0.440295773583712"
"Einige Sorgen","1994","Realschule","1394","0.474905321246198","0.457156798664106","0.49265384382829"
"Grosse Sorgen","1994","(Fach-)Abitur","374","0.391888566129807","0.360360948349277","0.423416183910338"
"Grosse Sorgen","1994","(noch) kein Abschluss","416","0.482060816133732","0.448249863251097","0.515871769016367"
"Grosse Sorgen","1994","AkademikerIn","689","0.393992609092383","0.370408430162376","0.417576788022391"
"Grosse Sorgen","1994","Hauptschule","2972","0.484592199412251","0.472006336203084","0.497178062621419"
"Grosse Sorgen","1994","Realschule","1384","0.433955752728623","0.416340543887313","0.451570961569933"
"Keine Sorgen","1994","(Fach-)Abitur","101","0.109193349692144","0.0890510944201577","0.12933560496413"
"Keine Sorgen","1994","(noch) kein Abschluss","93","0.113241219896042","0.0917988823294549","0.13468355746263"
"Keine Sorgen","1994","AkademikerIn","163","0.117655909347311","0.102104719389656","0.133207099304966"
"Keine Sorgen","1994","Hauptschule","512","0.0875720315764908","0.0804533214106991","0.0946907417422825"
"Keine Sorgen","1994","Realschule","263","0.0911389260251794","0.0809097515598572","0.101368100490501"
"Einige Sorgen","1995","(Fach-)Abitur","477","0.485553097254809","0.455365916985773","0.515740277523845"
"Einige Sorgen","1995","(noch) kein Abschluss","343","0.428866668919344","0.395923267163684","0.461810070675004"
"Einige Sorgen","1995","AkademikerIn","846","0.501600677704478","0.478080477754085","0.52512087765487"
"Einige Sorgen","1995","Hauptschule","2439","0.408630919567249","0.39625620915924","0.421005629975258"
"Einige Sorgen","1995","Realschule","1427","0.471429114700247","0.453848368380453","0.48900986102004"
"Grosse Sorgen","1995","(Fach-)Abitur","474","0.422224594041254","0.392392400046515","0.452056788035994"
"Grosse Sorgen","1995","(noch) kein Abschluss","437","0.446601231676887","0.413509644741272","0.479692818612502"
"Grosse Sorgen","1995","AkademikerIn","723","0.390399748558834","0.367451446167625","0.413348050950043"
"Grosse Sorgen","1995","Hauptschule","3065","0.494434464365206","0.481848594904815","0.507020333825597"
"Grosse Sorgen","1995","Realschule","1381","0.4271776802586","0.409755932130789","0.444599428386411"
"Keine Sorgen","1995","(Fach-)Abitur","102","0.0922223087039368","0.0747463241018295","0.109698293306044"
"Keine Sorgen","1995","(noch) kein Abschluss","87","0.124532099403769","0.102553535561615","0.146510663245923"
"Keine Sorgen","1995","AkademikerIn","167","0.107999573736688","0.0933991055530516","0.122600041920325"
"Keine Sorgen","1995","Hauptschule","558","0.0969346160675451","0.0894866246088149","0.104382607526275"
"Keine Sorgen","1995","Realschule","289","0.101393205041154","0.0907623850814643","0.112024025000843"
"Einige Sorgen","1996","(Fach-)Abitur","538","0.562232749524282","0.531890863460589","0.592574635587976"
"Einige Sorgen","1996","(noch) kein Abschluss","354","0.436615777578525","0.402955544524942","0.470276010632109"
"Einige Sorgen","1996","AkademikerIn","918","0.523815766217018","0.500489501383022","0.547142031051015"
"Einige Sorgen","1996","Hauptschule","2661","0.456935897427939","0.444243300356896","0.469628494498983"
"Einige Sorgen","1996","Realschule","1525","0.495962376110718","0.478378961808721","0.513545790412714"
"Grosse Sorgen","1996","(Fach-)Abitur","365","0.316381250870524","0.28793826266138","0.344824239079668"
"Grosse Sorgen","1996","(noch) kein Abschluss","352","0.402571294587994","0.36928775461917","0.435854834556817"
"Grosse Sorgen","1996","AkademikerIn","621","0.33623972842384","0.314175001672308","0.358304455175372"
"Grosse Sorgen","1996","Hauptschule","2544","0.420852182412632","0.408272872690405","0.433431492134858"
"Grosse Sorgen","1996","Realschule","1195","0.366335482662818","0.349391458864678","0.383279506460959"
"Keine Sorgen","1996","(Fach-)Abitur","124","0.121385999605194","0.101412865021081","0.141359134189307"
"Keine Sorgen","1996","(noch) kein Abschluss","128","0.160812927833481","0.135881053017641","0.185744802649321"
"Keine Sorgen","1996","AkademikerIn","222","0.139944505359141","0.12374097764982","0.156148033068463"
"Keine Sorgen","1996","Hauptschule","712","0.122211920159429","0.113866486105314","0.130557354213543"
"Keine Sorgen","1996","Realschule","386","0.137702141226464","0.125583711022113","0.149820571430815"
"Einige Sorgen","1997","(Fach-)Abitur","517","0.524199699829481","0.493430331928486","0.554969067730476"
"Einige Sorgen","1997","(noch) kein Abschluss","375","0.424773406391394","0.391083991073921","0.458462821708867"
"Einige Sorgen","1997","AkademikerIn","864","0.495371668611504","0.47202652574313","0.518716811479878"
"Einige Sorgen","1997","Hauptschule","2613","0.45177092098581","0.438895241741807","0.464646600229813"
"Einige Sorgen","1997","Realschule","1571","0.506856364791378","0.489156823141473","0.524555906441282"
"Grosse Sorgen","1997","(Fach-)Abitur","270","0.250884881861199","0.224175160244785","0.277594603477614"
"Grosse Sorgen","1997","(noch) kein Abschluss","289","0.364559376852381","0.331756120298633","0.397362633406128"
"Grosse Sorgen","1997","AkademikerIn","489","0.250196168759494","0.229972530235706","0.270419807283282"
"Grosse Sorgen","1997","Hauptschule","2113","0.36805423729203","0.355576788598998","0.380531685985062"
"Grosse Sorgen","1997","Realschule","952","0.30795913581626","0.291615628280612","0.324302643351909"
"Keine Sorgen","1997","(Fach-)Abitur","225","0.22491541830932","0.199191211188447","0.250639625430193"
"Keine Sorgen","1997","(noch) kein Abschluss","163","0.210667216756225","0.182874955388631","0.238459478123818"
"Keine Sorgen","1997","AkademikerIn","409","0.254432162629002","0.234095732161569","0.274768593096434"
"Keine Sorgen","1997","Hauptschule","1013","0.18017484172216","0.17023137844797","0.19011830499635"
"Keine Sorgen","1997","Realschule","542","0.185184499392362","0.171432532801012","0.198936465983713"
"Einige Sorgen","1998","(Fach-)Abitur","577","0.51382624786205","0.484838202252433","0.542814293471667"
"Einige Sorgen","1998","(noch) kein Abschluss","371","0.447317022967771","0.413285066118765","0.481348979816777"
"Einige Sorgen","1998","AkademikerIn","1021","0.508176130462941","0.486054836771259","0.530297424154624"
"Einige Sorgen","1998","Hauptschule","2692","0.426249082467342","0.413893512904159","0.438604652030525"
"Einige Sorgen","1998","Realschule","1746","0.505700789468857","0.488855647013234","0.522545931924479"
"Grosse Sorgen","1998","(Fach-)Abitur","372","0.319253373800807","0.292215313291502","0.346291434310111"
"Grosse Sorgen","1998","(noch) kein Abschluss","303","0.368077069454805","0.335067291460029","0.401086847449581"
"Grosse Sorgen","1998","AkademikerIn","602","0.301127250591178","0.280828342728763","0.321426158453592"
"Grosse Sorgen","1998","Hauptschule","2663","0.439123412283271","0.426724137137604","0.451522687428938"
"Grosse Sorgen","1998","Realschule","1159","0.34638278782922","0.33035133780159","0.36241423785685"
"Keine Sorgen","1998","(Fach-)Abitur","193","0.166920378337143","0.145292546964065","0.18854820971022"
"Keine Sorgen","1998","(noch) kein Abschluss","146","0.184605907577424","0.158050819725033","0.211160995429816"
"Keine Sorgen","1998","AkademikerIn","339","0.190696618945881","0.173313577589368","0.208079660302394"
"Keine Sorgen","1998","Hauptschule","799","0.134627505249387","0.126099689906926","0.143155320591848"
"Keine Sorgen","1998","Realschule","479","0.147916422701923","0.135955017330564","0.159877828073283"
"Einige Sorgen","1999","(Fach-)Abitur","554","0.492743274176396","0.463657915768243","0.521828632584549"
"Einige Sorgen","1999","(noch) kein Abschluss","334","0.42168911989438","0.38712170206922","0.45625653771954"
"Einige Sorgen","1999","AkademikerIn","1035","0.502311841232099","0.480153919304982","0.524469763159216"
"Einige Sorgen","1999","Hauptschule","2670","0.436701870011568","0.424155283084335","0.449248456938801"
"Einige Sorgen","1999","Realschule","1722","0.497471850146225","0.480603381622977","0.514340318669473"
"Grosse Sorgen","1999","(Fach-)Abitur","412","0.38195772121313","0.353691555569737","0.410223886856523"
"Grosse Sorgen","1999","(noch) kein Abschluss","307","0.402974131410473","0.368640066950172","0.437308195870773"
"Grosse Sorgen","1999","AkademikerIn","593","0.315295551627753","0.294704706967444","0.335886396288062"
"Grosse Sorgen","1999","Hauptschule","2579","0.442646554318029","0.430081689847636","0.455211418788422"
"Grosse Sorgen","1999","Realschule","1182","0.371661003125328","0.355357470871739","0.387964535378916"
"Keine Sorgen","1999","(Fach-)Abitur","169","0.125299004610474","0.106039115555018","0.14455889366593"
"Keine Sorgen","1999","(noch) kein Abschluss","143","0.175336748695147","0.148719396251327","0.201954101138968"
"Keine Sorgen","1999","AkademikerIn","328","0.182392607140147","0.165279073760375","0.199506140519919"
"Keine Sorgen","1999","Hauptschule","754","0.120651575670403","0.112411884900521","0.128891266440284"
"Keine Sorgen","1999","Realschule","471","0.130867146728447","0.119489050496191","0.142245242960703"
"Einige Sorgen","2000","(Fach-)Abitur","1142","0.490946301483591","0.470660623997975","0.511231978969206"
"Einige Sorgen","2000","(noch) kein Abschluss","411","0.45441840248844","0.421942440252473","0.486894364724407"
"Einige Sorgen","2000","AkademikerIn","2007","0.522779107450553","0.506877269557885","0.538680945343221"
"Einige Sorgen","2000","Hauptschule","4973","0.465108944434367","0.455601605241627","0.474616283627107"
"Einige Sorgen","2000","Realschule","3127","0.495561505415329","0.48316708469715","0.507955926133509"
"Grosse Sorgen","2000","(Fach-)Abitur","736","0.314230806107909","0.295394137934691","0.333067474281127"
"Grosse Sorgen","2000","(noch) kein Abschluss","288","0.320675770717576","0.29023358424868","0.351117957186471"
"Grosse Sorgen","2000","AkademikerIn","1045","0.271945317386066","0.25777918557891","0.286111449193221"
"Grosse Sorgen","2000","Hauptschule","3674","0.352025546905348","0.342921908322804","0.361129185487892"
"Grosse Sorgen","2000","Realschule","2014","0.322012512034846","0.310429525417097","0.333595498652594"
"Keine Sorgen","2000","(Fach-)Abitur","455","0.1948228924085","0.178751391974082","0.210894392842918"
"Keine Sorgen","2000","(noch) kein Abschluss","204","0.224905826793984","0.197673684638884","0.252137968949084"
"Keine Sorgen","2000","AkademikerIn","738","0.205275575163381","0.192416628195917","0.218134522130846"
"Keine Sorgen","2000","Hauptschule","1926","0.182865508660285","0.175497304594318","0.190233712726253"
"Keine Sorgen","2000","Realschule","1110","0.182425982549825","0.172852273406462","0.191999691693189"
"Einige Sorgen","2001","(Fach-)Abitur","1132","0.51395275812302","0.493114913461029","0.534790602785012"
"Einige Sorgen","2001","(noch) kein Abschluss","417","0.480235705299293","0.446825283889127","0.51364612670946"
"Einige Sorgen","2001","AkademikerIn","1907","0.535194332519269","0.518731733606392","0.551656931432147"
"Einige Sorgen","2001","Hauptschule","4518","0.476929649695264","0.466783441053829","0.487075858336699"
"Einige Sorgen","2001","Realschule","2896","0.49893820039579","0.485996591476899","0.511879809314681"
"Grosse Sorgen","2001","(Fach-)Abitur","617","0.277067462139727","0.258408237057871","0.295726687221583"
"Grosse Sorgen","2001","(noch) kein Abschluss","228","0.26816405192459","0.238539031538791","0.29778907231039"
"Grosse Sorgen","2001","AkademikerIn","896","0.255503974450715","0.241108136181069","0.26989981272036"
"Grosse Sorgen","2001","Hauptschule","2920","0.321204892987519","0.311719463419935","0.330690322555104"
"Grosse Sorgen","2001","Realschule","1642","0.291916928415667","0.28014924454545","0.303684612285885"
"Keine Sorgen","2001","(Fach-)Abitur","461","0.208979779737253","0.192028679956074","0.225930879518433"
"Keine Sorgen","2001","(noch) kein Abschluss","214","0.251600242776116","0.22258181650919","0.280618669043042"
"Keine Sorgen","2001","AkademikerIn","723","0.209301693030016","0.195874083236584","0.222729302823449"
"Keine Sorgen","2001","Hauptschule","1871","0.201865457317217","0.193711552557569","0.210019362076864"
"Keine Sorgen","2001","Realschule","1196","0.209144871188543","0.198618193543018","0.219671548834067"
"Einige Sorgen","2002","(Fach-)Abitur","1090","0.438350047224517","0.418662275279282","0.458037819169752"
"Einige Sorgen","2002","(noch) kein Abschluss","397","0.422204504996611","0.389864313038013","0.45454469695521"
"Einige Sorgen","2002","AkademikerIn","2093","0.458054163648264","0.443569196757301","0.472539130539227"
"Einige Sorgen","2002","Hauptschule","3858","0.429098570373047","0.418789074448773","0.43940806629732"
"Einige Sorgen","2002","Realschule","2652","0.429521668963072","0.416963988810926","0.442079349115219"
"Grosse Sorgen","2002","(Fach-)Abitur","1030","0.438578568994812","0.41888967256876","0.458267465420864"
"Grosse Sorgen","2002","(noch) kein Abschluss","371","0.423210916327583","0.39086041367156","0.455561418983607"
"Grosse Sorgen","2002","AkademikerIn","1927","0.423307476653725","0.408943282146049","0.437671671161401"
"Grosse Sorgen","2002","Hauptschule","3935","0.452123538583757","0.441756655223229","0.462490421944284"
"Grosse Sorgen","2002","Realschule","2635","0.455715630399802","0.443081155551417","0.468350105248188"
"Keine Sorgen","2002","(Fach-)Abitur","320","0.123071383780671","0.110036299579295","0.136106467982048"
