"plh0038","year","bula_h","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Keine Sorgen","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Keine Sorgen","1984","Baden-Wuerttemberg","Westdeutschland","381","0.127020920689037","0.113206249830452","0.140835591547622"
"Keine Sorgen","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Keine Sorgen","1984","Bayern","Westdeutschland","190","0.0867221718080858","0.0745692414067701","0.0988751022094016"
"Keine Sorgen","1984","Bayern","Ostdeutschland","","","",""
"Keine Sorgen","1984","Saarland","Westdeutschland","","","",""
"Keine Sorgen","1984","Saarland","Ostdeutschland","","","",""
"Keine Sorgen","1984","Berlin","Westdeutschland","37","0.0860717870798609","0.0587226353511404","0.113420938808581"
"Keine Sorgen","1984","Berlin","Ostdeutschland","","","",""
"Keine Sorgen","1984","Brandenburg","Westdeutschland","","","",""
"Keine Sorgen","1984","Brandenburg","Ostdeutschland","","","",""
"Keine Sorgen","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Keine Sorgen","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Keine Sorgen","1984","Sachsen","Westdeutschland","","","",""
"Keine Sorgen","1984","Sachsen","Ostdeutschland","","","",""
"Keine Sorgen","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Keine Sorgen","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Keine Sorgen","1984","Thueringen","Westdeutschland","","","",""
"Keine Sorgen","1984","Thueringen","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Schleswig-Holstein","Westdeutschland","153","0.445110549902288","0.392744812987431","0.497476286817146"
"Grosse Sorgen","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Hamburg","Westdeutschland","150","0.495833694197492","0.436847757998109","0.554819630396874"
"Grosse Sorgen","1985","Hamburg","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Niedersachsen","Westdeutschland","517","0.473082851916538","0.443510844882489","0.502654858950588"
"Grosse Sorgen","1985","Niedersachsen","Ostdeutschland","","","",""
