year,regtyp,sex,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Urban regions,female,Sometimes,0.35364,2277,6668,0.34216,0.36512
2008,Urban regions,female,Often,0.14177,865,6668,0.13340,0.15015
2008,Urban regions,female,Very often,0.04916,286,6668,0.04397,0.05435
2008,Rural regions,male,Very seldom,0.23893,754,3173,0.22409,0.25377
2008,Rural regions,male,Seldom,0.38662,1280,3173,0.36967,0.40356
2008,Rural regions,male,Sometimes,0.27360,866,3173,0.25809,0.28912
2008,Rural regions,male,Often,0.08380,223,3173,0.07415,0.09344
2008,Rural regions,male,Very often,0.01705,50,3173,0.01255,0.02156
2008,Rural regions,female,Very seldom,0.16375,545,3414,0.15134,0.17617
2008,Rural regions,female,Seldom,0.30349,1109,3414,0.28806,0.31891
2008,Rural regions,female,Sometimes,0.35944,1213,3414,0.34334,0.37554
2008,Rural regions,female,Often,0.13056,398,3414,0.11925,0.14186
2008,Rural regions,female,Very often,0.04276,149,3414,0.03598,0.04955
2009,Urban regions,male,Very seldom,0.25939,1523,5529,0.24784,0.27095
2009,Urban regions,male,Seldom,0.36320,2070,5529,0.35052,0.37588
2009,Urban regions,male,Sometimes,0.27588,1454,5529,0.26409,0.28766
2009,Urban regions,male,Often,0.08214,392,5529,0.07490,0.08938
2009,Urban regions,male,Very often,0.01940,90,5529,0.01576,0.02303
2009,Urban regions,female,Very seldom,0.15718,1023,6129,0.14807,0.16629
2009,Urban regions,female,Seldom,0.29253,1898,6129,0.28114,0.30392
2009,Urban regions,female,Sometimes,0.36024,2134,6129,0.34822,0.37226
2009,Urban regions,female,Often,0.13516,787,6129,0.12660,0.14372
2009,Urban regions,female,Very often,0.05490,287,6129,0.04919,0.06060
2009,Rural regions,male,Very seldom,0.24030,775,3024,0.22506,0.25553
2009,Rural regions,male,Seldom,0.38866,1210,3024,0.37128,0.40603
2009,Rural regions,male,Sometimes,0.28143,786,3024,0.26540,0.29746
2009,Rural regions,male,Often,0.07198,200,3024,0.06277,0.08120
2009,Rural regions,male,Very often,0.01763,53,3024,0.01294,0.02232
2009,Rural regions,female,Very seldom,0.14839,481,3238,0.13614,0.16063
2009,Rural regions,female,Seldom,0.32722,1085,3238,0.31105,0.34338
2009,Rural regions,female,Sometimes,0.33615,1125,3238,0.31988,0.35243
2009,Rural regions,female,Often,0.13865,414,3238,0.12675,0.15056
2009,Rural regions,female,Very often,0.04959,133,3238,0.04211,0.05707
2010,Urban regions,male,Very seldom,0.25680,1448,5150,0.24486,0.26873
2010,Urban regions,male,Seldom,0.36695,1920,5150,0.35379,0.38012
2010,Urban regions,male,Sometimes,0.26944,1327,5150,0.25732,0.28156
2010,Urban regions,male,Often,0.08924,377,5150,0.08145,0.09702
2010,Urban regions,male,Very often,0.01757,78,5150,0.01398,0.02116
2010,Urban regions,female,Very seldom,0.16478,983,5735,0.15517,0.17438
2010,Urban regions,female,Seldom,0.30403,1839,5735,0.29212,0.31594
2010,Urban regions,female,Sometimes,0.34654,1938,5735,0.33422,0.35886
2010,Urban regions,female,Often,0.13334,741,5735,0.12454,0.14213
2010,Urban regions,female,Very often,0.05132,234,5735,0.04561,0.05703
2010,Rural regions,male,Very seldom,0.23775,686,2747,0.22183,0.25367
2010,Rural regions,male,Seldom,0.38021,1077,2747,0.36205,0.39837
2010,Rural regions,male,Sometimes,0.28562,745,2747,0.26872,0.30252
2010,Rural regions,male,Often,0.08180,199,2747,0.07155,0.09205
2010,Rural regions,male,Very often,0.01462,40,2747,0.01013,0.01911
2010,Rural regions,female,Very seldom,0.14146,434,2952,0.12889,0.15404
2010,Rural regions,female,Seldom,0.31593,974,2952,0.29915,0.33270
2010,Rural regions,female,Sometimes,0.35093,1039,2952,0.33371,0.36814
2010,Rural regions,female,Often,0.14820,391,2952,0.13538,0.16101
2010,Rural regions,female,Very often,0.04349,114,2952,0.03613,0.05085
2011,Urban regions,male,Very seldom,0.25934,1652,6237,0.24846,0.27022
2011,Urban regions,male,Seldom,0.35847,2319,6237,0.34657,0.37037
2011,Urban regions,male,Sometimes,0.28226,1707,6237,0.27109,0.29343
2011,Urban regions,male,Often,0.08247,452,6237,0.07564,0.08929
2011,Urban regions,male,Very often,0.01747,107,6237,0.01421,0.02072
2011,Urban regions,female,Very seldom,0.15530,1139,7085,0.14686,0.16373
2011,Urban regions,female,Seldom,0.28913,2116,7085,0.27858,0.29969
2011,Urban regions,female,Sometimes,0.36913,2612,7085,0.35789,0.38037
2011,Urban regions,female,Often,0.14204,931,7085,0.13391,0.15017
2011,Urban regions,female,Very often,0.04440,287,7085,0.03960,0.04920
2011,Rural regions,male,Very seldom,0.24711,933,3502,0.23282,0.26139
2011,Rural regions,male,Seldom,0.36974,1310,3502,0.35375,0.38573
2011,Rural regions,male,Sometimes,0.29678,979,3502,0.28164,0.31191
2011,Rural regions,male,Often,0.07191,232,3502,0.06335,0.08047
2011,Rural regions,male,Very often,0.01447,48,3502,0.01051,0.01842
2011,Rural regions,female,Very seldom,0.14960,593,3819,0.13829,0.16092
2011,Rural regions,female,Seldom,0.30447,1201,3819,0.28988,0.31907
2011,Rural regions,female,Sometimes,0.36056,1359,3819,0.34533,0.37580
2011,Rural regions,female,Often,0.14504,519,3819,0.13387,0.15621
2011,Rural regions,female,Very often,0.04032,147,3819,0.03408,0.04656
2012,Urban regions,male,Very seldom,0.27126,1748,6110,0.26011,0.28241
2012,Urban regions,male,Seldom,0.37976,2343,6110,0.36759,0.39193
2012,Urban regions,male,Sometimes,0.25627,1500,6110,0.24533,0.26722
2012,Urban regions,male,Often,0.07704,429,6110,0.07036,0.08373
2012,Urban regions,male,Very often,0.01566,90,6110,0.01255,0.01877
2012,Urban regions,female,Very seldom,0.17940,1258,6924,0.17036,0.18844
2012,Urban regions,female,Seldom,0.31176,2266,6924,0.30084,0.32267
2012,Urban regions,female,Sometimes,0.33799,2314,6924,0.32685,0.34914
2012,Urban regions,female,Often,0.13252,840,6924,0.12453,0.14051
2012,Urban regions,female,Very often,0.03833,246,6924,0.03381,0.04285
2012,Rural regions,male,Very seldom,0.27280,1005,3519,0.25808,0.28752
2012,Rural regions,male,Seldom,0.38750,1393,3519,0.37140,0.40360
2012,Rural regions,male,Sometimes,0.26097,886,3519,0.24646,0.27548
2012,Rural regions,male,Often,0.06618,194,3519,0.05797,0.07440
2012,Rural regions,male,Very often,0.01255,41,3519,0.00887,0.01622
2012,Rural regions,female,Very seldom,0.16826,664,3878,0.15648,0.18004
2012,Rural regions,female,Seldom,0.33011,1309,3878,0.31531,0.34492
2012,Rural regions,female,Sometimes,0.35095,1345,3878,0.33592,0.36597
2012,Rural regions,female,Often,0.11552,432,3878,0.10546,0.12558
2012,Rural regions,female,Very often,0.03516,128,3878,0.02936,0.04096
2013,Urban regions,male,Very seldom,0.28108,2107,7312,0.27078,0.29139
2013,Urban regions,male,Seldom,0.37983,2872,7312,0.36871,0.39096
2013,Urban regions,male,Sometimes,0.24982,1749,7312,0.23989,0.25974
2013,Urban regions,male,Often,0.07609,489,7312,0.07001,0.08217
2013,Urban regions,male,Very often,0.01318,95,7312,0.01057,0.01580
2013,Urban regions,female,Very seldom,0.17016,1490,8972,0.16238,0.17793
2013,Urban regions,female,Seldom,0.31877,3013,8972,0.30913,0.32842
2013,Urban regions,female,Sometimes,0.34912,3039,8972,0.33926,0.35899
2013,Urban regions,female,Often,0.12464,1087,8972,0.11780,0.13147
2013,Urban regions,female,Very often,0.03731,343,8972,0.03339,0.04123
2013,Rural regions,male,Very seldom,0.28129,1219,4267,0.26780,0.29478
2013,Rural regions,male,Seldom,0.37378,1687,4267,0.35926,0.38830
2013,Rural regions,male,Sometimes,0.26071,1065,4267,0.24753,0.27388
2013,Rural regions,male,Often,0.06555,243,4267,0.05812,0.07298
2013,Rural regions,male,Very often,0.01867,53,4267,0.01461,0.02274
2013,Rural regions,female,Very seldom,0.15213,806,5060,0.14223,0.16202
2013,Rural regions,female,Seldom,0.33059,1745,5060,0.31763,0.34356
2013,Rural regions,female,Sometimes,0.34508,1668,5060,0.33198,0.35818
2013,Rural regions,female,Often,0.13031,632,5060,0.12103,0.13959
2013,Rural regions,female,Very often,0.04189,209,5060,0.03637,0.04741
2014,Urban regions,male,Very seldom,0.29932,2446,8044,0.28931,0.30933
2014,Urban regions,male,Seldom,0.36922,2989,8044,0.35867,0.37976
2014,Urban regions,male,Sometimes,0.25427,1963,8044,0.24475,0.26378
2014,Urban regions,male,Often,0.06258,517,8044,0.05728,0.06787
2014,Urban regions,male,Very often,0.01462,129,8044,0.01199,0.01724
2014,Urban regions,female,Very seldom,0.17748,1669,9570,0.16983,0.18514
2014,Urban regions,female,Seldom,0.32019,3125,9570,0.31084,0.32953
2014,Urban regions,female,Sometimes,0.32850,3179,9570,0.31909,0.33791
2014,Urban regions,female,Often,0.13141,1182,9570,0.12464,0.13818
2014,Urban regions,female,Very often,0.04243,415,9570,0.03839,0.04647
2014,Rural regions,male,Very seldom,0.28544,1297,4350,0.27202,0.29886
2014,Rural regions,male,Seldom,0.38660,1722,4350,0.37213,0.40108
2014,Rural regions,male,Sometimes,0.24708,1019,4350,0.23426,0.25990
2014,Rural regions,male,Often,0.06874,263,4350,0.06122,0.07626
2014,Rural regions,male,Very often,0.01213,49,4350,0.00888,0.01539
2014,Rural regions,female,Very seldom,0.15386,823,5039,0.14390,0.16382
2014,Rural regions,female,Seldom,0.33210,1740,5039,0.31909,0.34510
2014,Rural regions,female,Sometimes,0.34993,1680,5039,0.33676,0.36310
2014,Rural regions,female,Often,0.12152,592,5039,0.11250,0.13054
2014,Rural regions,female,Very often,0.04259,204,5039,0.03701,0.04817
2015,Urban regions,male,Very seldom,0.27897,2187,7366,0.26873,0.28921
2015,Urban regions,male,Seldom,0.38994,2872,7366,0.37880,0.40108
2015,Urban regions,male,Sometimes,0.24466,1737,7366,0.23484,0.25448
2015,Urban regions,male,Often,0.07155,458,7366,0.06566,0.07743
2015,Urban regions,male,Very often,0.01488,112,7366,0.01212,0.01765
2015,Urban regions,female,Very seldom,0.17725,1581,8790,0.16926,0.18523
2015,Urban regions,female,Seldom,0.32221,2881,8790,0.31244,0.33198
2015,Urban regions,female,Sometimes,0.33802,2935,8790,0.32813,0.34791
2015,Urban regions,female,Often,0.11962,1052,8790,0.11284,0.12641
2015,Urban regions,female,Very often,0.04291,341,8790,0.03867,0.04714
2015,Rural regions,male,Very seldom,0.26909,1133,4063,0.25545,0.28272
2015,Rural regions,male,Seldom,0.38246,1651,4063,0.36752,0.39741
2015,Rural regions,male,Sometimes,0.26138,976,4063,0.24787,0.27489
2015,Rural regions,male,Often,0.07296,243,4063,0.06496,0.08096
2015,Rural regions,male,Very often,0.01411,60,4063,0.01048,0.01773
2015,Rural regions,female,Very seldom,0.15188,793,4749,0.14167,0.16209
2015,Rural regions,female,Seldom,0.33094,1626,4749,0.31756,0.34433
2015,Rural regions,female,Sometimes,0.35460,1594,4749,0.34099,0.36821
2015,Rural regions,female,Often,0.12257,558,4749,0.11324,0.13189
2015,Rural regions,female,Very often,0.04001,178,4749,0.03444,0.04559
2016,Urban regions,male,Very seldom,0.29552,2170,7115,0.28492,0.30612
2016,Urban regions,male,Seldom,0.37358,2691,7115,0.36234,0.38482
2016,Urban regions,male,Sometimes,0.24353,1715,7115,0.23356,0.25351
2016,Urban regions,male,Often,0.07107,441,7115,0.06510,0.07704
2016,Urban regions,male,Very often,0.01629,98,7115,0.01335,0.01923
2016,Urban regions,female,Very seldom,0.18211,1537,8529,0.17392,0.19030
2016,Urban regions,female,Seldom,0.31571,2816,8529,0.30584,0.32557
2016,Urban regions,female,Sometimes,0.33548,2872,8529,0.32546,0.34550
2016,Urban regions,female,Often,0.12663,967,8529,0.11957,0.13369
2016,Urban regions,female,Very often,0.04007,337,8529,0.03590,0.04423
2016,Rural regions,male,Very seldom,0.27466,1120,3912,0.26067,0.28865
2016,Rural regions,male,Seldom,0.39575,1551,3912,0.38043,0.41108
2016,Rural regions,male,Sometimes,0.25073,958,3912,0.23714,0.26431
2016,Rural regions,male,Often,0.06379,232,3912,0.05613,0.07145
2016,Rural regions,male,Very often,0.01508,51,3912,0.01126,0.01889
2016,Rural regions,female,Very seldom,0.15591,774,4545,0.14536,0.16646
2016,Rural regions,female,Seldom,0.33698,1589,4545,0.32324,0.35072
2016,Rural regions,female,Sometimes,0.35522,1527,4545,0.34130,0.36913
2016,Rural regions,female,Often,0.11284,488,4545,0.10364,0.12204
2016,Rural regions,female,Very often,0.03905,167,4545,0.03342,0.04469
2017,Urban regions,male,Very seldom,0.28561,2358,7829,0.27560,0.29562
2017,Urban regions,male,Seldom,0.40557,3099,7829,0.39469,0.41645
2017,Urban regions,male,Sometimes,0.23080,1812,7829,0.22147,0.24014
2017,Urban regions,male,Often,0.06462,456,7829,0.05918,0.07007
2017,Urban regions,male,Very often,0.01339,104,7829,0.01085,0.01594
2017,Urban regions,female,Very seldom,0.17477,1671,9227,0.16702,0.18252
2017,Urban regions,female,Seldom,0.33956,3136,9227,0.32990,0.34922
2017,Urban regions,female,Sometimes,0.32324,3049,9227,0.31370,0.33279
2017,Urban regions,female,Often,0.12412,1046,9227,0.11739,0.13084
2017,Urban regions,female,Very often,0.03831,325,9227,0.03439,0.04222
2017,Rural regions,male,Very seldom,0.27640,1280,4354,0.26312,0.28969
2017,Rural regions,male,Seldom,0.39533,1735,4354,0.38080,0.40985
2017,Rural regions,male,Sometimes,0.25290,1032,4354,0.23999,0.26581
2017,Rural regions,male,Often,0.05735,229,4354,0.05045,0.06426
2017,Rural regions,male,Very often,0.01802,78,4354,0.01407,0.02197
2017,Rural regions,female,Very seldom,0.15318,842,4967,0.14316,0.16320
2017,Rural regions,female,Seldom,0.33298,1723,4967,0.31987,0.34608
2017,Rural regions,female,Sometimes,0.33643,1623,4967,0.32329,0.34957
2017,Rural regions,female,Often,0.14047,593,4967,0.13081,0.15014
2017,Rural regions,female,Very often,0.03694,186,4967,0.03170,0.04219
2018,Urban regions,male,Very seldom,0.28899,2378,7602,0.27880,0.29918
2018,Urban regions,male,Seldom,0.39086,2889,7602,0.37990,0.40183
2018,Urban regions,male,Sometimes,0.23621,1732,7602,0.22666,0.24575
2018,Urban regions,male,Often,0.06889,488,7602,0.06320,0.07459
2018,Urban regions,male,Very often,0.01505,115,7602,0.01231,0.01778
2018,Urban regions,female,Very seldom,0.18053,1651,9008,0.17259,0.18848
2018,Urban regions,female,Seldom,0.33521,3092,9008,0.32546,0.34495
2018,Urban regions,female,Sometimes,0.32039,2871,9008,0.31075,0.33002
2018,Urban regions,female,Often,0.12482,1065,9008,0.11800,0.13165
2018,Urban regions,female,Very often,0.03905,329,9008,0.03505,0.04305
2018,Rural regions,male,Very seldom,0.28140,1230,4146,0.26771,0.29509
2018,Rural regions,male,Seldom,0.40752,1679,4146,0.39256,0.42248
2018,Rural regions,male,Sometimes,0.24452,975,4146,0.23143,0.25760
2018,Rural regions,male,Often,0.05572,212,4146,0.04874,0.06270
2018,Rural regions,male,Very often,0.01085,50,4146,0.00769,0.01400
2018,Rural regions,female,Very seldom,0.16025,859,4778,0.14985,0.17065
2018,Rural regions,female,Seldom,0.33897,1717,4778,0.32555,0.35240
2018,Rural regions,female,Sometimes,0.34750,1528,4778,0.33400,0.36101
2018,Rural regions,female,Often,0.10521,508,4778,0.09651,0.11391
2018,Rural regions,female,Very often,0.04807,166,4778,0.04200,0.05413
2019,No answer / don't know,male,Very seldom,0.29533,86,269,0.24071,0.34995
2019,No answer / don't know,male,Seldom,0.34493,104,269,0.28802,0.40184
2019,No answer / don't know,male,Sometimes,0.24667,79,269,0.19506,0.29828
2019,No answer / don't know,female,Very seldom,0.16338,47,242,0.11670,0.21005
2019,No answer / don't know,female,Seldom,0.34210,82,242,0.28220,0.40199
2019,No answer / don't know,female,Sometimes,0.33419,81,242,0.27464,0.39375
2019,No answer / don't know,female,Often,0.13608,32,242,0.09279,0.17937
2019,Urban regions,male,Very seldom,0.30228,2457,7765,0.29206,0.31249
2019,Urban regions,male,Seldom,0.38544,2988,7765,0.37461,0.39626
2019,Urban regions,male,Sometimes,0.23666,1813,7765,0.22721,0.24611
2019,Urban regions,male,Often,0.06283,419,7765,0.05743,0.06822
2019,Urban regions,male,Very often,0.01280,88,7765,0.01030,0.01530
2019,Urban regions,female,Very seldom,0.17953,1667,8606,0.17142,0.18764
2019,Urban regions,female,Seldom,0.33217,2918,8606,0.32222,0.34212
2019,Urban regions,female,Sometimes,0.32900,2779,8606,0.31907,0.33892
2019,Urban regions,female,Often,0.12690,972,8606,0.11986,0.13393
2019,Urban regions,female,Very often,0.03241,270,8606,0.02867,0.03615
2019,Rural regions,male,Very seldom,0.27163,1281,4200,0.25818,0.28509
2019,Rural regions,male,Seldom,0.39394,1628,4200,0.37916,0.40872
2019,Rural regions,male,Sometimes,0.25336,994,4200,0.24020,0.26651
2019,Rural regions,male,Often,0.06252,240,4200,0.05519,0.06984
2019,Rural regions,male,Very often,0.01856,57,4200,0.01448,0.02264
2019,Rural regions,female,Very seldom,0.16921,832,4563,0.15833,0.18009
2019,Rural regions,female,Seldom,0.32494,1616,4563,0.31135,0.33853
2019,Rural regions,female,Sometimes,0.34697,1441,4563,0.33316,0.36078
2019,Rural regions,female,Often,0.11538,523,4563,0.10611,0.12465
2019,Rural regions,female,Very often,0.04350,151,4563,0.03758,0.04942
2020,Urban regions,male,Very seldom,0.28007,2394,8123,0.27030,0.28983
2020,Urban regions,male,Seldom,0.39348,3086,8123,0.38286,0.40411
2020,Urban regions,male,Sometimes,0.24721,2016,8123,0.23782,0.25659
2020,Urban regions,male,Often,0.06364,507,8123,0.05833,0.06895
2020,Urban regions,male,Very often,0.01560,120,8123,0.01291,0.01830
2020,Urban regions,female,Very seldom,0.16995,1570,8888,0.16214,0.17776
2020,Urban regions,female,Seldom,0.32327,2971,8888,0.31354,0.33299
2020,Urban regions,female,Sometimes,0.33663,2933,8888,0.32681,0.34646
2020,Urban regions,female,Often,0.13326,1125,8888,0.12620,0.14033
2020,Urban regions,female,Very often,0.03689,289,8888,0.03297,0.04080
2020,Rural regions,male,Very seldom,0.25406,1193,4122,0.24077,0.26736
2020,Rural regions,male,Seldom,0.41989,1657,4122,0.40483,0.43496
2020,Rural regions,male,Sometimes,0.23329,949,4122,0.22038,0.24620
2020,Rural regions,male,Often,0.07766,270,4122,0.06949,0.08583
2020,Rural regions,male,Very often,0.01509,53,4122,0.01137,0.01881
2020,Rural regions,female,Very seldom,0.15262,760,4477,0.14209,0.16316
2020,Rural regions,female,Seldom,0.34070,1603,4477,0.32682,0.35459
2020,Rural regions,female,Sometimes,0.32319,1389,4477,0.30949,0.33689
2020,Rural regions,female,Often,0.13362,542,4477,0.12365,0.14359
2020,Rural regions,female,Very often,0.04987,183,4477,0.04349,0.05624
2021,Urban regions,male,Very seldom,0.28656,1581,5339,0.27443,0.29869
2021,Urban regions,male,Seldom,0.41437,2195,5339,0.40115,0.42758
2021,Urban regions,male,Sometimes,0.21636,1152,5339,0.20531,0.22740
2021,Urban regions,male,Often,0.07229,341,5339,0.06534,0.07924
2021,Urban regions,male,Very often,0.01043,70,5339,0.00771,0.01316
2021,Urban regions,female,Very seldom,0.16762,1080,6054,0.15821,0.17703
2021,Urban regions,female,Seldom,0.36893,2186,6054,0.35678,0.38109
2021,Urban regions,female,Sometimes,0.30260,1849,6054,0.29103,0.31418
2021,Urban regions,female,Often,0.12830,747,6054,0.11988,0.13673
2021,Urban regions,female,Very often,0.03254,192,6054,0.02807,0.03701
2021,Rural regions,male,Very seldom,0.27265,845,2734,0.25595,0.28934
2021,Rural regions,male,Seldom,0.42515,1149,2734,0.40662,0.44369
2021,Rural regions,male,Sometimes,0.21523,538,2734,0.19982,0.23064
2021,Rural regions,male,Often,0.07162,164,2734,0.06195,0.08128
2021,Rural regions,male,Very often,0.01535,38,2734,0.01074,0.01996
2021,Rural regions,female,Very seldom,0.17343,578,3049,0.15999,0.18687
2021,Rural regions,female,Seldom,0.35871,1114,3049,0.34168,0.37574
2021,Rural regions,female,Sometimes,0.29091,879,3049,0.27479,0.30704
2021,Rural regions,female,Often,0.14669,382,3049,0.13413,0.15925
2021,Rural regions,female,Very often,0.03026,96,3049,0.02418,0.03635
2022,Urban regions,male,Very seldom,0.26175,2218,8568,0.25244,0.27106
2022,Urban regions,male,Seldom,0.40375,3325,8568,0.39336,0.41414
2022,Urban regions,male,Sometimes,0.23343,2161,8568,0.22447,0.24239
2022,Urban regions,male,Often,0.08318,695,8568,0.07733,0.08903
2022,Urban regions,male,Very often,0.01788,169,8568,0.01508,0.02069
2022,Urban regions,female,Very seldom,0.15134,1414,9112,0.14398,0.15870
2022,Urban regions,female,Seldom,0.33867,3008,9112,0.32896,0.34839
2022,Urban regions,female,Sometimes,0.32603,3039,9112,0.31641,0.33566
2022,Urban regions,female,Often,0.14655,1274,9112,0.13929,0.15381
2022,Urban regions,female,Very often,0.03740,377,9112,0.03350,0.04129
2022,Rural regions,male,Very seldom,0.26795,1143,3976,0.25418,0.28171
2022,Rural regions,male,Seldom,0.40426,1572,3976,0.38901,0.41952
2022,Rural regions,male,Sometimes,0.23641,906,3976,0.22320,0.24962
2022,Rural regions,male,Often,0.07344,276,3976,0.06533,0.08155
2022,Rural regions,male,Very often,0.01794,79,3976,0.01381,0.02207
2022,Rural regions,female,Very seldom,0.15762,748,4425,0.14688,0.16836
2022,Rural regions,female,Seldom,0.33619,1507,4425,0.32227,0.35011
2022,Rural regions,female,Sometimes,0.32552,1431,4425,0.31171,0.33932
2022,Rural regions,female,Often,0.13920,575,4425,0.12900,0.14940
2022,Rural regions,female,Very often,0.04147,164,4425,0.03560,0.04735
