year,sampreg,sex,plh0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2008,East,female,Very seldom,0.14626,371,19225,0.14599,0.14654
2008,East,female,Seldom,0.31833,811,19225,0.31797,0.31869
2008,East,female,Sometimes,0.35381,887,19225,0.35344,0.35418
2008,East,female,Often,0.13114,278,19225,0.13087,0.13140
2008,East,female,Very often,0.05046,113,19225,0.05029,0.05063
2009,West,male,Very seldom,0.26005,1764,17920,0.25988,0.26021
2009,West,male,Seldom,0.36691,2407,17920,0.36673,0.36709
2009,West,male,Sometimes,0.27356,1649,17920,0.27339,0.27373
2009,West,male,Often,0.08034,452,17920,0.08024,0.08044
2009,West,male,Very often,0.01915,107,17920,0.01910,0.01920
2009,West,female,Very seldom,0.15192,1141,17920,0.15179,0.15205
2009,West,female,Seldom,0.30410,2214,17920,0.30393,0.30427
2009,West,female,Sometimes,0.35467,2427,17920,0.35449,0.35484
2009,West,female,Often,0.13543,920,17920,0.13530,0.13556
2009,West,female,Very often,0.05388,320,17920,0.05380,0.05397
2009,East,male,Very seldom,0.22452,534,17920,0.22419,0.22484
2009,East,male,Seldom,0.39027,873,17920,0.38989,0.39065
2009,East,male,Sometimes,0.29508,591,17920,0.29472,0.29544
2009,East,male,Often,0.07265,140,17920,0.07244,0.07285
2009,East,male,Very often,0.01749,36,17920,0.01738,0.01759
2009,East,female,Very seldom,0.16509,363,17920,0.16480,0.16538
2009,East,female,Seldom,0.30226,769,17920,0.30191,0.30262
2009,East,female,Sometimes,0.34241,832,17920,0.34204,0.34277
2009,East,female,Often,0.14011,281,17920,0.13984,0.14038
2009,East,female,Very often,0.05013,100,17920,0.04996,0.05029
2010,West,male,Very seldom,0.25823,1672,16584,0.25805,0.25840
2010,West,male,Seldom,0.36548,2207,16584,0.36529,0.36567
2010,West,male,Sometimes,0.27633,1533,16584,0.27615,0.27651
2010,West,male,Often,0.08357,425,16584,0.08346,0.08368
2010,West,male,Very often,0.01639,86,16584,0.01634,0.01644
2010,West,female,Very seldom,0.16078,1096,16584,0.16063,0.16092
2010,West,female,Seldom,0.30737,2109,16584,0.30719,0.30755
2010,West,female,Sometimes,0.34473,2216,16584,0.34454,0.34491
2010,West,female,Often,0.13706,863,16584,0.13692,0.13719
2010,West,female,Very often,0.05007,270,16584,0.04998,0.05015
2010,East,male,Very seldom,0.21776,462,16584,0.21742,0.21810
2010,East,male,Seldom,0.39758,790,16584,0.39718,0.39797
2010,East,male,Sometimes,0.26597,539,16584,0.26561,0.26633
2010,East,male,Often,0.10092,151,16584,0.10068,0.10117
2010,East,male,Very often,0.01777,32,16584,0.01766,0.01787
2010,East,female,Very seldom,0.14159,321,16584,0.14130,0.14188
2010,East,female,Seldom,0.30960,704,16584,0.30922,0.30998
2010,East,female,Sometimes,0.36464,761,16584,0.36424,0.36504
2010,East,female,Often,0.14165,269,16584,0.14136,0.14194
2010,East,female,Very often,0.04252,78,16584,0.04236,0.04269
2011,West,male,Very seldom,0.25739,1968,20643,0.25722,0.25757
2011,West,male,Seldom,0.36109,2776,20643,0.36090,0.36128
2011,West,male,Sometimes,0.28764,2030,20643,0.28746,0.28782
2011,West,male,Often,0.07754,522,20643,0.07743,0.07765
2011,West,male,Very often,0.01633,121,20643,0.01628,0.01638
2011,West,female,Very seldom,0.15639,1337,20643,0.15624,0.15653
2011,West,female,Seldom,0.29167,2529,20643,0.29149,0.29184
2011,West,female,Sometimes,0.36393,3019,20643,0.36374,0.36412
2011,West,female,Often,0.14493,1124,20643,0.14479,0.14507
2011,West,female,Very often,0.04309,329,20643,0.04301,0.04317
2011,East,male,Very seldom,0.24754,617,20643,0.24718,0.24790
2011,East,male,Seldom,0.36660,853,20643,0.36620,0.36700
2011,East,male,Sometimes,0.28302,656,20643,0.28264,0.28339
2011,East,male,Often,0.08572,162,20643,0.08548,0.08595
2011,East,male,Very often,0.01713,34,20643,0.01702,0.01724
2011,East,female,Very seldom,0.14013,395,20643,0.13984,0.14042
2011,East,female,Seldom,0.30441,788,20643,0.30402,0.30479
2011,East,female,Sometimes,0.37736,952,20643,0.37696,0.37777
2011,East,female,Often,0.13437,326,20643,0.13408,0.13465
2011,East,female,Very often,0.04374,105,20643,0.04357,0.04391
2012,West,male,Very seldom,0.27540,2144,20431,0.27522,0.27557
2012,West,male,Seldom,0.38288,2816,20431,0.38269,0.38307
2012,West,male,Sometimes,0.25657,1804,20431,0.25639,0.25674
2012,West,male,Often,0.07100,475,20431,0.07090,0.07110
2012,West,male,Very often,0.01416,100,20431,0.01411,0.01421
2012,West,female,Very seldom,0.17734,1477,20431,0.17719,0.17749
2012,West,female,Seldom,0.31652,2746,20431,0.31634,0.31670
2012,West,female,Sometimes,0.34245,2781,20431,0.34226,0.34263
2012,West,female,Often,0.12592,960,20431,0.12579,0.12605
2012,West,female,Very often,0.03778,293,20431,0.03770,0.03785
2012,East,male,Very seldom,0.25598,609,20431,0.25562,0.25635
2012,East,male,Seldom,0.37857,920,20431,0.37817,0.37898
2012,East,male,Sometimes,0.26402,582,20431,0.26365,0.26438
2012,East,male,Often,0.08454,148,20431,0.08431,0.08477
2012,East,male,Very often,0.01689,31,20431,0.01678,0.01699
2012,East,female,Very seldom,0.16760,445,20431,0.16729,0.16791
2012,East,female,Seldom,0.32215,829,20431,0.32175,0.32254
2012,East,female,Sometimes,0.34191,878,20431,0.34151,0.34231
2012,East,female,Often,0.13333,312,20431,0.13304,0.13361
2012,East,female,Very often,0.03502,81,20431,0.03486,0.03517
2013,West,male,Very seldom,0.28003,2578,25582,0.27985,0.28021
2013,West,male,Seldom,0.38056,3541,25582,0.38036,0.38075
2013,West,male,Sometimes,0.25070,2162,25582,0.25052,0.25087
2013,West,male,Often,0.07370,571,25582,0.07360,0.07381
2013,West,male,Very often,0.01501,119,25582,0.01496,0.01506
2013,West,female,Very seldom,0.16870,1823,25582,0.16856,0.16885
2013,West,female,Seldom,0.31742,3677,25582,0.31724,0.31760
2013,West,female,Sometimes,0.34714,3657,25582,0.34696,0.34733
2013,West,female,Often,0.12936,1351,25582,0.12923,0.12949
2013,West,female,Very often,0.03737,406,25582,0.03730,0.03744
2013,East,male,Very seldom,0.29052,748,25582,0.29014,0.29089
2013,East,male,Seldom,0.37157,1018,25582,0.37117,0.37197
2013,East,male,Sometimes,0.27062,652,25582,0.27026,0.27099
2013,East,male,Often,0.06729,161,25582,0.06709,0.06750
2013,East,female,Very seldom,0.14145,473,25582,0.14117,0.14173
2013,East,female,Seldom,0.34500,1081,25582,0.34462,0.34538
2013,East,female,Sometimes,0.35283,1050,25582,0.35244,0.35321
2013,East,female,Often,0.11525,368,25582,0.11499,0.11551
2013,East,female,Very often,0.04548,146,25582,0.04531,0.04564
2014,West,male,Very seldom,0.29993,3012,27003,0.29976,0.30011
2014,West,male,Seldom,0.36927,3682,27003,0.36909,0.36945
2014,West,male,Sometimes,0.25280,2393,27003,0.25264,0.25297
2014,West,male,Often,0.06368,631,27003,0.06358,0.06377
2014,West,male,Very often,0.01432,142,27003,0.01427,0.01436
2014,West,female,Very seldom,0.17420,1992,27003,0.17406,0.17434
2014,West,female,Seldom,0.32183,3802,27003,0.32166,0.32200
2014,West,female,Sometimes,0.33343,3882,27003,0.33325,0.33360
2014,West,female,Often,0.12926,1413,27003,0.12914,0.12938
2014,West,female,Very often,0.04128,485,27003,0.04121,0.04135
2014,East,male,Very seldom,0.26928,731,27003,0.26892,0.26964
2014,East,male,Seldom,0.40327,1029,27003,0.40287,0.40367
2014,East,male,Sometimes,0.24720,589,27003,0.24685,0.24755
2014,East,male,Often,0.06828,149,27003,0.06807,0.06848
2014,East,male,Very often,0.01197,36,27003,0.01188,0.01206
2014,East,female,Very seldom,0.14931,500,27003,0.14903,0.14959
2014,East,female,Seldom,0.33314,1063,27003,0.33276,0.33351
2014,East,female,Sometimes,0.34436,977,27003,0.34398,0.34473
2014,East,female,Often,0.12473,361,27003,0.12447,0.12500
2014,East,female,Very often,0.04846,134,27003,0.04829,0.04863
2015,West,male,Very seldom,0.28171,2677,24968,0.28154,0.28188
2015,West,male,Seldom,0.38527,3547,24968,0.38508,0.38545
2015,West,male,Sometimes,0.24853,2126,24968,0.24837,0.24870
2015,West,male,Often,0.06907,548,24968,0.06898,0.06917
2015,West,male,Very often,0.01542,140,24968,0.01537,0.01546
2015,West,female,Very seldom,0.17647,1923,24968,0.17633,0.17662
2015,West,female,Seldom,0.32460,3529,24968,0.32443,0.32478
2015,West,female,Sometimes,0.33668,3555,24968,0.33650,0.33685
2015,West,female,Often,0.11865,1274,24968,0.11853,0.11877
2015,West,female,Very often,0.04359,412,24968,0.04352,0.04367
2015,East,male,Very seldom,0.25008,643,24968,0.24972,0.25043
2015,East,male,Seldom,0.39946,976,24968,0.39906,0.39986
2015,East,male,Sometimes,0.25277,587,24968,0.25242,0.25313
2015,East,male,Often,0.08585,153,24968,0.08562,0.08608
2015,East,male,Very often,0.01184,31,24968,0.01175,0.01193
2015,East,female,Very seldom,0.13628,451,24968,0.13601,0.13655
2015,East,female,Seldom,0.32648,978,24968,0.32611,0.32686
2015,East,female,Sometimes,0.37390,974,24968,0.37352,0.37429
2015,East,female,Often,0.12825,336,24968,0.12799,0.12852
2015,East,female,Very often,0.03508,108,24968,0.03493,0.03523
2016,West,male,Very seldom,0.29285,2627,24101,0.29268,0.29302
2016,West,male,Seldom,0.37876,3338,24101,0.37858,0.37894
2016,West,male,Sometimes,0.24429,2120,24101,0.24412,0.24445
2016,West,male,Often,0.06852,547,24101,0.06842,0.06861
2016,West,male,Very often,0.01559,116,24101,0.01554,0.01563
2016,West,female,Very seldom,0.17725,1854,24101,0.17711,0.17739
2016,West,female,Seldom,0.31795,3442,24101,0.31778,0.31812
2016,West,female,Sometimes,0.34099,3505,24101,0.34081,0.34116
2016,West,female,Often,0.12482,1145,24101,0.12470,0.12494
2016,West,female,Very often,0.03898,387,24101,0.03891,0.03905
2016,East,male,Very seldom,0.27061,663,24101,0.27025,0.27097
2016,East,male,Seldom,0.39445,903,24101,0.39406,0.39485
2016,East,male,Sometimes,0.25140,553,24101,0.25105,0.25175
2016,East,male,Often,0.06558,126,24101,0.06538,0.06578
2016,East,male,Very often,0.01795,33,24101,0.01785,0.01806
2016,East,female,Very seldom,0.15694,457,24101,0.15665,0.15723
2016,East,female,Seldom,0.34190,964,24101,0.34152,0.34227
2016,East,female,Sometimes,0.34634,894,24101,0.34596,0.34672
2016,East,female,Often,0.11283,310,24101,0.11258,0.11308
2016,East,female,Very often,0.04199,117,24101,0.04183,0.04215
2017,West,male,Very seldom,0.28745,2889,26377,0.28728,0.28762
2017,West,male,Seldom,0.40428,3814,26377,0.40409,0.40446
2017,West,male,Sometimes,0.23490,2243,26377,0.23474,0.23506
2017,West,male,Often,0.05961,538,26377,0.05952,0.05970
2017,West,male,Very often,0.01376,133,26377,0.01371,0.01380
2017,West,female,Very seldom,0.16966,2009,26377,0.16953,0.16980
2017,West,female,Seldom,0.33607,3817,26377,0.33589,0.33624
2017,West,female,Sometimes,0.32579,3676,26377,0.32562,0.32596
2017,West,female,Often,0.13021,1282,26377,0.13009,0.13034
2017,West,female,Very often,0.03826,402,26377,0.03819,0.03833
2017,East,male,Very seldom,0.26091,749,26377,0.26055,0.26127
2017,East,male,Seldom,0.39687,1021,26377,0.39648,0.39727
2017,East,male,Sometimes,0.25032,601,26377,0.24997,0.25067
2017,East,male,Often,0.07253,146,26377,0.07232,0.07275
2017,East,male,Very often,0.01936,49,26377,0.01925,0.01947
2017,East,female,Very seldom,0.15856,504,26377,0.15827,0.15885
2017,East,female,Seldom,0.34324,1041,26377,0.34286,0.34362
2017,East,female,Sometimes,0.33705,996,26377,0.33667,0.33743
2017,East,female,Often,0.12497,358,26377,0.12470,0.12523
2017,East,female,Very often,0.03618,109,26377,0.03603,0.03633
2018,West,male,Very seldom,0.28753,2842,25534,0.28736,0.28770
2018,West,male,Seldom,0.39590,3559,25534,0.39572,0.39609
2018,West,male,Sometimes,0.23721,2118,25534,0.23705,0.23737
2018,West,male,Often,0.06435,574,25534,0.06426,0.06444
2018,West,male,Very often,0.01500,132,25534,0.01495,0.01505
2018,West,female,Very seldom,0.17557,1991,25534,0.17543,0.17571
2018,West,female,Seldom,0.33371,3747,25534,0.33354,0.33388
2018,West,female,Sometimes,0.33161,3474,25534,0.33144,0.33178
2018,West,female,Often,0.11929,1231,25534,0.11917,0.11940
2018,West,female,Very often,0.03983,388,25534,0.03975,0.03990
2018,East,male,Very seldom,0.28393,766,25534,0.28356,0.28430
2018,East,male,Seldom,0.40045,1009,25534,0.40005,0.40085
2018,East,male,Sometimes,0.24550,590,25534,0.24514,0.24585
2018,East,male,Often,0.06197,126,25534,0.06177,0.06217
2018,East,male,Very often,0.00816,32,25534,0.00808,0.00823
2018,East,female,Very seldom,0.16517,519,25534,0.16488,0.16547
2018,East,female,Seldom,0.35226,1062,25534,0.35188,0.35264
2018,East,female,Sometimes,0.31520,924,25534,0.31483,0.31557
2018,East,female,Often,0.11549,342,25534,0.11524,0.11575
2018,East,female,Very often,0.05188,108,25534,0.05170,0.05205
2019,West,male,Very seldom,0.29827,3013,25607,0.29810,0.29844
2019,West,male,Seldom,0.38870,3682,25607,0.38852,0.38888
2019,West,male,Sometimes,0.23614,2260,25607,0.23599,0.23630
2019,West,male,Often,0.06297,527,25607,0.06288,0.06306
2019,West,male,Very often,0.01391,106,25607,0.01387,0.01396
2019,West,female,Very seldom,0.17840,2007,25607,0.17826,0.17854
2019,West,female,Seldom,0.32462,3574,25607,0.32445,0.32479
2019,West,female,Sometimes,0.33756,3384,25607,0.33739,0.33774
2019,West,female,Often,0.12395,1178,25607,0.12383,0.12407
2019,West,female,Very often,0.03547,340,25607,0.03540,0.03554
2019,East,male,Very seldom,0.26859,804,25607,0.26823,0.26896
2019,East,male,Seldom,0.38819,1026,25607,0.38779,0.38860
2019,East,male,Sometimes,0.26317,614,25607,0.26280,0.26353
2019,East,male,Often,0.06181,151,25607,0.06161,0.06201
2019,East,male,Very often,0.01824,42,25607,0.01813,0.01835
2019,East,female,Very seldom,0.16282,533,25607,0.16253,0.16312
2019,East,female,Seldom,0.35740,1025,25607,0.35702,0.35779
2019,East,female,Sometimes,0.31905,905,25607,0.31867,0.31942
2019,East,female,Often,0.12669,346,25607,0.12643,0.12696
2019,East,female,Very often,0.03404,90,25607,0.03389,0.03418
2020,West,male,Very seldom,0.27915,2891,25609,0.27898,0.27932
2020,West,male,Seldom,0.40243,3736,25609,0.40225,0.40261
2020,West,male,Sometimes,0.23954,2344,25609,0.23938,0.23970
2020,West,male,Often,0.06411,608,25609,0.06402,0.06421
2020,West,male,Very often,0.01476,138,25609,0.01472,0.01481
2020,West,female,Very seldom,0.16402,1832,25609,0.16389,0.16416
2020,West,female,Seldom,0.32734,3602,25609,0.32717,0.32751
2020,West,female,Sometimes,0.33376,3452,25609,0.33359,0.33393
2020,West,female,Often,0.13457,1336,25609,0.13445,0.13470
2020,West,female,Very often,0.04030,359,25609,0.04023,0.04037
2020,East,male,Very seldom,0.23718,696,25609,0.23683,0.23753
2020,East,male,Seldom,0.39891,1006,25609,0.39851,0.39931
2020,East,male,Sometimes,0.25929,621,25609,0.25893,0.25965
2020,East,male,Often,0.08632,169,25609,0.08609,0.08655
2020,East,male,Very often,0.01830,35,25609,0.01819,0.01841
2020,East,female,Very seldom,0.16614,498,25609,0.16584,0.16643
2020,East,female,Seldom,0.33621,973,25609,0.33583,0.33658
2020,East,female,Sometimes,0.32365,869,25609,0.32328,0.32402
2020,East,female,Often,0.12875,331,25609,0.12848,0.12901
2020,East,female,Very often,0.04526,113,25609,0.04509,0.04542
2021,West,male,Very seldom,0.28598,1933,17156,0.28581,0.28614
2021,West,male,Seldom,0.41404,2628,17156,0.41385,0.41422
2021,West,male,Sometimes,0.21677,1346,17156,0.21662,0.21693
2021,West,male,Often,0.07096,401,17156,0.07086,0.07105
2021,West,male,Very often,0.01226,86,17156,0.01222,0.01230
2021,West,female,Very seldom,0.16357,1274,17156,0.16343,0.16370
2021,West,female,Seldom,0.36492,2595,17156,0.36474,0.36509
2021,West,female,Sometimes,0.30617,2174,17156,0.30601,0.30634
2021,West,female,Often,0.13339,891,17156,0.13327,0.13352
2021,West,female,Very often,0.03195,232,17156,0.03188,0.03201
2021,East,male,Very seldom,0.26209,494,17156,0.26173,0.26245
2021,East,male,Seldom,0.43592,717,17156,0.43551,0.43633
2021,East,male,Sometimes,0.21972,345,17156,0.21937,0.22006
2021,East,male,Often,0.08228,104,17156,0.08205,0.08250
2021,East,female,Very seldom,0.19852,383,17156,0.19820,0.19883
2021,East,female,Seldom,0.37407,705,17156,0.37369,0.37446
2021,East,female,Sometimes,0.25878,553,17156,0.25843,0.25913
2021,East,female,Often,0.13680,238,17156,0.13652,0.13707
2021,East,female,Very often,0.03183,57,17156,0.03169,0.03197
