year,regtyp,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Urban regions,Often,0.11295,1383,13322,0.10758,0.11833
2011,Urban regions,Very often,0.03125,394,13322,0.02829,0.03420
2011,Rural regions,Very seldom,0.19750,1526,7321,0.18838,0.20662
2011,Rural regions,Seldom,0.33654,2511,7321,0.32571,0.34736
2011,Rural regions,Sometimes,0.32923,2338,7321,0.31846,0.33999
2011,Rural regions,Often,0.10912,751,7321,0.10197,0.11626
2011,Rural regions,Very often,0.02762,195,7321,0.02386,0.03137
2012,Urban regions,Very seldom,0.22439,3006,13034,0.21723,0.23156
2012,Urban regions,Seldom,0.34507,4609,13034,0.33691,0.35323
2012,Urban regions,Sometimes,0.29797,3814,13034,0.29011,0.30582
2012,Urban regions,Often,0.10535,1269,13034,0.10008,0.11062
2012,Urban regions,Very often,0.02723,336,13034,0.02443,0.03002
2012,Rural regions,Very seldom,0.21967,1669,7397,0.21024,0.22911
2012,Rural regions,Seldom,0.35834,2702,7397,0.34741,0.36927
2012,Rural regions,Sometimes,0.30669,2231,7397,0.29619,0.31720
2012,Rural regions,Often,0.09125,626,7397,0.08469,0.09782
2012,Rural regions,Very often,0.02404,169,7397,0.02055,0.02753
2013,Urban regions,Very seldom,0.22337,3597,16284,0.21697,0.22976
2013,Urban regions,Seldom,0.34806,5885,16284,0.34075,0.35538
2013,Urban regions,Sometimes,0.30149,4788,16284,0.29444,0.30854
2013,Urban regions,Often,0.10135,1576,16284,0.09671,0.10598
2013,Urban regions,Very often,0.02574,438,16284,0.02330,0.02817
2013,Rural regions,Very seldom,0.21545,2025,9327,0.20711,0.22379
2013,Rural regions,Seldom,0.35177,3432,9327,0.34207,0.36146
2013,Rural regions,Sometimes,0.30371,2733,9327,0.29438,0.31305
2013,Rural regions,Often,0.09856,875,9327,0.09251,0.10461
2013,Rural regions,Very often,0.03051,262,9327,0.02702,0.03400
2014,Urban regions,Very seldom,0.23646,4115,17614,0.23019,0.24274
2014,Urban regions,Seldom,0.34392,6114,17614,0.33691,0.35094
2014,Urban regions,Sometimes,0.29257,5142,17614,0.28585,0.29928
2014,Urban regions,Often,0.09809,1699,17614,0.09370,0.10248
2014,Urban regions,Very often,0.02896,544,17614,0.02649,0.03144
2014,Rural regions,Very seldom,0.21919,2120,9389,0.21082,0.22756
2014,Rural regions,Seldom,0.35916,3462,9389,0.34945,0.36886
2014,Rural regions,Sometimes,0.29887,2699,9389,0.28961,0.30813
2014,Rural regions,Often,0.09532,855,9389,0.08938,0.10126
2014,Rural regions,Very often,0.02747,253,9389,0.02416,0.03077
2015,Urban regions,Very seldom,0.22669,3768,16156,0.22023,0.23314
2015,Urban regions,Seldom,0.35513,5753,16156,0.34775,0.36251
2015,Urban regions,Sometimes,0.29264,4672,16156,0.28563,0.29966
2015,Urban regions,Often,0.09626,1510,16156,0.09171,0.10080
2015,Urban regions,Very often,0.02928,453,16156,0.02668,0.03188
2015,Rural regions,Very seldom,0.20949,1926,8812,0.20099,0.21799
2015,Rural regions,Seldom,0.35627,3277,8812,0.34627,0.36627
2015,Rural regions,Sometimes,0.30878,2570,8812,0.29913,0.31843
2015,Rural regions,Often,0.09818,801,8812,0.09197,0.10440
2015,Rural regions,Very often,0.02728,238,8812,0.02388,0.03068
2016,Urban regions,Very seldom,0.23747,3707,15644,0.23081,0.24414
2016,Urban regions,Seldom,0.34396,5507,15644,0.33651,0.35140
2016,Urban regions,Sometimes,0.29060,4587,15644,0.28348,0.29771
2016,Urban regions,Often,0.09951,1408,15644,0.09482,0.10420
2016,Urban regions,Very often,0.02846,435,15644,0.02585,0.03107
2016,Rural regions,Very seldom,0.21425,1894,8457,0.20551,0.22300
2016,Rural regions,Seldom,0.36586,3140,8457,0.35559,0.37612
2016,Rural regions,Sometimes,0.30388,2485,8457,0.29408,0.31368
2016,Rural regions,Often,0.08874,720,8457,0.08268,0.09480
2016,Rural regions,Very often,0.02727,218,8457,0.02380,0.03074
2017,Urban regions,Very seldom,0.22880,4029,17056,0.22249,0.23510
2017,Urban regions,Seldom,0.37174,6235,17056,0.36448,0.37899
2017,Urban regions,Sometimes,0.27819,4861,17056,0.27146,0.28491
2017,Urban regions,Often,0.09512,1502,17056,0.09072,0.09952
2017,Urban regions,Very often,0.02616,429,17056,0.02377,0.02856
2017,Rural regions,Very seldom,0.21441,2122,9321,0.20607,0.22274
2017,Rural regions,Seldom,0.36396,3458,9321,0.35419,0.37373
2017,Rural regions,Sometimes,0.29492,2655,9321,0.28567,0.30418
2017,Rural regions,Often,0.09917,822,9321,0.09310,0.10524
2017,Rural regions,Very often,0.02754,264,9321,0.02422,0.03086
2018,Urban regions,Very seldom,0.23349,4029,16610,0.22705,0.23992
2018,Urban regions,Seldom,0.36238,5981,16610,0.35507,0.36969
2018,Urban regions,Sometimes,0.27929,4603,16610,0.27247,0.28611
2018,Urban regions,Often,0.09752,1553,16610,0.09300,0.10203
2018,Urban regions,Very often,0.02733,444,16610,0.02485,0.02981
2018,Rural regions,Very seldom,0.21974,2089,8924,0.21115,0.22833
2018,Rural regions,Seldom,0.37263,3396,8924,0.36260,0.38266
2018,Rural regions,Sometimes,0.29693,2503,8924,0.28745,0.30641
2018,Rural regions,Often,0.08091,720,8924,0.07525,0.08656
2018,Rural regions,Very often,0.02979,216,8924,0.02626,0.03332
2019,No answer / don't know,Very seldom,0.23327,133,538,0.19750,0.26904
2019,No answer / don't know,Seldom,0.33915,186,538,0.29911,0.37920
2019,No answer / don't know,Sometimes,0.28424,162,538,0.24609,0.32239
2019,No answer / don't know,Often,0.11511,57,538,0.08812,0.14211
2019,Urban regions,Very seldom,0.23919,4124,16371,0.23266,0.24573
2019,Urban regions,Seldom,0.35806,5906,16371,0.35072,0.36541
2019,Urban regions,Sometimes,0.28412,4592,16371,0.27721,0.29102
2019,Urban regions,Often,0.09575,1391,16371,0.09125,0.10026
2019,Urban regions,Very often,0.02288,358,16371,0.02059,0.02517
2019,Rural regions,Very seldom,0.21978,2113,8763,0.21111,0.22845
2019,Rural regions,Seldom,0.35901,3244,8763,0.34896,0.36905
2019,Rural regions,Sometimes,0.30075,2435,8763,0.29115,0.31035
2019,Rural regions,Often,0.08928,763,8763,0.08331,0.09525
2019,Rural regions,Very often,0.03119,208,8763,0.02755,0.03483
2020,Urban regions,Very seldom,0.22330,3964,17018,0.21704,0.22955
2020,Urban regions,Seldom,0.35721,6057,17018,0.35001,0.36441
2020,Urban regions,Sometimes,0.29319,4951,17018,0.28635,0.30003
2020,Urban regions,Often,0.09963,1636,17018,0.09513,0.10413
2020,Urban regions,Very often,0.02668,410,17018,0.02426,0.02910
2020,Rural regions,Very seldom,0.20333,1953,8599,0.19482,0.21183
2020,Rural regions,Seldom,0.38029,3260,8599,0.37002,0.39055
2020,Rural regions,Sometimes,0.27826,2338,8599,0.26878,0.28773
2020,Rural regions,Often,0.10565,812,8599,0.09915,0.11215
2020,Rural regions,Very often,0.03249,236,8599,0.02874,0.03623
2021,Urban regions,Very seldom,0.22510,2662,11400,0.21743,0.23277
2021,Urban regions,Seldom,0.39074,4381,11400,0.38178,0.39970
2021,Urban regions,Sometimes,0.26095,3004,11400,0.25289,0.26901
2021,Urban regions,Often,0.10138,1091,11400,0.09584,0.10692
2021,Urban regions,Very often,0.02183,262,11400,0.01915,0.02451
2021,Rural regions,Very seldom,0.22324,1423,5783,0.21250,0.23397
2021,Rural regions,Seldom,0.39207,2263,5783,0.37948,0.40465
2021,Rural regions,Sometimes,0.25292,1417,5783,0.24172,0.26413
2021,Rural regions,Often,0.10900,546,5783,0.10097,0.11703
2021,Rural regions,Very often,0.02278,134,5783,0.01893,0.02662
2022,Urban regions,Very seldom,0.20543,3632,17697,0.19947,0.21138
2022,Urban regions,Seldom,0.37059,6341,17697,0.36348,0.37771
2022,Urban regions,Sometimes,0.28055,5206,17697,0.27393,0.28717
2022,Urban regions,Often,0.11556,1971,17697,0.11085,0.12027
2022,Urban regions,Very often,0.02787,547,17697,0.02545,0.03030
2022,Rural regions,Very seldom,0.21115,1892,8403,0.20242,0.21988
2022,Rural regions,Seldom,0.36913,3079,8403,0.35881,0.37945
2022,Rural regions,Sometimes,0.28230,2337,8403,0.27268,0.29193
2022,Rural regions,Often,0.10732,851,8403,0.10071,0.11394
2022,Rural regions,Very often,0.03009,244,8403,0.02644,0.03375
