"hlf0632","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"2","2018","Ländlicher Raum","Westdeutschland","181","0.096130832663373","0.0821473461291889","0.110114319197557"
"2","2018","Ländlicher Raum","Ostdeutschland","119","0.133122970330914","0.111799836609397","0.15444610405243"
"3","2018","Städtischer Raum","Westdeutschland","392","0.101706642338904","0.0920619486069126","0.111351336070896"
"3","2018","Städtischer Raum","Ostdeutschland","31","0.153235358726939","0.110505877559238","0.19596483989464"
"3","2018","Ländlicher Raum","Westdeutschland","183","0.109466254777489","0.0946548363615007","0.124277673193478"
"3","2018","Ländlicher Raum","Ostdeutschland","93","0.0910114660685273","0.072957482584123","0.109065449552932"
"4","2018","Städtischer Raum","Westdeutschland","256","0.0719898385542426","0.0637424462333226","0.0802372308751626"
"4","2018","Städtischer Raum","Ostdeutschland","15","","",""
"4","2018","Ländlicher Raum","Westdeutschland","120","0.0756634400635832","0.063117897816217","0.0882089823109495"
"4","2018","Ländlicher Raum","Ostdeutschland","76","0.0676349351178165","0.0518724634757261","0.0833974067599068"
"5","2018","Städtischer Raum","Westdeutschland","481","0.118124460832127","0.107825859267803","0.128423062396451"
"5","2018","Städtischer Raum","Ostdeutschland","45","0.13795229489399","0.0970453653951545","0.178859224392825"
"5","2018","Ländlicher Raum","Westdeutschland","244","0.143328334796021","0.12670552025992","0.159951149332122"
"5","2018","Ländlicher Raum","Ostdeutschland","182","0.194719185369254","0.169863609399458","0.219574761339049"
"6","2018","Städtischer Raum","Westdeutschland","202","0.053885340313772","0.0466807068773907","0.0610899737501534"
"6","2018","Städtischer Raum","Ostdeutschland","27","","",""
"6","2018","Ländlicher Raum","Westdeutschland","94","0.0525114528472462","0.0419299992418885","0.063092906452604"
"6","2018","Ländlicher Raum","Ostdeutschland","77","0.0772631778078884","0.0605032944310763","0.0940230611847005"
"7","2018","Städtischer Raum","Westdeutschland","213","0.0492058448850744","0.0423041415631882","0.0561075482069605"
"7","2018","Städtischer Raum","Ostdeutschland","17","","",""
"7","2018","Ländlicher Raum","Westdeutschland","105","0.0565972228857185","0.0456355341330786","0.0675589116383584"
"7","2018","Ländlicher Raum","Ostdeutschland","94","0.0989194058725647","0.0801794591802562","0.117659352564873"
"8","2018","Städtischer Raum","Westdeutschland","154","0.0372869929712193","0.0312414990528165","0.0433324868896221"
"8","2018","Städtischer Raum","Ostdeutschland","9","","",""
"8","2018","Ländlicher Raum","Westdeutschland","72","0.0386225330557914","0.0294814284956607","0.047763637615922"
"8","2018","Ländlicher Raum","Ostdeutschland","66","0.0654800021720013","0.0499527564667963","0.0810072478772064"
"9","2018","Städtischer Raum","Westdeutschland","33","0.00770513284945837","0.00491506267606039","0.0104952030228564"
"9","2018","Städtischer Raum","Ostdeutschland","3","","",""
"9","2018","Ländlicher Raum","Westdeutschland","15","","",""
"9","2018","Ländlicher Raum","Ostdeutschland","9","","",""
"10","2018","Städtischer Raum","Westdeutschland","28","","",""
"10","2018","Städtischer Raum","Ostdeutschland","2","","",""
"10","2018","Ländlicher Raum","Westdeutschland","14","","",""
"10","2018","Ländlicher Raum","Ostdeutschland","15","","",""
"0","2019","Städtischer Raum","Westdeutschland","","","",""
"0","2019","Städtischer Raum","Ostdeutschland","","","",""
"0","2019","Ländlicher Raum","Westdeutschland","","","",""
"0","2019","Ländlicher Raum","Ostdeutschland","","","",""
"1","2019","Städtischer Raum","Westdeutschland","","","",""
"1","2019","Städtischer Raum","Ostdeutschland","","","",""
"1","2019","Ländlicher Raum","Westdeutschland","","","",""
"1","2019","Ländlicher Raum","Ostdeutschland","","","",""
"2","2019","Städtischer Raum","Westdeutschland","","","",""
"2","2019","Städtischer Raum","Ostdeutschland","","","",""
"2","2019","Ländlicher Raum","Westdeutschland","","","",""
"2","2019","Ländlicher Raum","Ostdeutschland","","","",""
"3","2019","Städtischer Raum","Westdeutschland","","","",""
"3","2019","Städtischer Raum","Ostdeutschland","","","",""
"3","2019","Ländlicher Raum","Westdeutschland","","","",""
"3","2019","Ländlicher Raum","Ostdeutschland","","","",""
"4","2019","Städtischer Raum","Westdeutschland","","","",""
"4","2019","Städtischer Raum","Ostdeutschland","","","",""
"4","2019","Ländlicher Raum","Westdeutschland","","","",""
"4","2019","Ländlicher Raum","Ostdeutschland","","","",""
"5","2019","Städtischer Raum","Westdeutschland","","","",""
"5","2019","Städtischer Raum","Ostdeutschland","","","",""
"5","2019","Ländlicher Raum","Westdeutschland","","","",""
"5","2019","Ländlicher Raum","Ostdeutschland","","","",""
"6","2019","Städtischer Raum","Westdeutschland","","","",""
"6","2019","Städtischer Raum","Ostdeutschland","","","",""
"6","2019","Ländlicher Raum","Westdeutschland","","","",""
"6","2019","Ländlicher Raum","Ostdeutschland","","","",""
"7","2019","Städtischer Raum","Westdeutschland","","","",""
"7","2019","Städtischer Raum","Ostdeutschland","","","",""
"7","2019","Ländlicher Raum","Westdeutschland","","","",""
"7","2019","Ländlicher Raum","Ostdeutschland","","","",""
"8","2019","Städtischer Raum","Westdeutschland","","","",""
"8","2019","Städtischer Raum","Ostdeutschland","","","",""
"8","2019","Ländlicher Raum","Westdeutschland","","","",""
"8","2019","Ländlicher Raum","Ostdeutschland","","","",""
"9","2019","Städtischer Raum","Westdeutschland","","","",""
"9","2019","Städtischer Raum","Ostdeutschland","","","",""
"9","2019","Ländlicher Raum","Westdeutschland","","","",""
"9","2019","Ländlicher Raum","Ostdeutschland","","","",""
"10","2019","Städtischer Raum","Westdeutschland","","","",""
"10","2019","Städtischer Raum","Ostdeutschland","","","",""
"10","2019","Ländlicher Raum","Westdeutschland","","","",""
"10","2019","Ländlicher Raum","Ostdeutschland","","","",""
"0","2020","Städtischer Raum","Westdeutschland","1262","0.315569208809359","0.301011457769745","0.330126959848972"
"0","2020","Städtischer Raum","Ostdeutschland","91","0.270967988413667","0.220840388369933","0.321095588457402"
"0","2020","Ländlicher Raum","Westdeutschland","459","0.274603981516253","0.252943799131937","0.29626416390057"
"0","2020","Ländlicher Raum","Ostdeutschland","227","0.196216768053329","0.172092160551861","0.220341375554798"
"1","2020","Städtischer Raum","Westdeutschland","392","0.0979414636845798","0.0886307523285395","0.10725217504062"
"1","2020","Städtischer Raum","Ostdeutschland","25","","",""
"1","2020","Ländlicher Raum","Westdeutschland","173","0.0965293677393925","0.0821973326960914","0.110861402782694"
"1","2020","Ländlicher Raum","Ostdeutschland","81","0.0750336258021772","0.0590301740354516","0.0910370775689027"
"2","2020","Städtischer Raum","Westdeutschland","486","0.119527237918504","0.109365368440755","0.129689107396254"
"2","2020","Städtischer Raum","Ostdeutschland","33","0.0984096222838036","0.0648151335540118","0.132004111013595"
"2","2020","Ländlicher Raum","Westdeutschland","203","0.13331581883467","0.116819296944497","0.149812340724844"
"2","2020","Ländlicher Raum","Ostdeutschland","135","0.13764194605398","0.116713261108119","0.15857063099984"
"3","2020","Städtischer Raum","Westdeutschland","390","0.0926203308106644","0.0835394098876929","0.101701251733636"
"3","2020","Städtischer Raum","Ostdeutschland","39","0.126738273853112","0.0892175916206931","0.164258956085531"
"3","2020","Ländlicher Raum","Westdeutschland","170","0.10327538001359","0.0885064491259466","0.118044310901234"
"3","2020","Ländlicher Raum","Ostdeutschland","121","0.120222209468893","0.100466093080808","0.139978325856978"
"4","2020","Städtischer Raum","Westdeutschland","259","0.0642498386187805","0.0565691849301019","0.0719304923074591"
"4","2020","Städtischer Raum","Ostdeutschland","16","","",""
"4","2020","Ländlicher Raum","Westdeutschland","127","0.0778744726371838","0.0648693727484519","0.0908795725259158"
"4","2020","Ländlicher Raum","Ostdeutschland","99","0.0921052397463753","0.0745388445181574","0.109671634974593"
"5","2020","Städtischer Raum","Westdeutschland","540","0.140390584326908","0.129508758244201","0.151272410409616"
"5","2020","Städtischer Raum","Ostdeutschland","52","0.223795881801763","0.176789303835829","0.270802459767698"
"5","2020","Ländlicher Raum","Westdeutschland","225","0.149012982278078","0.131730957194209","0.166295007361948"
"5","2020","Ländlicher Raum","Ostdeutschland","154","0.151724033743821","0.12993095953392","0.173517107953722"
"6","2020","Städtischer Raum","Westdeutschland","207","0.07027454542848","0.0622677526077145","0.0782813382492454"
"6","2020","Städtischer Raum","Ostdeutschland","19","","",""
"6","2020","Ländlicher Raum","Westdeutschland","101","0.0581821291642379","0.0468215786007451","0.0695426797277307"
"6","2020","Ländlicher Raum","Ostdeutschland","73","0.0744297358890706","0.0584856119363054","0.0903738598418359"
"7","2020","Städtischer Raum","Westdeutschland","198","0.0510382192949101","0.0441444884119822","0.0579319501778379"
"7","2020","Städtischer Raum","Ostdeutschland","16","","",""
"7","2020","Ländlicher Raum","Westdeutschland","86","0.047876691470021","0.0375150210474356","0.0582383618926063"
"7","2020","Ländlicher Raum","Ostdeutschland","79","0.0836259044974317","0.066809639510488","0.100442169484375"
"8","2020","Städtischer Raum","Westdeutschland","115","0.0303010450348242","0.024931599084582","0.0356704909850663"
"8","2020","Städtischer Raum","Ostdeutschland","8","","",""
"8","2020","Ländlicher Raum","Westdeutschland","61","0.0382995090074544","0.0289854790039525","0.0476135390109562"
"8","2020","Ländlicher Raum","Ostdeutschland","45","0.0458016943291452","0.0331023055522147","0.0585010831060757"
"9","2020","Städtischer Raum","Westdeutschland","34","0.00769830523487861","0.00496050574822013","0.0104361047215371"
"9","2020","Städtischer Raum","Ostdeutschland","2","","",""
"9","2020","Ländlicher Raum","Westdeutschland","18","","",""
"9","2020","Ländlicher Raum","Ostdeutschland","13","","",""
"10","2020","Städtischer Raum","Westdeutschland","32","0.0103892208381109","0.00721303499741081","0.0135654066788111"
"10","2020","Städtischer Raum","Ostdeutschland","1","","",""
"10","2020","Ländlicher Raum","Westdeutschland","8","","",""
"10","2020","Ländlicher Raum","Ostdeutschland","14","","",""
