"hlf0632","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"8","2018","Städtischer Raum","163","0.036916650238515","0.0311066221421047","0.0427266783349252"
"8","2018","Ländlicher Raum","138","0.0469083453661039","0.0389061141687942","0.0549105765634135"
"9","2018","Städtischer Raum","36","0.00762177218585227","0.00494197610661005","0.0103015682650945"
"9","2018","Ländlicher Raum","24","","",""
"10","2018","Städtischer Raum","30","0.00885696122024832","0.0059699684857916","0.0117439539547051"
"10","2018","Ländlicher Raum","29","","",""
"0","2019","Städtischer Raum","","","",""
"0","2019","Ländlicher Raum","","","",""
"1","2019","Städtischer Raum","","","",""
"1","2019","Ländlicher Raum","","","",""
"2","2019","Städtischer Raum","","","",""
"2","2019","Ländlicher Raum","","","",""
"3","2019","Städtischer Raum","","","",""
"3","2019","Ländlicher Raum","","","",""
"4","2019","Städtischer Raum","","","",""
"4","2019","Ländlicher Raum","","","",""
"5","2019","Städtischer Raum","","","",""
"5","2019","Ländlicher Raum","","","",""
"6","2019","Städtischer Raum","","","",""
"6","2019","Ländlicher Raum","","","",""
"7","2019","Städtischer Raum","","","",""
"7","2019","Ländlicher Raum","","","",""
"8","2019","Städtischer Raum","","","",""
"8","2019","Ländlicher Raum","","","",""
"9","2019","Städtischer Raum","","","",""
"9","2019","Ländlicher Raum","","","",""
"10","2019","Städtischer Raum","","","",""
"10","2019","Ländlicher Raum","","","",""
"0","2020","Städtischer Raum","1353","0.313517175951981","0.299515120360997","0.327519231542966"
"0","2020","Ländlicher Raum","686","0.249471533789243","0.233064731405243","0.265878336173242"
"1","2020","Städtischer Raum","417","0.0961847537152127","0.0872857940012023","0.105083713429223"
"1","2020","Ländlicher Raum","254","0.0896374195921874","0.0788060908790619","0.100468748305313"
"2","2020","Städtischer Raum","519","0.11855564923175","0.108798906210765","0.128312392252736"
"2","2020","Ländlicher Raum","338","0.134702858396309","0.121757892684225","0.147647824108393"
"3","2020","Städtischer Raum","429","0.0941900443639734","0.0853741305443661","0.103005958183581"
"3","2020","Ländlicher Raum","291","0.108708859360645","0.0969064104708072","0.120511308250483"
"4","2020","Städtischer Raum","275","0.0644861124824873","0.0570729331173057","0.0718992918476689"
"4","2020","Ländlicher Raum","226","0.0824371301764288","0.0720089335348875","0.0928653268179702"
"5","2020","Städtischer Raum","592","0.144227932484186","0.133624413141293","0.15483145182708"
"5","2020","Ländlicher Raum","379","0.149882197501301","0.136347628032644","0.163416766969959"
"6","2020","Städtischer Raum","226","0.070390684342893","0.0626700298491222","0.0781113388366638"
"6","2020","Ländlicher Raum","174","0.063391424260485","0.0541524409236482","0.0726304075973218"
"7","2020","Städtischer Raum","214","0.0504633814901235","0.0438565942133013","0.0570701687669457"
"7","2020","Ländlicher Raum","165","0.059338576489293","0.0503804932653926","0.0682966597131933"
"8","2020","Städtischer Raum","123","0.0302670374227607","0.0250962423482683","0.0354378324972532"
"8","2020","Ländlicher Raum","106","0.0407048538603483","0.0332123135602296","0.0481973941604669"
"9","2020","Städtischer Raum","36","0.00773933604973947","0.00509442524769653","0.0103842468517824"
"9","2020","Ländlicher Raum","31","0.0112402381430839","0.00724297248389982","0.0152375038022679"
"10","2020","Städtischer Raum","33","0.009977892464892","0.00697812116045758","0.0129776637693264"
"10","2020","Ländlicher Raum","22","","",""
