year,ple0162,age_gr,sex,proportion,n,lower_confidence,upper_confidence
2019,Yes,30-45 y.,female,0.10672853828306264,42417,0.103790089623179,0.10966698694294628
2019,Yes,30-45 y.,male,0.0648491879350348,42417,0.06250561110616915,0.06719276476390046
2019,Yes,18-29 y.,female,0.04396751740139211,42417,0.042016377578515646,0.04591865722426858
2019,Yes,18-29 y.,male,0.028074245939675176,42417,0.026502230917160054,0.029646260962190297
2019,No,46-65 y.,female,0.21621621621621623,42417,0.21229854157786976,0.2201338908545627
2019,No,30-45 y.,female,0.1934566145092461,42417,0.18969744633371158,0.1972157826847806
2019,No,46-65 y.,male,0.15362731152204837,42417,0.15019567617672203,0.1570589468673747
2019,No,66 and older,female,0.1166429587482219,42417,0.11358815371130865,0.11969776378513516
2019,No,30-45 y.,male,0.09672830725462304,42417,0.09391529197771134,0.09954132253153475
2019,No,66 and older,male,0.09103840682788052,42417,0.08830079929126629,0.09377601436449474
2019,No,18-29 y.,male,0.07396870554765292,42417,0.07147799684709359,0.07645941424821225
2019,No,18-29 y.,female,0.05832147937411095,42417,0.056091238891029446,0.06055171985719246
2021,Yes,46-65 y.,female,0.24676299493338338,27598,0.2416764474099693,0.25184954245679747
2021,Yes,66 and older,female,0.17601801463689248,27598,0.17152482567096172,0.18051120360282324
2021,Yes,46-65 y.,male,0.17526740476637268,27598,0.17078176468458206,0.1797530448481633
2021,Yes,66 and older,male,0.15706511540626758,27598,0.15277218202794396,0.1613580487845912
2021,Yes,30-45 y.,female,0.10471007693751173,27598,0.10109769756488456,0.10832245631013891
2021,Yes,30-45 y.,male,0.06436479639707263,27598,0.061469488578890175,0.06726010421525508
2021,Yes,18-29 y.,female,0.045787202101707634,27598,0.043321094977776635,0.048253309225638634
2021,Yes,18-29 y.,male,0.030024394820791892,27598,0.028010972850101335,0.03203781679148245
2021,No,46-65 y.,female,0.2237354085603113,27598,0.21881852962366866,0.22865228749695393
2021,No,30-45 y.,female,0.17315175097276264,27598,0.16868755125624313,0.17761595068928215
2021,No,46-65 y.,male,0.1556420233463035,27598,0.15136497651607914,0.15991907017652787
2021,No,30-45 y.,male,0.11867704280155641,27598,0.1148613960118911,0.12249268959122173
2021,No,66 and older,female,0.10505836575875487,27598,0.10144068747450613,0.1086760440430036
2021,No,66 and older,male,0.08365758754863813,27598,0.0803909659552571,0.08692420914201915
2021,No,18-29 y.,female,0.07976653696498054,27598,0.07657002270700165,0.08296305122295942
2021,No,18-29 y.,male,0.06031128404669261,27598,0.05750256331746447,0.06312000477592074
