year,regtyp,sampreg,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Urban regions,West,Daily,0.01777,355,16520,0.01576,0.01979
2019,Urban regions,West,At least once per week,0.29253,4957,16520,0.28560,0.29947
2019,Urban regions,West,At least once per month,0.37775,6042,16520,0.37035,0.38514
2019,Urban regions,West,Seldom,0.25160,4042,16520,0.24498,0.25822
2019,Urban regions,West,Never,0.06035,1124,16520,0.05671,0.06398
2019,Urban regions,East,Daily,0.01571,31,2116,0.01041,0.02101
2019,Urban regions,East,At least once per week,0.22661,497,2116,0.20877,0.24446
2019,Urban regions,East,At least once per month,0.35924,713,2116,0.33880,0.37969
2019,Urban regions,East,Seldom,0.33422,707,2116,0.31412,0.35433
2019,Urban regions,East,Never,0.06421,168,2116,0.05376,0.07466
2019,Rural regions,West,Daily,0.01479,85,5820,0.01169,0.01789
2019,Rural regions,West,At least once per week,0.25293,1420,5820,0.24176,0.26410
2019,Rural regions,West,At least once per month,0.36776,2225,5820,0.35537,0.38015
2019,Rural regions,West,Seldom,0.31083,1679,5820,0.29894,0.32272
2019,Rural regions,West,Never,0.05369,411,5820,0.04790,0.05948
2019,Rural regions,East,At least once per week,0.11898,477,3758,0.10863,0.12934
2019,Rural regions,East,At least once per month,0.33032,1350,3758,0.31528,0.34535
2019,Rural regions,East,Seldom,0.41774,1485,3758,0.40197,0.43351
2019,Rural regions,East,Never,0.12998,446,3758,0.11923,0.14074
