year,quintil_oecd,regtyp,pli0079,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,4th Quintile,Urban regions,Seldom,0.31582491582491584,18165,0.3090649392354476,0.3225848924143841
1990,4th Quintile,Urban regions,At least once per week,0.2754208754208754,18165,0.26892437147943643,0.28191737936231437
1990,4th Quintile,Urban regions,Never,0.05925925925925926,18165,0.0558256453803678,0.06269287313815072
1990,4th Quintile,Urban regions,Daily,0.018855218855218854,18165,0.016877244265146234,0.020833193445291474
1990,4th Quintile,Rural regions,At least once per month,0.33407572383073497,18165,0.32721652719835065,0.3409349204631193
1990,4th Quintile,Rural regions,Seldom,0.2962138084632517,18165,0.28957391072131516,0.3028537062051882
1990,4th Quintile,Rural regions,At least once per week,0.27839643652561247,18165,0.27187835871139593,0.284914514339829
1990,4th Quintile,Rural regions,Never,0.060133630289532294,18165,0.05667638545185197,0.06359087512721262
1990,4th Quintile,Rural regions,Daily,0.031180400890868598,18165,0.028652845536510766,0.03370795624522643
1990,5th Quintile,Urban regions,At least once per month,0.34512683578104136,18165,0.3382132026187656,0.35204046894331714
1990,5th Quintile,Urban regions,At least once per week,0.3377837116154873,18165,0.3309057832006796,0.34466164003029504
1990,5th Quintile,Urban regions,Seldom,0.25567423230974634,18165,0.24933022934059737,0.2620182352788953
1990,5th Quintile,Urban regions,Never,0.03271028037383177,18165,0.030123504572081204,0.03529705617558234
1990,5th Quintile,Urban regions,Daily,0.02870493991989319,18165,0.026276696160077245,0.031133183679709138
1990,5th Quintile,Rural regions,At least once per week,0.32621951219512196,18165,0.31940158197162993,0.333037442418614
1990,5th Quintile,Rural regions,At least once per month,0.3170731707317073,18165,0.310306030045933,0.32384031141748165
1990,5th Quintile,Rural regions,Seldom,0.3018292682926829,18165,0.29515352135797185,0.308505015227394
1990,5th Quintile,Rural regions,Never,0.03353658536585366,18165,0.030918459627198202,0.036154711104509116
1990,5th Quintile,Rural regions,Daily,0.021341463414634148,18165,0.019239785972996113,0.023443140856272183
1995,1st Quintile,Urban regions,Seldom,0.36702463676563485,17246,0.3598309273213816,0.3742183462098881
1995,1st Quintile,Urban regions,Never,0.2697409981048642,17246,0.2631169447765813,0.27636505143314705
1995,1st Quintile,Urban regions,At least once per month,0.19077700568540745,17246,0.1849128026019606,0.1966412087688543
1995,1st Quintile,Urban regions,At least once per week,0.15097915350600127,17246,0.1456356075297315,0.15632269948227104
1995,1st Quintile,Urban regions,Daily,0.02147820593809223,17246,0.019314510482089656,0.023641901394094802
1995,1st Quintile,Rural regions,Seldom,0.41877637130801687,17246,0.4114130356893288,0.42613970692670494
1995,1st Quintile,Rural regions,Never,0.2795358649789029,17246,0.2728379931598483,0.28623373679795755
1995,1st Quintile,Rural regions,At least once per month,0.17616033755274263,17246,0.17047459363240244,0.18184608147308282
1995,1st Quintile,Rural regions,At least once per week,0.10232067510548523,17246,0.09779738762688041,0.10684396258409005
1995,1st Quintile,Rural regions,Daily,0.023206751054852322,17246,0.020959661521325598,0.025453840588379045
1995,2nd Quintile,Urban regions,Seldom,0.4121883656509695,17246,0.4048418935449076,0.4195348377570314
1995,2nd Quintile,Urban regions,At least once per month,0.23822714681440443,17246,0.23186915080336803,0.24458514282544083
1995,2nd Quintile,Urban regions,Never,0.16897506925207756,17246,0.1633822572200801,0.17456788128407502
1995,2nd Quintile,Urban regions,At least once per week,0.16786703601108033,17246,0.16228887616889714,0.1734451958532635
1995,2nd Quintile,Urban regions,Daily,0.012742382271468145,17246,0.011068393879589869,0.01441637066334642
1995,2nd Quintile,Rural regions,Seldom,0.4541984732824427,17246,0.4467673906848008,0.46162955588008464
1995,2nd Quintile,Rural regions,At least once per month,0.21374045801526717,17246,0.20762205313256907,0.21985886289796527
1995,2nd Quintile,Rural regions,Never,0.191793893129771,17246,0.18591777752049976,0.19767000873904222
1995,2nd Quintile,Rural regions,At least once per week,0.12309160305343511,17246,0.11818813659769371,0.1279950695091765
1995,2nd Quintile,Rural regions,Daily,0.01717557251908397,17246,0.015236449049547457,0.01911469598862048
1995,3rd Quintile,Urban regions,Seldom,0.3742550655542312,17246,0.36703245172028515,0.3814776793881773
1995,3rd Quintile,Urban regions,At least once per month,0.2765196662693683,17246,0.2698440977549149,0.2831952347838217
1995,3rd Quintile,Urban regions,At least once per week,0.21573301549463647,17246,0.20959395159436495,0.221872079394908
1995,3rd Quintile,Urban regions,Never,0.11680572109654351,17246,0.11201200774054214,0.12159943445254488
1995,3rd Quintile,Urban regions,Daily,0.0166865315852205,17246,0.014774738388676252,0.018598324781764753
1995,3rd Quintile,Rural regions,Seldom,0.4239766081871345,17246,0.41660091422038714,0.4313523021538819
1995,3rd Quintile,Rural regions,At least once per month,0.27582846003898637,17246,0.26915805594486825,0.2824988641331045
1995,3rd Quintile,Rural regions,At least once per week,0.17641325536062377,17246,0.17072430477346626,0.1821022059477813
1995,3rd Quintile,Rural regions,Never,0.11500974658869395,17246,0.11024819550886102,0.11977129766852689
1995,3rd Quintile,Rural regions,Daily,0.008771929824561403,17246,0.00738022782609765,0.010163631823025156
1995,4th Quintile,Urban regions,Seldom,0.3290140845070422,17246,0.32200153682326954,0.3360266321908149
1995,4th Quintile,Urban regions,At least once per month,0.3228169014084507,17246,0.31583870694493554,0.32979509587196587
1995,4th Quintile,Urban regions,At least once per week,0.25183098591549297,17246,0.24535260735515138,0.2583093644758346
1995,4th Quintile,Urban regions,Never,0.07774647887323943,17246,0.07375000106278834,0.08174295668369053
1995,4th Quintile,Urban regions,Daily,0.018591549295774647,17246,0.01657553053924826,0.020607568052301035
1995,4th Quintile,Rural regions,Seldom,0.35498320268757,17246,0.34784150776082406,0.36212489761431593
1995,4th Quintile,Rural regions,At least once per month,0.3426651735722284,17246,0.3355817993695032,0.3497485477749536
1995,4th Quintile,Rural regions,At least once per week,0.21388577827547592,17246,0.20776585945610154,0.2200056970948503
1995,4th Quintile,Rural regions,Never,0.06159014557670773,17246,0.058002051877545764,0.0651782392758697
1995,4th Quintile,Rural regions,Daily,0.026875699888017916,17246,0.024462040791418633,0.029289358984617198
1995,5th Quintile,Urban regions,At least once per month,0.36210640608034744,17246,0.3549333520046481,0.3692794601560468
1995,5th Quintile,Urban regions,At least once per week,0.3279044516829533,17246,0.32089795297484863,0.33491095039105795
1995,5th Quintile,Urban regions,Seldom,0.24321389793702497,17246,0.23681076308212282,0.24961703279192712
1995,5th Quintile,Urban regions,Never,0.03528773072747014,17246,0.03253399254228827,0.03804146891265202
1995,5th Quintile,Urban regions,Daily,0.031487513572204126,17246,0.028881157925898026,0.03409386921851022
1995,5th Quintile,Rural regions,At least once per month,0.34651898734177217,17246,0.3394168039004997,0.3536211707830446
1995,5th Quintile,Rural regions,Seldom,0.3401898734177215,17246,0.33311885351521353,0.34726089332022947
1995,5th Quintile,Rural regions,At least once per week,0.23734177215189872,17246,0.23099191506662642,0.24369162923717103
1995,5th Quintile,Rural regions,Never,0.055379746835443035,17246,0.051966120424758275,0.058793373246127795
1995,5th Quintile,Rural regions,Daily,0.020569620253164556,17246,0.018451201546266713,0.0226880389600624
1998,1st Quintile,Urban regions,Seldom,0.37998691955526487,18147,0.37292474575762224,0.3870490933529075
1998,1st Quintile,Urban regions,Never,0.2275997383911053,18147,0.2214993043319035,0.2337001724503071
1998,1st Quintile,Urban regions,At least once per month,0.210595160235448,18147,0.20466279696671857,0.21652752350417742
1998,1st Quintile,Urban regions,At least once per week,0.16481360366252454,18147,0.15941549173337982,0.17021171559166925
1998,1st Quintile,Urban regions,Daily,0.017004578155657292,18147,0.015123476218728296,0.018885680092586288
1998,1st Quintile,Rural regions,Seldom,0.47761194029850745,18147,0.470344393109461,0.4848794874875539
1998,1st Quintile,Rural regions,Never,0.21517412935323382,18147,0.20919503600071104,0.2211532227057566
1998,1st Quintile,Rural regions,At least once per month,0.1927860696517413,18147,0.18704641449404863,0.19852572480943398
1998,1st Quintile,Rural regions,At least once per week,0.10572139303482588,18147,0.10124764509871986,0.11019514097093189
1998,1st Quintile,Rural regions,Daily,0.008706467661691543,18147,0.007354781761101758,0.010058153562281328
1998,2nd Quintile,Urban regions,Seldom,0.43546365914786966,18147,0.4282496687069002,0.44267764958883915
1998,2nd Quintile,Urban regions,At least once per month,0.237468671679198,18147,0.2312773173561159,0.2436600260022801
1998,2nd Quintile,Urban regions,At least once per week,0.17543859649122806,18147,0.16990474213317988,0.18097245084927624
1998,2nd Quintile,Urban regions,Never,0.13659147869674185,18147,0.13159488977979092,0.14158806761369278
1998,2nd Quintile,Urban regions,Daily,0.015037593984962405,18147,0.013266862716132628,0.016808325253792184
1998,2nd Quintile,Rural regions,Seldom,0.5134575569358178,18147,0.5061853489284537,0.520729764943182
1998,2nd Quintile,Rural regions,At least once per month,0.2070393374741201,18147,0.2011440375066082,0.212934637441632
1998,2nd Quintile,Rural regions,Never,0.14182194616977226,18147,0.1367460342870776,0.1468978580524669
1998,2nd Quintile,Rural regions,At least once per week,0.12422360248447205,18147,0.11942458502595395,0.12902261994299014
1998,2nd Quintile,Rural regions,Daily,0.013457556935817806,18147,0.011781091315017835,0.015134022556617777
1998,3rd Quintile,Urban regions,Seldom,0.3731245923026745,18147,0.36608785715519937,0.3801613274501496
1998,3rd Quintile,Urban regions,At least once per month,0.3131115459882583,18147,0.30636399303992434,0.31985909893659226
1998,3rd Quintile,Urban regions,At least once per week,0.22570123939986952,18147,0.21961884040427535,0.2317836383954637
1998,3rd Quintile,Urban regions,Never,0.07893020221787345,18147,0.07500717311082065,0.08285323132492624
1998,3rd Quintile,Urban regions,Daily,0.0091324200913242,18147,0.00774836173529057,0.01051647844735783
1998,3rd Quintile,Rural regions,Seldom,0.4759519038076152,18147,0.4686854794043181,0.4832183282109123
1998,3rd Quintile,Rural regions,At least once per month,0.2745490981963928,18147,0.26805576520482827,0.2810424311879573
1998,3rd Quintile,Rural regions,At least once per week,0.1492985971943888,18147,0.1441133425425582,0.15448385184621938
1998,3rd Quintile,Rural regions,Never,0.09118236472945891,18147,0.0869939714878121,0.09537075797110572
1998,3rd Quintile,Rural regions,Daily,0.009018036072144289,18147,0.007642593345915527,0.010393478798373051
1998,4th Quintile,Urban regions,At least once per month,0.34435096153846156,18147,0.3374375881104679,0.3512643349664552
1998,4th Quintile,Urban regions,Seldom,0.31310096153846156,18147,0.30635347065216895,0.3198484524247542
1998,4th Quintile,Urban regions,At least once per week,0.2698317307692308,18147,0.26337352855395507,0.2762899329845065
1998,4th Quintile,Urban regions,Never,0.05588942307692308,18147,0.05254724261077772,0.05923160354306844
1998,4th Quintile,Urban regions,Daily,0.016826923076923076,18147,0.014955504246305299,0.018698341907540855
1998,4th Quintile,Rural regions,Seldom,0.3982777179763186,18147,0.39115501714014117,0.40540041881249606
1998,4th Quintile,Rural regions,At least once per month,0.29709364908503766,18147,0.2904447602879699,0.3037425378821054
1998,4th Quintile,Rural regions,At least once per week,0.21205597416576966,18147,0.20610858179564528,0.21800336653589403
1998,4th Quintile,Rural regions,Never,0.08180839612486544,18147,0.07782072577203167,0.08579606647769922
1998,4th Quintile,Rural regions,Daily,0.010764262648008612,18147,0.009262865130509432,0.012265660165507793
1998,5th Quintile,Urban regions,At least once per month,0.37416209628275443,18147,0.36712141835714707,0.3812027742083618
1998,5th Quintile,Urban regions,At least once per week,0.32967702620353445,18147,0.32283727907414594,0.33651677333292296
