year,regtyp,sex,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Rural regions,male,Daily,0.02019,45,2411,0.01457,0.02580
1998,Rural regions,male,At least once per week,0.21800,513,2411,0.20151,0.23448
1998,Rural regions,male,At least once per month,0.25984,619,2411,0.24233,0.27735
1998,Rural regions,male,Seldom,0.39115,995,2411,0.37167,0.41063
1998,Rural regions,male,Never,0.11083,239,2411,0.09830,0.12336
1998,Rural regions,female,At least once per week,0.12401,305,2512,0.11112,0.13690
1998,Rural regions,female,At least once per month,0.26248,680,2512,0.24527,0.27969
1998,Rural regions,female,Seldom,0.45718,1187,2512,0.43770,0.47667
1998,Rural regions,female,Never,0.15086,340,2512,0.13686,0.16486
2003,Urban regions,male,Daily,0.02488,176,7079,0.02125,0.02851
2003,Urban regions,male,At least once per week,0.28067,2060,7079,0.27020,0.29114
2003,Urban regions,male,At least once per month,0.28929,2136,7079,0.27873,0.29986
2003,Urban regions,male,Seldom,0.31948,2188,7079,0.30861,0.33034
2003,Urban regions,male,Never,0.08568,519,7079,0.07916,0.09220
2003,Urban regions,female,Daily,0.00825,75,7659,0.00622,0.01028
2003,Urban regions,female,At least once per week,0.19319,1621,7659,0.18434,0.20203
2003,Urban regions,female,At least once per month,0.31346,2536,7659,0.30307,0.32385
2003,Urban regions,female,Seldom,0.36514,2670,7659,0.35436,0.37593
2003,Urban regions,female,Never,0.11996,757,7659,0.11268,0.12724
2003,Rural regions,male,Daily,0.02049,77,3581,0.01585,0.02513
2003,Rural regions,male,At least once per week,0.19293,732,3581,0.18001,0.20586
2003,Rural regions,male,At least once per month,0.24997,929,3581,0.23578,0.26415
2003,Rural regions,male,Seldom,0.42293,1478,3581,0.40675,0.43911
2003,Rural regions,male,Never,0.11368,365,3581,0.10328,0.12408
2003,Rural regions,female,At least once per week,0.12373,517,3792,0.11324,0.13421
2003,Rural regions,female,At least once per month,0.26143,1054,3792,0.24744,0.27542
2003,Rural regions,female,Seldom,0.45855,1741,3792,0.44269,0.47441
2003,Rural regions,female,Never,0.14993,480,3792,0.13857,0.16130
2008,Urban regions,male,Daily,0.02640,133,6003,0.02234,0.03046
2008,Urban regions,male,At least once per week,0.27480,1637,6003,0.26351,0.28610
2008,Urban regions,male,At least once per month,0.28943,1809,6003,0.27796,0.30090
2008,Urban regions,male,Seldom,0.33178,2016,6003,0.31987,0.34370
2008,Urban regions,male,Never,0.07758,408,6003,0.07081,0.08435
2008,Urban regions,female,Daily,0.00627,40,6670,0.00437,0.00816
2008,Urban regions,female,At least once per week,0.19057,1377,6670,0.18114,0.19999
2008,Urban regions,female,At least once per month,0.30995,2170,6670,0.29885,0.32105
2008,Urban regions,female,Seldom,0.38217,2477,6670,0.37051,0.39383
2008,Urban regions,female,Never,0.11105,606,6670,0.10351,0.11859
2008,Rural regions,male,Daily,0.02199,65,3184,0.01690,0.02709
2008,Rural regions,male,At least once per week,0.18042,559,3184,0.16706,0.19378
2008,Rural regions,male,At least once per month,0.26462,850,3184,0.24929,0.27994
2008,Rural regions,male,Seldom,0.41632,1378,3184,0.39919,0.43344
2008,Rural regions,male,Never,0.11665,332,3184,0.10550,0.12780
2008,Rural regions,female,At least once per week,0.12216,429,3395,0.11114,0.13318
2008,Rural regions,female,At least once per month,0.27703,944,3395,0.26197,0.29208
2008,Rural regions,female,Seldom,0.45458,1612,3395,0.43783,0.47133
2008,Rural regions,female,Never,0.13778,410,3395,0.12619,0.14938
2013,Urban regions,male,Daily,0.02627,179,7278,0.02259,0.02994
2013,Urban regions,male,At least once per week,0.29050,1980,7278,0.28007,0.30093
2013,Urban regions,male,At least once per month,0.32411,2333,7278,0.31335,0.33486
2013,Urban regions,male,Seldom,0.29239,2309,7278,0.28194,0.30284
2013,Urban regions,male,Never,0.06674,477,7278,0.06100,0.07247
2013,Urban regions,female,Daily,0.01220,81,8917,0.00992,0.01448
2013,Urban regions,female,At least once per week,0.21917,1845,8917,0.21058,0.22775
2013,Urban regions,female,At least once per month,0.34710,3209,8917,0.33722,0.35698
2013,Urban regions,female,Seldom,0.33839,3104,8917,0.32857,0.34821
2013,Urban regions,female,Never,0.08315,678,8917,0.07742,0.08888
2013,Rural regions,male,Daily,0.01735,76,4244,0.01342,0.02127
2013,Rural regions,male,At least once per week,0.20656,814,4244,0.19438,0.21874
2013,Rural regions,male,At least once per month,0.29084,1246,4244,0.27717,0.30450
2013,Rural regions,male,Seldom,0.38181,1676,4244,0.36719,0.39642
2013,Rural regions,male,Never,0.10345,432,4244,0.09429,0.11262
2013,Rural regions,female,At least once per week,0.15674,672,4994,0.14666,0.16682
2013,Rural regions,female,At least once per month,0.31399,1634,4994,0.30112,0.32686
2013,Rural regions,female,Seldom,0.40661,2156,4994,0.39298,0.42023
2013,Rural regions,female,Never,0.11611,532,4994,0.10722,0.12500
2017,Urban regions,male,Daily,0.04286,66,1554,0.03279,0.05293
2017,Urban regions,male,At least once per week,0.28866,368,1554,0.26612,0.31120
2017,Urban regions,male,At least once per month,0.26671,384,1554,0.24471,0.28870
2017,Urban regions,male,Seldom,0.16773,316,1554,0.14915,0.18631
2017,Urban regions,male,Never,0.23404,420,1554,0.21298,0.25510
2017,Urban regions,female,At least once per week,0.15153,190,1175,0.13102,0.17204
2017,Urban regions,female,At least once per month,0.23625,276,1175,0.21196,0.26055
2017,Urban regions,female,Seldom,0.20818,259,1175,0.18495,0.23140
2017,Urban regions,female,Never,0.39160,450,1175,0.36367,0.41952
2017,Rural regions,male,At least once per week,0.21311,142,688,0.18248,0.24373
2017,Rural regions,male,At least once per month,0.20662,144,688,0.17635,0.23690
2017,Rural regions,male,Seldom,0.20051,150,688,0.17057,0.23045
2017,Rural regions,male,Never,0.33830,252,688,0.30292,0.37368
2017,Rural regions,female,At least once per week,0.13106,58,499,0.10142,0.16070
2017,Rural regions,female,At least once per month,0.16834,95,499,0.13548,0.20120
2017,Rural regions,female,Seldom,0.21886,111,499,0.18254,0.25517
2017,Rural regions,female,Never,0.45853,235,499,0.41476,0.50229
2018,Urban regions,male,Daily,0.03036,35,1378,0.02130,0.03943
2018,Urban regions,male,At least once per week,0.34898,393,1378,0.32380,0.37415
2018,Urban regions,male,At least once per month,0.30291,453,1378,0.27864,0.32718
2018,Urban regions,male,Seldom,0.18301,273,1378,0.16259,0.20344
2018,Urban regions,male,Never,0.13474,224,1378,0.11670,0.15277
2018,Urban regions,female,At least once per week,0.20485,194,926,0.17884,0.23086
2018,Urban regions,female,At least once per month,0.32792,315,926,0.29766,0.35817
2018,Urban regions,female,Seldom,0.23284,215,926,0.20560,0.26008
2018,Urban regions,female,Never,0.22608,202,926,0.19913,0.25304
2018,Rural regions,male,At least once per week,0.36922,138,493,0.32658,0.41187
2018,Rural regions,male,At least once per month,0.24669,135,493,0.20859,0.28478
2018,Rural regions,male,Seldom,0.14742,92,493,0.11609,0.17875
2018,Rural regions,male,Never,0.20624,128,493,0.17049,0.24200
2018,Rural regions,female,At least once per week,0.17317,60,346,0.13324,0.21310
2018,Rural regions,female,At least once per month,0.25077,97,346,0.20503,0.29651
2018,Rural regions,female,Seldom,0.25813,81,346,0.21195,0.30431
2018,Rural regions,female,Never,0.31386,108,346,0.26490,0.36283
2019,No answer / don't know,male,At least once per week,0.42805,141,270,0.36892,0.48718
2019,No answer / don't know,male,At least once per month,0.27582,76,270,0.22241,0.32923
2019,No answer / don't know,male,Seldom,0.20388,53,270,0.15573,0.25202
2019,No answer / don't know,female,At least once per week,0.30241,86,242,0.24442,0.36040
2019,No answer / don't know,female,At least once per month,0.37978,91,242,0.31850,0.44105
2019,No answer / don't know,female,Seldom,0.26218,65,242,0.20665,0.31771
2019,Urban regions,male,Daily,0.02703,290,9107,0.02370,0.03036
2019,Urban regions,male,At least once per week,0.31508,2995,9107,0.30554,0.32462
2019,Urban regions,male,At least once per month,0.35039,3032,9107,0.34059,0.36019
2019,Urban regions,male,Seldom,0.25137,2173,9107,0.24246,0.26028
2019,Urban regions,male,Never,0.05613,617,9107,0.05140,0.06085
2019,Urban regions,female,Daily,0.00862,96,9529,0.00677,0.01048
2019,Urban regions,female,At least once per week,0.25951,2459,9529,0.25071,0.26831
2019,Urban regions,female,At least once per month,0.40047,3723,9529,0.39063,0.41031
2019,Urban regions,female,Seldom,0.26637,2576,9529,0.25749,0.27524
2019,Urban regions,female,Never,0.06503,675,9529,0.06008,0.06998
2019,Rural regions,male,Daily,0.01543,76,4697,0.01191,0.01896
2019,Rural regions,male,At least once per week,0.23186,1092,4697,0.21979,0.24394
2019,Rural regions,male,At least once per month,0.33767,1641,4697,0.32414,0.35119
2019,Rural regions,male,Seldom,0.33390,1468,4697,0.32041,0.34739
2019,Rural regions,male,Never,0.08113,420,4697,0.07332,0.08894
2019,Rural regions,female,Daily,0.00590,32,4904,0.00376,0.00805
2019,Rural regions,female,At least once per week,0.17993,805,4904,0.16918,0.19069
2019,Rural regions,female,At least once per month,0.37108,1934,4904,0.35756,0.38460
2019,Rural regions,female,Seldom,0.36296,1696,4904,0.34950,0.37642
2019,Rural regions,female,Never,0.08012,437,4904,0.07252,0.08772
