syear,quintil_oecd,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1998,4. Quintil,male,,,,,,,,,,,,
1998,4. Quintil,female,,,,,,,,,,,,
1998,5. Quintil,male,,,,,,,,,,,,
1998,5. Quintil,female,,,,,,,,,,,,
1999,2. Quintil,male,,,,,,,,,,,,
1999,2. Quintil,female,,,,,,,,,,,,
1999,3. Quintil,male,,,,,,,,,,,,
1999,3. Quintil,female,,,,,,,,,,,,
1999,4. Quintil,male,,,,,,,,,,,,
1999,4. Quintil,female,,,,,,,,,,,,
1999,5. Quintil,male,,,,,,,,,,,,
1999,5. Quintil,female,,,,,,,,,,,,
2000,2. Quintil,male,,,,,,,,,,,,
2000,2. Quintil,female,,,,,,,,,,,,
2000,3. Quintil,male,,,,,,,,,,,,
2000,3. Quintil,female,,,,,,,,,,,,
2000,4. Quintil,male,,,,,,,,,,,,
2000,4. Quintil,female,,,,,,,,,,,,
2000,5. Quintil,male,,,,,,,,,,,,
2000,5. Quintil,female,,,,,,,,,,,,
2001,2. Quintil,male,,,,,,,,,,,,
2001,2. Quintil,female,,,,,,,,,,,,
2001,3. Quintil,male,,,,,,,,,,,,
2001,3. Quintil,female,,,,,,,,,,,,
2001,4. Quintil,male,,,,,,,,,,,,
2001,4. Quintil,female,,,,,,,,,,,,
2001,5. Quintil,male,,,,,,,,,,,,
2001,5. Quintil,female,,,,,,,,,,,,
2002,2. Quintil,male,,,,,,,,,,,,
2002,2. Quintil,female,,,,,,,,,,,,
2002,3. Quintil,male,,,,,,,,,,,,
2002,3. Quintil,female,,,,,,,,,,,,
2002,4. Quintil,male,,,,,,,,,,,,
2002,4. Quintil,female,,,,,,,,,,,,
2002,5. Quintil,male,,,,,,,,,,,,
2002,5. Quintil,female,,,,,,,,,,,,
2003,2. Quintil,male,,,,,,,,,,,,
2003,2. Quintil,female,,,,,,,,,,,,
2003,3. Quintil,male,,,,,,,,,,,,
2003,3. Quintil,female,,,,,,,,,,,,
2003,4. Quintil,male,,,,,,,,,,,,
2003,4. Quintil,female,,,,,,,,,,,,
2003,5. Quintil,male,,,,,,,,,,,,
2003,5. Quintil,female,,,,,,,,,,,,
2004,2. Quintil,male,,,,,,,,,,,,
2004,2. Quintil,female,,,,,,,,,,,,
2004,3. Quintil,male,,,,,,,,,,,,
2004,3. Quintil,female,,,,,,,,,,,,
2004,4. Quintil,male,,,,,,,,,,,,
2004,4. Quintil,female,,,,,,,,,,,,
2004,5. Quintil,male,,,,,,,,,,,,
2004,5. Quintil,female,,,,,,,,,,,,
2005,2. Quintil,male,5.121590561176145,5.082887732235392,5.160293390116898,4.0,5.0,7.0,1.0,7.0,5.0,5.0,5.0,1685.0
2005,2. Quintil,female,4.9845732459373755,4.949338075736618,5.019808416138133,4.0,5.0,6.0,1.0,7.0,5.0,5.0,5.0,2129.0
2005,3. Quintil,male,5.2449714625151795,5.217196184917606,5.272746740112753,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,2657.0
2005,3. Quintil,female,5.180145897307905,5.153253655898971,5.207038138716839,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,3088.0
2005,4. Quintil,male,5.313094380126152,5.287376736388296,5.338812023864008,4.0,6.0,6.0,1.0,7.0,6.0,6.0,7.0,2719.0
2005,4. Quintil,female,5.257063029910281,5.229996748020186,5.284129311800376,4.0,6.0,6.0,1.0,7.0,6.0,6.0,7.0,2800.0
2005,5. Quintil,male,5.506501345496871,5.483497726460107,5.529504964533635,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,2771.0
2005,5. Quintil,female,5.489391574007563,5.4640876970508625,5.514695450964263,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,2694.0
2006,2. Quintil,male,,,,,,,,,,,,
2006,2. Quintil,female,,,,,,,,,,,,
2006,3. Quintil,male,,,,,,,,,,,,
2006,3. Quintil,female,,,,,,,,,,,,
2006,4. Quintil,male,,,,,,,,,,,,
2006,4. Quintil,female,,,,,,,,,,,,
2006,5. Quintil,male,,,,,,,,,,,,
2006,5. Quintil,female,,,,,,,,,,,,
2007,1. Quintil,male,,,,,,,,,,,,
2007,1. Quintil,female,,,,,,,,,,,,
2007,2. Quintil,male,,,,,,,,,,,,
2007,2. Quintil,female,,,,,,,,,,,,
2007,3. Quintil,male,,,,,,,,,,,,
2007,3. Quintil,female,,,,,,,,,,,,
2007,4. Quintil,male,,,,,,,,,,,,
2007,4. Quintil,female,,,,,,,,,,,,
2007,5. Quintil,male,,,,,,,,,,,,
2007,5. Quintil,female,,,,,,,,,,,,
2008,2. Quintil,male,,,,,,,,,,,,
2008,2. Quintil,female,,,,,,,,,,,,
2008,3. Quintil,male,,,,,,,,,,,,
2008,3. Quintil,female,,,,,,,,,,,,
2008,4. Quintil,male,,,,,,,,,,,,
2008,4. Quintil,female,,,,,,,,,,,,
2008,5. Quintil,male,,,,,,,,,,,,
2008,5. Quintil,female,,,,,,,,,,,,
2009,2. Quintil,male,,,,,,,,,,,,
2009,2. Quintil,female,,,,,,,,,,,,
2009,3. Quintil,male,,,,,,,,,,,,
2009,3. Quintil,female,,,,,,,,,,,,
2009,4. Quintil,male,,,,,,,,,,,,
2009,4. Quintil,female,,,,,,,,,,,,
2009,5. Quintil,male,,,,,,,,,,,,
2009,5. Quintil,female,,,,,,,,,,,,
2010,2. Quintil,male,5.140761061527614,5.091386097605172,5.190136025450055,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,970.0
2010,2. Quintil,female,4.940281830212444,4.89470857283709,4.985855087587798,4.0,5.0,6.0,1.0,7.0,5.0,5.0,5.0,1240.0
2010,3. Quintil,male,5.128852045702469,5.095849314932835,5.161854776472103,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,1884.0
2010,3. Quintil,female,5.078293750690324,5.046045670602598,5.1105418307780495,4.0,5.0,6.0,1.0,7.0,5.0,5.0,5.0,2240.0
2010,4. Quintil,male,5.2610700355749564,5.233168033184884,5.288972037965029,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,2341.0
2010,4. Quintil,female,5.191372985622622,5.16244980001466,5.220296171230584,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,2468.0
2010,5. Quintil,male,5.375556127149533,5.350645607320745,5.400466646978321,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,2691.0
2010,5. Quintil,female,5.31529249247533,5.289528025696752,5.341056959253908,4.544058721397068,6.0,6.0,2.36014680349267,7.0,6.0,6.0,7.0,2710.0
2011,2. Quintil,male,,,,,,,,,,,,
2011,2. Quintil,female,,,,,,,,,,,,
2011,3. Quintil,male,,,,,,,,,,,,
2011,3. Quintil,female,,,,,,,,,,,,
2011,4. Quintil,male,,,,,,,,,,,,
2011,4. Quintil,female,,,,,,,,,,,,
2011,5. Quintil,male,,,,,,,,,,,,
2011,5. Quintil,female,,,,,,,,,,,,
2012,1. Quintil,male,,,,,,,,,,,,
2012,2. Quintil,male,,,,,,,,,,,,
2012,2. Quintil,female,,,,,,,,,,,,
2012,3. Quintil,male,,,,,,,,,,,,
2012,3. Quintil,female,,,,,,,,,,,,
2012,4. Quintil,male,,,,,,,,,,,,
2012,4. Quintil,female,,,,,,,,,,,,
2012,5. Quintil,male,,,,,,,,,,,,
2012,5. Quintil,female,,,,,,,,,,,,
2013,1. Quintil,female,,,,,,,,,,,,
2013,2. Quintil,male,,,,,,,,,,,,
2013,2. Quintil,female,,,,,,,,,,,,
2013,3. Quintil,male,,,,,,,,,,,,
2013,3. Quintil,female,,,,,,,,,,,,
2013,4. Quintil,male,,,,,,,,,,,,
2013,4. Quintil,female,,,,,,,,,,,,
2013,5. Quintil,male,,,,,,,,,,,,
2013,5. Quintil,female,,,,,,,,,,,,
2014,2. Quintil,male,,,,,,,,,,,,
2014,2. Quintil,female,,,,,,,,,,,,
2014,3. Quintil,male,,,,,,,,,,,,
2014,3. Quintil,female,,,,,,,,,,,,
2014,4. Quintil,male,,,,,,,,,,,,
2014,4. Quintil,female,,,,,,,,,,,,
2014,5. Quintil,male,,,,,,,,,,,,
2014,5. Quintil,female,,,,,,,,,,,,
2015,2. Quintil,male,5.150425330606605,5.111047870213289,5.18980279099992,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,1671.0
2015,2. Quintil,female,5.03619175860446,4.999862610846576,5.072520906362343,4.0,5.0,7.0,1.0,7.0,5.0,4.0,5.0,2108.0
2015,3. Quintil,male,5.2434981637479305,5.213526458332579,5.273469869163282,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,2509.0
2015,3. Quintil,female,5.094837128795642,5.0685151906213015,5.121159066969982,4.0,5.0,6.0,1.0,7.0,5.0,5.0,5.0,3401.0
2015,4. Quintil,male,5.312987479533458,5.29009697200747,5.335877987059446,4.0,6.0,6.0,1.0,7.0,6.0,6.0,7.0,3490.0
2015,4. Quintil,female,5.295713003133482,5.273682204626589,5.317743801640375,4.0,6.0,6.0,1.0,7.0,6.0,6.0,7.0,4093.0
2015,5. Quintil,male,5.471824160217256,5.4538868690846956,5.489761451349817,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,4515.0
2015,5. Quintil,female,5.341060288523782,5.321219176187086,5.360901400860478,4.0,6.0,6.0,1.0,7.0,6.0,6.0,6.0,4704.0
2016,2. Quintil,male,6.309229551715427,6.279748432158156,6.338710671272699,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,1590.0
2016,2. Quintil,female,5.938246785898361,5.892391314810462,5.98410225698626,5.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,1135.0
2016,3. Quintil,male,5.7960666910153975,5.647296245692475,5.94483713633832,5.0,6.0,7.0,2.0,7.0,6.0,5.0,7.0,88.0
2016,3. Quintil,female,5.494720171281122,5.272920202105886,5.716520140456358,4.0,6.0,7.0,1.0,7.0,6.0,5.0,8.0,59.0
2016,4. Quintil,male,5.518717586341244,5.326292414302379,5.711142758380109,5.0,6.0,6.0,3.5,7.0,6.0,6.0,8.0,31.0
2016,4. Quintil,female,,,,,,,,,,,,
2016,5. Quintil,male,,,,,,,,,,,,
2016,5. Quintil,female,,,,,,,,,,,,
2017,2. Quintil,male,6.362032031764694,6.32464498761593,6.399419075913459,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,881.0
2017,2. Quintil,female,6.4016207891728465,6.36320259433724,6.440038984008453,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,808.0
2017,3. Quintil,male,6.584964566359737,6.470507743377362,6.699421389342112,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,54.0
2017,3. Quintil,female,5.98902167926106,5.788041276094678,6.190002082427442,5.0,7.0,7.0,2.0,7.0,7.0,7.0,8.024999999999999,50.0
2017,4. Quintil,male,,,,,,,,,,,,
2017,4. Quintil,female,,,,,,,,,,,,
2017,5. Quintil,male,,,,,,,,,,,,
2017,5. Quintil,female,,,,,,,,,,,,
2018,2. Quintil,male,6.323995077632446,6.206195659971742,6.44179449529315,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,148.0
2018,2. Quintil,female,6.521053813007466,6.430022936746587,6.612084689268345,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,168.0
2018,3. Quintil,male,,,,,,,,,,,,
2018,3. Quintil,female,,,,,,,,,,,,
2018,4. Quintil,male,,,,,,,,,,,,
2018,4. Quintil,female,,,,,,,,,,,,
2018,5. Quintil,male,,,,,,,,,,,,
2018,5. Quintil,female,,,,,,,,,,,,
2019,1. Quintil,male,,,,,,,,,,,,
2019,1. Quintil,female,,,,,,,,,,,,
2019,2. Quintil,male,6.229250003201026,6.102657101042531,6.355842905359521,6.0,7.0,7.0,4.5,7.0,7.0,7.0,8.0,92.0
2019,2. Quintil,female,5.977635233680456,5.834653464623468,6.120617002737443,5.265316602661426,7.0,7.0,2.663291506653565,7.0,7.0,7.0,8.0,105.0
2019,3. Quintil,male,,,,,,,,,,,,
2019,3. Quintil,female,,,,,,,,,,,,
2019,4. Quintil,male,,,,,,,,,,,,
2019,4. Quintil,female,,,,,,,,,,,,
2019,5. Quintil,male,,,,,,,,,,,,
2019,5. Quintil,female,,,,,,,,,,,,
2020,2. Quintil,male,5.414845290351715,5.382133903114959,5.44755667758847,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,2087.0
2020,2. Quintil,female,5.302479994533097,5.265551304403845,5.339408684662349,4.0,6.0,7.0,1.0,7.0,6.0,6.0,6.0,1970.0
2020,3. Quintil,male,5.356327462131022,5.328162178120782,5.3844927461412615,4.0,6.0,6.0,1.0,7.0,6.0,6.0,6.0,2411.0
2020,3. Quintil,female,5.171848143033006,5.141946019782429,5.201750266283582,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,2487.0
2020,4. Quintil,male,5.40478238152935,5.381875531864884,5.427689231193817,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,3273.0
2020,4. Quintil,female,5.244249291113948,5.220518535510144,5.267980046717752,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,3543.0
2020,5. Quintil,male,5.544159946164454,5.530119484575442,5.558200407753466,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,6745.0
2020,5. Quintil,female,5.362180528906276,5.346037466558755,5.378323591253796,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,6698.0
2021,2. Quintil,male,5.9940055974574245,5.8329865861343,6.155024608780549,5.0,7.0,7.0,2.0,7.0,7.0,7.0,8.0,67.0
2021,2. Quintil,female,5.989349509068631,5.82741642899032,6.151282589146941,5.0,7.0,7.0,2.0,7.0,7.0,7.0,8.0,78.0
2021,3. Quintil,male,6.829778528410812,6.765652989921021,6.893904066900603,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,31.0
2021,3. Quintil,female,6.017658076949673,5.804910746063856,6.230405407835491,6.0,7.0,7.0,4.5,7.0,7.0,7.0,8.0,45.0
2021,4. Quintil,male,,,,,,,,,,,,
2021,4. Quintil,female,,,,,,,,,,,,
2021,5. Quintil,male,,,,,,,,,,,,
2021,5. Quintil,female,,,,,,,,,,,,
