year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2005,2nd Quintile,West,2384,5.24459,5.18232,5.30686,4.00000,5.00000,6.00000,1.00000,7,,,
2005,2nd Quintile,East,1213,4.97356,4.88100,5.06612,4.00000,5.00000,6.00000,1.00000,7,,,
2005,3rd Quintile,West,2660,5.20940,5.15118,5.26763,4.00000,5.00000,6.00000,1.00000,7,,,
2005,3rd Quintile,East,1073,5.36796,5.27882,5.45710,4.00000,6.00000,7.00000,1,7,,,
2005,4th Quintile,West,3294,5.29345,5.24471,5.34218,4.00000,6.00000,6.00000,1.00000,7,,,
2005,4th Quintile,East,984,5.35422,5.26448,5.44396,4.00000,6.00000,7.00000,1,7,,,
2005,5th Quintile,West,5093,5.49245,5.45538,5.52952,5.00000,6.00000,7.00000,2.00000,7,,,
2005,5th Quintile,East,731,5.42553,5.32708,5.52399,4.00000,6.00000,7.00000,1,7,,,
2006,1st Quintile,West,,,,,,,,,,,,
2006,1st Quintile,East,,,,,,,,,,,,
2006,2nd Quintile,West,,,,,,,,,,,,
2006,2nd Quintile,East,,,,,,,,,,,,
2006,3rd Quintile,West,,,,,,,,,,,,
2006,3rd Quintile,East,,,,,,,,,,,,
2006,4th Quintile,West,,,,,,,,,,,,
2006,4th Quintile,East,,,,,,,,,,,,
2006,5th Quintile,West,,,,,,,,,,,,
2006,5th Quintile,East,,,,,,,,,,,,
2007,1st Quintile,West,,,,,,,,,,,,
2007,1st Quintile,East,,,,,,,,,,,,
2007,2nd Quintile,West,,,,,,,,,,,,
2007,2nd Quintile,East,,,,,,,,,,,,
2007,3rd Quintile,West,,,,,,,,,,,,
2007,3rd Quintile,East,,,,,,,,,,,,
2007,4th Quintile,West,,,,,,,,,,,,
2007,4th Quintile,East,,,,,,,,,,,,
2007,5th Quintile,West,,,,,,,,,,,,
2007,5th Quintile,East,,,,,,,,,,,,
2008,1st Quintile,West,,,,,,,,,,,,
2008,1st Quintile,East,,,,,,,,,,,,
2008,2nd Quintile,West,,,,,,,,,,,,
2008,2nd Quintile,East,,,,,,,,,,,,
2008,3rd Quintile,West,,,,,,,,,,,,
2008,3rd Quintile,East,,,,,,,,,,,,
2008,4th Quintile,West,,,,,,,,,,,,
2008,4th Quintile,East,,,,,,,,,,,,
2008,5th Quintile,West,,,,,,,,,,,,
2008,5th Quintile,East,,,,,,,,,,,,
2009,1st Quintile,West,,,,,,,,,,,,
2009,1st Quintile,East,,,,,,,,,,,,
2009,2nd Quintile,West,,,,,,,,,,,,
2009,2nd Quintile,East,,,,,,,,,,,,
2009,3rd Quintile,West,,,,,,,,,,,,
2009,3rd Quintile,East,,,,,,,,,,,,
2009,4th Quintile,West,,,,,,,,,,,,
2009,4th Quintile,East,,,,,,,,,,,,
2009,5th Quintile,West,,,,,,,,,,,,
2009,5th Quintile,East,,,,,,,,,,,,
2010,1st Quintile,West,1742,4.97089,4.89197,5.04981,4.00000,5.00000,6.00000,1.00000,7,,,
2010,1st Quintile,East,805,5.06340,4.94859,5.17821,4.00000,5.00000,6.00000,1.00000,7,,,
2010,2nd Quintile,West,1918,5.15325,5.08479,5.22171,4.00000,5.00000,6.00000,1.00000,7,,,
2010,2nd Quintile,East,1070,5.10723,5.01648,5.19799,4.00000,5.00000,6.00000,1.00000,7,,,
2010,3rd Quintile,West,2293,5.22089,5.16043,5.28135,4.00000,5.00000,6.00000,1.00000,7,,,
2010,3rd Quintile,East,905,5.31291,5.21441,5.41140,4.00000,6.00000,7.00000,1,7,,,
2010,4th Quintile,West,2702,5.17723,5.12061,5.23385,4.00000,5.00000,6.00000,1.00000,7,,,
2010,4th Quintile,East,760,5.31540,5.22040,5.41040,4.00000,6.00000,6.00000,1.00000,7,,,
2010,5th Quintile,West,3778,5.38820,5.34499,5.43141,5.00000,6.00000,6.00000,3.50000,7,,,
2010,5th Quintile,East,569,5.39579,5.28674,5.50484,5.00000,6.00000,6.00000,3.50000,7,,,
2011,1st Quintile,West,,,,,,,,,,,,
2011,1st Quintile,East,,,,,,,,,,,,
2011,2nd Quintile,West,,,,,,,,,,,,
2011,2nd Quintile,East,,,,,,,,,,,,
2011,3rd Quintile,West,,,,,,,,,,,,
2011,3rd Quintile,East,,,,,,,,,,,,
2011,4th Quintile,West,,,,,,,,,,,,
2011,4th Quintile,East,,,,,,,,,,,,
2011,5th Quintile,West,,,,,,,,,,,,
2011,5th Quintile,East,,,,,,,,,,,,
2012,1st Quintile,West,,,,,,,,,,,,
2012,1st Quintile,East,,,,,,,,,,,,
2012,2nd Quintile,West,,,,,,,,,,,,
2012,2nd Quintile,East,,,,,,,,,,,,
2012,3rd Quintile,West,,,,,,,,,,,,
2012,3rd Quintile,East,,,,,,,,,,,,
2012,4th Quintile,West,,,,,,,,,,,,
2012,4th Quintile,East,,,,,,,,,,,,
2012,5th Quintile,West,,,,,,,,,,,,
2012,5th Quintile,East,,,,,,,,,,,,
2013,1st Quintile,West,,,,,,,,,,,,
2013,1st Quintile,East,,,,,,,,,,,,
2013,2nd Quintile,West,,,,,,,,,,,,
2013,2nd Quintile,East,,,,,,,,,,,,
2013,3rd Quintile,West,,,,,,,,,,,,
2013,3rd Quintile,East,,,,,,,,,,,,
2013,4th Quintile,West,,,,,,,,,,,,
2013,4th Quintile,East,,,,,,,,,,,,
2013,5th Quintile,West,,,,,,,,,,,,
2013,5th Quintile,East,,,,,,,,,,,,
2014,1st Quintile,West,,,,,,,,,,,,
2014,1st Quintile,East,,,,,,,,,,,,
2014,2nd Quintile,West,,,,,,,,,,,,
2014,2nd Quintile,East,,,,,,,,,,,,
2014,3rd Quintile,West,,,,,,,,,,,,
2014,3rd Quintile,East,,,,,,,,,,,,
2014,4th Quintile,West,,,,,,,,,,,,
2014,4th Quintile,East,,,,,,,,,,,,
2014,5th Quintile,West,,,,,,,,,,,,
2014,5th Quintile,East,,,,,,,,,,,,
2015,1st Quintile,West,3777,5.18406,5.13154,5.23659,4.00000,5.00000,7.00000,1,7,,,
2015,1st Quintile,East,1299,4.92735,4.83434,5.02036,4.00000,5.00000,6.00000,1.00000,7,,,
2015,2nd Quintile,West,3754,5.18630,5.13580,5.23681,4.00000,5.00000,6.00000,1.00000,7,,,
2015,2nd Quintile,East,1476,5.21782,5.14039,5.29525,4.00000,5.00000,6.00000,1.00000,7,,,
2015,3rd Quintile,West,3793,5.27185,5.22459,5.31911,4.00000,6.00000,6.00000,1.00000,7,,,
2015,3rd Quintile,East,1045,5.33750,5.25262,5.42237,4.00000,6.00000,6.00000,1.00000,7,,,
2015,4th Quintile,West,3931,5.34243,5.29895,5.38592,5.00000,6.00000,6.00000,3.50000,7,,,
2015,4th Quintile,East,818,5.38746,5.29476,5.48016,4.00000,6.00000,6.00000,1.00000,7,,,
2015,5th Quintile,West,4488,5.43138,5.39177,5.47098,5.00000,6.00000,6.00000,3.50000,7,,,
2015,5th Quintile,East,603,5.55846,5.46285,5.65407,5.00000,6.00000,6.00000,3.50000,7,,,
2016,1st Quintile,West,,,,,,,,,,,,
2016,1st Quintile,East,,,,,,,,,,,,
2016,2nd Quintile,West,,,,,,,,,,,,
2016,2nd Quintile,East,,,,,,,,,,,,
2016,3rd Quintile,West,,,,,,,,,,,,
2016,3rd Quintile,East,,,,,,,,,,,,
2016,4th Quintile,West,,,,,,,,,,,,
2016,4th Quintile,East,,,,,,,,,,,,
2016,5th Quintile,West,,,,,,,,,,,,
2016,5th Quintile,East,,,,,,,,,,,,
2017,1st Quintile,West,,,,,,,,,,,,
2017,1st Quintile,East,,,,,,,,,,,,
2017,2nd Quintile,West,,,,,,,,,,,,
2017,2nd Quintile,East,,,,,,,,,,,,
2017,3rd Quintile,West,,,,,,,,,,,,
2017,3rd Quintile,East,,,,,,,,,,,,
2017,4th Quintile,West,,,,,,,,,,,,
2017,4th Quintile,East,,,,,,,,,,,,
2017,5th Quintile,West,,,,,,,,,,,,
2017,5th Quintile,East,,,,,,,,,,,,
2018,1st Quintile,West,,,,,,,,,,,,
2018,1st Quintile,East,,,,,,,,,,,,
2018,2nd Quintile,West,,,,,,,,,,,,
2018,2nd Quintile,East,,,,,,,,,,,,
2018,3rd Quintile,West,,,,,,,,,,,,
2018,3rd Quintile,East,,,,,,,,,,,,
2018,4th Quintile,West,,,,,,,,,,,,
2018,4th Quintile,East,,,,,,,,,,,,
2018,5th Quintile,West,,,,,,,,,,,,
2018,5th Quintile,East,,,,,,,,,,,,
2019,1st Quintile,West,,,,,,,,,,,,
2019,1st Quintile,East,,,,,,,,,,,,
2019,2nd Quintile,West,,,,,,,,,,,,
2019,2nd Quintile,East,,,,,,,,,,,,
2019,3rd Quintile,West,,,,,,,,,,,,
2019,3rd Quintile,East,,,,,,,,,,,,
2019,4th Quintile,West,,,,,,,,,,,,
2019,4th Quintile,East,,,,,,,,,,,,
2019,5th Quintile,West,,,,,,,,,,,,
2019,5th Quintile,East,,,,,,,,,,,,
2020,1st Quintile,West,5096,5.32594,5.28278,5.36909,4.00000,6.00000,7.00000,1,7,,,
