"year","bildungsniveau","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2007","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2008","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2008","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2008","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2008","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2009","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2009","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2009","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2009","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","Ostdeutschland","5.17","4.5","335","3","4","6","7","7","5.02","5.32","1","7","5","6"
"2010","(Fach-)Abitur","Westdeutschland","5.26","4.5","1559","4","4","6","7","7","5.19","5.33","1","7","5","6"
"2010","(noch) kein Abschluss","Ostdeutschland","5.32","4.5","43","4","5","6","7","7","4.9","5.74","1","7","5","6"
"2010","(noch) kein Abschluss","Westdeutschland","5.12","4.5","364","3","4","6","7","7","4.96","5.28","1","7","5","5"
"2010","AkademikerIn","Ostdeutschland","5.34","5.5","1121","3","5","6","7","7","5.26","5.42","1","7","6","6"
"2010","AkademikerIn","Westdeutschland","5.39","5.5","2698","4","5","6","7","7","5.34","5.44","1","7","6","6"
"2010","Hauptschule","Ostdeutschland","5.17","4.5","977","3","4","6","7","7","5.07","5.27","1","7","5","6"
"2010","Hauptschule","Westdeutschland","5.15","4.5","4574","3","4","6","7","7","5.1","5.2","1","7","5","5"
"2010","Realschule","Ostdeutschland","5.16","4.5","1532","3","4","6","7","7","5.09","5.23","1","7","5","5"
"2010","Realschule","Westdeutschland","5.12","4.5","2925","3","4","6","7","7","5.07","5.17","1","7","5","5"
"2011","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2011","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2011","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2011","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2011","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2011","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2012","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2012","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2012","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2012","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2013","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2013","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2013","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2013","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2014","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2014","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2014","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2014","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","Ostdeutschland","5.23","5.5","519","3","4","6","7","7","5.1","5.36","1","7","5","6"
"2015","(Fach-)Abitur","Westdeutschland","5.39","5.5","3578","4","5","6","7","7","5.34","5.44","1","7","6","6"
"2015","(noch) kein Abschluss","Ostdeutschland","5.1","4.5","116","3","4","7","7","7","4.83","5.37","1","7","5","5"
"2015","(noch) kein Abschluss","Westdeutschland","5.16","4.5","814","3","4","7","7","7","5.04","5.28","1","7","5","6"
"2015","AkademikerIn","Ostdeutschland","5.45","5.5","1412","4","5","6","7","7","5.38","5.52","1","7","6","6"
"2015","AkademikerIn","Westdeutschland","5.48","5.5","4957","4","5","6","7","7","5.44","5.52","1","7","6","6"
"2015","Hauptschule","Ostdeutschland","5.08","4.5","1198","3","4","6","7","7","4.99","5.17","1","7","5","6"
"2015","Hauptschule","Westdeutschland","5.23","5.5","6510","3","4","7","7","7","5.19","5.27","1","7","6","6"
"2015","Realschule","Ostdeutschland","5.24","5.5","2006","3","4","6","7","7","5.17","5.31","1","7","5","6"
"2015","Realschule","Westdeutschland","5.23","4.5","4537","3","4","6","7","7","5.19","5.27","1","7","5","6"
"2016","(Fach-)Abitur","Ostdeutschland","5.45","5.5","81","2","5","7","7","7","5.22","5.68","2","7","7","7"
"2016","(Fach-)Abitur","Westdeutschland","5.59","5.5","438","3","4","7","7","7","5.48","5.7","1","7","7","7"
"2016","(noch) kein Abschluss","Ostdeutschland","6.44","6.5","170","4","7","7","7","7","6.3","6.58","1","7","7","7"
"2016","(noch) kein Abschluss","Westdeutschland","6.04","6.5","835","4","5","7","7","7","5.97","6.11","1","7","7","7"
"2016","AkademikerIn","Ostdeutschland","6.71","6.5","96","6","6","7","7","7","6.52","6.9","1","7","7","7"
"2016","AkademikerIn","Westdeutschland","5.86","5.5","499","4","5","7","7","7","5.76","5.96","1","7","7","7"
"2016","Hauptschule","Ostdeutschland","6.71","6.5","100","6","7","7","7","7","6.52","6.9","1","7","7","7"
"2016","Hauptschule","Westdeutschland","5.83","6.5","535","2","5","7","7","7","5.73","5.93","1","7","7","7"
"2016","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2016","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2017","(Fach-)Abitur","Ostdeutschland","6.66","6.5","34","5","7","7","7","7","6.23","7.09","3","7","7","7"
"2017","(Fach-)Abitur","Westdeutschland","6.27","6.5","266","4","6","7","7","7","6.14","6.4","1","7","7","7"
"2017","(noch) kein Abschluss","Ostdeutschland","6.46","6.5","76","4","7","7","7","7","6.22","6.7","1","7","7","7"
"2017","(noch) kein Abschluss","Westdeutschland","6.45","6.5","641","5","6","7","7","7","6.36","6.54","1","7","7","7"
"2017","AkademikerIn","Ostdeutschland","6.57","6.5","35","5","7","7","7","7","6.12","7.02","2","7","7","7"
"2017","AkademikerIn","Westdeutschland","6.47","6.5","277","5","6","7","7","7","6.35","6.59","1","7","7","7"
"2017","Hauptschule","Ostdeutschland","6.3","6.5","45","5","6","7","7","7","5.91","6.69","1","7","7","7"
"2017","Hauptschule","Westdeutschland","6.3","6.5","360","4","6","7","7","7","6.18","6.42","1","7","7","7"
"2017","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2017","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2018","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2018","(Fach-)Abitur","Westdeutschland","5.67","6.5","52","1","5","7","7","7","5.32","6.02","1","7","6","7"
"2018","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2018","(noch) kein Abschluss","Westdeutschland","6.18","6.5","138","4","6","7","7","7","5.93","6.43","1","7","7","7"
"2018","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2018","AkademikerIn","Westdeutschland","6.68","6.5","35","6","7","7","7","7","6.36","7","4","7","7","7"
"2018","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2018","Hauptschule","Westdeutschland","6.69","6.5","71","6","7","7","7","7","6.4","6.98","1","7","7","7"
"2018","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2018","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2019","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2019","(noch) kein Abschluss","Westdeutschland","5.94","6.5","116","4","5","7","7","7","5.67","6.21","1","7","6","7"
"2019","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2019","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2019","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Hauptschule","Westdeutschland","5.84","6.5","42","2","5","7","7","7","5.51","6.17","2","7","7","7"
"2019","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2020","(Fach-)Abitur","Ostdeutschland","5.29","5.5","698","3","4","6","7","7","5.19","5.39","1","7","6","6"
"2020","(Fach-)Abitur","Westdeutschland","5.49","5.5","4347","4","5","6","7","7","5.45","5.53","1","7","6","6"
"2020","(noch) kein Abschluss","Ostdeutschland","5.51","5.5","307","4","5","7","7","7","5.37","5.65","1","7","6","7"
"2020","(noch) kein Abschluss","Westdeutschland","5.39","5.5","1935","3","4","7","7","7","5.33","5.45","1","7","6","7"
"2020","AkademikerIn","Ostdeutschland","5.47","5.5","1653","4","5","7","7","7","5.41","5.53","1","7","6","6"
"2020","AkademikerIn","Westdeutschland","5.54","5.5","6111","4","5","6","7","7","5.51","5.57","1","7","6","6"
"2020","Hauptschule","Ostdeutschland","5.18","4.5","990","3","4","6","7","7","5.08","5.28","1","7","6","6"
"2020","Hauptschule","Westdeutschland","5.29","5.5","5719","3","4","7","7","7","5.25","5.33","1","7","6","6"
"2020","Realschule","Ostdeutschland","5.38","5.5","1971","4","5","6","7","7","5.32","5.44","1","7","5","6"
"2020","Realschule","Westdeutschland","5.3","5.5","4261","3","5","6","7","7","5.26","5.34","1","7","6","6"
