year,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Tenant,"Yes, Occasionally",0.01764,112,8868,0.01490,0.02038
2011,Tenant,No,0.93304,8432,8868,0.92783,0.93824
2012,Owner,"Yes, Regularly",0.08248,651,7570,0.07628,0.08867
2012,Owner,"Yes, Occasionally",0.03529,243,7570,0.03114,0.03945
2012,Owner,No,0.87832,6676,7570,0.87096,0.88569
2012,Tenant,"Yes, Regularly",0.04359,304,8698,0.03930,0.04788
2012,Tenant,"Yes, Occasionally",0.01628,101,8698,0.01362,0.01894
2012,Tenant,No,0.93821,8293,8698,0.93315,0.94327
2013,Owner,"Yes, Regularly",0.09601,716,7686,0.08943,0.10260
2013,Owner,"Yes, Occasionally",0.03615,233,7686,0.03198,0.04032
2013,Owner,No,0.86403,6737,7686,0.85636,0.87169
2013,Tenant,"Yes, Regularly",0.04771,344,10139,0.04356,0.05186
2013,Tenant,"Yes, Occasionally",0.01648,118,10139,0.01400,0.01896
2013,Tenant,No,0.93142,9677,10139,0.92650,0.93634
2014,Owner,"Yes, Regularly",0.09692,675,7036,0.09001,0.10383
2014,Owner,"Yes, Occasionally",0.03431,205,7036,0.03005,0.03856
2014,Owner,No,0.86684,6156,7036,0.85890,0.87478
2014,Tenant,"Yes, Regularly",0.04396,318,8759,0.03967,0.04826
2014,Tenant,"Yes, Occasionally",0.01610,104,8759,0.01346,0.01874
2014,Tenant,No,0.93539,8337,8759,0.93024,0.94054
2015,Owner,"Yes, Regularly",0.10350,654,6726,0.09622,0.11078
2015,Owner,"Yes, Occasionally",0.03352,181,6726,0.02921,0.03782
2015,Owner,No,0.86036,5891,6726,0.85208,0.86865
2015,Tenant,"Yes, Regularly",0.04371,310,9012,0.03949,0.04793
2015,Tenant,"Yes, Occasionally",0.01543,86,9012,0.01289,0.01798
2015,Tenant,No,0.93852,8616,9012,0.93356,0.94348
2016,Owner,"Yes, Regularly",0.09615,599,6291,0.08887,0.10344
2016,Owner,"Yes, Occasionally",0.02662,152,6291,0.02264,0.03060
2016,Owner,No,0.87505,5540,6291,0.86688,0.88322
2016,Tenant,"Yes, Regularly",0.04198,273,7985,0.03758,0.04638
2016,Tenant,"Yes, Occasionally",0.01271,78,7985,0.01026,0.01517
2016,Tenant,No,0.94238,7634,7985,0.93727,0.94749
2017,Owner,"Yes, Regularly",0.09002,625,7056,0.08334,0.09669
2017,Owner,"Yes, Occasionally",0.03112,178,7056,0.02707,0.03517
2017,Owner,No,0.87692,6253,7056,0.86926,0.88459
2017,Tenant,"Yes, Regularly",0.04382,293,8598,0.03950,0.04815
2017,Tenant,"Yes, Occasionally",0.01407,82,8598,0.01158,0.01656
2017,Tenant,No,0.93157,8223,8598,0.92623,0.93691
2018,Owner,"Yes, Regularly",0.10032,620,6748,0.09315,0.10749
2018,Owner,"Yes, Occasionally",0.02804,160,6748,0.02410,0.03198
2018,Owner,No,0.87106,5968,6748,0.86306,0.87906
2018,Tenant,"Yes, Regularly",0.05244,345,8677,0.04775,0.05713
2018,Tenant,"Yes, Occasionally",0.01287,95,8677,0.01050,0.01524
2018,Tenant,No,0.91844,8237,8677,0.91268,0.92420
2019,Owner,"Yes, Regularly",0.10172,980,7857,0.09504,0.10841
2019,Owner,"Yes, Occasionally",0.03002,248,7857,0.02625,0.03380
2019,Owner,No,0.86517,6629,7857,0.85761,0.87272
2019,Tenant,"Yes, Regularly",0.05535,397,8237,0.05041,0.06029
2019,Tenant,"Yes, Occasionally",0.01478,120,8237,0.01218,0.01739
2019,Tenant,No,0.91130,7720,8237,0.90516,0.91744
2020,Owner,"Yes, Regularly",0.09915,783,6918,0.09211,0.10620
2020,Owner,"Yes, Occasionally",0.02607,199,6918,0.02232,0.02983
2020,Owner,No,0.86551,5936,6918,0.85747,0.87355
2020,Tenant,"Yes, Regularly",0.04947,354,9313,0.04507,0.05388
2020,Tenant,"Yes, Occasionally",0.01544,115,9313,0.01294,0.01795
2020,Tenant,No,0.91216,8844,9313,0.90641,0.91791
2021,Owner,"Yes, Regularly",0.10433,580,5077,0.09592,0.11274
2021,Owner,"Yes, Occasionally",0.02877,152,5077,0.02417,0.03337
2021,Owner,No,0.86638,4345,5077,0.85702,0.87574
2021,Tenant,"Yes, Regularly",0.05845,271,5994,0.05251,0.06439
2021,Tenant,"Yes, Occasionally",0.02109,103,5994,0.01746,0.02473
2021,Tenant,No,0.89877,5620,5994,0.89113,0.90641
2022,Owner,"Yes, Regularly",0.08950,698,7831,0.08317,0.09582
2022,Owner,"Yes, Occasionally",0.03239,222,7831,0.02847,0.03631
2022,Owner,No,0.87439,6911,7831,0.86705,0.88173
2022,Tenant,"Yes, Regularly",0.04872,440,11386,0.04476,0.05267
2022,Tenant,"Yes, Occasionally",0.02192,227,11386,0.01923,0.02461
2022,Tenant,No,0.90876,10719,11386,0.90347,0.91405
