year,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,East,"Yes, Occasionally",0.01076,38,3651,0.00741,0.01410
2013,East,No,0.95501,3499,3651,0.94829,0.96174
2014,West,"Yes, Regularly",0.07637,887,12423,0.07170,0.08104
2014,West,"Yes, Occasionally",0.02774,276,12423,0.02486,0.03063
2014,West,No,0.89278,11260,12423,0.88734,0.89822
2014,East,"Yes, Regularly",0.03037,106,3372,0.02458,0.03616
2014,East,"Yes, Occasionally",0.00916,33,3372,0.00595,0.01238
2014,East,No,0.95597,3233,3372,0.94904,0.96290
2015,West,"Yes, Regularly",0.08082,877,12465,0.07604,0.08561
2015,West,"Yes, Occasionally",0.02596,235,12465,0.02317,0.02875
2015,West,No,0.89143,11353,12465,0.88597,0.89689
2015,East,"Yes, Regularly",0.02679,87,3273,0.02126,0.03233
2015,East,"Yes, Occasionally",0.01346,32,3273,0.00951,0.01741
2015,East,No,0.95420,3154,3273,0.94704,0.96137
2016,West,"Yes, Regularly",0.07429,777,11213,0.06944,0.07915
2016,West,"Yes, Occasionally",0.02124,202,11213,0.01857,0.02391
2016,West,No,0.89735,10234,11213,0.89173,0.90297
2016,East,"Yes, Regularly",0.03183,95,3036,0.02558,0.03807
2016,East,No,0.94787,2941,3036,0.93996,0.95578
2017,West,"Yes, Regularly",0.07258,814,12241,0.06798,0.07717
2017,West,"Yes, Occasionally",0.02396,227,12241,0.02125,0.02667
2017,West,No,0.89499,11200,12241,0.88956,0.90042
2017,East,"Yes, Regularly",0.03036,104,3413,0.02460,0.03612
2017,East,"Yes, Occasionally",0.01246,33,3413,0.00874,0.01618
2017,East,No,0.95034,3276,3413,0.94305,0.95763
2018,West,"Yes, Regularly",0.08217,858,12004,0.07726,0.08709
2018,West,"Yes, Occasionally",0.02161,219,12004,0.01900,0.02421
2018,West,No,0.88727,10927,12004,0.88161,0.89293
2018,East,"Yes, Regularly",0.03977,107,3421,0.03322,0.04632
2018,East,"Yes, Occasionally",0.01206,36,3421,0.00840,0.01572
2018,East,No,0.93912,3278,3421,0.93111,0.94714
2019,West,"Yes, Regularly",0.08552,1177,12455,0.08061,0.09043
2019,West,"Yes, Occasionally",0.02404,324,12455,0.02135,0.02673
2019,West,No,0.87922,10954,12455,0.87350,0.88494
2019,East,"Yes, Regularly",0.03716,198,3576,0.03096,0.04336
2019,East,"Yes, Occasionally",0.01166,42,3576,0.00814,0.01518
2019,East,No,0.93905,3336,3576,0.93121,0.94689
2020,West,"Yes, Regularly",0.07819,969,12803,0.07354,0.08284
2020,West,"Yes, Occasionally",0.02282,267,12803,0.02023,0.02541
2020,West,No,0.88233,11567,12803,0.87675,0.88791
2020,East,"Yes, Regularly",0.04652,168,3428,0.03947,0.05358
2020,East,"Yes, Occasionally",0.00911,47,3428,0.00593,0.01230
2020,East,No,0.92815,3213,3428,0.91951,0.93680
2021,West,"Yes, Regularly",0.08408,714,8684,0.07825,0.08992
2021,West,"Yes, Occasionally",0.02774,223,8684,0.02428,0.03119
2021,West,No,0.87596,7747,8684,0.86903,0.88289
2021,East,"Yes, Regularly",0.05936,137,2392,0.04989,0.06884
2021,East,"Yes, Occasionally",0.00998,32,2392,0.00599,0.01396
2021,East,No,0.92085,2223,2392,0.91003,0.93167
2022,West,"Yes, Regularly",0.07234,953,15024,0.06820,0.07648
2022,West,"Yes, Occasionally",0.02925,368,15024,0.02656,0.03195
2022,West,No,0.88516,13703,15024,0.88006,0.89026
2022,East,"Yes, Regularly",0.04570,187,4206,0.03939,0.05202
2022,East,"Yes, Occasionally",0.01760,83,4206,0.01362,0.02157
2022,East,No,0.92523,3936,4206,0.91729,0.93318
