,Unnamed: 0,year,quintil_oecd_hh,sampreg,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
60,60,2018,1st Quintile,West,Yes,0.47512,1095,15324,0.44413,0.50634
61,61,2018,1st Quintile,West,No,0.52488,1195,15324,0.48971,0.55723
62,62,2018,1st Quintile,East,Yes,0.64437,566,15324,0.58157,0.70309
63,63,2018,1st Quintile,East,No,0.35563,348,15324,0.30671,0.40571
64,64,2018,2nd Quintile,West,Yes,0.55556,1365,15324,0.52178,0.58976
65,65,2018,2nd Quintile,West,No,0.44444,1033,15324,0.41091,0.47466
66,66,2018,2nd Quintile,East,Yes,0.6466,626,15324,0.59176,0.69677
67,67,2018,2nd Quintile,East,No,0.3534,332,15324,0.3103,0.39312
68,68,2018,3rd Quintile,West,Yes,0.6146,1413,15324,0.58938,0.65207
69,69,2018,3rd Quintile,West,No,0.3854,796,15324,0.36061,0.41539
70,70,2018,3rd Quintile,East,Yes,0.72912,502,15324,0.65986,0.80509
71,71,2018,3rd Quintile,East,No,0.27088,193,15324,0.22008,0.32114
72,72,2018,4th Quintile,West,Yes,0.68706,1663,15324,0.65298,0.71967
73,73,2018,4th Quintile,West,No,0.31294,713,15324,0.29327,0.33698
74,74,2018,4th Quintile,East,Yes,0.76645,371,15324,0.67821,0.85881
75,75,2018,4th Quintile,East,No,0.23355,109,15324,0.18161,0.27889
76,76,2018,5th Quintile,West,Yes,0.73768,1951,15324,0.70227,0.77134
77,77,2018,5th Quintile,West,No,0.26232,692,15324,0.2447,0.28467
78,78,2018,5th Quintile,East,Yes,0.7867,286,15324,0.70287,0.8846
79,79,2018,5th Quintile,East,No,0.2133,75,15324,0.15991,0.27364
80,80,2019,1st Quintile,West,Yes,0.46085,810,12546,0.42758,0.489
81,81,2019,1st Quintile,West,No,0.53915,874,12546,0.50299,0.57474
82,82,2019,1st Quintile,East,Yes,0.63506,422,12546,0.57347,0.7141
83,83,2019,1st Quintile,East,No,0.36494,258,12546,0.31941,0.42848
84,84,2019,2nd Quintile,West,Yes,0.55023,1067,12546,0.51946,0.58521
85,85,2019,2nd Quintile,West,No,0.44977,782,12546,0.41631,0.49085
86,86,2019,2nd Quintile,East,Yes,0.66645,486,12546,0.6029,0.73387
87,87,2019,2nd Quintile,East,No,0.33355,245,12546,0.28658,0.38154
88,88,2019,3rd Quintile,West,Yes,0.6276,1211,12546,0.58849,0.6699
89,89,2019,3rd Quintile,West,No,0.3724,694,12546,0.34235,0.39778
90,90,2019,3rd Quintile,East,Yes,0.72627,471,12546,0.66774,0.79632
91,91,2019,3rd Quintile,East,No,0.27373,175,12546,0.23451,0.33312
92,92,2019,4th Quintile,West,Yes,0.67358,1430,12546,0.63774,0.70928
93,93,2019,4th Quintile,West,No,0.32642,613,12546,0.30379,0.35833
94,94,2019,4th Quintile,East,Yes,0.77716,335,12546,0.68651,0.87124
95,95,2019,4th Quintile,East,No,0.22284,104,12546,0.17195,0.27764
96,96,2019,5th Quintile,West,Yes,0.74725,1672,12546,0.70497,0.78295
97,97,2019,5th Quintile,West,No,0.25275,563,12546,0.23295,0.27655
98,98,2019,5th Quintile,East,Yes,0.77254,267,12546,0.68326,0.87464
99,99,2019,5th Quintile,East,No,0.22746,67,12546,0.16591,0.29605
100,100,2020,1st Quintile,West,Yes,0.49703,1158,16020,0.46301,0.53283
101,101,2020,1st Quintile,West,No,0.50297,1402,16020,0.45992,0.54534
102,102,2020,1st Quintile,East,Yes,0.621,472,16020,0.55593,0.67835
103,103,2020,1st Quintile,East,No,0.379,320,16020,0.3301,0.42114
104,104,2020,2nd Quintile,West,Yes,0.59657,1348,16020,0.56002,0.63014
105,105,2020,2nd Quintile,West,No,0.40343,1044,16020,0.37254,0.43639
106,106,2020,2nd Quintile,East,Yes,0.69727,587,16020,0.63173,0.75792
107,107,2020,2nd Quintile,East,No,0.30273,261,16020,0.25651,0.34296
108,108,2020,3rd Quintile,West,Yes,0.64153,1428,16020,0.60305,0.67463
109,109,2020,3rd Quintile,West,No,0.35847,797,16020,0.3289,0.38029
110,110,2020,3rd Quintile,East,Yes,0.69755,484,16020,0.63464,0.75884
111,111,2020,3rd Quintile,East,No,0.30245,195,16020,0.25884,0.3605
112,112,2020,4th Quintile,West,Yes,0.67375,1578,16020,0.63934,0.70729
113,113,2020,4th Quintile,West,No,0.32625,726,16020,0.30205,0.35473
114,114,2020,4th Quintile,East,Yes,0.79429,401,16020,0.71031,0.90014
115,115,2020,4th Quintile,East,No,0.20571,104,16020,0.16493,0.25473
116,116,2020,5th Quintile,West,Yes,0.764,2399,16020,0.7303,0.80301
117,117,2020,5th Quintile,West,No,0.236,743,16020,0.21604,0.25986
118,118,2020,5th Quintile,East,Yes,0.82315,468,16020,0.70662,0.96268
119,119,2020,5th Quintile,East,No,0.17685,105,16020,0.13289,0.22808
120,120,2021,1st Quintile,West,Yes,0.47979,637,9835,0.43568,0.52649
121,121,2021,1st Quintile,West,No,0.52021,662,9835,0.47945,0.58251
122,122,2021,1st Quintile,East,Yes,0.60669,294,9835,0.52663,0.69848
123,123,2021,1st Quintile,East,No,0.39331,183,9835,0.32241,0.46039
124,124,2021,2nd Quintile,West,Yes,0.58402,830,9835,0.53556,0.62858
125,125,2021,2nd Quintile,West,No,0.41598,603,9835,0.37915,0.44841
126,126,2021,2nd Quintile,East,Yes,0.70965,385,9835,0.60911,0.79748
127,127,2021,2nd Quintile,East,No,0.29035,153,9835,0.22982,0.37365
128,128,2021,3rd Quintile,West,Yes,0.64677,931,9835,0.60796,0.70443
129,129,2021,3rd Quintile,West,No,0.35323,472,9835,0.31953,0.39327
130,130,2021,3rd Quintile,East,Yes,0.75275,310,9835,0.65474,0.85406
131,131,2021,3rd Quintile,East,No,0.24725,113,9835,0.20333,0.30623
132,132,2021,4th Quintile,West,Yes,0.67764,1057,9835,0.63165,0.72508
133,133,2021,4th Quintile,West,No,0.32236,468,9835,0.28811,0.35388
134,134,2021,4th Quintile,East,Yes,0.74835,269,9835,0.63157,0.86331
135,135,2021,4th Quintile,East,No,0.25165,82,9835,0.19267,0.32124
136,136,2021,5th Quintile,West,Yes,0.7574,1512,9835,0.70431,0.8061
137,137,2021,5th Quintile,West,No,0.2426,508,9835,0.21298,0.27052
138,138,2021,5th Quintile,East,Yes,0.82105,303,9835,0.70831,0.98519
139,139,2021,5th Quintile,East,No,0.17895,63,9835,0.10975,0.23672
