,Unnamed: 0,year,bula_h,sampreg,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
32,32,2016,Schleswig-Holstein,West,Yes,0.596,292,14188,0.52043,0.67486
33,33,2016,Schleswig-Holstein,West,No,0.404,207,14188,0.35141,0.46307
34,34,2016,Hamburg,West,Yes,0.42163,116,14188,0.35287,0.50062
35,35,2016,Hamburg,West,No,0.57837,146,14188,0.49336,0.66193
36,36,2016,Lower Saxony,West,Yes,0.65915,870,14188,0.61394,0.70855
37,37,2016,Lower Saxony,West,No,0.34085,467,14188,0.309,0.37474
38,38,2016,Bremen,West,Yes,0.47122,54,14188,0.32811,0.59994
39,39,2016,Bremen,West,No,0.52878,49,14188,0.38802,0.69019
40,40,2016,North Rhine-Westphalia,West,Yes,0.58267,1747,14188,0.55851,0.6129
41,41,2016,North Rhine-Westphalia,West,No,0.41733,1141,14188,0.39122,0.44208
42,42,2016,Hesse,West,Yes,0.55454,521,14188,0.51136,0.59975
43,43,2016,Hesse,West,No,0.44546,450,14188,0.40161,0.48713
44,44,2016,"Rhineland-Palatinate, Saarland",West,Yes,0.50944,422,14188,0.46351,0.57323
45,45,2016,"Rhineland-Palatinate, Saarland",West,No,0.49056,420,14188,0.44369,0.54287
46,46,2016,Baden-Wuerttemberg,West,Yes,0.64593,1048,14188,0.60106,0.69318
47,47,2016,Baden-Wuerttemberg,West,No,0.35407,558,14188,0.32578,0.38478
48,48,2016,Bavaria,West,Yes,0.52605,1264,14188,0.49596,0.55417
49,49,2016,Bavaria,West,No,0.47395,1011,14188,0.43795,0.50694
50,50,2016,Berlin,West,Yes,0.56139,180,14188,0.49023,0.6414
51,51,2016,Berlin,West,No,0.43861,164,14188,0.38083,0.50612
52,52,2016,Berlin,East,Yes,0.63859,169,14188,0.54197,0.74397
53,53,2016,Berlin,East,No,0.36141,92,14188,0.279,0.4478
54,54,2016,Brandenburg,East,Yes,0.663,384,14188,0.58838,0.74219
55,55,2016,Brandenburg,East,No,0.337,176,14188,0.28962,0.38716
56,56,2016,Mecklenburg-Western Pomerania,East,Yes,0.81049,263,14188,0.7076,0.91983
57,57,2016,Mecklenburg-Western Pomerania,East,No,0.18951,64,14188,0.13531,0.25426
58,58,2016,Saxony,East,Yes,0.59883,548,14188,0.55362,0.64958
59,59,2016,Saxony,East,No,0.40117,310,14188,0.35943,0.4459
60,60,2016,Saxony-Anhalt,East,Yes,0.68017,333,14188,0.60611,0.75262
61,61,2016,Saxony-Anhalt,East,No,0.31983,179,14188,0.26752,0.37529
62,62,2016,Thuringa,East,Yes,0.67367,356,14188,0.59741,0.7787
63,63,2016,Thuringa,East,No,0.32633,187,14188,0.28023,0.3688
64,64,2017,Schleswig-Holstein,West,Yes,0.60705,345,15560,0.54191,0.67028
65,65,2017,Schleswig-Holstein,West,No,0.39295,216,15560,0.34181,0.44771
66,66,2017,Hamburg,West,Yes,0.48645,157,15560,0.41522,0.56921
67,67,2017,Hamburg,West,No,0.51355,139,15560,0.44151,0.58379
68,68,2017,Lower Saxony,West,Yes,0.63018,1021,15560,0.58584,0.66929
69,69,2017,Lower Saxony,West,No,0.36982,512,15560,0.33494,0.39907
70,70,2017,Bremen,West,Yes,0.59047,81,15560,0.45078,0.76346
71,71,2017,Bremen,West,No,0.40953,48,15560,0.30716,0.50727
72,72,2017,North Rhine-Westphalia,West,Yes,0.64817,2089,15560,0.62327,0.67415
73,73,2017,North Rhine-Westphalia,West,No,0.35183,1077,15560,0.32984,0.37663
74,74,2017,Hesse,West,Yes,0.54541,588,15560,0.49568,0.5913
75,75,2017,Hesse,West,No,0.45459,457,15560,0.41377,0.49748
76,76,2017,"Rhineland-Palatinate, Saarland",West,Yes,0.55517,480,15560,0.51232,0.60493
77,77,2017,"Rhineland-Palatinate, Saarland",West,No,0.44483,392,15560,0.40507,0.47689
78,78,2017,Baden-Wuerttemberg,West,Yes,0.60455,1095,15560,0.56424,0.64306
79,79,2017,Baden-Wuerttemberg,West,No,0.39545,616,15560,0.36231,0.42771
80,80,2017,Bavaria,West,Yes,0.57459,1477,15560,0.54377,0.60899
81,81,2017,Bavaria,West,No,0.42541,1001,15560,0.39513,0.45945
82,82,2017,Berlin,West,Yes,0.55367,204,15560,0.48834,0.6284
83,83,2017,Berlin,West,No,0.44633,166,15560,0.39174,0.50857
84,84,2017,Berlin,East,Yes,0.70157,195,15560,0.61491,0.79608
85,85,2017,Berlin,East,No,0.29843,88,15560,0.22702,0.38369
86,86,2017,Brandenburg,East,Yes,0.66486,410,15560,0.59824,0.73864
87,87,2017,Brandenburg,East,No,0.33514,208,15560,0.29367,0.38364
88,88,2017,Mecklenburg-Western Pomerania,East,Yes,0.78023,290,15560,0.68302,0.88834
89,89,2017,Mecklenburg-Western Pomerania,East,No,0.21977,73,15560,0.1777,0.27063
90,90,2017,Saxony,East,Yes,0.61164,628,15560,0.57456,0.6588
91,91,2017,Saxony,East,No,0.38836,351,15560,0.3528,0.43191
92,92,2017,Saxony-Anhalt,East,Yes,0.70108,383,15560,0.6383,0.77326
93,93,2017,Saxony-Anhalt,East,No,0.29892,183,15560,0.25793,0.34059
94,94,2017,Thuringa,East,Yes,0.64012,371,15560,0.55853,0.73605
95,95,2017,Thuringa,East,No,0.35988,219,15560,0.31732,0.40018
96,96,2018,Schleswig-Holstein,West,Yes,0.59255,326,15329,0.52131,0.67253
97,97,2018,Schleswig-Holstein,West,No,0.40745,228,15329,0.35496,0.46456
98,98,2018,Hamburg,West,Yes,0.51487,175,15329,0.42988,0.59354
99,99,2018,Hamburg,West,No,0.48513,146,15329,0.41346,0.55638
100,100,2018,Lower Saxony,West,Yes,0.67051,971,15329,0.62027,0.71683
101,101,2018,Lower Saxony,West,No,0.32949,499,15329,0.29728,0.36102
102,102,2018,Bremen,West,Yes,0.57411,81,15329,0.43577,0.73946
103,103,2018,Bremen,West,No,0.42589,53,15329,0.31522,0.54316
104,104,2018,North Rhine-Westphalia,West,Yes,0.65342,2078,15329,0.62227,0.68255
105,105,2018,North Rhine-Westphalia,West,No,0.34658,1071,15329,0.3247,0.36718
106,106,2018,Hesse,West,Yes,0.56288,583,15329,0.51175,0.62062
107,107,2018,Hesse,West,No,0.43712,413,15329,0.39602,0.48635
108,108,2018,"Rhineland-Palatinate, Saarland",West,Yes,0.56251,477,15329,0.51029,0.61835
109,109,2018,"Rhineland-Palatinate, Saarland",West,No,0.43749,399,15329,0.39141,0.48699
110,110,2018,Baden-Wuerttemberg,West,Yes,0.66113,1112,15329,0.6315,0.70403
111,111,2018,Baden-Wuerttemberg,West,No,0.33887,498,15329,0.30896,0.3681
112,112,2018,Bavaria,West,Yes,0.59701,1429,15329,0.56171,0.62567
113,113,2018,Bavaria,West,No,0.40299,967,15329,0.37265,0.43517
114,114,2018,Berlin,West,Yes,0.61668,258,15329,0.5597,0.68759
115,115,2018,Berlin,West,No,0.38332,157,15329,0.32457,0.44106
116,116,2018,Berlin,East,Yes,0.77621,206,15329,0.66261,0.88734
117,117,2018,Berlin,East,No,0.22379,60,15329,0.16251,0.28769
118,118,2018,Brandenburg,East,Yes,0.68369,424,15329,0.60943,0.75767
119,119,2018,Brandenburg,East,No,0.31631,221,15329,0.27841,0.36533
120,120,2018,Mecklenburg-Western Pomerania,East,Yes,0.80145,304,15329,0.71495,0.90011
121,121,2018,Mecklenburg-Western Pomerania,East,No,0.19855,75,15329,0.15209,0.24609
122,122,2018,Saxony,East,Yes,0.64005,647,15329,0.59764,0.69874
123,123,2018,Saxony,East,No,0.35995,327,15329,0.31723,0.40509
124,124,2018,Saxony-Anhalt,East,Yes,0.7386,414,15329,0.66726,0.81572
125,125,2018,Saxony-Anhalt,East,No,0.2614,157,15329,0.21145,0.31533
126,126,2018,Thuringa,East,Yes,0.62609,356,15329,0.54568,0.70663
127,127,2018,Thuringa,East,No,0.37391,217,15329,0.32419,0.42727
128,128,2019,Schleswig-Holstein,West,Yes,0.60807,274,12549,0.53662,0.69277
129,129,2019,Schleswig-Holstein,West,No,0.39193,173,12549,0.33451,0.45145
130,130,2019,Hamburg,West,Yes,0.49104,144,12549,0.42359,0.57576
131,131,2019,Hamburg,West,No,0.50896,127,12549,0.43382,0.59534
132,132,2019,Lower Saxony,West,Yes,0.66369,816,12549,0.61972,0.70995
133,133,2019,Lower Saxony,West,No,0.33631,400,12549,0.29797,0.36946
134,134,2019,Bremen,West,Yes,0.59977,67,12549,0.41021,0.7793
135,135,2019,Bremen,West,No,0.40023,45,12549,0.2712,0.54536
136,136,2019,North Rhine-Westphalia,West,Yes,0.65239,1730,12549,0.6165,0.68266
137,137,2019,North Rhine-Westphalia,West,No,0.34761,844,12549,0.3242,0.36856
138,138,2019,Hesse,West,Yes,0.5717,478,12549,0.51642,0.62522
139,139,2019,Hesse,West,No,0.4283,326,12549,0.37382,0.47692
140,140,2019,"Rhineland-Palatinate, Saarland",West,Yes,0.56535,400,12549,0.50954,0.6203
141,141,2019,"Rhineland-Palatinate, Saarland",West,No,0.43465,314,12549,0.38455,0.49065
142,142,2019,Baden-Wuerttemberg,West,Yes,0.66341,908,12549,0.61733,0.70911
143,143,2019,Baden-Wuerttemberg,West,No,0.33659,397,12549,0.30607,0.36825
144,144,2019,Bavaria,West,Yes,0.58384,1163,12549,0.548,0.62108
145,145,2019,Bavaria,West,No,0.41616,781,12549,0.38638,0.45119
146,146,2019,Berlin,West,Yes,0.6132,210,12549,0.5124,0.69533
147,147,2019,Berlin,West,No,0.3868,120,12549,0.30921,0.45372
148,148,2019,Berlin,East,Yes,0.76506,169,12549,0.65007,0.89511
149,149,2019,Berlin,East,No,0.23494,52,12549,0.16715,0.31973
150,150,2019,Brandenburg,East,Yes,0.68856,373,12549,0.60311,0.77372
151,151,2019,Brandenburg,East,No,0.31144,187,12549,0.26675,0.35693
152,152,2019,Mecklenburg-Western Pomerania,East,Yes,0.84574,255,12549,0.75154,0.97008
153,153,2019,Mecklenburg-Western Pomerania,East,No,0.15426,54,12549,0.10737,0.21613
154,154,2019,Saxony,East,Yes,0.63457,547,12549,0.58566,0.69734
155,155,2019,Saxony,East,No,0.36543,272,12549,0.31478,0.42973
156,156,2019,Saxony-Anhalt,East,Yes,0.73768,337,12549,0.65756,0.80647
157,157,2019,Saxony-Anhalt,East,No,0.26232,121,12549,0.20912,0.33015
158,158,2019,Thuringa,East,Yes,0.65684,301,12549,0.58337,0.76793
159,159,2019,Thuringa,East,No,0.34316,164,12549,0.28396,0.40222
160,160,2020,Schleswig-Holstein,West,Yes,0.71765,362,16050,0.63507,0.80035
161,161,2020,Schleswig-Holstein,West,No,0.28235,179,16050,0.24161,0.33094
162,162,2020,Hamburg,West,Yes,0.6058,224,16050,0.53081,0.70386
163,163,2020,Hamburg,West,No,0.3942,135,16050,0.32056,0.46659
164,164,2020,Lower Saxony,West,Yes,0.67399,999,16050,0.62659,0.72698
165,165,2020,Lower Saxony,West,No,0.32601,472,16050,0.28907,0.35838
166,166,2020,Bremen,West,Yes,0.62719,74,16050,0.43824,0.79115
167,167,2020,Bremen,West,No,0.37281,66,16050,0.24561,0.51126
168,168,2020,North Rhine-Westphalia,West,Yes,0.68597,2128,16050,0.65059,0.72335
169,169,2020,North Rhine-Westphalia,West,No,0.31403,1215,16050,0.28826,0.33799
170,170,2020,Hesse,West,Yes,0.59454,655,16050,0.53179,0.65116
171,171,2020,Hesse,West,No,0.40546,444,16050,0.35519,0.45604
172,172,2020,"Rhineland-Palatinate, Saarland",West,Yes,0.5332,460,16050,0.48287,0.59654
173,173,2020,"Rhineland-Palatinate, Saarland",West,No,0.4668,399,16050,0.4166,0.52006
174,174,2020,Baden-Wuerttemberg,West,Yes,0.68275,1155,16050,0.62771,0.72338
175,175,2020,Baden-Wuerttemberg,West,No,0.31725,566,16050,0.2872,0.34641
176,176,2020,Bavaria,West,Yes,0.59506,1578,16050,0.55784,0.63662
177,177,2020,Bavaria,West,No,0.40494,1005,16050,0.37308,0.44234
178,178,2020,Berlin,West,Yes,0.56158,281,16050,0.48045,0.63574
179,179,2020,Berlin,West,No,0.43842,254,16050,0.36204,0.51196
180,180,2020,Berlin,East,Yes,0.76028,221,16050,0.6525,0.8937
181,181,2020,Berlin,East,No,0.23972,83,16050,0.16745,0.32869
182,182,2020,Brandenburg,East,Yes,0.73684,480,16050,0.64821,0.80592
183,183,2020,Brandenburg,East,No,0.26316,191,16050,0.22074,0.30994
184,184,2020,Mecklenburg-Western Pomerania,East,Yes,0.80052,272,16050,0.69721,0.9247
185,185,2020,Mecklenburg-Western Pomerania,East,No,0.19948,66,16050,0.14923,0.27544
186,186,2020,Saxony,East,Yes,0.61609,651,16050,0.56466,0.67017
187,187,2020,Saxony,East,No,0.38391,311,16050,0.33368,0.43166
188,188,2020,Saxony-Anhalt,East,Yes,0.73335,403,16050,0.63665,0.80929
189,189,2020,Saxony-Anhalt,East,No,0.26665,154,16050,0.2093,0.3208
190,190,2020,Thuringa,East,Yes,0.70594,386,16050,0.608,0.78749
191,191,2020,Thuringa,East,No,0.29406,181,16050,0.24881,0.34435
192,192,2021,Schleswig-Holstein,West,Yes,0.73639,258,9826,0.63011,0.83368
193,193,2021,Schleswig-Holstein,West,No,0.26361,122,9826,0.20822,0.32758
194,194,2021,Hamburg,West,Yes,0.60471,152,9826,0.51749,0.75233
195,195,2021,Hamburg,West,No,0.39529,81,9826,0.30451,0.49352
196,196,2021,Lower Saxony,West,Yes,0.64765,654,9826,0.57614,0.70979
197,197,2021,Lower Saxony,West,No,0.35235,291,9826,0.30575,0.40226
198,198,2021,Bremen,West,Yes,1.0,42,9826,0.69736,1.3729
199,199,2021,North Rhine-Westphalia,West,Yes,0.69204,1344,9826,0.6564,0.72799
200,200,2021,North Rhine-Westphalia,West,No,0.30796,696,9826,0.2851,0.33826
201,201,2021,Hesse,West,Yes,0.62776,372,9826,0.55298,0.70632
202,202,2021,Hesse,West,No,0.37224,235,9826,0.31663,0.42706
203,203,2021,"Rhineland-Palatinate, Saarland",West,Yes,0.52032,268,9826,0.45125,0.60047
204,204,2021,"Rhineland-Palatinate, Saarland",West,No,0.47968,218,9826,0.40495,0.54847
205,205,2021,Baden-Wuerttemberg,West,Yes,0.66295,724,9826,0.601,0.71348
206,206,2021,Baden-Wuerttemberg,West,No,0.33705,319,9826,0.30192,0.38007
207,207,2021,Bavaria,West,Yes,0.5656,976,9826,0.52984,0.60979
208,208,2021,Bavaria,West,No,0.4344,586,9826,0.399,0.4718
209,209,2021,Berlin,West,Yes,0.59755,183,9826,0.49435,0.70083
210,210,2021,Berlin,West,No,0.40245,147,9826,0.33371,0.47745
211,211,2021,Berlin,East,Yes,0.75981,133,9826,0.64252,0.92834
212,212,2021,Berlin,East,No,0.24019,44,9826,0.14089,0.3365
213,213,2021,Brandenburg,East,Yes,0.78169,294,9826,0.69408,0.88936
214,214,2021,Brandenburg,East,No,0.21831,104,9826,0.17975,0.26214
215,215,2021,Mecklenburg-Western Pomerania,East,Yes,0.79555,188,9826,0.67089,0.93299
216,216,2021,Mecklenburg-Western Pomerania,East,No,0.20445,47,9826,0.13754,0.27571
217,217,2021,Saxony,East,Yes,0.62831,463,9826,0.57383,0.70167
218,218,2021,Saxony,East,No,0.37169,203,9826,0.31324,0.42976
219,219,2021,Saxony-Anhalt,East,Yes,0.69997,236,9826,0.58738,0.8268
220,220,2021,Saxony-Anhalt,East,No,0.30003,97,9826,0.20945,0.3651
221,221,2021,Thuringa,East,Yes,0.70679,249,9826,0.58587,0.82296
222,222,2021,Thuringa,East,No,0.29321,100,9826,0.23024,0.3671
