"plh0040","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1994","Bayern","Staedtischer Raum","366","0.444593545258591","0.409608351968373","0.479578738548809"
"Einige Sorgen","1994","Bayern","Laendlicher Raum","389","0.485571782322656","0.450916949094719","0.520226615550593"
"Einige Sorgen","1994","Saarland","Staedtischer Raum","","","",""
"Einige Sorgen","1994","Saarland","Laendlicher Raum","","","",""
"Einige Sorgen","1994","Berlin","Staedtischer Raum","164","0.312500791421622","0.273692951175438","0.351308631667805"
"Einige Sorgen","1994","Berlin","Laendlicher Raum","","","",""
"Einige Sorgen","1994","Brandenburg","Staedtischer Raum","20","","",""
"Einige Sorgen","1994","Brandenburg","Laendlicher Raum","120","0.200177575340588","0.16661492332612","0.233740227355057"
"Einige Sorgen","1994","Mecklenburg-Vorpommern","Staedtischer Raum","12","","",""
"Einige Sorgen","1994","Mecklenburg-Vorpommern","Laendlicher Raum","102","0.257517801955851","0.211902832395545","0.303132771516158"
"Einige Sorgen","1994","Sachsen","Staedtischer Raum","131","0.20442095317133","0.171685512889836","0.237156393452823"
"Einige Sorgen","1994","Sachsen","Laendlicher Raum","147","0.238795094930983","0.202934980905463","0.274655208956503"
"Einige Sorgen","1994","Sachsen-Anhalt","Staedtischer Raum","34","0.209785636424912","0.145893688881416","0.273677583968409"
"Einige Sorgen","1994","Sachsen-Anhalt","Laendlicher Raum","140","0.236321122482162","0.200654950482658","0.271987294481666"
"Einige Sorgen","1994","Thueringen","Staedtischer Raum","59","0.296965037392517","0.23199510527309","0.361934969511943"
"Einige Sorgen","1994","Thueringen","Laendlicher Raum","131","0.275074113433525","0.234788613562271","0.315359613304778"
"Keine Sorgen","1994","Schleswig-Holstein","Staedtischer Raum","8","","",""
"Keine Sorgen","1994","Schleswig-Holstein","Laendlicher Raum","9","","",""
"Keine Sorgen","1994","Hamburg","Staedtischer Raum","7","","",""
"Keine Sorgen","1994","Hamburg","Laendlicher Raum","","","",""
"Keine Sorgen","1994","Niedersachsen","Staedtischer Raum","15","","",""
"Keine Sorgen","1994","Niedersachsen","Laendlicher Raum","24","","",""
"Keine Sorgen","1994","Bremen","Staedtischer Raum","6","","",""
"Keine Sorgen","1994","Bremen","Laendlicher Raum","","","",""
"Keine Sorgen","1994","Nordrhein-Westfalen","Staedtischer Raum","108","0.0380700573102505","0.0303770350831575","0.0457630795373436"
"Keine Sorgen","1994","Nordrhein-Westfalen","Laendlicher Raum","1","","",""
"Keine Sorgen","1994","Hessen","Staedtischer Raum","39","0.0446634863794855","0.0302501644066577","0.0590768083523133"
"Keine Sorgen","1994","Hessen","Laendlicher Raum","2","","",""
"Keine Sorgen","1994","Rheinland-Pfalz,Saarland","Staedtischer Raum","17","","",""
"Keine Sorgen","1994","Rheinland-Pfalz,Saarland","Laendlicher Raum","1","","",""
"Keine Sorgen","1994","Baden-Wuerttemberg","Staedtischer Raum","87","0.0488557662444763","0.0379757755360712","0.0597357569528813"
"Keine Sorgen","1994","Baden-Wuerttemberg","Laendlicher Raum","15","","",""
"Keine Sorgen","1994","Bayern","Staedtischer Raum","85","0.107934149564014","0.0860879883661303","0.129780310761897"
"Keine Sorgen","1994","Bayern","Laendlicher Raum","64","0.0614080628104672","0.0447614526318432","0.0780546729890913"
"Keine Sorgen","1994","Saarland","Staedtischer Raum","","","",""
"Keine Sorgen","1994","Saarland","Laendlicher Raum","","","",""
"Keine Sorgen","1994","Berlin","Staedtischer Raum","19","","",""
"Keine Sorgen","1994","Berlin","Laendlicher Raum","","","",""
"Keine Sorgen","1994","Brandenburg","Staedtischer Raum","2","","",""
"Keine Sorgen","1994","Brandenburg","Laendlicher Raum","7","","",""
"Keine Sorgen","1994","Mecklenburg-Vorpommern","Staedtischer Raum","1","","",""
"Keine Sorgen","1994","Mecklenburg-Vorpommern","Laendlicher Raum","2","","",""
"Keine Sorgen","1994","Sachsen","Staedtischer Raum","10","","",""
"Keine Sorgen","1994","Sachsen","Laendlicher Raum","5","","",""
"Keine Sorgen","1994","Sachsen-Anhalt","Staedtischer Raum","4","","",""
"Keine Sorgen","1994","Sachsen-Anhalt","Laendlicher Raum","6","","",""
"Keine Sorgen","1994","Thueringen","Staedtischer Raum","1","","",""
"Keine Sorgen","1994","Thueringen","Laendlicher Raum","7","","",""
"Grosse Sorgen","1995","Schleswig-Holstein","Staedtischer Raum","61","0.441540730853347","0.358989827749152","0.524091633957542"
"Grosse Sorgen","1995","Schleswig-Holstein","Laendlicher Raum","70","0.551951027751687","0.47044436938124","0.633457686122135"
"Grosse Sorgen","1995","Hamburg","Staedtischer Raum","56","0.471606519643767","0.386447676950166","0.556765362337369"
"Grosse Sorgen","1995","Hamburg","Laendlicher Raum","","","",""
"Grosse Sorgen","1995","Niedersachsen","Staedtischer Raum","274","0.585428628721882","0.542839067691524","0.62801818975224"
"Grosse Sorgen","1995","Niedersachsen","Laendlicher Raum","270","0.546416498393178","0.503461494094097","0.589371502692259"
"Grosse Sorgen","1995","Bremen","Staedtischer Raum","64","0.683478920808425","0.588436375446283","0.778521466170566"
"Grosse Sorgen","1995","Bremen","Laendlicher Raum","","","",""
"Grosse Sorgen","1995","Nordrhein-Westfalen","Staedtischer Raum","1279","0.510663545234899","0.491029054965229","0.530298035504568"
"Grosse Sorgen","1995","Nordrhein-Westfalen","Laendlicher Raum","24","","",""
"Grosse Sorgen","1995","Hessen","Staedtischer Raum","464","0.566654690824358","0.532230174167306","0.601079207481411"
"Grosse Sorgen","1995","Hessen","Laendlicher Raum","84","0.633369171517751","0.55382992268712","0.712908420348383"
"Grosse Sorgen","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","309","0.567495813961919","0.526860228088621","0.608131399835216"
"Grosse Sorgen","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","60","0.440817604097705","0.357067102469976","0.524568105725434"
"Grosse Sorgen","1995","Baden-Wuerttemberg","Staedtischer Raum","658","0.474770152720152","0.449966240378489","0.499574065061815"
"Grosse Sorgen","1995","Baden-Wuerttemberg","Laendlicher Raum","106","0.495133617753713","0.429066374701662","0.561200860805764"
"Grosse Sorgen","1995","Bayern","Staedtischer Raum","326","0.433370992223373","0.399287083193036","0.467454901253711"
"Grosse Sorgen","1995","Bayern","Laendlicher Raum","419","0.517508378548214","0.483994650862877","0.551022106233551"
"Grosse Sorgen","1995","Saarland","Staedtischer Raum","","","",""
"Grosse Sorgen","1995","Saarland","Laendlicher Raum","","","",""
"Grosse Sorgen","1995","Berlin","Staedtischer Raum","364","0.655630980339888","0.616485498238292","0.694776462441484"
"Grosse Sorgen","1995","Berlin","Laendlicher Raum","","","",""
"Grosse Sorgen","1995","Brandenburg","Staedtischer Raum","10","","",""
"Grosse Sorgen","1995","Brandenburg","Laendlicher Raum","391","0.724491162460118","0.687586757531452","0.761395567388785"
"Grosse Sorgen","1995","Mecklenburg-Vorpommern","Staedtischer Raum","44","0.831472444877159","0.73343014998085","0.929514739773468"
"Grosse Sorgen","1995","Mecklenburg-Vorpommern","Laendlicher Raum","229","0.646473282245633","0.596882564509415","0.696063999981851"
"Grosse Sorgen","1995","Sachsen","Staedtischer Raum","382","0.700706583764247","0.66321036616598","0.738202801362514"
"Grosse Sorgen","1995","Sachsen","Laendlicher Raum","363","0.711906695479296","0.672982061226419","0.750831329732174"
"Grosse Sorgen","1995","Sachsen-Anhalt","Staedtischer Raum","99","0.825850317566847","0.760151868148604","0.891548766985089"
"Grosse Sorgen","1995","Sachsen-Anhalt","Laendlicher Raum","415","0.77494715964276","0.740171810154011","0.809722509131509"
"Grosse Sorgen","1995","Thueringen","Staedtischer Raum","137","0.768375770557135","0.708071510775365","0.828680030338906"
"Grosse Sorgen","1995","Thueringen","Laendlicher Raum","327","0.732526749677511","0.691943958548267","0.773109540806755"
"Einige Sorgen","1995","Schleswig-Holstein","Staedtischer Raum","68","0.510575426913217","0.427473033725216","0.593677820101217"
"Einige Sorgen","1995","Schleswig-Holstein","Laendlicher Raum","60","0.387081018649482","0.307248001039044","0.46691403625992"
"Einige Sorgen","1995","Hamburg","Staedtischer Raum","72","0.486189889532793","0.400925947039755","0.571453832025831"
"Einige Sorgen","1995","Hamburg","Laendlicher Raum","","","",""
"Einige Sorgen","1995","Niedersachsen","Staedtischer Raum","225","0.392881599559687","0.350660059158135","0.43510313996124"
"Einige Sorgen","1995","Niedersachsen","Laendlicher Raum","222","0.410590139763995","0.368144195790696","0.453036083737295"
"Einige Sorgen","1995","Bremen","Staedtischer Raum","21","","",""
"Einige Sorgen","1995","Bremen","Laendlicher Raum","","","",""
"Einige Sorgen","1995","Nordrhein-Westfalen","Staedtischer Raum","1073","0.438375408781841","0.418886183886961","0.45786463367672"
"Einige Sorgen","1995","Nordrhein-Westfalen","Laendlicher Raum","43","0.586931518344398","0.470752342666014","0.703110694022781"
"Einige Sorgen","1995","Hessen","Staedtischer Raum","293","0.373118365344345","0.33952081266375","0.406715918024939"
"Einige Sorgen","1995","Hessen","Laendlicher Raum","52","0.332209834466501","0.254466209521949","0.409953459411053"
"Einige Sorgen","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","216","0.368498210804955","0.328931037851237","0.408065383758674"
"Einige Sorgen","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","64","0.492125164341201","0.407792204981166","0.576458123701236"
"Einige Sorgen","1995","Baden-Wuerttemberg","Staedtischer Raum","772","0.453848548246248","0.429119021444857","0.478578075047638"
"Einige Sorgen","1995","Baden-Wuerttemberg","Laendlicher Raum","94","0.449647449605349","0.383912957833259","0.51538194137744"
"Einige Sorgen","1995","Bayern","Staedtischer Raum","387","0.452950293367405","0.418712265287804","0.487188321447006"
"Einige Sorgen","1995","Bayern","Laendlicher Raum","393","0.432132068194639","0.398908132625423","0.465356003763855"
"Einige Sorgen","1995","Saarland","Staedtischer Raum","","","",""
"Einige Sorgen","1995","Saarland","Laendlicher Raum","","","",""
"Einige Sorgen","1995","Berlin","Staedtischer Raum","178","0.301194876519823","0.263399236350244","0.338990516689403"
"Einige Sorgen","1995","Berlin","Laendlicher Raum","","","",""
"Einige Sorgen","1995","Brandenburg","Staedtischer Raum","8","","",""
"Einige Sorgen","1995","Brandenburg","Laendlicher Raum","165","0.262848922704434","0.226488807835989","0.299209037572879"
"Einige Sorgen","1995","Mecklenburg-Vorpommern","Staedtischer Raum","10","","",""
"Einige Sorgen","1995","Mecklenburg-Vorpommern","Laendlicher Raum","123","0.337028035308325","0.287994345072401","0.38606172554425"
"Einige Sorgen","1995","Sachsen","Staedtischer Raum","182","0.281248766045495","0.244435411411832","0.318062120679158"
"Einige Sorgen","1995","Sachsen","Laendlicher Raum","149","0.271903618738806","0.233660936115566","0.310146301362046"
"Einige Sorgen","1995","Sachsen-Anhalt","Staedtischer Raum","28","","",""
"Einige Sorgen","1995","Sachsen-Anhalt","Laendlicher Raum","132","0.219263025640702","0.184809927309238","0.253716123972165"
"Einige Sorgen","1995","Thueringen","Staedtischer Raum","49","0.224735179630373","0.165068793313119","0.284401565947628"
"Einige Sorgen","1995","Thueringen","Laendlicher Raum","124","0.249880586628685","0.210186898598627","0.289574274658742"
"Keine Sorgen","1995","Schleswig-Holstein","Staedtischer Raum","10","","",""
"Keine Sorgen","1995","Schleswig-Holstein","Laendlicher Raum","13","","",""
"Keine Sorgen","1995","Hamburg","Staedtischer Raum","4","","",""
"Keine Sorgen","1995","Hamburg","Laendlicher Raum","","","",""
"Keine Sorgen","1995","Niedersachsen","Staedtischer Raum","15","","",""
"Keine Sorgen","1995","Niedersachsen","Laendlicher Raum","24","","",""
"Keine Sorgen","1995","Bremen","Staedtischer Raum","7","","",""
"Keine Sorgen","1995","Bremen","Laendlicher Raum","","","",""
"Keine Sorgen","1995","Nordrhein-Westfalen","Staedtischer Raum","138","0.0509610459832606","0.04232311751004","0.0595989744564812"
"Keine Sorgen","1995","Nordrhein-Westfalen","Laendlicher Raum","2","","",""
"Keine Sorgen","1995","Hessen","Staedtischer Raum","39","0.0602269438312972","0.0436997749562564","0.0767541127063381"
"Keine Sorgen","1995","Hessen","Laendlicher Raum","5","","",""
"Keine Sorgen","1995","Rheinland-Pfalz,Saarland","Staedtischer Raum","46","0.0640059752331261","0.0439299915236207","0.0840819589426315"
"Keine Sorgen","1995","Rheinland-Pfalz,Saarland","Laendlicher Raum","11","","",""
"Keine Sorgen","1995","Baden-Wuerttemberg","Staedtischer Raum","127","0.0713812990336005","0.0585929429310764","0.0841696551361246"
"Keine Sorgen","1995","Baden-Wuerttemberg","Laendlicher Raum","20","","",""
"Keine Sorgen","1995","Bayern","Staedtischer Raum","99","0.113678714409222","0.0918461252291039","0.135511303589339"
"Keine Sorgen","1995","Bayern","Laendlicher Raum","42","0.0503595532571475","0.0356926072950268","0.0650264992192682"
"Keine Sorgen","1995","Saarland","Staedtischer Raum","","","",""
"Keine Sorgen","1995","Saarland","Laendlicher Raum","","","",""
"Keine Sorgen","1995","Berlin","Staedtischer Raum","24","","",""
"Keine Sorgen","1995","Berlin","Laendlicher Raum","","","",""
"Keine Sorgen","1995","Brandenburg","Staedtischer Raum","1","","",""
"Keine Sorgen","1995","Brandenburg","Laendlicher Raum","7","","",""
"Keine Sorgen","1995","Mecklenburg-Vorpommern","Staedtischer Raum","2","","",""
"Keine Sorgen","1995","Mecklenburg-Vorpommern","Laendlicher Raum","5","","",""
"Keine Sorgen","1995","Sachsen","Staedtischer Raum","9","","",""
"Keine Sorgen","1995","Sachsen","Laendlicher Raum","8","","",""
"Keine Sorgen","1995","Sachsen-Anhalt","Staedtischer Raum","1","","",""
"Keine Sorgen","1995","Sachsen-Anhalt","Laendlicher Raum","7","","",""
"Keine Sorgen","1995","Thueringen","Staedtischer Raum","2","","",""
"Keine Sorgen","1995","Thueringen","Laendlicher Raum","6","","",""
"Grosse Sorgen","1996","Schleswig-Holstein","Staedtischer Raum","66","0.48181430909528","0.398447898541265","0.565180719649294"
"Grosse Sorgen","1996","Schleswig-Holstein","Laendlicher Raum","72","0.602789444947907","0.522307747309166","0.683271142586647"
"Grosse Sorgen","1996","Hamburg","Staedtischer Raum","78","0.692979612184046","0.612119019305609","0.773840205062483"
"Grosse Sorgen","1996","Hamburg","Laendlicher Raum","","","",""
"Grosse Sorgen","1996","Niedersachsen","Staedtischer Raum","282","0.59850919806428","0.555797577745014","0.641220818383547"
"Grosse Sorgen","1996","Niedersachsen","Laendlicher Raum","296","0.622472538213423","0.580846641562411","0.664098434864436"
"Grosse Sorgen","1996","Bremen","Staedtischer Raum","63","0.686596723514071","0.592318965471987","0.780874481556156"
"Grosse Sorgen","1996","Bremen","Laendlicher Raum","","","",""
"Grosse Sorgen","1996","Nordrhein-Westfalen","Staedtischer Raum","1280","0.517663047882718","0.497917036303083","0.537409059462352"
"Grosse Sorgen","1996","Nordrhein-Westfalen","Laendlicher Raum","30","0.498076327118791","0.37461111514363","0.621541539093952"
"Grosse Sorgen","1996","Hessen","Staedtischer Raum","445","0.57802328988444","0.542934154077026","0.613112425691853"
"Grosse Sorgen","1996","Hessen","Laendlicher Raum","80","0.578762638618618","0.496082443422004","0.661442833815231"
"Grosse Sorgen","1996","Rheinland-Pfalz,Saarland","Staedtischer Raum","316","0.598983983052541","0.557987143045515","0.639980823059566"
"Grosse Sorgen","1996","Rheinland-Pfalz,Saarland","Laendlicher Raum","65","0.476855443285292","0.392288638950427","0.561422247620157"
"Grosse Sorgen","1996","Baden-Wuerttemberg","Staedtischer Raum","692","0.531888330688342","0.506415083252092","0.557361578124593"
"Grosse Sorgen","1996","Baden-Wuerttemberg","Laendlicher Raum","114","0.588499734380284","0.522720766230604","0.654278702529964"
"Grosse Sorgen","1996","Bayern","Staedtischer Raum","316","0.453526947530964","0.418745580379879","0.488308314682049"
"Grosse Sorgen","1996","Bayern","Laendlicher Raum","451","0.563726265597217","0.530445964697747","0.597006566496688"
"Grosse Sorgen","1996","Saarland","Staedtischer Raum","","","",""
"Grosse Sorgen","1996","Saarland","Laendlicher Raum","","","",""
"Grosse Sorgen","1996","Berlin","Staedtischer Raum","375","0.707571114495481","0.668881356552969","0.746260872437994"
"Grosse Sorgen","1996","Berlin","Laendlicher Raum","","","",""
"Grosse Sorgen","1996","Brandenburg","Staedtischer Raum","17","","",""
"Grosse Sorgen","1996","Brandenburg","Laendlicher Raum","385","0.71925310559466","0.68213444924519","0.75637176194413"
"Grosse Sorgen","1996","Mecklenburg-Vorpommern","Staedtischer Raum","41","0.809580784305793","0.704859082100284","0.914302486511301"
"Grosse Sorgen","1996","Mecklenburg-Vorpommern","Laendlicher Raum","241","0.738723361933402","0.692025194394617","0.785421529472187"
"Grosse Sorgen","1996","Sachsen","Staedtischer Raum","407","0.733369724465342","0.696843051784301","0.769896397146384"
"Grosse Sorgen","1996","Sachsen","Laendlicher Raum","378","0.747597500025132","0.710788675699233","0.784406324351032"
"Grosse Sorgen","1996","Sachsen-Anhalt","Staedtischer Raum","119","0.828055236455194","0.767263945739024","0.888846527171363"
"Grosse Sorgen","1996","Sachsen-Anhalt","Laendlicher Raum","387","0.781236242825674","0.745669565877657","0.816802919773691"
"Grosse Sorgen","1996","Thueringen","Staedtischer Raum","133","0.739053237263826","0.676610043298032","0.801496431229621"
"Grosse Sorgen","1996","Thueringen","Laendlicher Raum","352","0.771488003632213","0.733284060348813","0.809691946915613"
"Einige Sorgen","1996","Schleswig-Holstein","Staedtischer Raum","61","0.445438463204921","0.362515029385724","0.528361897024118"
"Einige Sorgen","1996","Schleswig-Holstein","Laendlicher Raum","65","0.375103784243797","0.29547252399515","0.454735044492445"
"Einige Sorgen","1996","Hamburg","Staedtischer Raum","46","0.305515038236798","0.224765359411245","0.386264717062351"
"Einige Sorgen","1996","Hamburg","Laendlicher Raum","","","",""
"Einige Sorgen","1996","Niedersachsen","Staedtischer Raum","211","0.373959764628522","0.33180114384643","0.416118385410613"
"Einige Sorgen","1996","Niedersachsen","Laendlicher Raum","204","0.345199437670018","0.304375133511931","0.386023741828105"
"Einige Sorgen","1996","Bremen","Staedtischer Raum","26","","",""
"Einige Sorgen","1996","Bremen","Laendlicher Raum","","","",""
"Einige Sorgen","1996","Nordrhein-Westfalen","Staedtischer Raum","1066","0.434642382520049","0.415053566025215","0.454231199014883"
"Einige Sorgen","1996","Nordrhein-Westfalen","Laendlicher Raum","33","0.501923672881209","0.378458460906048","0.62538888485637"
"Einige Sorgen","1996","Hessen","Staedtischer Raum","290","0.38185560315011","0.347337230344296","0.416373975955923"
"Einige Sorgen","1996","Hessen","Laendlicher Raum","53","0.379730378263172","0.298463096390577","0.460997660135767"
"Einige Sorgen","1996","Rheinland-Pfalz,Saarland","Staedtischer Raum","211","0.365931194599545","0.325638173682915","0.406224215516176"
"Einige Sorgen","1996","Rheinland-Pfalz,Saarland","Laendlicher Raum","61","0.447783595249378","0.363588957369748","0.531978233129007"
"Einige Sorgen","1996","Baden-Wuerttemberg","Staedtischer Raum","720","0.435827232396836","0.410513126619991","0.46114133817368"
"Einige Sorgen","1996","Baden-Wuerttemberg","Laendlicher Raum","80","0.358085432593696","0.293999781105263","0.422171084082129"
"Einige Sorgen","1996","Bayern","Staedtischer Raum","385","0.442317132417157","0.407617789013641","0.477016475820673"
"Einige Sorgen","1996","Bayern","Laendlicher Raum","357","0.392348431997847","0.359581419442877","0.425115444552817"
"Einige Sorgen","1996","Saarland","Staedtischer Raum","","","",""
"Einige Sorgen","1996","Saarland","Laendlicher Raum","","","",""
"Einige Sorgen","1996","Berlin","Staedtischer Raum","135","0.256003806275915","0.218883683963606","0.293123928588224"
"Einige Sorgen","1996","Berlin","Laendlicher Raum","","","",""
"Einige Sorgen","1996","Brandenburg","Staedtischer Raum","11","","",""
"Einige Sorgen","1996","Brandenburg","Laendlicher Raum","171","0.26972329593273","0.23306292575051","0.306383666114949"
"Einige Sorgen","1996","Mecklenburg-Vorpommern","Staedtischer Raum","13","","",""
"Einige Sorgen","1996","Mecklenburg-Vorpommern","Laendlicher Raum","94","0.248742434084977","0.202793229077387","0.294691639092566"
"Einige Sorgen","1996","Sachsen","Staedtischer Raum","151","0.257350031931335","0.221238318929536","0.293461744933134"
"Einige Sorgen","1996","Sachsen","Laendlicher Raum","152","0.24130051868339","0.205044073457827","0.277556963908953"
"Einige Sorgen","1996","Sachsen-Anhalt","Staedtischer Raum","29","","",""
"Einige Sorgen","1996","Sachsen-Anhalt","Laendlicher Raum","124","0.20486607801542","0.170142890982725","0.239589265048115"
"Einige Sorgen","1996","Thueringen","Staedtischer Raum","56","0.25838172473122","0.196138455008999","0.32062499445344"
"Einige Sorgen","1996","Thueringen","Laendlicher Raum","106","0.220220997058534","0.182515538103877","0.257926456013191"
"Keine Sorgen","1996","Schleswig-Holstein","Staedtischer Raum","11","","",""
"Keine Sorgen","1996","Schleswig-Holstein","Laendlicher Raum","5","","",""
"Keine Sorgen","1996","Hamburg","Staedtischer Raum","1","","",""
"Keine Sorgen","1996","Hamburg","Laendlicher Raum","","","",""
"Keine Sorgen","1996","Niedersachsen","Staedtischer Raum","13","","",""
"Keine Sorgen","1996","Niedersachsen","Laendlicher Raum","21","","",""
"Keine Sorgen","1996","Bremen","Staedtischer Raum","4","","",""
"Keine Sorgen","1996","Bremen","Laendlicher Raum","","","",""
"Keine Sorgen","1996","Nordrhein-Westfalen","Staedtischer Raum","114","0.0476945695972334","0.0392728042841313","0.0561163349103356"
"Keine Sorgen","1996","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Keine Sorgen","1996","Hessen","Staedtischer Raum","26","","",""
"Keine Sorgen","1996","Hessen","Laendlicher Raum","4","","",""
"Keine Sorgen","1996","Rheinland-Pfalz,Saarland","Staedtischer Raum","22","","",""
"Keine Sorgen","1996","Rheinland-Pfalz,Saarland","Laendlicher Raum","8","","",""
"Keine Sorgen","1996","Baden-Wuerttemberg","Staedtischer Raum","62","0.0322844369148222","0.0232610450100721","0.0413078288195723"
"Keine Sorgen","1996","Baden-Wuerttemberg","Laendlicher Raum","21","","",""
"Keine Sorgen","1996","Bayern","Staedtischer Raum","86","0.104155920051879","0.08281471598188","0.125497124121879"
"Keine Sorgen","1996","Bayern","Laendlicher Raum","45","0.0439253024049357","0.0301729539509168","0.0576776508589547"
"Keine Sorgen","1996","Saarland","Staedtischer Raum","","","",""
