"plh0040","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","2012","Ostdeutschland","1755","","",""
"Grosse Sorgen","2012","Westdeutschland","4556","0.296457485906497","0.289280543400832","0.303634428412162"
"Keine Sorgen","2012","Ostdeutschland","777","0.154985022001708","0.14477911530253","0.165190928700885"
"Keine Sorgen","2012","Westdeutschland","3288","0.211782241576505","0.205361562528635","0.218202920624375"
"Einige Sorgen","2013","Ostdeutschland","2165","","",""
"Einige Sorgen","2013","Westdeutschland","7136","0.495964717912914","0.487778546089295","0.504150889736533"
"Grosse Sorgen","2013","Ostdeutschland","1618","","",""
"Grosse Sorgen","2013","Westdeutschland","4138","0.287810057338393","0.280397366334829","0.295222748341957"
"Keine Sorgen","2013","Ostdeutschland","652","0.144027924575402","0.133694258378441","0.154361590772363"
"Keine Sorgen","2013","Westdeutschland","3056","0.216225224748693","0.209485008730815","0.22296544076657"
"Einige Sorgen","2014","Ostdeutschland","2657","","",""
"Einige Sorgen","2014","Westdeutschland","10534","","",""
"Grosse Sorgen","2014","Ostdeutschland","2013","","",""
"Grosse Sorgen","2014","Westdeutschland","6420","0.303464185555612","0.297302513159452","0.309625857951773"
"Keine Sorgen","2014","Ostdeutschland","889","0.150253283912039","0.140860237077475","0.159646330746602"
"Keine Sorgen","2014","Westdeutschland","4433","0.207212550700132","0.201780553120508","0.212644548279755"
"Einige Sorgen","2015","Ostdeutschland","2245","","",""
"Einige Sorgen","2015","Westdeutschland","9472","0.464329118443895","0.45735632672701","0.471301910160781"
"Grosse Sorgen","2015","Ostdeutschland","2259","","",""
"Grosse Sorgen","2015","Westdeutschland","6688","0.358430007080036","0.351725468173907","0.365134545986164"
"Keine Sorgen","2015","Ostdeutschland","716","0.120425343070891","0.1115964117314","0.129254274410382"
"Keine Sorgen","2015","Westdeutschland","3492","0.177240874476069","0.171901836508229","0.182579912443909"
"Einige Sorgen","2016","Ostdeutschland","1867","","",""
"Einige Sorgen","2016","Westdeutschland","7997","0.417563160748699","0.410560496388912","0.424565825108487"
"Grosse Sorgen","2016","Ostdeutschland","2686","","",""
"Grosse Sorgen","2016","Westdeutschland","8560","0.454734419829435","0.447663746702184","0.461805092956686"
"Keine Sorgen","2016","Ostdeutschland","455","0.0809253745327219","0.0733721276885505","0.0884786213768933"
"Keine Sorgen","2016","Westdeutschland","2495","","",""
"Einige Sorgen","2017","Ostdeutschland","2067","","",""
