"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","Städtischer Raum","Ostdeutschland","349.18","325.5","712","193","260","420","520","823","337.68","360.68","33","1600","325","348"
"2002","Städtischer Raum","Westdeutschland","432.39","399.5","3656","240","310","519","651","1084","425.02","439.76","25","3360","410","425"
"2003","Ländlicher Raum","Ostdeutschland","323.91","298.5","888","175","240","375","500","862","314.46","333.36","27","1073","306","327"
"2003","Ländlicher Raum","Westdeutschland","389.71","356.5","683","208","280","475","600","920","375.99","403.43","40","1510","363","400"
"2003","Städtischer Raum","Ostdeutschland","355.37","331.5","706","205","263","419","530","889","343.98","366.76","85","1650","333","351"
"2003","Städtischer Raum","Westdeutschland","443.26","402.5","3513","250","315","532","680","1122","435.91","450.61","15","2310","419","434"
"2004","Ländlicher Raum","Ostdeutschland","321.48","301.5","852","170","234","378","480","850","311.68","331.28","30","1360","305","320"
"2004","Ländlicher Raum","Westdeutschland","397.86","374","668","224","290","490","605","860","384.25","411.47","30","1350","375","404"
"2004","Städtischer Raum","Ostdeutschland","356.11","332.5","694","200","271","420","528","900","344.16","368.06","61","1750","339","361"
"2004","Städtischer Raum","Westdeutschland","456.14","416.5","3406","258","323","544","693","1188","448.69","463.59","16","2300","430","447"
"2005","Ländlicher Raum","Ostdeutschland","325.56","299","819","179","245","387","480","770","316.27","334.85","60","1050","307","324"
"2005","Ländlicher Raum","Westdeutschland","404.76","369","638","225","297","490","635","1000","391","418.52","50","1289","370","400"
"2005","Städtischer Raum","Ostdeutschland","372.15","340.5","663","226","280","440","550","900","360.33","383.97","56","1950","348","367"
"2005","Städtischer Raum","Westdeutschland","459.84","418.5","3331","253","325","548","709","1220","451.87","467.81","50","3973","430","447"
"2006","Ländlicher Raum","Ostdeutschland","323.24","299.5","902","187","250","378","478","787","314.78","331.7","80","950","304","322"
"2006","Ländlicher Raum","Westdeutschland","403.44","378.5","745","240","295","480","610","890","391.36","415.52","45","1200","380","406"
"2006","Städtischer Raum","Ostdeutschland","373.33","349","699","212","280","447","552","900","362.8","383.86","93","1100","350","370"
"2006","Städtischer Raum","Westdeutschland","461.83","419.5","3539","256","325","550","719","1202","453.5","470.16","30","6700","430","443"
"2007","Ländlicher Raum","Ostdeutschland","326.22","307.5","833","191","248","386","481","833","317.18","335.26","48","1120","310","323"
"2007","Ländlicher Raum","Westdeutschland","404.71","377.5","694","225","292","490","620","877","391.81","417.61","59","1250","380","410"
"2007","Städtischer Raum","Ostdeutschland","382","358.5","670","220","290","451","550","883","371.13","392.87","57","1050","356","383"
"2007","Städtischer Raum","Westdeutschland","468.68","422.5","3258","260","330","554","720","1250","459.55","477.81","37","6700","439","450"
"2008","Ländlicher Raum","Ostdeutschland","325.34","309.5","779","192","255","380","470","725","316.14","334.54","20","965","317","335"
"2008","Ländlicher Raum","Westdeutschland","407.27","379","646","225","298","487","620","935","394.06","420.48","49","1350","375","405"
"2008","Städtischer Raum","Ostdeutschland","391.27","359","664","225","290","460","590","900","380.04","402.5","22","1140","360","385"
"2008","Städtischer Raum","Westdeutschland","476.97","434.5","3009","267","339","560","730","1238","467.19","486.75","30","7318","450","460"
"2009","Ländlicher Raum","Ostdeutschland","331.71","314.5","733","201","255","392","480","704","322.14","341.28","70","1110","320","340"
"2009","Ländlicher Raum","Westdeutschland","412.5","389.5","637","230","302","499","626","1100","398.13","426.87","50","2000","380","406"
"2009","Städtischer Raum","Ostdeutschland","384.24","359.5","635","222","290","450","561","901","373","395.48","60","1200","360","381"
"2009","Städtischer Raum","Westdeutschland","486.85","444.5","2779","266","348","575","750","1300","477.38","496.32","11","5040","450","466"
"2010","Ländlicher Raum","Ostdeutschland","338.69","319","978","212","265","391","485","710","330.16","347.22","70","1185","340","361"
"2010","Ländlicher Raum","Westdeutschland","414.09","394.5","1066","235","300","490","625","861","403.93","424.25","50","1400","420","440"
"2010","Städtischer Raum","Ostdeutschland","387.51","364.5","825","232","299","457","554","820","376.47","398.55","32","1650","380","400"
"2010","Städtischer Raum","Westdeutschland","494.09","449.5","4209","277","350","588","750","1250","486.47","501.71","20","4700","480","497"
"2011","Ländlicher Raum","Ostdeutschland","345.69","326.5","1193","216","265","401","500","869","338.35","353.03","42","1190","340","355"
"2011","Ländlicher Raum","Westdeutschland","414.4","396.5","1355","230","309","500","620","930","405.25","423.55","7","1823","417","436"
"2011","Städtischer Raum","Ostdeutschland","388.38","369.5","1001","230","290","470","574","869","377.91","398.85","73","1840","387","404"
"2011","Städtischer Raum","Westdeutschland","496.54","454.5","4883","272","354","590","750","1200","489.42","503.66","7","4612","490","500"
"2012","Ländlicher Raum","Ostdeutschland","346.01","326.5","1213","224","265","402","490","724","338.33","353.69","70","1240","346","360"
"2012","Ländlicher Raum","Westdeutschland","426.29","401.5","1354","243","305","510","643","900","416.56","436.02","46","2185","425","448"
"2012","Städtischer Raum","Ostdeutschland","394.74","371.5","992","220","290","473","580","900","382.93","406.55","81","2550","390","406"
"2012","Städtischer Raum","Westdeutschland","504.44","460.5","4708","281","351","600","770","1210","497.13","511.75","17","4840","495","503"
"2013","Ländlicher Raum","Ostdeutschland","354.11","329.5","1198","218","271","410","517","800","346.04","362.18","43","1310","350","365"
"2013","Ländlicher Raum","Westdeutschland","430.44","409.5","1607","240","320","515","635","943","421.29","439.59","15","2005","430","450"
"2013","Städtischer Raum","Ostdeutschland","393.97","373.5","1018","224","290","469","560","960","382.8","405.14","75","1800","396","415"
"2013","Städtischer Raum","Westdeutschland","514.69","469.5","5908","282","365","605","790","1318","508.06","521.32","5","5000","500","515"
"2014","Ländlicher Raum","Ostdeutschland","314.68","289","1110","170","228","385","485","850","305.71","323.65","0","1210","315","335"
"2014","Ländlicher Raum","Westdeutschland","394.77","372.5","1386","190","270","485","617","1080","383.42","406.12","0","2900","390","408"
"2014","Städtischer Raum","Ostdeutschland","381.64","358.5","931","204","271","455","560","995","368.26","395.02","25","2700","373","396"
"2014","Städtischer Raum","Westdeutschland","484.34","432.5","4990","230","320","597","770","1360","476.54","492.14","0","5700","468","480"
"2015","Ländlicher Raum","Ostdeutschland","338.08","308.5","1045","192","250","401","523","755","328.62","347.54","0","1205","336","352"
"2015","Ländlicher Raum","Westdeutschland","424.12","399.5","1472","215","300","520","643","1098","413.21","435.03","0","2680","420","443"
"2015","Städtischer Raum","Ostdeutschland","401.41","374.5","926","220","291","482","601","984","388.31","414.51","34","1821","391","419"
"2015","Städtischer Raum","Westdeutschland","525.77","469.5","5182","260","350","630","840","1550","517.77","533.77","0","4920","500","519"
"2016","Ländlicher Raum","Ostdeutschland","366.89","344.5","969","230","280","430","529","800","357.59","376.19","34","1250","373","390"
"2016","Ländlicher Raum","Westdeutschland","464.91","429","1265","262","335","550","680","1170","453.52","476.3","30","2310","455","480"
