year,quintil_oecd_hh,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,,West,540,279.8613485748863,275.03068482129794,284.6920123284746,196.0,258.0,332.0,13.0,536.0,258.0,240.0,265.025
1991,,West,265,320.8754538581758,312.4211456718608,329.32976204449074,221.42193273379976,292.0,402.7070137447606,0.0,674.6346352612019,292.0,278.0,307.0
1991,,West,84,400.4039210877569,379.6629984645274,421.1448437109864,255.0,378.1902425455246,511.0,72.0,895.0,379.0,311.0,452.0
1992,,West,891,239.34542132664387,235.84055891121307,242.85028374207468,164.0,219.0,296.0,10.0,494.0,219.0,208.0,228.0
1992,,East,938,102.5085581677261,101.17598601770912,103.84113031774307,74.0,98.0,121.0,5.0,191.5,98.0,95.0,100.025
1992,,West,868,260.2954991597786,256.613824549743,263.9771737698142,184.0,244.0,317.0,0.0,516.5,244.0,233.0,257.0
1992,,East,281,128.44708639979376,125.75756964645501,131.1366031531325,95.0,118.0,146.08705501191898,26.0,222.71763752979746,118.0,112.0,123.0
1992,,West,600,289.36602866073946,284.1595189583362,294.5725383631427,201.0,260.58488446301874,348.0,40.0,568.5,261.0,244.95,280.025
1992,,East,70,135.66942658191465,129.24106059764682,142.09779256618248,97.0,126.20852024983843,157.76413250253918,12.0,248.91033125634794,126.0,114.94999999999999,148.0
1992,,West,331,348.2790980194668,340.3502093971659,356.2079866417677,245.0,322.0,434.78530866377673,5.0,719.4632716594418,322.0,303.95,343.0
1992,,East,36,134.53913559473847,127.43855470783755,141.6397164816394,102.0,124.01546285349697,148.61165735002425,76.0,218.5291433750606,125.0,105.0,146.0
1992,,West,82,395.44929048338724,374.40276262263285,416.49581834414164,255.0,358.3042515485104,485.0,125.0,830.0,361.0,325.69999999999993,418.0
1992,,East,,,,,,,,,,,,
1993,,West,842,252.51039588548463,248.62787788482612,256.3929138861431,179.0,230.0,306.0,0.0,496.5,230.0,222.95,241.0
1993,,East,712,157.09170367471,154.95330469426847,159.23010265515154,118.0,155.62247160831814,187.0,14.5,290.5,156.0,152.0,161.0
1993,,West,802,282.359474401267,278.449785213771,286.269163588763,204.0,261.7103576782556,332.0,46.0,524.0,262.0,251.0,269.0
