year,bula_h,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Lower Saxony,Tenant,No,0.87594,384,435,0.84493,0.90696
2006,Bremen,Tenant,No,0.93727,46,46,0.86643,1.00812
2006,North Rhine-Westphalia,Owner,Yes,0.11766,155,1204,0.09945,0.13587
2006,North Rhine-Westphalia,Owner,No,0.88234,1049,1204,0.86413,0.90055
2006,North Rhine-Westphalia,Tenant,Yes,0.11776,166,1334,0.10046,0.13506
2006,North Rhine-Westphalia,Tenant,No,0.88224,1168,1334,0.86494,0.89954
2006,Hesse,Owner,Yes,0.14910,75,426,0.11523,0.18296
2006,Hesse,Owner,No,0.85090,351,426,0.81704,0.88477
2006,Hesse,Tenant,Yes,0.13267,57,419,0.10015,0.16518
2006,Hesse,Tenant,No,0.86733,362,419,0.83482,0.89985
2006,"Rhineland-Palatinate, Saarland",Owner,Yes,0.20079,89,408,0.16187,0.23970
2006,"Rhineland-Palatinate, Saarland",Owner,No,0.79921,319,408,0.76030,0.83813
2006,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.14778,47,319,0.10877,0.18678
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.85222,272,319,0.81322,0.89123
2006,Baden-Wuerttemberg,Owner,Yes,0.14395,119,786,0.11939,0.16851
2006,Baden-Wuerttemberg,Owner,No,0.85605,667,786,0.83149,0.88061
2006,Baden-Wuerttemberg,Tenant,Yes,0.12414,89,687,0.09946,0.14881
2006,Baden-Wuerttemberg,Tenant,No,0.87586,598,687,0.85119,0.90054
2006,Bavaria,Owner,Yes,0.19522,201,971,0.17027,0.22016
2006,Bavaria,Owner,No,0.80478,770,971,0.77984,0.82973
2006,Bavaria,Tenant,Yes,0.14617,132,759,0.12102,0.17132
2006,Bavaria,Tenant,No,0.85383,627,759,0.82868,0.87898
2006,Berlin,Owner,No,0.91554,75,75,0.85218,0.97890
2006,Berlin,Tenant,Yes,0.10557,56,397,0.07530,0.13583
2006,Berlin,Tenant,No,0.89443,341,397,0.86417,0.92470
2006,Brandenburg,Owner,Yes,0.37580,76,217,0.31121,0.44039
2006,Brandenburg,Owner,No,0.62420,141,217,0.55961,0.68879
2006,Brandenburg,Tenant,Yes,0.20861,68,315,0.16367,0.25356
2006,Brandenburg,Tenant,No,0.79139,247,315,0.74644,0.83633
2006,Mecklenburg-Western Pomerania,Owner,Yes,0.31167,41,138,0.23411,0.38923
2006,Mecklenburg-Western Pomerania,Owner,No,0.68833,97,138,0.61077,0.76589
2006,Mecklenburg-Western Pomerania,Tenant,No,0.91704,148,148,0.87246,0.96163
2006,Saxony,Owner,Yes,0.29886,107,343,0.25034,0.34737
2006,Saxony,Owner,No,0.70114,236,343,0.65263,0.74966
2006,Saxony,Tenant,Yes,0.16631,84,534,0.13470,0.19792
2006,Saxony,Tenant,No,0.83369,450,534,0.80208,0.86530
2006,Saxony-Anhalt,Owner,Yes,0.36641,82,222,0.30288,0.42993
2006,Saxony-Anhalt,Owner,No,0.63359,140,222,0.57007,0.69712
2006,Saxony-Anhalt,Tenant,Yes,0.11776,38,270,0.07924,0.15628
2006,Saxony-Anhalt,Tenant,No,0.88224,232,270,0.84372,0.92076
2006,Thuringa,Owner,Yes,0.24121,77,264,0.18950,0.29291
2006,Thuringa,Owner,No,0.75879,187,264,0.70709,0.81050
2006,Thuringa,Tenant,Yes,0.11381,35,251,0.07445,0.15318
2006,Thuringa,Tenant,No,0.88619,216,251,0.84682,0.92555
2011,Schleswig-Holstein,Owner,Yes,0.19802,41,196,0.14209,0.25396
2011,Schleswig-Holstein,Owner,No,0.80198,155,196,0.74604,0.85791
2011,Schleswig-Holstein,Tenant,Yes,0.13332,33,210,0.08724,0.17941
2011,Schleswig-Holstein,Tenant,No,0.86668,177,210,0.82059,0.91276
2011,Hamburg,Owner,No,0.94723,44,44,0.88041,1.01406
2011,Hamburg,Tenant,No,0.87046,132,132,0.81296,0.92796
2011,Lower Saxony,Owner,Yes,0.14692,110,658,0.11985,0.17399
2011,Lower Saxony,Owner,No,0.85308,548,658,0.82601,0.88015
2011,Lower Saxony,Tenant,Yes,0.12257,55,429,0.09150,0.15364
2011,Lower Saxony,Tenant,No,0.87743,374,429,0.84636,0.90850
2011,Bremen,Tenant,No,0.88857,47,47,0.79764,0.97951
2011,North Rhine-Westphalia,Owner,Yes,0.12483,151,1136,0.10560,0.14406
2011,North Rhine-Westphalia,Owner,No,0.87517,985,1136,0.85594,0.89440
2011,North Rhine-Westphalia,Tenant,Yes,0.12870,168,1217,0.10987,0.14752
2011,North Rhine-Westphalia,Tenant,No,0.87130,1049,1217,0.85248,0.89013
2011,Hesse,Owner,Yes,0.13056,74,434,0.09882,0.16229
2011,Hesse,Owner,No,0.86944,360,434,0.83771,0.90118
2011,Hesse,Tenant,Yes,0.14492,63,396,0.11021,0.17964
2011,Hesse,Tenant,No,0.85508,333,396,0.82036,0.88979
2011,"Rhineland-Palatinate, Saarland",Owner,Yes,0.14626,71,408,0.11193,0.18059
2011,"Rhineland-Palatinate, Saarland",Owner,No,0.85374,337,408,0.81941,0.88807
2011,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.16410,65,302,0.12226,0.20594
2011,"Rhineland-Palatinate, Saarland",Tenant,No,0.83590,237,302,0.79406,0.87774
2011,Baden-Wuerttemberg,Owner,Yes,0.16349,140,800,0.13785,0.18913
2011,Baden-Wuerttemberg,Owner,No,0.83651,660,800,0.81087,0.86215
2011,Baden-Wuerttemberg,Tenant,Yes,0.11647,85,601,0.09080,0.14214
2011,Baden-Wuerttemberg,Tenant,No,0.88353,516,601,0.85786,0.90920
2011,Bavaria,Owner,Yes,0.23266,231,1016,0.20667,0.25866
2011,Bavaria,Owner,No,0.76734,785,1016,0.74134,0.79333
2011,Bavaria,Tenant,Yes,0.13519,140,823,0.11182,0.15857
2011,Bavaria,Tenant,No,0.86481,683,823,0.84143,0.88818
2011,Berlin,Owner,No,0.87913,82,82,0.80815,0.95012
2011,Berlin,Tenant,Yes,0.08267,55,415,0.05614,0.10919
2011,Berlin,Tenant,No,0.91733,360,415,0.89081,0.94386
2011,Brandenburg,Owner,Yes,0.35684,77,234,0.29533,0.41835
2011,Brandenburg,Owner,No,0.64316,157,234,0.58165,0.70467
2011,Brandenburg,Tenant,Yes,0.13482,50,284,0.09503,0.17462
2011,Brandenburg,Tenant,No,0.86518,234,284,0.82538,0.90497
2011,Mecklenburg-Western Pomerania,Owner,Yes,0.30043,38,126,0.22006,0.38080
2011,Mecklenburg-Western Pomerania,Owner,No,0.69957,88,126,0.61920,0.77994
2011,Mecklenburg-Western Pomerania,Tenant,No,0.93556,171,171,0.89865,0.97247
2011,Saxony,Owner,Yes,0.30007,91,299,0.24804,0.35211
2011,Saxony,Owner,No,0.69993,208,299,0.64789,0.75196
2011,Saxony,Tenant,Yes,0.17024,81,509,0.13755,0.20292
2011,Saxony,Tenant,No,0.82976,428,509,0.79708,0.86245
2011,Saxony-Anhalt,Owner,Yes,0.29324,76,228,0.23401,0.35246
2011,Saxony-Anhalt,Owner,No,0.70676,152,228,0.64754,0.76599
2011,Saxony-Anhalt,Tenant,Yes,0.11354,35,281,0.07638,0.15070
2011,Saxony-Anhalt,Tenant,No,0.88646,246,281,0.84930,0.92362
2011,Thuringa,Owner,Yes,0.29457,73,235,0.23616,0.35298
2011,Thuringa,Owner,No,0.70543,162,235,0.64702,0.76384
2011,Thuringa,Tenant,Yes,0.14124,42,284,0.10067,0.18182
2011,Thuringa,Tenant,No,0.85876,242,284,0.81818,0.89933
2016,Schleswig-Holstein,Owner,Yes,0.22528,53,235,0.17175,0.27881
2016,Schleswig-Holstein,Owner,No,0.77472,182,235,0.72119,0.82825
2016,Schleswig-Holstein,Tenant,Yes,0.19653,62,268,0.14887,0.24420
2016,Schleswig-Holstein,Tenant,No,0.80347,206,268,0.75580,0.85113
2016,Hamburg,Owner,No,0.91306,65,65,0.84403,0.98209
2016,Hamburg,Tenant,No,0.86419,164,164,0.81160,0.91679
2016,Lower Saxony,Owner,Yes,0.14218,129,693,0.11616,0.16820
2016,Lower Saxony,Owner,No,0.85782,564,693,0.83180,0.88384
2016,Lower Saxony,Tenant,Yes,0.13225,103,655,0.10628,0.15821
2016,Lower Saxony,Tenant,No,0.86775,552,655,0.84179,0.89372
2016,Bremen,Tenant,No,0.81178,59,59,0.71119,0.91238
2016,North Rhine-Westphalia,Owner,Yes,0.13669,166,1216,0.11738,0.15601
2016,North Rhine-Westphalia,Owner,No,0.86331,1050,1216,0.84399,0.88262
2016,North Rhine-Westphalia,Tenant,Yes,0.12106,231,1691,0.10551,0.13661
2016,North Rhine-Westphalia,Tenant,No,0.87894,1460,1691,0.86339,0.89449
2016,Hesse,Owner,Yes,0.11876,74,426,0.08800,0.14951
2016,Hesse,Owner,No,0.88124,352,426,0.85049,0.91200
2016,Hesse,Tenant,Yes,0.14009,73,552,0.11111,0.16907
2016,Hesse,Tenant,No,0.85991,479,552,0.83093,0.88889
2016,"Rhineland-Palatinate, Saarland",Owner,Yes,0.12688,76,442,0.09581,0.15794
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.87312,366,442,0.84206,0.90419
2016,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.18402,68,406,0.14628,0.22176
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.81598,338,406,0.77824,0.85372
2016,Baden-Wuerttemberg,Owner,Yes,0.14334,158,854,0.11982,0.16686
2016,Baden-Wuerttemberg,Owner,No,0.85666,696,854,0.83314,0.88018
2016,Baden-Wuerttemberg,Tenant,Yes,0.10619,115,773,0.08446,0.12792
2016,Baden-Wuerttemberg,Tenant,No,0.89381,658,773,0.87208,0.91554
2016,Bavaria,Owner,Yes,0.20924,270,1099,0.18518,0.23330
