,Unnamed: 0,year,quintil_oecd_hh,regtyp,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
67,67,2011,2nd Quintile,Rural regions,No,0.80559,720,12081,0.75865,0.86185
68,68,2011,3rd Quintile,Urban regions,Yes,0.14031,233,12081,0.12494,0.15866
69,69,2011,3rd Quintile,Urban regions,No,0.85969,1203,12081,0.82552,0.89547
70,70,2011,3rd Quintile,Rural regions,Yes,0.21351,220,12081,0.18888,0.24354
71,71,2011,3rd Quintile,Rural regions,No,0.78649,723,12081,0.74418,0.83974
72,72,2011,4th Quintile,Urban regions,Yes,0.13967,235,12081,0.12361,0.15435
73,73,2011,4th Quintile,Urban regions,No,0.86033,1388,12081,0.82723,0.89814
74,74,2011,4th Quintile,Rural regions,Yes,0.1834,167,12081,0.15947,0.21157
75,75,2011,4th Quintile,Rural regions,No,0.8166,624,12081,0.76399,0.8731
76,76,2011,5th Quintile,Urban regions,Yes,0.14472,340,12081,0.13192,0.15915
77,77,2011,5th Quintile,Urban regions,No,0.85528,1731,12081,0.81774,0.89497
78,78,2011,5th Quintile,Rural regions,Yes,0.23403,174,12081,0.20427,0.27602
79,79,2011,5th Quintile,Rural regions,No,0.76597,542,12081,0.6946,0.83608
80,80,2016,1st Quintile,Urban regions,Yes,0.11432,270,14297,0.09828,0.12856
81,81,2016,1st Quintile,Urban regions,No,0.88568,1682,14297,0.84038,0.94029
82,82,2016,1st Quintile,Rural regions,Yes,0.19987,264,14297,0.17235,0.22668
83,83,2016,1st Quintile,Rural regions,No,0.80013,849,14297,0.74218,0.86738
84,84,2016,2nd Quintile,Urban regions,Yes,0.1452,330,14297,0.12833,0.16553
85,85,2016,2nd Quintile,Urban regions,No,0.8548,1579,14297,0.80678,0.8999
86,86,2016,2nd Quintile,Rural regions,Yes,0.20304,286,14297,0.17797,0.23346
87,87,2016,2nd Quintile,Rural regions,No,0.79696,907,14297,0.73322,0.86669
88,88,2016,3rd Quintile,Urban regions,Yes,0.13301,252,14297,0.11497,0.15412
89,89,2016,3rd Quintile,Urban regions,No,0.86699,1456,14297,0.81563,0.90515
90,90,2016,3rd Quintile,Rural regions,Yes,0.24109,271,14297,0.21013,0.27125
91,91,2016,3rd Quintile,Rural regions,No,0.75891,772,14297,0.70601,0.81741
92,92,2016,4th Quintile,Urban regions,Yes,0.13796,278,14297,0.11867,0.1563
93,93,2016,4th Quintile,Urban regions,No,0.86204,1492,14297,0.82136,0.90333
94,94,2016,4th Quintile,Rural regions,Yes,0.1969,206,14297,0.16964,0.22976
95,95,2016,4th Quintile,Rural regions,No,0.8031,682,14297,0.73638,0.87232
96,96,2016,5th Quintile,Urban regions,Yes,0.12497,276,14297,0.11089,0.14221
97,97,2016,5th Quintile,Urban regions,No,0.87503,1745,14297,0.83137,0.91993
98,98,2016,5th Quintile,Rural regions,Yes,0.21619,166,14297,0.17892,0.25066
99,99,2016,5th Quintile,Rural regions,No,0.78381,534,14297,0.70193,0.8623
100,100,2021,1st Quintile,Urban regions,Yes,0.12358,176,11036,0.10492,0.14705
101,101,2021,1st Quintile,Urban regions,No,0.87642,1177,11036,0.82471,0.93504
102,102,2021,1st Quintile,Rural regions,Yes,0.20763,173,11036,0.17005,0.24351
103,103,2021,1st Quintile,Rural regions,No,0.79237,539,11036,0.71035,0.88528
104,104,2021,2nd Quintile,Urban regions,Yes,0.15473,236,11036,0.13125,0.18256
105,105,2021,2nd Quintile,Urban regions,No,0.84527,1108,11036,0.79638,0.89816
106,106,2021,2nd Quintile,Rural regions,Yes,0.20371,227,11036,0.16738,0.24882
107,107,2021,2nd Quintile,Rural regions,No,0.79629,631,11036,0.73125,0.87032
108,108,2021,3rd Quintile,Urban regions,Yes,0.15826,231,11036,0.13268,0.1836
109,109,2021,3rd Quintile,Urban regions,No,0.84174,1080,11036,0.78763,0.90017
110,110,2021,3rd Quintile,Rural regions,Yes,0.21853,180,11036,0.18342,0.26385
111,111,2021,3rd Quintile,Rural regions,No,0.78147,524,11036,0.71664,0.86461
112,112,2021,4th Quintile,Urban regions,Yes,0.14573,234,11036,0.12076,0.1684
113,113,2021,4th Quintile,Urban regions,No,0.85427,1182,11036,0.79995,0.90843
114,114,2021,4th Quintile,Rural regions,Yes,0.23087,181,11036,0.19368,0.27116
115,115,2021,4th Quintile,Rural regions,No,0.76913,486,11036,0.67651,0.8642
116,116,2021,5th Quintile,Urban regions,Yes,0.13346,292,11036,0.11603,0.15766
117,117,2021,5th Quintile,Urban regions,No,0.86654,1670,11036,0.81555,0.92379
118,118,2021,5th Quintile,Rural regions,Yes,0.21551,169,11036,0.17642,0.26407
119,119,2021,5th Quintile,Rural regions,No,0.78449,540,11036,0.70975,0.87516
