year,quintil_oecd_hh,sampreg,pet_cat,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2011,,East,No,0.7891891891891892,16603,0.7829847891715509,0.7953935892068276
2011,,East,Yes,0.21081081081081082,16603,0.20460641079317246,0.21701521082844918
2011,,West,No,0.838150289017341,16603,0.8325478169352134,0.8437527610994686
2011,,West,Yes,0.16184971098265896,16603,0.15624723890053133,0.1674521830647866
2011,,East,No,0.7814761215629522,16603,0.7751901835563462,0.7877620595695582
2011,,East,Yes,0.21852387843704776,16603,0.21223794043044172,0.2248098164436538
2011,,West,No,0.8290978398983482,16603,0.8233719966408908,0.8348236831558056
2011,,West,Yes,0.17090216010165185,16603,0.1651763168441945,0.1766280033591092
2011,,East,No,0.751101321585903,16603,0.7445243896745479,0.7576782534972581
2011,,East,Yes,0.2488986784140969,16603,0.2423217465027418,0.255475610325452
2016,,West,No,0.8567518248175182,16419,0.8513931822692448,0.8621104673657917
