,Unnamed: 0,year,bula_h,regtyp,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
22,22,1996,Berlin,Urban regions,Yes,0.15994,45,6442,0.13595,0.18788
23,23,1996,Berlin,Urban regions,No,0.84006,265,6442,0.75849,0.90946
24,24,1996,Brandenburg,Rural regions,Yes,0.25168,72,6442,0.22558,0.28316
25,25,1996,Brandenburg,Rural regions,No,0.74832,210,6442,0.68862,0.80441
26,26,1996,Mecklenburg-Western Pomerania,Rural regions,Yes,0.23919,39,6442,0.19489,0.29186
27,27,1996,Mecklenburg-Western Pomerania,Rural regions,No,0.76081,134,6442,0.69465,0.83622
28,28,1996,Saxony,Urban regions,Yes,0.13255,42,6442,0.11108,0.16136
29,29,1996,Saxony,Urban regions,No,0.86745,247,6442,0.80694,0.93627
30,30,1996,Saxony,Rural regions,Yes,0.20294,59,6442,0.17509,0.23865
31,31,1996,Saxony,Rural regions,No,0.79706,200,6442,0.72602,0.87173
32,32,1996,Saxony-Anhalt,Urban regions,No,1.0,69,6442,0.85115,1.14818
33,33,1996,Saxony-Anhalt,Rural regions,Yes,0.20896,52,6442,0.17759,0.23904
34,34,1996,Saxony-Anhalt,Rural regions,No,0.79104,202,6442,0.72257,0.85894
35,35,1996,Thuringa,Urban regions,No,1.0,82,6442,0.88613,1.10896
36,36,1996,Thuringa,Rural regions,Yes,0.19063,53,6442,0.15704,0.22284
37,37,1996,Thuringa,Rural regions,No,0.80937,179,6442,0.73001,0.88741
38,38,2001,Schleswig-Holstein,Urban regions,No,1.0,137,11561,0.91081,1.08748
39,39,2001,Schleswig-Holstein,Rural regions,Yes,0.15959,36,11561,0.12687,0.18197
40,40,2001,Schleswig-Holstein,Rural regions,No,0.84041,170,11561,0.77104,0.91495
41,41,2001,Hamburg,Urban regions,No,1.0,161,11561,0.92664,1.09137
42,42,2001,Lower Saxony,Urban regions,Yes,0.11846,58,11561,0.10556,0.13365
43,43,2001,Lower Saxony,Urban regions,No,0.88154,424,11561,0.83133,0.92758
44,44,2001,Lower Saxony,Rural regions,Yes,0.1818,95,11561,0.159,0.20458
45,45,2001,Lower Saxony,Rural regions,No,0.8182,384,11561,0.76891,0.87719
46,46,2001,Bremen,Urban regions,No,1.0,85,11561,0.89866,1.09545
47,47,2001,North Rhine-Westphalia,Urban regions,Yes,0.10826,283,11561,0.10061,0.11599
48,48,2001,North Rhine-Westphalia,Urban regions,No,0.89174,2142,11561,0.86957,0.91456
49,49,2001,North Rhine-Westphalia,Rural regions,No,1.0,58,11561,0.87007,1.15633
50,50,2001,Hesse,Urban regions,Yes,0.10622,73,11561,0.0944,0.11906
51,51,2001,Hesse,Urban regions,No,0.89378,557,11561,0.8419,0.93161
52,52,2001,Hesse,Rural regions,Yes,0.19683,31,11561,0.16269,0.24761
53,53,2001,Hesse,Rural regions,No,0.80317,118,11561,0.72002,0.88868
54,54,2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.15502,91,11561,0.13926,0.1719
55,55,2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.84498,459,11561,0.80464,0.89092
56,56,2001,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.21324,40,11561,0.17841,0.24328
57,57,2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.78676,130,11561,0.73043,0.8586
58,58,2001,Baden-Wuerttemberg,Urban regions,Yes,0.14888,184,11561,0.13567,0.16468
59,59,2001,Baden-Wuerttemberg,Urban regions,No,0.85112,1044,11561,0.81958,0.88622
60,60,2001,Baden-Wuerttemberg,Rural regions,No,1.0,118,11561,0.87092,1.14452
61,61,2001,Bavaria,Urban regions,Yes,0.12372,112,11561,0.10914,0.13806
62,62,2001,Bavaria,Urban regions,No,0.87628,677,11561,0.83575,0.91172
63,63,2001,Bavaria,Rural regions,Yes,0.19303,183,11561,0.17948,0.20611
64,64,2001,Bavaria,Rural regions,No,0.80697,644,11561,0.76886,0.83864
65,65,2001,Berlin,Urban regions,Yes,0.14064,64,11561,0.12328,0.1624
66,66,2001,Berlin,Urban regions,No,0.85936,417,11561,0.82093,0.90343
67,67,2001,Brandenburg,Urban regions,No,1.0,35,11561,0.82902,1.19339
68,68,2001,Brandenburg,Rural regions,Yes,0.28931,139,11561,0.26582,0.31372
69,69,2001,Brandenburg,Rural regions,No,0.71069,324,11561,0.66818,0.75357
70,70,2001,Mecklenburg-Western Pomerania,Urban regions,No,1.0,35,11561,0.84656,1.14562
71,71,2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.20707,54,11561,0.17131,0.24364
72,72,2001,Mecklenburg-Western Pomerania,Rural regions,No,0.79293,191,11561,0.7223,0.86168
73,73,2001,Saxony,Urban regions,Yes,0.18327,81,11561,0.15914,0.2075
74,74,2001,Saxony,Urban regions,No,0.81673,339,11561,0.76588,0.87353
75,75,2001,Saxony,Rural regions,Yes,0.22967,111,11561,0.20454,0.25407
76,76,2001,Saxony,Rural regions,No,0.77033,318,11561,0.7301,0.81037
77,77,2001,Saxony-Anhalt,Urban regions,No,1.0,90,11561,0.93387,1.08723
78,78,2001,Saxony-Anhalt,Rural regions,Yes,0.23304,106,11561,0.20825,0.26463
79,79,2001,Saxony-Anhalt,Rural regions,No,0.76696,295,11561,0.71654,0.82227
80,80,2001,Thuringa,Urban regions,No,1.0,118,11561,0.89039,1.11648
81,81,2001,Thuringa,Rural regions,Yes,0.26385,100,11561,0.23261,0.29709
82,82,2001,Thuringa,Rural regions,No,0.73615,250,11561,0.67521,0.78996
83,83,2006,Schleswig-Holstein,Urban regions,No,1.0,141,12132,0.88851,1.1148
84,84,2006,Schleswig-Holstein,Rural regions,Yes,0.21852,53,12132,0.17928,0.26424
85,85,2006,Schleswig-Holstein,Rural regions,No,0.78148,177,12132,0.70834,0.85045
86,86,2006,Hamburg,Urban regions,No,1.0,175,12132,0.8831,1.11318
87,87,2006,Lower Saxony,Urban regions,Yes,0.1045,69,12132,0.08835,0.12158
88,88,2006,Lower Saxony,Urban regions,No,0.8955,457,12132,0.83239,0.95439
89,89,2006,Lower Saxony,Rural regions,Yes,0.17374,97,12132,0.14921,0.19635
90,90,2006,Lower Saxony,Rural regions,No,0.82626,451,12132,0.77114,0.88158
91,91,2006,Bremen,Urban regions,No,1.0,75,12132,0.85601,1.15455
92,92,2006,North Rhine-Westphalia,Urban regions,Yes,0.11909,315,12132,0.10907,0.13122
93,93,2006,North Rhine-Westphalia,Urban regions,No,0.88091,2159,12132,0.85403,0.90476
94,94,2006,North Rhine-Westphalia,Rural regions,No,1.0,58,12132,0.83977,1.17854
95,95,2006,Hesse,Urban regions,Yes,0.1214,96,12132,0.10303,0.14004
96,96,2006,Hesse,Urban regions,No,0.8786,595,12132,0.82431,0.92766
97,97,2006,Hesse,Rural regions,Yes,0.21856,36,12132,0.17806,0.26363
98,98,2006,Hesse,Rural regions,No,0.78144,119,12132,0.68089,0.91909
99,99,2006,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.16153,90,12132,0.13086,0.19107
100,100,2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.83847,461,12132,0.78475,0.89193
101,101,2006,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.21445,46,12132,0.1793,0.25524
102,102,2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.78555,130,12132,0.69845,0.88164
103,103,2006,Baden-Wuerttemberg,Urban regions,Yes,0.12564,185,12132,0.11126,0.13954
104,104,2006,Baden-Wuerttemberg,Urban regions,No,0.87436,1163,12132,0.83419,0.91358
105,105,2006,Baden-Wuerttemberg,Rural regions,No,1.0,102,12132,0.85733,1.14845
106,106,2006,Bavaria,Urban regions,Yes,0.12966,128,12132,0.11011,0.14674
107,107,2006,Bavaria,Urban regions,No,0.87034,717,12132,0.81992,0.91636
108,108,2006,Bavaria,Rural regions,Yes,0.21041,205,12132,0.18842,0.23282
109,109,2006,Bavaria,Rural regions,No,0.78959,680,12132,0.74949,0.82912
110,110,2006,Berlin,Urban regions,Yes,0.1028,67,12132,0.08397,0.12162
111,111,2006,Berlin,Urban regions,No,0.8972,417,12132,0.84432,0.95633
112,112,2006,Brandenburg,Urban regions,No,1.0,43,12132,0.80299,1.21754
113,113,2006,Brandenburg,Rural regions,Yes,0.28453,141,12132,0.2533,0.31953
114,114,2006,Brandenburg,Rural regions,No,0.71547,345,12132,0.66537,0.77337
115,115,2006,Mecklenburg-Western Pomerania,Urban regions,No,1.0,36,12132,0.73862,1.24528
116,116,2006,Mecklenburg-Western Pomerania,Rural regions,Yes,0.19009,55,12132,0.15878,0.22638
117,117,2006,Mecklenburg-Western Pomerania,Rural regions,No,0.80991,209,12132,0.73435,0.87765
118,118,2006,Saxony,Urban regions,Yes,0.17107,87,12132,0.14648,0.19469
119,119,2006,Saxony,Urban regions,No,0.82893,368,12132,0.77377,0.9027
120,120,2006,Saxony,Rural regions,Yes,0.243,104,12132,0.20648,0.2802
121,121,2006,Saxony,Rural regions,No,0.757,318,12132,0.69945,0.81374
122,122,2006,Saxony-Anhalt,Urban regions,No,1.0,80,12132,0.84777,1.15752
123,123,2006,Saxony-Anhalt,Rural regions,Yes,0.21676,104,12132,0.19083,0.24658
124,124,2006,Saxony-Anhalt,Rural regions,No,0.78324,292,12132,0.71774,0.8471
125,125,2006,Thuringa,Urban regions,No,1.0,118,12132,0.85797,1.14884
126,126,2006,Thuringa,Rural regions,Yes,0.17477,83,12132,0.15129,0.19779
127,127,2006,Thuringa,Rural regions,No,0.82523,285,12132,0.74616,0.90739
128,128,2011,Schleswig-Holstein,Urban regions,No,1.0,102,11900,0.82397,1.1834
129,129,2011,Schleswig-Holstein,Rural regions,Yes,0.17775,57,11900,0.13526,0.22453
130,130,2011,Schleswig-Holstein,Rural regions,No,0.82225,230,11900,0.74057,0.90649
131,131,2011,Hamburg,Urban regions,No,1.0,176,11900,0.89208,1.10687
132,132,2011,Lower Saxony,Urban regions,Yes,0.1007,68,11900,0.08012,0.119
133,133,2011,Lower Saxony,Urban regions,No,0.8993,445,11900,0.83038,0.96184
134,134,2011,Lower Saxony,Rural regions,Yes,0.17046,97,11900,0.14356,0.20194
135,135,2011,Lower Saxony,Rural regions,No,0.82954,477,11900,0.76715,0.88452
136,136,2011,Bremen,Urban regions,No,1.0,71,11900,0.82337,1.17985
137,137,2011,North Rhine-Westphalia,Urban regions,Yes,0.12881,313,11900,0.1179,0.14183
138,138,2011,North Rhine-Westphalia,Urban regions,No,0.87119,1974,11900,0.83933,0.90506
139,139,2011,North Rhine-Westphalia,Rural regions,No,1.0,60,11900,0.80546,1.19663
140,140,2011,Hesse,Urban regions,Yes,0.13888,111,11900,0.11893,0.16103
141,141,2011,Hesse,Urban regions,No,0.86112,567,11900,0.79573,0.91373
142,142,2011,Hesse,Rural regions,No,1.0,126,11900,0.86237,1.14337
143,143,2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.15721,97,11900,0.13632,0.18473
144,144,2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.84279,430,11900,0.77595,0.91015
145,145,2011,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.14805,39,11900,0.11684,0.18394
146,146,2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.85195,144,11900,0.75264,0.95725
147,147,2011,Baden-Wuerttemberg,Urban regions,Yes,0.13954,203,11900,0.1217,0.16069
148,148,2011,Baden-Wuerttemberg,Urban regions,No,0.86046,1051,11900,0.81292,0.90575
149,149,2011,Baden-Wuerttemberg,Rural regions,No,1.0,125,11900,0.85902,1.16363
150,150,2011,Bavaria,Urban regions,Yes,0.15714,151,11900,0.13087,0.18388
151,151,2011,Bavaria,Urban regions,No,0.84286,742,11900,0.79407,0.89406
152,152,2011,Bavaria,Rural regions,Yes,0.21611,220,11900,0.18708,0.25104
153,153,2011,Bavaria,Rural regions,No,0.78389,726,11900,0.73615,0.84534
154,154,2011,Berlin,Urban regions,Yes,0.08895,71,11900,0.07394,0.1058
155,155,2011,Berlin,Urban regions,No,0.91105,442,11900,0.84991,0.97732
156,156,2011,Brandenburg,Urban regions,No,1.0,39,11900,0.76272,1.20642
157,157,2011,Brandenburg,Rural regions,Yes,0.2307,121,11900,0.195,0.26915
158,158,2011,Brandenburg,Rural regions,No,0.7693,352,11900,0.68173,0.83812
159,159,2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.17821,54,11900,0.13395,0.22283
160,160,2011,Mecklenburg-Western Pomerania,Rural regions,No,0.82179,231,11900,0.74589,0.91967
161,161,2011,Saxony,Urban regions,Yes,0.15189,70,11900,0.12446,0.19333
162,162,2011,Saxony,Urban regions,No,0.84811,355,11900,0.78691,0.92526
163,163,2011,Saxony,Rural regions,Yes,0.26837,102,11900,0.22406,0.32362
164,164,2011,Saxony,Rural regions,No,0.73163,281,11900,0.65817,0.80693
165,165,2011,Saxony-Anhalt,Urban regions,No,1.0,112,11900,0.80514,1.21067
166,166,2011,Saxony-Anhalt,Rural regions,Yes,0.20623,93,11900,0.17159,0.23737
167,167,2011,Saxony-Anhalt,Rural regions,No,0.79377,286,11900,0.69906,0.86728
168,168,2011,Thuringa,Urban regions,No,1.0,139,11900,0.81882,1.21089
169,169,2011,Thuringa,Rural regions,Yes,0.21452,85,11900,0.18011,0.25205
170,170,2011,Thuringa,Rural regions,No,0.78548,265,11900,0.70415,0.87333
171,171,2016,Schleswig-Holstein,Urban regions,No,1.0,117,14221,0.82471,1.21738
172,172,2016,Schleswig-Holstein,Rural regions,Yes,0.22003,93,14221,0.16402,0.28733
173,173,2016,Schleswig-Holstein,Rural regions,No,0.77997,271,14221,0.69839,0.87465
174,174,2016,Hamburg,Urban regions,Yes,0.12159,35,14221,0.08242,0.16027
175,175,2016,Hamburg,Urban regions,No,0.87841,229,14221,0.77334,1.00139
176,176,2016,Lower Saxony,Urban regions,Yes,0.09949,82,14221,0.07796,0.12665
177,177,2016,Lower Saxony,Urban regions,No,0.90051,485,14221,0.81458,0.99158
178,178,2016,Lower Saxony,Rural regions,Yes,0.1664,150,14221,0.14191,0.19924
179,179,2016,Lower Saxony,Rural regions,No,0.8336,631,14221,0.75366,0.90333
180,180,2016,Bremen,Urban regions,No,1.0,87,14221,0.80422,1.20186
181,181,2016,North Rhine-Westphalia,Urban regions,Yes,0.13035,392,14221,0.11764,0.14546
182,182,2016,North Rhine-Westphalia,Urban regions,No,0.86965,2463,14221,0.83415,0.90781
183,183,2016,North Rhine-Westphalia,Rural regions,No,1.0,47,14221,0.7752,1.33641
184,184,2016,Hesse,Urban regions,Yes,0.12134,107,14221,0.09774,0.1455
185,185,2016,Hesse,Urban regions,No,0.87866,692,14221,0.81436,0.95356
186,186,2016,Hesse,Rural regions,Yes,0.17393,40,14221,0.11717,0.24253
187,187,2016,Hesse,Rural regions,No,0.82607,139,14221,0.69198,1.00385
188,188,2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.13592,92,14221,0.10944,0.16094
189,189,2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.86408,532,14221,0.79802,0.93071
190,190,2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.21322,52,14221,0.16542,0.26185
191,191,2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.78678,172,14221,0.66868,0.91246
192,192,2016,Baden-Wuerttemberg,Urban regions,Yes,0.12885,241,14221,0.10864,0.14743
193,193,2016,Baden-Wuerttemberg,Urban regions,No,0.87115,1213,14221,0.81862,0.91995
194,194,2016,Baden-Wuerttemberg,Rural regions,Yes,0.11871,32,14221,0.06691,0.17514
195,195,2016,Baden-Wuerttemberg,Rural regions,No,0.88129,141,14221,0.74749,1.0503
196,196,2016,Bavaria,Urban regions,Yes,0.14316,177,14221,0.11943,0.17353
197,197,2016,Bavaria,Urban regions,No,0.85684,911,14221,0.79617,0.92046
198,198,2016,Bavaria,Rural regions,Yes,0.21766,293,14221,0.19163,0.24717
199,199,2016,Bavaria,Rural regions,No,0.78234,919,14221,0.72232,0.83623
200,200,2016,Berlin,Urban regions,Yes,0.11517,86,14221,0.09401,0.14136
201,201,2016,Berlin,Urban regions,No,0.88483,524,14221,0.80777,0.96038
202,202,2016,Brandenburg,Urban regions,No,1.0,37,14221,0.71875,1.38051
203,203,2016,Brandenburg,Rural regions,Yes,0.29124,163,14221,0.24345,0.34274
204,204,2016,Brandenburg,Rural regions,No,0.70876,354,14221,0.62294,0.79161
205,205,2016,Mecklenburg-Western Pomerania,Urban regions,No,1.0,38,14221,0.7459,1.3472
206,206,2016,Mecklenburg-Western Pomerania,Rural regions,Yes,0.20121,59,14221,0.14028,0.26919
207,207,2016,Mecklenburg-Western Pomerania,Rural regions,No,0.79879,224,14221,0.68085,0.92346
208,208,2016,Saxony,Urban regions,Yes,0.18092,82,14221,0.13868,0.23796
209,209,2016,Saxony,Urban regions,No,0.81908,383,14221,0.75392,0.90914
210,210,2016,Saxony,Rural regions,Yes,0.28321,114,14221,0.23027,0.34283
211,211,2016,Saxony,Rural regions,No,0.71679,286,14221,0.63126,0.81276
212,212,2016,Saxony-Anhalt,Urban regions,No,1.0,104,14221,0.7491,1.26417
213,213,2016,Saxony-Anhalt,Rural regions,Yes,0.21296,102,14221,0.17428,0.25693
214,214,2016,Saxony-Anhalt,Rural regions,No,0.78704,286,14221,0.6934,0.8799
215,215,2016,Thuringa,Urban regions,Yes,0.15739,36,14221,0.11088,0.21137
216,216,2016,Thuringa,Urban regions,No,0.84261,144,14221,0.65889,1.07043
217,217,2016,Thuringa,Rural regions,Yes,0.22006,90,14221,0.18118,0.26697
218,218,2016,Thuringa,Rural regions,No,0.77994,274,14221,0.68444,0.87595
219,219,2021,Schleswig-Holstein,Urban regions,No,1.0,132,10936,0.77632,1.27537
220,220,2021,Schleswig-Holstein,Rural regions,Yes,0.16255,62,10936,0.11374,0.22815
221,221,2021,Schleswig-Holstein,Rural regions,No,0.83745,210,10936,0.70579,0.98057
222,222,2021,Hamburg,Urban regions,Yes,0.1251,33,10936,0.08156,0.18552
223,223,2021,Hamburg,Urban regions,No,0.8749,235,10936,0.75491,1.0043
224,224,2021,Lower Saxony,Urban regions,Yes,0.13007,82,10936,0.097,0.16727
225,225,2021,Lower Saxony,Urban regions,No,0.86993,395,10936,0.7958,0.99074
226,226,2021,Lower Saxony,Rural regions,Yes,0.20071,132,10936,0.16413,0.2423
227,227,2021,Lower Saxony,Rural regions,No,0.79929,453,10936,0.70851,0.86885
228,228,2021,Bremen,Urban regions,No,1.0,68,10936,0.75331,1.28271
229,229,2021,North Rhine-Westphalia,Urban regions,Yes,0.15048,340,10936,0.1295,0.17061
230,230,2021,North Rhine-Westphalia,Urban regions,No,0.84952,1894,10936,0.8085,0.91027
231,231,2021,North Rhine-Westphalia,Rural regions,No,1.0,40,10936,0.70334,1.35754
232,232,2021,Hesse,Urban regions,Yes,0.15483,92,10936,0.11877,0.19777
233,233,2021,Hesse,Urban regions,No,0.84517,463,10936,0.76194,0.95094
234,234,2021,Hesse,Rural regions,Yes,0.1906,35,10936,0.12999,0.25824
235,235,2021,Hesse,Rural regions,No,0.8094,104,10936,0.6615,1.00746
236,236,2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.17277,68,10936,0.12416,0.22456
237,237,2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.82723,346,10936,0.74726,0.90455
238,238,2021,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.20118,32,10936,0.13307,0.27506
239,239,2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.79882,89,10936,0.62449,0.99553
240,240,2021,Baden-Wuerttemberg,Urban regions,Yes,0.15598,194,10936,0.13183,0.17972
241,241,2021,Baden-Wuerttemberg,Urban regions,No,0.84402,904,10936,0.779,0.91196
242,242,2021,Baden-Wuerttemberg,Rural regions,No,1.0,89,10936,0.7705,1.21135
243,243,2021,Bavaria,Urban regions,Yes,0.13904,142,10936,0.10223,0.17642
244,244,2021,Bavaria,Urban regions,No,0.86096,726,10936,0.79316,0.95207
245,245,2021,Bavaria,Rural regions,Yes,0.20042,215,10936,0.16641,0.23492
246,246,2021,Bavaria,Rural regions,No,0.79958,664,10936,0.73349,0.8828
247,247,2021,Berlin,Urban regions,Yes,0.08644,73,10936,0.06964,0.10458
248,248,2021,Berlin,Urban regions,No,0.91356,480,10936,0.82732,1.02145
249,249,2021,Brandenburg,Urban regions,No,1.0,35,10936,0.70389,1.31823
250,250,2021,Brandenburg,Rural regions,Yes,0.25525,123,10936,0.2018,0.31628
251,251,2021,Brandenburg,Rural regions,No,0.74475,283,10936,0.65091,0.8475
252,252,2021,Mecklenburg-Western Pomerania,Urban regions,No,1.0,44,10936,0.7474,1.33309
253,253,2021,Mecklenburg-Western Pomerania,Rural regions,Yes,0.19567,52,10936,0.13905,0.26767
254,254,2021,Mecklenburg-Western Pomerania,Rural regions,No,0.80433,160,10936,0.65934,0.94892
255,255,2021,Saxony,Urban regions,Yes,0.15458,64,10936,0.111,0.21862
256,256,2021,Saxony,Urban regions,No,0.84542,328,10936,0.72585,0.95165
257,257,2021,Saxony,Rural regions,Yes,0.27944,96,10936,0.23039,0.33406
258,258,2021,Saxony,Rural regions,No,0.72056,245,10936,0.63486,0.81429
259,259,2021,Saxony-Anhalt,Urban regions,No,1.0,66,10936,0.70853,1.36744
260,260,2021,Saxony-Anhalt,Rural regions,Yes,0.24334,85,10936,0.18455,0.3065
261,261,2021,Saxony-Anhalt,Rural regions,No,0.75666,203,10936,0.63586,0.88518
262,262,2021,Thuringa,Urban regions,No,1.0,114,10936,0.78717,1.17816
263,263,2021,Thuringa,Rural regions,Yes,0.21962,61,10936,0.15845,0.33006
264,264,2021,Thuringa,Rural regions,No,0.78038,185,10936,0.66547,0.92032
