,Unnamed: 0,year,bula_h,sampreg,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
29,29,2001,Schleswig-Holstein,West,No,0.85912,307,11620,0.81804,0.90819
30,30,2001,Hamburg,West,No,1.0,161,11620,0.90903,1.07548
31,31,2001,Lower Saxony,West,Yes,0.14884,153,11620,0.13617,0.16098
32,32,2001,Lower Saxony,West,No,0.85116,808,11620,0.81153,0.8847
33,33,2001,Bremen,West,No,1.0,85,11620,0.88605,1.10653
34,34,2001,North Rhine-Westphalia,West,Yes,0.106,285,11620,0.09901,0.11391
35,35,2001,North Rhine-Westphalia,West,No,0.894,2200,11620,0.87119,0.91519
36,36,2001,Hesse,West,Yes,0.12212,104,11620,0.11083,0.13446
37,37,2001,Hesse,West,No,0.87788,675,11620,0.84317,0.9197
38,38,2001,"Rhineland-Palatinate, Saarland",West,Yes,0.16847,131,11620,0.15374,0.18479
39,39,2001,"Rhineland-Palatinate, Saarland",West,No,0.83153,589,11620,0.79667,0.868
40,40,2001,Baden-Wuerttemberg,West,Yes,0.14525,200,11620,0.13381,0.15695
41,41,2001,Baden-Wuerttemberg,West,No,0.85475,1162,11620,0.82168,0.89648
42,42,2001,Bavaria,West,Yes,0.15749,295,11620,0.14753,0.16738
43,43,2001,Bavaria,West,No,0.84251,1321,11620,0.81391,0.87137
44,44,2001,Berlin,West,Yes,0.15083,38,11620,0.12716,0.17088
45,45,2001,Berlin,West,No,0.84917,233,11620,0.79674,0.913
46,46,2001,Berlin,East,No,1.0,184,11620,0.93555,1.07437
47,47,2001,Brandenburg,East,Yes,0.27249,141,11620,0.249,0.29517
48,48,2001,Brandenburg,East,No,0.72751,359,11620,0.68838,0.77101
49,49,2001,Mecklenburg-Western Pomerania,East,Yes,0.19221,59,11620,0.16145,0.22602
50,50,2001,Mecklenburg-Western Pomerania,East,No,0.80779,226,11620,0.75793,0.8683
51,51,2001,Saxony,East,Yes,0.20744,192,11620,0.19424,0.22389
52,52,2001,Saxony,East,No,0.79256,657,11620,0.75917,0.82588
53,53,2001,Saxony-Anhalt,East,Yes,0.21476,120,11620,0.19638,0.2353
54,54,2001,Saxony-Anhalt,East,No,0.78524,385,11620,0.73497,0.83183
55,55,2001,Thuringa,East,Yes,0.22829,126,11620,0.19864,0.24963
56,56,2001,Thuringa,East,No,0.77171,368,11620,0.72297,0.83306
57,57,2006,Schleswig-Holstein,West,Yes,0.18098,71,12203,0.15897,0.21308
58,58,2006,Schleswig-Holstein,West,No,0.81902,318,12203,0.7625,0.87116
59,59,2006,Hamburg,West,No,1.0,175,12203,0.87506,1.12415
60,60,2006,Lower Saxony,West,Yes,0.13937,166,12203,0.12389,0.1549
61,61,2006,Lower Saxony,West,No,0.86063,908,12203,0.81833,0.90182
62,62,2006,Bremen,West,No,1.0,75,12203,0.83721,1.20308
63,63,2006,North Rhine-Westphalia,West,Yes,0.11776,321,12203,0.10694,0.12651
64,64,2006,North Rhine-Westphalia,West,No,0.88224,2217,12203,0.85039,0.90928
65,65,2006,Hesse,West,Yes,0.13909,132,12203,0.12197,0.1563
66,66,2006,Hesse,West,No,0.86091,714,12203,0.81691,0.90266
67,67,2006,"Rhineland-Palatinate, Saarland",West,Yes,0.17401,136,12203,0.15256,0.20162
68,68,2006,"Rhineland-Palatinate, Saarland",West,No,0.82599,591,12203,0.77479,0.87448
69,69,2006,Baden-Wuerttemberg,West,Yes,0.13368,208,12203,0.12008,0.14945
70,70,2006,Baden-Wuerttemberg,West,No,0.86632,1265,12203,0.83088,0.90734
71,71,2006,Bavaria,West,Yes,0.16983,333,12203,0.15413,0.18597
72,72,2006,Bavaria,West,No,0.83017,1397,12203,0.79769,0.86484
73,73,2006,Berlin,West,Yes,0.10897,39,12203,0.08609,0.13635
74,74,2006,Berlin,West,No,0.89103,237,12203,0.81925,0.96675
75,75,2006,Berlin,East,No,1.0,180,12203,0.91012,1.10534
76,76,2006,Brandenburg,East,Yes,0.26609,144,12203,0.23574,0.29769
77,77,2006,Brandenburg,East,No,0.73391,388,12203,0.68488,0.79143
78,78,2006,Mecklenburg-Western Pomerania,East,Yes,0.17474,59,12203,0.13836,0.20204
79,79,2006,Mecklenburg-Western Pomerania,East,No,0.82526,245,12203,0.75446,0.90057
80,80,2006,Saxony,East,Yes,0.20695,191,12203,0.18637,0.23073
81,81,2006,Saxony,East,No,0.79305,686,12203,0.75297,0.83643
82,82,2006,Saxony-Anhalt,East,Yes,0.20472,120,12203,0.17916,0.2353
83,83,2006,Saxony-Anhalt,East,No,0.79528,372,12203,0.72202,0.85304
84,84,2006,Thuringa,East,Yes,0.16701,112,12203,0.14105,0.19093
85,85,2006,Thuringa,East,No,0.83299,403,12203,0.77426,0.90436
86,86,2011,Schleswig-Holstein,West,Yes,0.16402,74,12055,0.13589,0.19665
87,87,2011,Schleswig-Holstein,West,No,0.83598,332,12055,0.7641,0.91303
88,88,2011,Hamburg,West,No,1.0,176,12055,0.88368,1.10835
89,89,2011,Lower Saxony,West,Yes,0.13663,165,12055,0.11657,0.15391
90,90,2011,Lower Saxony,West,No,0.86337,922,12055,0.8139,0.91657
91,91,2011,Bremen,West,No,1.0,71,12055,0.86295,1.16709
92,92,2011,North Rhine-Westphalia,West,Yes,0.12684,319,12055,0.11477,0.14035
93,93,2011,North Rhine-Westphalia,West,No,0.87316,2034,12055,0.83601,0.90565
94,94,2011,Hesse,West,Yes,0.13831,137,12055,0.12148,0.15834
95,95,2011,Hesse,West,No,0.86169,693,12055,0.80443,0.92369
96,96,2011,"Rhineland-Palatinate, Saarland",West,Yes,0.1546,136,12055,0.13329,0.17671
97,97,2011,"Rhineland-Palatinate, Saarland",West,No,0.8454,574,12055,0.79289,0.90508
98,98,2011,Baden-Wuerttemberg,West,Yes,0.14268,225,12055,0.12721,0.15793
99,99,2011,Baden-Wuerttemberg,West,No,0.85732,1176,12055,0.81111,0.8967
100,100,2011,Bavaria,West,Yes,0.18619,371,12055,0.16831,0.20337
101,101,2011,Bavaria,West,No,0.81381,1468,12055,0.77475,0.85614
102,102,2011,Berlin,West,Yes,0.08192,33,12055,0.06486,0.10301
103,103,2011,Berlin,West,No,0.91808,257,12055,0.82964,1.02168
104,104,2011,Berlin,East,Yes,0.0994,38,12055,0.07127,0.12424
105,105,2011,Berlin,East,No,0.9006,185,12055,0.802,0.9963
106,106,2011,Brandenburg,East,Yes,0.22193,127,12055,0.19198,0.25948
107,107,2011,Brandenburg,East,No,0.77807,391,12055,0.70897,0.83752
108,108,2011,Mecklenburg-Western Pomerania,East,Yes,0.16801,56,12055,0.12727,0.22084
109,109,2011,Mecklenburg-Western Pomerania,East,No,0.83199,259,12055,0.74221,0.93394
110,110,2011,Saxony,East,Yes,0.21127,172,12055,0.18088,0.24316
111,111,2011,Saxony,East,No,0.78873,636,12055,0.74068,0.83378
112,112,2011,Saxony-Anhalt,East,Yes,0.18649,111,12055,0.15629,0.21746
113,113,2011,Saxony-Anhalt,East,No,0.81351,398,12055,0.74378,0.88805
114,114,2011,Thuringa,East,Yes,0.2059,115,12055,0.17261,0.23972
115,115,2011,Thuringa,East,No,0.7941,404,12055,0.72432,0.86525
116,116,2016,Schleswig-Holstein,West,Yes,0.21084,115,14284,0.16751,0.26267
117,117,2016,Schleswig-Holstein,West,No,0.78916,388,14284,0.70535,0.86921
118,118,2016,Hamburg,West,Yes,0.12159,35,14284,0.07291,0.17489
119,119,2016,Hamburg,West,No,0.87841,229,14284,0.76431,0.99465
120,120,2016,Lower Saxony,West,Yes,0.13828,232,14284,0.11732,0.15771
121,121,2016,Lower Saxony,West,No,0.86172,1116,14284,0.8179,0.91554
122,122,2016,Bremen,West,No,1.0,87,14284,0.7717,1.18764
123,123,2016,North Rhine-Westphalia,West,Yes,0.12885,397,14284,0.11459,0.14388
124,124,2016,North Rhine-Westphalia,West,No,0.87115,2510,14284,0.83149,0.92289
125,125,2016,Hesse,West,Yes,0.13144,147,14284,0.10777,0.1534
126,126,2016,Hesse,West,No,0.86856,831,14284,0.7946,0.93722
127,127,2016,"Rhineland-Palatinate, Saarland",West,Yes,0.15437,144,14284,0.12949,0.17988
128,128,2016,"Rhineland-Palatinate, Saarland",West,No,0.84563,704,14284,0.78653,0.90897
129,129,2016,Baden-Wuerttemberg,West,Yes,0.12789,273,14284,0.11192,0.14889
130,130,2016,Baden-Wuerttemberg,West,No,0.87211,1354,14284,0.82903,0.92767
131,131,2016,Bavaria,West,Yes,0.18026,470,14284,0.16045,0.20265
132,132,2016,Bavaria,West,No,0.81974,1830,14284,0.77895,0.86303
133,133,2016,Berlin,West,Yes,0.11299,46,14284,0.08328,0.15728
134,134,2016,Berlin,West,No,0.88701,302,14284,0.80441,0.99373
135,135,2016,Berlin,East,Yes,0.11822,40,14284,0.08312,0.15192
136,136,2016,Berlin,East,No,0.88178,222,14284,0.75573,1.01716
137,137,2016,Brandenburg,East,Yes,0.28069,171,14284,0.22811,0.33833
138,138,2016,Brandenburg,East,No,0.71931,391,14284,0.64733,0.80226
139,139,2016,Mecklenburg-Western Pomerania,East,Yes,0.19038,66,14284,0.13982,0.24154
140,140,2016,Mecklenburg-Western Pomerania,East,No,0.80962,262,14284,0.72147,0.93852
141,141,2016,Saxony,East,Yes,0.2325,196,14284,0.20036,0.26745
142,142,2016,Saxony,East,No,0.7675,669,14284,0.70456,0.83348
143,143,2016,Saxony-Anhalt,East,Yes,0.18907,123,14284,0.15529,0.22968
144,144,2016,Saxony-Anhalt,East,No,0.81093,390,14284,0.71928,0.90559
145,145,2016,Thuringa,East,Yes,0.20148,126,14284,0.1607,0.23751
146,146,2016,Thuringa,East,No,0.79852,418,14284,0.72052,0.89183
147,147,2021,Schleswig-Holstein,West,Yes,0.15123,85,11015,0.11079,0.19784
148,148,2021,Schleswig-Holstein,West,No,0.84877,342,11015,0.73365,0.96299
149,149,2021,Hamburg,West,Yes,0.1251,33,11015,0.07102,0.17256
150,150,2021,Hamburg,West,No,0.8749,235,11015,0.72694,0.99407
151,151,2021,Lower Saxony,West,Yes,0.16917,214,11015,0.1394,0.19797
152,152,2021,Lower Saxony,West,No,0.83083,848,11015,0.76401,0.90214
153,153,2021,Bremen,West,No,1.0,68,11015,0.75651,1.31526
154,154,2021,North Rhine-Westphalia,West,Yes,0.15011,349,11015,0.12897,0.17356
155,155,2021,North Rhine-Westphalia,West,No,0.84989,1934,11015,0.80743,0.88585
156,156,2021,Hesse,West,Yes,0.16153,127,11015,0.12871,0.19733
157,157,2021,Hesse,West,No,0.83847,567,11015,0.76339,0.91296
158,158,2021,"Rhineland-Palatinate, Saarland",West,Yes,0.17899,100,11015,0.13838,0.21864
159,159,2021,"Rhineland-Palatinate, Saarland",West,No,0.82101,435,11015,0.75471,0.90677
160,160,2021,Baden-Wuerttemberg,West,Yes,0.16714,222,11015,0.13867,0.19854
161,161,2021,Baden-Wuerttemberg,West,No,0.83286,993,11015,0.77998,0.89969
162,162,2021,Bavaria,West,Yes,0.16922,357,11015,0.14497,0.196
163,163,2021,Bavaria,West,No,0.83078,1390,11015,0.77964,0.88586
164,164,2021,Berlin,West,Yes,0.09174,44,11015,0.07291,0.11301
165,165,2021,Berlin,West,No,0.90826,310,11015,0.79154,1.0522
166,166,2021,Berlin,East,No,1.0,170,11015,0.83068,1.18562
167,167,2021,Brandenburg,East,Yes,0.2452,128,11015,0.19173,0.30726
168,168,2021,Brandenburg,East,No,0.7548,318,11015,0.65325,0.85653
169,169,2021,Mecklenburg-Western Pomerania,East,Yes,0.18975,57,11015,0.13513,0.2517
170,170,2021,Mecklenburg-Western Pomerania,East,No,0.81025,204,11015,0.70113,0.9595
171,171,2021,Saxony,East,Yes,0.22055,160,11015,0.19073,0.25746
172,172,2021,Saxony,East,No,0.77945,573,11015,0.70778,0.85808
173,173,2021,Saxony-Anhalt,East,Yes,0.22023,100,11015,0.18136,0.27384
174,174,2021,Saxony-Anhalt,East,No,0.77977,269,11015,0.67583,0.91398
175,175,2021,Thuringa,East,Yes,0.17033,84,11015,0.12619,0.22772
176,176,2021,Thuringa,East,No,0.82967,299,11015,0.72948,0.9535
