year,quintil_oecd_hh,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,2nd Quintile,Tenant,No,0.86202,1688,2015,0.84695,0.87708
2016,3rd Quintile,Owner,Yes,0.18530,292,1341,0.16450,0.20611
2016,3rd Quintile,Owner,No,0.81470,1049,1341,0.79389,0.83550
2016,3rd Quintile,Tenant,Yes,0.15308,235,1402,0.13422,0.17193
2016,3rd Quintile,Tenant,No,0.84692,1167,1402,0.82807,0.86578
2016,4th Quintile,Owner,Yes,0.16751,313,1561,0.14898,0.18605
2016,4th Quintile,Owner,No,0.83249,1248,1561,0.81395,0.85102
2016,4th Quintile,Tenant,Yes,0.13316,167,1101,0.11308,0.15324
2016,4th Quintile,Tenant,No,0.86684,934,1101,0.84676,0.88692
2016,5th Quintile,Owner,Yes,0.15936,352,1978,0.14322,0.17549
2016,5th Quintile,Owner,No,0.84064,1626,1978,0.82451,0.85678
2016,5th Quintile,Tenant,Yes,0.12882,100,777,0.10525,0.15239
2016,5th Quintile,Tenant,No,0.87118,677,777,0.84761,0.89475
2021,1st Quintile,Owner,Yes,0.18478,62,270,0.13840,0.23117
2021,1st Quintile,Owner,No,0.81522,208,270,0.76883,0.86160
2021,1st Quintile,Tenant,Yes,0.14736,293,1771,0.13084,0.16387
2021,1st Quintile,Tenant,No,0.85264,1478,1771,0.83613,0.86916
2021,2nd Quintile,Owner,Yes,0.19163,165,679,0.16200,0.22126
2021,2nd Quintile,Owner,No,0.80837,514,679,0.77874,0.83800
2021,2nd Quintile,Tenant,Yes,0.16131,286,1503,0.14270,0.17991
2021,2nd Quintile,Tenant,No,0.83869,1217,1503,0.82009,0.85730
2021,3rd Quintile,Owner,Yes,0.19906,244,927,0.17335,0.22478
2021,3rd Quintile,Owner,No,0.80094,683,927,0.77522,0.82665
2021,3rd Quintile,Tenant,Yes,0.14710,175,1097,0.12613,0.16807
2021,3rd Quintile,Tenant,No,0.85290,922,1097,0.83193,0.87387
2021,4th Quintile,Owner,Yes,0.18523,253,1211,0.16334,0.20712
2021,4th Quintile,Owner,No,0.81477,958,1211,0.79288,0.83666
2021,4th Quintile,Tenant,Yes,0.15320,141,867,0.12921,0.17719
2021,4th Quintile,Tenant,No,0.84680,726,867,0.82281,0.87079
2021,5th Quintile,Owner,Yes,0.16893,378,1988,0.15246,0.18541
2021,5th Quintile,Owner,No,0.83107,1610,1988,0.81459,0.84754
2021,5th Quintile,Tenant,Yes,0.11219,101,719,0.08910,0.13527
2021,5th Quintile,Tenant,No,0.88781,618,719,0.86473,0.91090
