"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"2017","66 und älter","1487.43","449","412","1196.36","1778.5"
"2018","16-34 Jahre alt","2101.89","1995.5","4691","2062.61","2141.17"
"2018","35-65 Jahre alt","3203.32","2796","12243","3154.69","3251.95"
"2018","66 und älter","1545.51","449","438","1229.54","1861.48"
"2019","16-34 Jahre alt","2205.14","2081.5","4444","2154.49","2255.79"
"2019","35-65 Jahre alt","3405.74","2899.5","13134","2988.99","3822.49"
"2019","66 und älter","2112.6","599","668","1758.95","2466.25"
"2020","16-34 Jahre alt","2278.84","2196","5309","2236.67","2321.01"
"2020","35-65 Jahre alt","3432.47","2999.5","12691","3364.52","3500.42"
"2020","66 und älter","1848.6","482.5","576","1483.27","2213.93"
