year,pgisced97,quintil_oecd,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,Upper Secondary Level,1st Quintile,Seldom,0.018803543484059444,303,19622,0.018770497855707717,0.01883658911241117
2005,Upper Secondary Level,1st Quintile,Never,0.05508628629662405,916,19622,0.055030781054332394,0.055141791538915706
2005,Upper Secondary Level,2nd Quintile,At least once per week,0.023182062758079554,410,19622,0.023145452816919765,0.023218672699239343
2005,Upper Secondary Level,2nd Quintile,At least once per month,0.0063372597853826595,123,19622,0.006317954046084679,0.00635656552468064
2005,Upper Secondary Level,2nd Quintile,Seldom,0.01935326948510313,357,19622,0.019319753680974747,0.019386785289231514
2005,Upper Secondary Level,2nd Quintile,Never,0.06564799521548918,1178,19622,0.06558774173006546,0.06570824870091291
2005,Upper Secondary Level,3rd Quintile,At least once per week,0.03197044931265629,552,19622,0.03192765019095354,0.032013248434359036
2005,Upper Secondary Level,3rd Quintile,At least once per month,0.01068952971642172,169,19622,0.010664511186826198,0.010714548246017242
2005,Upper Secondary Level,3rd Quintile,Seldom,0.024021131637512606,441,19622,0.023983881050738873,0.02405838222428634
2005,Upper Secondary Level,3rd Quintile,Never,0.054468840035127405,975,19622,0.054413628710678855,0.054524051359575956
2005,Upper Secondary Level,4th Quintile,At least once per week,0.03669019325171756,717,19622,0.036644455567711356,0.03673593093572376
2005,Upper Secondary Level,4th Quintile,At least once per month,0.00973884027137026,184,19622,0.009714948702264562,0.009762731840475958
2005,Upper Secondary Level,4th Quintile,Seldom,0.02220738773167701,441,19622,0.022171537803268235,0.022243237660085784
2005,Upper Secondary Level,4th Quintile,Never,0.047250212784734145,843,19622,0.04719859403349916,0.04730183153596913
2005,Upper Secondary Level,5th Quintile,At least once per week,0.03885490017292067,933,19622,0.03880788548516499,0.038901914860676345
2005,Upper Secondary Level,5th Quintile,At least once per month,0.007965799086213058,174,19622,0.007944172191000578,0.00798742598142554
2005,Upper Secondary Level,5th Quintile,Seldom,0.016101570880199752,400,19622,0.016070949452393634,0.01613219230800587
2005,Upper Secondary Level,5th Quintile,Never,0.030426515656872603,650,19622,0.03038472947839143,0.030468301835353775
2005,Post-secondary Non-tertiary Level,1st Quintile,At least once per week,0.002006046550607522,35,19622,0.001995160994073251,0.0020169321071417928
2005,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.0022119300703809176,34,19622,0.0022005007336214086,0.0022233594071404267
2005,Post-secondary Non-tertiary Level,1st Quintile,Never,0.0033468038638859074,47,19622,0.00333275298979627,0.0033608547379755447
2005,Post-secondary Non-tertiary Level,2nd Quintile,At least once per week,0.003553406740022899,53,19622,0.003538930170727298,0.0035678833093185
2005,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.002325153896294799,42,19622,0.002313436353665464,0.0023368714389241344
2005,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.003663362879255371,64,19622,0.0036486648468782436,0.0036780609116324986
2005,Post-secondary Non-tertiary Level,3rd Quintile,At least once per week,0.004928190271803615,84,19622,0.004911153507141552,0.004945227036465678
2005,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.001996597853303981,34,19622,0.0019857379116965243,0.0020074577949114377
2005,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.0038667304235698854,59,19622,0.003851631469999659,0.003881829377140112
2005,Post-secondary Non-tertiary Level,4th Quintile,At least once per week,0.0048246502551681815,91,19622,0.004807792532590873,0.00484150797774549
2005,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.0027858752240430312,56,19622,0.0027730521774448837,0.002798698270641179
2005,Post-secondary Non-tertiary Level,4th Quintile,Never,0.0035241924593975927,64,19622,0.0035097753110312504,0.003538609607763935
2005,Post-secondary Non-tertiary Level,5th Quintile,At least once per week,0.0075994029572055725,195,19622,0.007578275393275976,0.007620530521135169
2005,Post-secondary Non-tertiary Level,5th Quintile,At least once per month,0.0016983969848927266,36,19622,0.0016883793161041984,0.0017084146536812549
2005,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.0026492706985693434,70,19622,0.002636765134022076,0.0026617762631166108
2005,Post-secondary Non-tertiary Level,5th Quintile,Never,0.003522614312635478,78,19622,0.0035082003812436217,0.0035370282440273346
2005,First Stage of Tertiary Education,1st Quintile,At least once per week,0.0019145856813068292,31,19622,0.001903950682705717,0.0019252206799079414
2005,First Stage of Tertiary Education,1st Quintile,Seldom,0.002091315624333106,31,19622,0.0020802015992803084,0.0021024296493859034
2005,First Stage of Tertiary Education,1st Quintile,Never,0.0035100393656052895,50,19622,0.0034956510936891383,0.0035244276375214407
2005,First Stage of Tertiary Education,2nd Quintile,At least once per week,0.0031122231249470955,54,19622,0.0030986720209738782,0.003125774228920313
2005,First Stage of Tertiary Education,2nd Quintile,Seldom,0.002521685167058424,49,19622,0.002509483663731041,0.002533886670385807
2005,First Stage of Tertiary Education,2nd Quintile,Never,0.006073237665522987,117,19622,0.006054335850447341,0.006092139480598633
2005,First Stage of Tertiary Education,3rd Quintile,At least once per week,0.005568355961171789,80,19622,0.005550252269594833,0.005586459652748746
2005,First Stage of Tertiary Education,3rd Quintile,Seldom,0.003159202071975338,67,19622,0.003145549395965288,0.0031728547479853877
2005,First Stage of Tertiary Education,3rd Quintile,Never,0.0064291418841325,133,19622,0.006409697593361092,0.006448586174903908
2005,First Stage of Tertiary Education,4th Quintile,At least once per week,0.007227431315650261,151,19622,0.007206823448299864,0.0072480391830006576
