,Unnamed: 0,year,bula_h,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
40,40,1986,Lower Saxony,Seldom,0.11274,136,10347,0.10638,0.11955
41,41,1986,Lower Saxony,Never,0.57942,610,10347,0.55563,0.60317
42,42,1986,Bremen,Never,1.0,75,10347,0.86655,1.0978
43,43,1986,North Rhine-Westphalia,At least once per week,0.25706,708,10347,0.24901,0.266
44,44,1986,North Rhine-Westphalia,At least once per month,0.04954,144,10347,0.04506,0.05296
45,45,1986,North Rhine-Westphalia,Seldom,0.12226,352,10347,0.11526,0.12799
46,46,1986,North Rhine-Westphalia,Never,0.57113,1624,10347,0.552,0.59105
47,47,1986,Hesse,At least once per week,0.25272,248,10347,0.23946,0.26927
48,48,1986,Hesse,At least once per month,0.03856,36,10347,0.03223,0.045
49,49,1986,Hesse,Seldom,0.10453,102,10347,0.09448,0.11503
50,50,1986,Hesse,Never,0.60418,650,10347,0.57044,0.63837
51,51,1986,"Rhineland-Palatinate, Saarland",At least once per week,0.1919,152,10347,0.18082,0.20366
52,52,1986,"Rhineland-Palatinate, Saarland",At least once per month,0.05788,42,10347,0.05178,0.06412
53,53,1986,"Rhineland-Palatinate, Saarland",Seldom,0.09722,77,10347,0.0861,0.1081
54,54,1986,"Rhineland-Palatinate, Saarland",Never,0.653,492,10347,0.62735,0.68126
55,55,1986,Baden-Wuerttemberg,At least once per week,0.22113,424,10347,0.20809,0.23311
56,56,1986,Baden-Wuerttemberg,At least once per month,0.0566,111,10347,0.05011,0.06258
57,57,1986,Baden-Wuerttemberg,Seldom,0.13879,249,10347,0.12997,0.14838
58,58,1986,Baden-Wuerttemberg,Never,0.58348,1184,10347,0.56212,0.61042
59,59,1986,Bavaria,At least once per week,0.27068,477,10347,0.26053,0.2802
60,60,1986,Bavaria,At least once per month,0.05902,108,10347,0.05416,0.06423
61,61,1986,Bavaria,Seldom,0.12256,234,10347,0.11586,0.13062
62,62,1986,Bavaria,Never,0.54774,930,10347,0.52918,0.56859
63,63,1986,Berlin,At least once per week,0.22435,70,10347,0.20247,0.246
64,64,1986,Berlin,Seldom,0.095,41,10347,0.07605,0.1127
65,65,1986,Berlin,Never,0.68065,211,10347,0.62049,0.73681
66,66,1988,Schleswig-Holstein,At least once per week,0.3537,103,9759,0.32084,0.38264
67,67,1988,Schleswig-Holstein,Seldom,0.16238,49,9759,0.1425,0.18532
68,68,1988,Schleswig-Holstein,Never,0.48392,147,9759,0.44615,0.52266
69,69,1988,Hamburg,At least once per week,0.38371,56,9759,0.33058,0.44257
70,70,1988,Hamburg,Never,0.61629,102,9759,0.55196,0.69845
71,71,1988,Lower Saxony,At least once per week,0.28315,310,9759,0.2693,0.29764
72,72,1988,Lower Saxony,At least once per month,0.04133,45,9759,0.03487,0.04842
73,73,1988,Lower Saxony,Seldom,0.11899,128,9759,0.10942,0.13019
74,74,1988,Lower Saxony,Never,0.55653,556,9759,0.53033,0.58273
75,75,1988,Bremen,Never,1.0,59,9759,0.86047,1.11995
76,76,1988,North Rhine-Westphalia,At least once per week,0.25718,676,9759,0.24764,0.26787
77,77,1988,North Rhine-Westphalia,At least once per month,0.04804,129,9759,0.0431,0.05318
78,78,1988,North Rhine-Westphalia,Seldom,0.13516,351,9759,0.12687,0.14244
79,79,1988,North Rhine-Westphalia,Never,0.55962,1518,9759,0.54041,0.57898
80,80,1988,Hesse,At least once per week,0.22622,211,9759,0.20595,0.24404
81,81,1988,Hesse,At least once per month,0.05432,49,9759,0.0438,0.06552
82,82,1988,Hesse,Seldom,0.10817,98,9759,0.09549,0.11955
83,83,1988,Hesse,Never,0.61129,635,9759,0.57138,0.65303
84,84,1988,"Rhineland-Palatinate, Saarland",At least once per week,0.19382,143,9759,0.18062,0.20856
85,85,1988,"Rhineland-Palatinate, Saarland",At least once per month,0.06253,41,9759,0.05628,0.07055
86,86,1988,"Rhineland-Palatinate, Saarland",Seldom,0.1095,89,9759,0.09839,0.11992
87,87,1988,"Rhineland-Palatinate, Saarland",Never,0.63415,454,9759,0.6053,0.66887
88,88,1988,Baden-Wuerttemberg,At least once per week,0.23209,410,9759,0.21889,0.24439
89,89,1988,Baden-Wuerttemberg,At least once per month,0.06433,110,9759,0.05692,0.07168
90,90,1988,Baden-Wuerttemberg,Seldom,0.15157,260,9759,0.13964,0.16317
91,91,1988,Baden-Wuerttemberg,Never,0.55201,1092,9759,0.52192,0.58101
92,92,1988,Bavaria,At least once per week,0.25326,420,9759,0.23973,0.26365
93,93,1988,Bavaria,At least once per month,0.06028,103,9759,0.05402,0.06725
94,94,1988,Bavaria,Seldom,0.15985,269,9759,0.14927,0.17079
95,95,1988,Bavaria,Never,0.5266,828,9759,0.50831,0.54774
96,96,1988,Berlin,At least once per week,0.21928,67,9759,0.18425,0.25701
97,97,1988,Berlin,Seldom,0.11263,43,9759,0.09622,0.13281
98,98,1988,Berlin,Never,0.6681,208,9759,0.61023,0.73217
99,99,1990,Schleswig-Holstein,At least once per week,0.38435,97,13502,0.34712,0.42249
100,100,1990,Schleswig-Holstein,Seldom,0.29295,70,13502,0.26869,0.32504
101,101,1990,Schleswig-Holstein,Never,0.3227,94,13502,0.28583,0.35349
102,102,1990,Hamburg,At least once per week,0.41451,51,13502,0.33339,0.48631
103,103,1990,Hamburg,Never,0.58549,78,13502,0.50421,0.66539
104,104,1990,Lower Saxony,At least once per week,0.30251,303,13502,0.2845,0.3201
105,105,1990,Lower Saxony,At least once per month,0.08377,81,13502,0.07412,0.09178
106,106,1990,Lower Saxony,Seldom,0.1801,183,13502,0.1661,0.19311
107,107,1990,Lower Saxony,Never,0.43361,405,13502,0.41023,0.45816
108,108,1990,Bremen,Never,1.0,59,13502,0.89354,1.11304
109,109,1990,North Rhine-Westphalia,At least once per week,0.29468,720,13502,0.28225,0.30683
110,110,1990,North Rhine-Westphalia,At least once per month,0.0922,214,13502,0.08411,0.0982
111,111,1990,North Rhine-Westphalia,Seldom,0.18924,466,13502,0.17943,0.19901
112,112,1990,North Rhine-Westphalia,Never,0.42388,1145,13502,0.40732,0.43973
113,113,1990,Hesse,At least once per week,0.3007,260,13502,0.27964,0.32325
114,114,1990,Hesse,At least once per month,0.06105,65,13502,0.05254,0.06942
115,115,1990,Hesse,Seldom,0.1818,158,13502,0.16665,0.19874
116,116,1990,Hesse,Never,0.45645,494,13502,0.41589,0.4863
117,117,1990,"Rhineland-Palatinate, Saarland",At least once per week,0.25585,170,13502,0.23756,0.27431
118,118,1990,"Rhineland-Palatinate, Saarland",At least once per month,0.07322,46,13502,0.06306,0.08264
119,119,1990,"Rhineland-Palatinate, Saarland",Seldom,0.13915,93,13502,0.12267,0.15341
120,120,1990,"Rhineland-Palatinate, Saarland",Never,0.53178,360,13502,0.49542,0.56132
121,121,1990,Baden-Wuerttemberg,At least once per week,0.27962,443,13502,0.26453,0.29497
122,122,1990,Baden-Wuerttemberg,At least once per month,0.09411,164,13502,0.08325,0.10499
123,123,1990,Baden-Wuerttemberg,Seldom,0.21223,355,13502,0.19922,0.22716
124,124,1990,Baden-Wuerttemberg,Never,0.41403,813,13502,0.3895,0.43944
125,125,1990,Bavaria,At least once per week,0.27916,440,13502,0.26384,0.29315
126,126,1990,Bavaria,At least once per month,0.10956,174,13502,0.10175,0.11862
127,127,1990,Bavaria,Seldom,0.24084,364,13502,0.22937,0.25313
128,128,1990,Bavaria,Never,0.37043,611,13502,0.35045,0.39034
129,129,1990,Berlin,At least once per week,0.23874,141,13502,0.21503,0.26535
130,130,1990,Berlin,At least once per month,0.0578,35,13502,0.04608,0.07265
131,131,1990,Berlin,Seldom,0.19352,123,13502,0.17294,0.21596
132,132,1990,Berlin,Never,0.50994,317,13502,0.46308,0.5485
133,133,1990,Brandenburg,At least once per week,0.11472,77,13502,0.10325,0.12461
134,134,1990,Brandenburg,Seldom,0.14903,105,13502,0.13658,0.16143
135,135,1990,Brandenburg,Never,0.73626,506,13502,0.70148,0.77024
136,136,1990,Mecklenburg-Western Pomerania,At least once per week,0.10462,53,13502,0.09589,0.11468
137,137,1990,Mecklenburg-Western Pomerania,Seldom,0.1414,73,13502,0.12947,0.15497
138,138,1990,Mecklenburg-Western Pomerania,Never,0.75398,341,13502,0.71773,0.79212
139,139,1990,Saxony,At least once per week,0.13634,197,13502,0.12837,0.14323
140,140,1990,Saxony,At least once per month,0.03559,50,13502,0.03285,0.03848
141,141,1990,Saxony,Seldom,0.12652,177,13502,0.12085,0.13277
142,142,1990,Saxony,Never,0.70155,860,13502,0.68091,0.71984
143,143,1990,Saxony-Anhalt,At least once per week,0.13199,97,13502,0.11625,0.15159
144,144,1990,Saxony-Anhalt,Seldom,0.11628,108,13502,0.10804,0.12563
145,145,1990,Saxony-Anhalt,Never,0.75173,553,13502,0.72368,0.7807
146,146,1990,Thuringa,At least once per week,0.11928,95,13502,0.10918,0.12905
147,147,1990,Thuringa,Seldom,0.1273,99,13502,0.11564,0.13838
148,148,1990,Thuringa,Never,0.75342,519,13502,0.72514,0.78366
149,149,1992,Schleswig-Holstein,At least once per week,0.31428,76,12939,0.2844,0.34575
150,150,1992,Schleswig-Holstein,Seldom,0.1424,36,12939,0.11699,0.1643
151,151,1992,Schleswig-Holstein,Never,0.54332,142,12939,0.49095,0.59289
152,152,1992,Hamburg,At least once per week,0.34431,36,12939,0.29155,0.39945
153,153,1992,Hamburg,Never,0.65569,85,12939,0.56638,0.77305
154,154,1992,Lower Saxony,At least once per week,0.28257,275,12939,0.26271,0.3031
155,155,1992,Lower Saxony,At least once per month,0.06068,63,12939,0.05201,0.07084
156,156,1992,Lower Saxony,Seldom,0.14547,146,12939,0.13111,0.15851
157,157,1992,Lower Saxony,Never,0.51128,466,12939,0.48157,0.53623
158,158,1992,Bremen,Never,1.0,54,12939,0.89566,1.15378
159,159,1992,North Rhine-Westphalia,At least once per week,0.25508,618,12939,0.24281,0.26765
160,160,1992,North Rhine-Westphalia,At least once per month,0.07883,186,12939,0.07133,0.08746
161,161,1992,North Rhine-Westphalia,Seldom,0.16673,404,12939,0.15533,0.17972
162,162,1992,North Rhine-Westphalia,Never,0.49936,1257,12939,0.48128,0.52017
163,163,1992,Hesse,At least once per week,0.24418,211,12939,0.21969,0.26689
164,164,1992,Hesse,At least once per month,0.04668,41,12939,0.03766,0.05447
165,165,1992,Hesse,Seldom,0.1479,140,12939,0.13335,0.16235
166,166,1992,Hesse,Never,0.56125,543,12939,0.52212,0.59419
167,167,1992,"Rhineland-Palatinate, Saarland",At least once per week,0.2119,149,12939,0.19545,0.23058
168,168,1992,"Rhineland-Palatinate, Saarland",At least once per month,0.07355,43,12939,0.06477,0.08369
169,169,1992,"Rhineland-Palatinate, Saarland",Seldom,0.10568,76,12939,0.09128,0.11826
170,170,1992,"Rhineland-Palatinate, Saarland",Never,0.60887,380,12939,0.58008,0.63744
171,171,1992,Baden-Wuerttemberg,At least once per week,0.25688,426,12939,0.24198,0.27418
172,172,1992,Baden-Wuerttemberg,At least once per month,0.06648,116,12939,0.05481,0.07774
173,173,1992,Baden-Wuerttemberg,Seldom,0.17142,270,12939,0.15464,0.18779
174,174,1992,Baden-Wuerttemberg,Never,0.50521,912,12939,0.4763,0.52893
175,175,1992,Bavaria,At least once per week,0.25928,408,12939,0.24416,0.27503
176,176,1992,Bavaria,At least once per month,0.07454,127,12939,0.0662,0.08443
177,177,1992,Bavaria,Seldom,0.1947,327,12939,0.18126,0.20788
178,178,1992,Bavaria,Never,0.47149,746,12939,0.45299,0.49903
179,179,1992,Berlin,At least once per week,0.23438,124,12939,0.2091,0.25874
180,180,1992,Berlin,At least once per month,0.05194,33,12939,0.04317,0.06499
181,181,1992,Berlin,Seldom,0.16196,105,12939,0.14098,0.18669
182,182,1992,Berlin,Never,0.55172,325,12939,0.51346,0.59378
183,183,1992,Brandenburg,At least once per week,0.12456,76,12939,0.10989,0.14288
184,184,1992,Brandenburg,Seldom,0.16647,112,12939,0.14969,0.1866
185,185,1992,Brandenburg,Never,0.70897,443,12939,0.67816,0.73849
186,186,1992,Mecklenburg-Western Pomerania,At least once per week,0.13035,53,12939,0.11284,0.14887
187,187,1992,Mecklenburg-Western Pomerania,Seldom,0.14752,72,12939,0.13334,0.16052
188,188,1992,Mecklenburg-Western Pomerania,Never,0.72212,277,12939,0.67853,0.76024
189,189,1992,Saxony,At least once per week,0.11498,147,12939,0.1072,0.12316
190,190,1992,Saxony,At least once per month,0.03611,43,12939,0.03151,0.04078
191,191,1992,Saxony,Seldom,0.15058,200,12939,0.1426,0.16193
192,192,1992,Saxony,Never,0.69833,758,12939,0.67257,0.72521
193,193,1992,Saxony-Anhalt,At least once per week,0.10192,87,12939,0.08728,0.11537
194,194,1992,Saxony-Anhalt,At least once per month,0.06022,33,12939,0.05066,0.07093
195,195,1992,Saxony-Anhalt,Seldom,0.14136,136,12939,0.131,0.15521
196,196,1992,Saxony-Anhalt,Never,0.6965,502,12939,0.66153,0.73238
197,197,1992,Thuringa,At least once per week,0.10668,80,12939,0.09388,0.11906
198,198,1992,Thuringa,Seldom,0.16879,124,12939,0.15167,0.18399
199,199,1992,Thuringa,Never,0.72453,450,12939,0.69077,0.76885
200,200,1994,Schleswig-Holstein,At least once per week,0.31623,80,12494,0.28158,0.35367
201,201,1994,Schleswig-Holstein,Seldom,0.26914,64,12494,0.23187,0.30624
202,202,1994,Schleswig-Holstein,Never,0.41462,122,12494,0.37851,0.45543
203,203,1994,Hamburg,At least once per week,0.30732,36,12494,0.24333,0.36924
204,204,1994,Hamburg,Never,0.69268,77,12494,0.58948,0.78985
205,205,1994,Lower Saxony,At least once per week,0.27426,265,12494,0.25497,0.29739
206,206,1994,Lower Saxony,At least once per month,0.06535,66,12494,0.05456,0.08007
207,207,1994,Lower Saxony,Seldom,0.13275,129,12494,0.11754,0.14636
208,208,1994,Lower Saxony,Never,0.52764,488,12494,0.49697,0.55516
209,209,1994,Bremen,Never,1.0,47,12494,0.87815,1.15272
210,210,1994,North Rhine-Westphalia,At least once per week,0.25564,594,12494,0.24313,0.26888
211,211,1994,North Rhine-Westphalia,At least once per month,0.06285,160,12494,0.05595,0.06929
212,212,1994,North Rhine-Westphalia,Seldom,0.1754,437,12494,0.1623,0.18848
213,213,1994,North Rhine-Westphalia,Never,0.5061,1226,12494,0.48857,0.52585
214,214,1994,Hesse,At least once per week,0.26261,222,12494,0.2398,0.28419
215,215,1994,Hesse,At least once per month,0.05234,46,12494,0.04376,0.06399
216,216,1994,Hesse,Seldom,0.15518,141,12494,0.14026,0.17026
217,217,1994,Hesse,Never,0.52987,492,12494,0.49036,0.56605
218,218,1994,"Rhineland-Palatinate, Saarland",At least once per week,0.21816,136,12494,0.19708,0.24056
219,219,1994,"Rhineland-Palatinate, Saarland",At least once per month,0.05317,32,12494,0.04616,0.06145
220,220,1994,"Rhineland-Palatinate, Saarland",Seldom,0.17397,110,12494,0.15663,0.20036
221,221,1994,"Rhineland-Palatinate, Saarland",Never,0.5547,347,12494,0.51788,0.59398
222,222,1994,Baden-Wuerttemberg,At least once per week,0.24548,395,12494,0.2256,0.26106
223,223,1994,Baden-Wuerttemberg,At least once per month,0.07309,138,12494,0.06256,0.08391
224,224,1994,Baden-Wuerttemberg,Seldom,0.17813,321,12494,0.16297,0.19672
225,225,1994,Baden-Wuerttemberg,Never,0.5033,865,12494,0.47186,0.52995
226,226,1994,Bavaria,At least once per week,0.24728,374,12494,0.23263,0.26358
227,227,1994,Bavaria,At least once per month,0.0859,143,12494,0.07727,0.09468
228,228,1994,Bavaria,Seldom,0.20539,334,12494,0.19026,0.2235
229,229,1994,Bavaria,Never,0.46144,697,12494,0.43912,0.4879
230,230,1994,Berlin,At least once per week,0.24177,118,12494,0.21841,0.27047
231,231,1994,Berlin,At least once per month,0.05262,31,12494,0.04288,0.06387
232,232,1994,Berlin,Seldom,0.18054,97,12494,0.15547,0.20423
233,233,1994,Berlin,Never,0.52508,294,12494,0.48184,0.5767
234,234,1994,Brandenburg,At least once per week,0.10972,67,12494,0.09447,0.12588
235,235,1994,Brandenburg,Seldom,0.17023,108,12494,0.15422,0.18769
236,236,1994,Brandenburg,Never,0.72005,400,12494,0.69125,0.75693
237,237,1994,Mecklenburg-Western Pomerania,At least once per week,0.11061,48,12494,0.09036,0.13203
238,238,1994,Mecklenburg-Western Pomerania,Seldom,0.14997,67,12494,0.13171,0.17235
239,239,1994,Mecklenburg-Western Pomerania,Never,0.73941,276,12494,0.69338,0.78965
240,240,1994,Saxony,At least once per week,0.11325,140,12494,0.10474,0.12215
241,241,1994,Saxony,At least once per month,0.03927,46,12494,0.03351,0.04571
242,242,1994,Saxony,Seldom,0.16106,203,12494,0.15034,0.17362
243,243,1994,Saxony,Never,0.68642,718,12494,0.65933,0.71151
244,244,1994,Saxony-Anhalt,At least once per week,0.10896,80,12494,0.09361,0.12481
245,245,1994,Saxony-Anhalt,Seldom,0.13293,111,12494,0.12066,0.1487
246,246,1994,Saxony-Anhalt,Never,0.75812,481,12494,0.71461,0.80238
247,247,1994,Thuringa,At least once per week,0.11208,76,12494,0.09816,0.12697
248,248,1994,Thuringa,Seldom,0.15665,116,12494,0.14094,0.17306
249,249,1994,Thuringa,Never,0.73127,433,12494,0.69254,0.77219
250,250,1995,Schleswig-Holstein,At least once per week,0.35969,94,13059,0.31633,0.40028
251,251,1995,Schleswig-Holstein,Seldom,0.2534,60,13059,0.21649,0.29794
252,252,1995,Schleswig-Holstein,Never,0.38691,110,13059,0.34324,0.42869
253,253,1995,Hamburg,At least once per week,0.37222,41,13059,0.29299,0.46852
254,254,1995,Hamburg,Never,0.62778,59,13059,0.5083,0.76901
255,255,1995,Lower Saxony,At least once per week,0.30998,332,13059,0.28769,0.33185
256,256,1995,Lower Saxony,At least once per month,0.0834,87,13059,0.06965,0.09786
257,257,1995,Lower Saxony,Seldom,0.19133,198,13059,0.17298,0.211
258,258,1995,Lower Saxony,Never,0.41529,420,13059,0.38648,0.44183
259,259,1995,Bremen,Never,1.0,40,13059,0.82776,1.19786
260,260,1995,North Rhine-Westphalia,At least once per week,0.32332,763,13059,0.30822,0.3387
261,261,1995,North Rhine-Westphalia,At least once per month,0.07406,187,13059,0.06693,0.08161
262,262,1995,North Rhine-Westphalia,Seldom,0.19622,515,13059,0.18439,0.20993
263,263,1995,North Rhine-Westphalia,Never,0.40639,1098,13059,0.38923,0.42467
264,264,1995,Hesse,At least once per week,0.30719,257,13059,0.28411,0.32855
265,265,1995,Hesse,At least once per month,0.05312,54,13059,0.04392,0.064
266,266,1995,Hesse,Seldom,0.20894,181,13059,0.19136,0.23173
267,267,1995,Hesse,Never,0.43074,443,13059,0.39538,0.46891
268,268,1995,"Rhineland-Palatinate, Saarland",At least once per week,0.22489,157,13059,0.20532,0.25049
269,269,1995,"Rhineland-Palatinate, Saarland",At least once per month,0.07349,48,13059,0.05887,0.08579
270,270,1995,"Rhineland-Palatinate, Saarland",Seldom,0.18002,131,13059,0.16206,0.19893
271,271,1995,"Rhineland-Palatinate, Saarland",Never,0.5216,373,13059,0.48622,0.56017
272,272,1995,Baden-Wuerttemberg,At least once per week,0.29626,496,13059,0.27457,0.31971
273,273,1995,Baden-Wuerttemberg,At least once per month,0.08135,135,13059,0.07172,0.09305
274,274,1995,Baden-Wuerttemberg,Seldom,0.19856,350,13059,0.18342,0.2134
275,275,1995,Baden-Wuerttemberg,Never,0.42383,800,13059,0.40289,0.45631
276,276,1995,Bavaria,At least once per week,0.31783,507,13059,0.2984,0.3351
277,277,1995,Bavaria,At least once per month,0.07879,155,13059,0.07174,0.08578
278,278,1995,Bavaria,Seldom,0.21444,366,13059,0.19895,0.23139
279,279,1995,Bavaria,Never,0.38894,646,13059,0.36649,0.40965
280,280,1995,Berlin,At least once per week,0.26896,144,13059,0.243,0.29435
281,281,1995,Berlin,At least once per month,0.08713,49,13059,0.07241,0.10289
282,282,1995,Berlin,Seldom,0.24891,147,13059,0.22377,0.27452
283,283,1995,Berlin,Never,0.39499,224,13059,0.35338,0.4332
284,284,1995,Brandenburg,At least once per week,0.16741,101,13059,0.14789,0.19421
285,285,1995,Brandenburg,At least once per month,0.05437,35,13059,0.04467,0.06621
286,286,1995,Brandenburg,Seldom,0.25892,171,13059,0.24331,0.27748
287,287,1995,Brandenburg,Never,0.5193,277,13059,0.49065,0.55227
288,288,1995,Mecklenburg-Western Pomerania,At least once per week,0.19788,86,13059,0.16525,0.22866
289,289,1995,Mecklenburg-Western Pomerania,Seldom,0.31234,128,13059,0.28204,0.34193
290,290,1995,Mecklenburg-Western Pomerania,Never,0.48978,175,13059,0.44851,0.53342
291,291,1995,Saxony,At least once per week,0.17324,220,13059,0.16078,0.18768
292,292,1995,Saxony,At least once per month,0.06526,76,13059,0.05819,0.07515
293,293,1995,Saxony,Seldom,0.24216,284,13059,0.22508,0.25764
294,294,1995,Saxony,Never,0.51934,508,13059,0.49307,0.54559
295,295,1995,Saxony-Anhalt,At least once per week,0.16504,121,13059,0.14795,0.18386
296,296,1995,Saxony-Anhalt,At least once per month,0.03528,35,13059,0.0292,0.04238
297,297,1995,Saxony-Anhalt,Seldom,0.22806,185,13059,0.20787,0.2507
298,298,1995,Saxony-Anhalt,Never,0.57162,344,13059,0.53335,0.60571
299,299,1995,Thuringa,At least once per week,0.17863,122,13059,0.16053,0.19934
300,300,1995,Thuringa,At least once per month,0.05541,35,13059,0.04247,0.06979
301,301,1995,Thuringa,Seldom,0.21828,175,13059,0.1949,0.24416
302,302,1995,Thuringa,Never,0.54768,314,13059,0.51529,0.58375
303,303,1996,Schleswig-Holstein,At least once per week,0.3639,82,12727,0.31911,0.41283
304,304,1996,Schleswig-Holstein,Seldom,0.21899,53,12727,0.18207,0.25438
305,305,1996,Schleswig-Holstein,Never,0.4171,115,12727,0.36943,0.47142
306,306,1996,Hamburg,At least once per week,0.41207,36,12727,0.33482,0.51842
307,307,1996,Hamburg,Never,0.58793,60,12727,0.49665,0.71631
308,308,1996,Lower Saxony,At least once per week,0.2791,281,12727,0.26063,0.30083
309,309,1996,Lower Saxony,At least once per month,0.06333,73,12727,0.05458,0.07433
310,310,1996,Lower Saxony,Seldom,0.206,205,12727,0.18645,0.2266
311,311,1996,Lower Saxony,Never,0.45157,476,12727,0.42665,0.48237
312,312,1996,Bremen,Never,1.0,48,12727,0.85786,1.15127
313,313,1996,North Rhine-Westphalia,At least once per week,0.26409,614,12727,0.25188,0.27925
314,314,1996,North Rhine-Westphalia,At least once per month,0.08524,211,12727,0.07738,0.0942
315,315,1996,North Rhine-Westphalia,Seldom,0.20568,536,12727,0.1947,0.21858
316,316,1996,North Rhine-Westphalia,Never,0.44499,1181,12727,0.42348,0.4638
317,317,1996,Hesse,At least once per week,0.2725,226,12727,0.24612,0.29543
318,318,1996,Hesse,At least once per month,0.06095,48,12727,0.04712,0.07531
319,319,1996,Hesse,Seldom,0.15926,146,12727,0.14106,0.17576
320,320,1996,Hesse,Never,0.50729,482,12727,0.47157,0.53899
321,321,1996,"Rhineland-Palatinate, Saarland",At least once per week,0.21088,143,12727,0.18974,0.23335
322,322,1996,"Rhineland-Palatinate, Saarland",At least once per month,0.06013,43,12727,0.05234,0.06882
323,323,1996,"Rhineland-Palatinate, Saarland",Seldom,0.18412,126,12727,0.16446,0.20137
324,324,1996,"Rhineland-Palatinate, Saarland",Never,0.54487,376,12727,0.50954,0.58465
325,325,1996,Baden-Wuerttemberg,At least once per week,0.25312,382,12727,0.2341,0.27283
326,326,1996,Baden-Wuerttemberg,At least once per month,0.06588,129,12727,0.05627,0.07654
327,327,1996,Baden-Wuerttemberg,Seldom,0.20512,363,12727,0.18343,0.2231
328,328,1996,Baden-Wuerttemberg,Never,0.47588,819,12727,0.44814,0.50622
329,329,1996,Bavaria,At least once per week,0.27638,437,12727,0.2579,0.29897
330,330,1996,Bavaria,At least once per month,0.081,144,12727,0.07223,0.09167
331,331,1996,Bavaria,Seldom,0.20786,372,12727,0.19389,0.22313
332,332,1996,Bavaria,Never,0.43476,684,12727,0.40789,0.4571
333,333,1996,Berlin,At least once per week,0.23368,124,12727,0.21302,0.26565
334,334,1996,Berlin,At least once per month,0.06549,35,12727,0.05241,0.07824
335,335,1996,Berlin,Seldom,0.21267,118,12727,0.19108,0.2389
336,336,1996,Berlin,Never,0.48816,257,12727,0.44501,0.52996
337,337,1996,Brandenburg,At least once per week,0.12841,76,12727,0.11063,0.14422
