,Unnamed: 0,year,pgisced97,sampreg,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
74,74,1990,Primary Level,West,Never,0.75284,496,13314,0.68857,0.82649
75,75,1990,Lower Secondary Level,West,At least once per week,0.19337,491,13314,0.1811,0.20523
76,76,1990,Lower Secondary Level,West,At least once per month,0.05678,158,13314,0.05078,0.06359
77,77,1990,Lower Secondary Level,West,Seldom,0.14458,369,13314,0.13419,0.15602
78,78,1990,Lower Secondary Level,West,Never,0.60528,1427,13314,0.57974,0.62857
79,79,1990,Lower Secondary Level,East,At least once per week,0.1083,62,13314,0.0957,0.1223
80,80,1990,Lower Secondary Level,East,Seldom,0.08826,60,13314,0.07968,0.09575
81,81,1990,Lower Secondary Level,East,Never,0.80344,361,13314,0.76909,0.83988
82,82,1990,Upper Secondary Level,West,At least once per week,0.29363,1331,13314,0.28524,0.30087
83,83,1990,Upper Secondary Level,West,At least once per month,0.09648,434,13314,0.09197,0.10055
84,84,1990,Upper Secondary Level,West,Seldom,0.21596,967,13314,0.20987,0.22282
85,85,1990,Upper Secondary Level,West,Never,0.39393,1787,13314,0.38091,0.4056
86,86,1990,Upper Secondary Level,East,At least once per week,0.10018,252,13314,0.0954,0.10555
87,87,1990,Upper Secondary Level,East,At least once per month,0.02553,69,13314,0.02383,0.02735
88,88,1990,Upper Secondary Level,East,Seldom,0.12066,311,13314,0.11531,0.12679
89,89,1990,Upper Secondary Level,East,Never,0.75363,1812,13314,0.74107,0.77049
90,90,1990,Post-secondary Non-tertiary Level,West,At least once per week,0.47497,112,13314,0.41961,0.53071
91,91,1990,Post-secondary Non-tertiary Level,West,Seldom,0.24309,63,13314,0.208,0.28348
92,92,1990,Post-secondary Non-tertiary Level,West,Never,0.28195,89,13314,0.24408,0.32595
93,93,1990,Post-secondary Non-tertiary Level,East,Never,1.0,37,13314,0.85855,1.17915
94,94,1990,First Stage of Tertiary Education,West,At least once per week,0.31725,166,13314,0.29299,0.3406
95,95,1990,First Stage of Tertiary Education,West,At least once per month,0.11414,59,13314,0.10328,0.12633
96,96,1990,First Stage of Tertiary Education,West,Seldom,0.23997,124,13314,0.22056,0.26354
97,97,1990,First Stage of Tertiary Education,West,Never,0.32865,164,13314,0.30529,0.35364
98,98,1990,First Stage of Tertiary Education,East,At least once per week,0.11625,31,13314,0.1023,0.13023
99,99,1990,First Stage of Tertiary Education,East,Seldom,0.1067,31,13314,0.09601,0.11799
100,100,1990,First Stage of Tertiary Education,East,Never,0.77704,171,13314,0.72257,0.82119
101,101,1990,Second Stage of Tertiary Education,West,At least once per week,0.42902,291,13314,0.40613,0.45445
102,102,1990,Second Stage of Tertiary Education,West,At least once per month,0.10758,72,13314,0.09866,0.11896
103,103,1990,Second Stage of Tertiary Education,West,Seldom,0.22892,164,13314,0.21243,0.24547
104,104,1990,Second Stage of Tertiary Education,West,Never,0.23448,164,13314,0.21682,0.25558
105,105,1990,Second Stage of Tertiary Education,East,At least once per week,0.19783,191,13314,0.18661,0.21371
106,106,1990,Second Stage of Tertiary Education,East,At least once per month,0.04607,47,13314,0.04194,0.05166
107,107,1990,Second Stage of Tertiary Education,East,Seldom,0.19417,196,13314,0.1836,0.2046
108,108,1990,Second Stage of Tertiary Education,East,Never,0.56193,539,13314,0.54372,0.58517
109,109,1992,Pre-primary Level,West,At least once per week,1.0,99,12670,0.88881,1.11701
110,110,1992,Primary Level,West,At least once per week,0.08576,41,12670,0.06744,0.10549
111,111,1992,Primary Level,West,Seldom,0.06622,39,12670,0.04763,0.08214
112,112,1992,Primary Level,West,Never,0.84802,494,12670,0.78063,0.91677
113,113,1992,Lower Secondary Level,West,At least once per week,0.166,402,12670,0.15656,0.17507
114,114,1992,Lower Secondary Level,West,At least once per month,0.04245,118,12670,0.03578,0.04838
115,115,1992,Lower Secondary Level,West,Seldom,0.11361,286,12670,0.10481,0.12297
116,116,1992,Lower Secondary Level,West,Never,0.67794,1469,12670,0.64806,0.70343
117,117,1992,Lower Secondary Level,East,At least once per week,0.11386,59,12670,0.09619,0.13235
118,118,1992,Lower Secondary Level,East,Seldom,0.10633,65,12670,0.09513,0.11964
119,119,1992,Lower Secondary Level,East,Never,0.7798,299,12670,0.73334,0.83375
120,120,1992,Upper Secondary Level,West,At least once per week,0.25789,1174,12670,0.24856,0.26601
121,121,1992,Upper Secondary Level,West,At least once per month,0.06607,301,12670,0.06157,0.07127
122,122,1992,Upper Secondary Level,West,Seldom,0.16922,780,12670,0.16306,0.17717
123,123,1992,Upper Secondary Level,West,Never,0.50683,2143,12670,0.49459,0.51797
124,124,1992,Upper Secondary Level,East,At least once per week,0.09568,214,12670,0.08859,0.10285
125,125,1992,Upper Secondary Level,East,At least once per month,0.03346,76,12670,0.02967,0.03857
126,126,1992,Upper Secondary Level,East,Seldom,0.14195,341,12670,0.1344,0.149
127,127,1992,Upper Secondary Level,East,Never,0.72892,1561,12670,0.71209,0.74979
128,128,1992,Post-secondary Non-tertiary Level,West,At least once per week,0.37446,110,12670,0.32709,0.42098
129,129,1992,Post-secondary Non-tertiary Level,West,At least once per month,0.10462,32,12670,0.07831,0.13018
130,130,1992,Post-secondary Non-tertiary Level,West,Seldom,0.21649,62,12670,0.17959,0.25367
131,131,1992,Post-secondary Non-tertiary Level,West,Never,0.30443,108,12670,0.26013,0.35305
132,132,1992,Post-secondary Non-tertiary Level,East,Never,1.0,34,12670,0.79692,1.19903
133,133,1992,First Stage of Tertiary Education,West,At least once per week,0.29776,152,12670,0.27129,0.32425
134,134,1992,First Stage of Tertiary Education,West,At least once per month,0.09657,47,12670,0.08214,0.11395
135,135,1992,First Stage of Tertiary Education,West,Seldom,0.20599,115,12670,0.18332,0.23415
136,136,1992,First Stage of Tertiary Education,West,Never,0.39967,211,12670,0.371,0.42905
137,137,1992,First Stage of Tertiary Education,East,Seldom,0.16844,42,12670,0.14722,0.18654
138,138,1992,First Stage of Tertiary Education,East,Never,0.83156,158,12670,0.77556,0.89327
139,139,1992,Second Stage of Tertiary Education,West,At least once per week,0.3883,278,12670,0.36445,0.40771
140,140,1992,Second Stage of Tertiary Education,West,At least once per month,0.1004,72,12670,0.08898,0.11195
141,141,1992,Second Stage of Tertiary Education,West,Seldom,0.17601,139,12670,0.16177,0.19122
142,142,1992,Second Stage of Tertiary Education,West,Never,0.33528,242,12670,0.31494,0.35718
143,143,1992,Second Stage of Tertiary Education,East,At least once per week,0.18263,166,12670,0.17052,0.19905
144,144,1992,Second Stage of Tertiary Education,East,At least once per month,0.0418,32,12670,0.03488,0.05025
145,145,1992,Second Stage of Tertiary Education,East,Seldom,0.22823,223,12670,0.21132,0.24537
146,146,1992,Second Stage of Tertiary Education,East,Never,0.54733,486,12670,0.52438,0.57285
147,147,1994,Pre-primary Level,West,At least once per week,1.0,102,12177,0.89119,1.13891
148,148,1994,Primary Level,West,At least once per week,0.06533,35,12177,0.05037,0.0865
149,149,1994,Primary Level,West,Seldom,0.09415,53,12177,0.075,0.11511
150,150,1994,Primary Level,West,Never,0.84051,444,12177,0.77585,0.92649
151,151,1994,Lower Secondary Level,West,At least once per week,0.15461,321,12177,0.14525,0.16525
152,152,1994,Lower Secondary Level,West,At least once per month,0.04781,114,12177,0.04099,0.05725
153,153,1994,Lower Secondary Level,West,Seldom,0.12083,287,12177,0.10959,0.13209
154,154,1994,Lower Secondary Level,West,Never,0.67676,1310,12177,0.64808,0.70473
155,155,1994,Lower Secondary Level,East,At least once per week,0.11956,53,12177,0.10188,0.13927
156,156,1994,Lower Secondary Level,East,Seldom,0.10265,54,12177,0.09162,0.11456
157,157,1994,Lower Secondary Level,East,Never,0.77779,268,12177,0.7252,0.82464
158,158,1994,Upper Secondary Level,West,At least once per week,0.24439,1112,12177,0.23523,0.25302
159,159,1994,Upper Secondary Level,West,At least once per month,0.06369,314,12177,0.05886,0.06768
160,160,1994,Upper Secondary Level,West,Seldom,0.19254,869,12177,0.18359,0.20121
161,161,1994,Upper Secondary Level,West,Never,0.49938,2116,12177,0.48653,0.51259
162,162,1994,Upper Secondary Level,East,At least once per week,0.09773,207,12177,0.09003,0.10558
163,163,1994,Upper Secondary Level,East,At least once per month,0.02771,60,12177,0.02328,0.03284
164,164,1994,Upper Secondary Level,East,Seldom,0.13589,326,12177,0.12802,0.14428
165,165,1994,Upper Secondary Level,East,Never,0.73866,1470,12177,0.71909,0.75892
166,166,1994,Post-secondary Non-tertiary Level,West,At least once per week,0.43886,116,12177,0.39192,0.50376
167,167,1994,Post-secondary Non-tertiary Level,West,Seldom,0.24433,66,12177,0.20464,0.28965
168,168,1994,Post-secondary Non-tertiary Level,West,Never,0.31682,111,12177,0.27447,0.35573
169,169,1994,Post-secondary Non-tertiary Level,East,Never,1.0,38,12177,0.81478,1.24464
170,170,1994,First Stage of Tertiary Education,West,At least once per week,0.26658,141,12177,0.24,0.29104
171,171,1994,First Stage of Tertiary Education,West,At least once per month,0.08312,44,12177,0.06849,0.09899
172,172,1994,First Stage of Tertiary Education,West,Seldom,0.2304,122,12177,0.20272,0.2602
173,173,1994,First Stage of Tertiary Education,West,Never,0.4199,204,12177,0.38432,0.45684
174,174,1994,First Stage of Tertiary Education,East,Seldom,0.19647,42,12177,0.16596,0.23649
175,175,1994,First Stage of Tertiary Education,East,Never,0.80353,150,12177,0.72874,0.86811
176,176,1994,Second Stage of Tertiary Education,West,At least once per week,0.42152,312,12177,0.38927,0.44934
177,177,1994,Second Stage of Tertiary Education,West,At least once per month,0.10327,86,12177,0.09084,0.11615
178,178,1994,Second Stage of Tertiary Education,West,Seldom,0.19433,162,12177,0.17343,0.21234
179,179,1994,Second Stage of Tertiary Education,West,Never,0.28088,225,12177,0.26122,0.30012
180,180,1994,Second Stage of Tertiary Education,East,At least once per week,0.15171,134,12177,0.14059,0.16629
181,181,1994,Second Stage of Tertiary Education,East,At least once per month,0.05583,43,12177,0.04493,0.06782
182,182,1994,Second Stage of Tertiary Education,East,Seldom,0.20124,179,12177,0.18499,0.21701
183,183,1994,Second Stage of Tertiary Education,East,Never,0.59122,487,12177,0.56091,0.62222
184,184,1995,Pre-primary Level,West,At least once per week,1.0,142,12688,0.90722,1.079
185,185,1995,Pre-primary Level,East,At least once per week,1.0,59,12688,0.89315,1.10745
186,186,1995,Primary Level,West,Seldom,0.1593,62,12688,0.12304,0.20949
187,187,1995,Primary Level,West,Never,0.8407,423,12688,0.77559,0.90267
188,188,1995,Lower Secondary Level,West,At least once per week,0.17766,394,12688,0.1635,0.18973
189,189,1995,Lower Secondary Level,West,At least once per month,0.04656,119,12688,0.04095,0.05404
190,190,1995,Lower Secondary Level,West,Seldom,0.1538,323,12688,0.13986,0.16742
191,191,1995,Lower Secondary Level,West,Never,0.62197,1253,12688,0.59485,0.651
192,192,1995,Lower Secondary Level,East,At least once per week,0.15209,74,12688,0.13829,0.16975
193,193,1995,Lower Secondary Level,East,Seldom,0.12101,61,12688,0.1069,0.13873
194,194,1995,Lower Secondary Level,East,Never,0.7269,222,12688,0.67967,0.788
195,195,1995,Upper Secondary Level,West,At least once per week,0.29912,1402,12688,0.28926,0.31022
196,196,1995,Upper Secondary Level,West,At least once per month,0.08451,392,12688,0.07949,0.08958
197,197,1995,Upper Secondary Level,West,Seldom,0.21377,1005,12688,0.20477,0.2224
198,198,1995,Upper Secondary Level,West,Never,0.40259,1848,12688,0.3904,0.41519
199,199,1995,Upper Secondary Level,East,At least once per week,0.15506,325,12688,0.14404,0.16764
200,200,1995,Upper Secondary Level,East,At least once per month,0.04999,108,12688,0.04458,0.05637
201,201,1995,Upper Secondary Level,East,Seldom,0.24863,552,12688,0.2355,0.2632
202,202,1995,Upper Secondary Level,East,Never,0.54631,1046,12688,0.52792,0.56599
203,203,1995,Post-secondary Non-tertiary Level,West,At least once per week,0.40473,138,12688,0.35845,0.45522
204,204,1995,Post-secondary Non-tertiary Level,West,At least once per month,0.08787,34,12688,0.06355,0.11149
205,205,1995,Post-secondary Non-tertiary Level,West,Seldom,0.20884,94,12688,0.18244,0.23752
206,206,1995,Post-secondary Non-tertiary Level,West,Never,0.29857,134,12688,0.25282,0.33317
207,207,1995,First Stage of Tertiary Education,West,At least once per week,0.35138,180,12688,0.31832,0.3886
208,208,1995,First Stage of Tertiary Education,West,At least once per month,0.07991,44,12688,0.06357,0.09827
209,209,1995,First Stage of Tertiary Education,West,Seldom,0.27913,153,12688,0.25445,0.3124
210,210,1995,First Stage of Tertiary Education,West,Never,0.28957,145,12688,0.25637,0.31681
211,211,1995,First Stage of Tertiary Education,East,At least once per week,0.1436,32,12688,0.11407,0.17788
212,212,1995,First Stage of Tertiary Education,East,Seldom,0.26082,69,12688,0.22875,0.29431
213,213,1995,First Stage of Tertiary Education,East,Never,0.59558,111,12688,0.5224,0.66464
214,214,1995,Second Stage of Tertiary Education,West,At least once per week,0.46236,407,12688,0.43348,0.48961
215,215,1995,Second Stage of Tertiary Education,West,At least once per month,0.09385,92,12688,0.08117,0.1085
216,216,1995,Second Stage of Tertiary Education,West,Seldom,0.2122,204,12688,0.19394,0.23467
217,217,1995,Second Stage of Tertiary Education,West,Never,0.23159,210,12688,0.20853,0.25052
218,218,1995,Second Stage of Tertiary Education,East,At least once per week,0.24115,202,12688,0.2232,0.26447
219,219,1995,Second Stage of Tertiary Education,East,At least once per month,0.08164,70,12688,0.07096,0.09279
220,220,1995,Second Stage of Tertiary Education,East,Seldom,0.31264,280,12688,0.29124,0.33564
221,221,1995,Second Stage of Tertiary Education,East,Never,0.36457,279,12688,0.34209,0.38916
222,222,1996,Pre-primary Level,West,At least once per week,0.82523,117,12462,0.74186,0.89759
223,223,1996,Pre-primary Level,West,Seldom,0.17477,32,12462,0.12947,0.21197
224,224,1996,Pre-primary Level,East,At least once per week,1.0,50,12462,0.8781,1.12693
225,225,1996,Primary Level,West,Seldom,0.1061,48,12462,0.0769,0.14222
226,226,1996,Primary Level,West,Never,0.8939,395,12462,0.81682,0.98685
227,227,1996,Lower Secondary Level,West,At least once per week,0.15588,309,12462,0.14331,0.1696
228,228,1996,Lower Secondary Level,West,At least once per month,0.05497,118,12462,0.04775,0.0629
229,229,1996,Lower Secondary Level,West,Seldom,0.14107,329,12462,0.13064,0.154
230,230,1996,Lower Secondary Level,West,Never,0.64808,1246,12462,0.61947,0.67399
231,231,1996,Lower Secondary Level,East,At least once per week,0.11266,51,12462,0.09746,0.12949
232,232,1996,Lower Secondary Level,East,Seldom,0.16098,72,12462,0.14448,0.18408
233,233,1996,Lower Secondary Level,East,Never,0.72636,214,12462,0.67176,0.78458
234,234,1996,Upper Secondary Level,West,At least once per week,0.26254,1163,12462,0.24996,0.27457
235,235,1996,Upper Secondary Level,West,At least once per month,0.07523,359,12462,0.06977,0.0815
236,236,1996,Upper Secondary Level,West,Seldom,0.20596,989,12462,0.19641,0.21625
237,237,1996,Upper Secondary Level,West,Never,0.45626,2040,12462,0.4438,0.46964
238,238,1996,Upper Secondary Level,East,At least once per week,0.11841,248,12462,0.10982,0.12667
239,239,1996,Upper Secondary Level,East,At least once per month,0.04154,100,12462,0.03687,0.04713
240,240,1996,Upper Secondary Level,East,Seldom,0.192,418,12462,0.18149,0.20758
241,241,1996,Upper Secondary Level,East,Never,0.64805,1248,12462,0.63075,0.66819
242,242,1996,Post-secondary Non-tertiary Level,West,At least once per week,0.32442,119,12462,0.27684,0.37104
243,243,1996,Post-secondary Non-tertiary Level,West,At least once per month,0.06769,32,12462,0.0528,0.09044
244,244,1996,Post-secondary Non-tertiary Level,West,Seldom,0.2407,86,12462,0.19958,0.27665
245,245,1996,Post-secondary Non-tertiary Level,West,Never,0.36719,158,12462,0.32498,0.41541
246,246,1996,Post-secondary Non-tertiary Level,East,Never,1.0,31,12462,0.75514,1.31821
247,247,1996,First Stage of Tertiary Education,West,At least once per week,0.30351,161,12462,0.27277,0.33522
248,248,1996,First Stage of Tertiary Education,West,At least once per month,0.08531,50,12462,0.07028,0.10374
249,249,1996,First Stage of Tertiary Education,West,Seldom,0.24148,132,12462,0.21002,0.27223
250,250,1996,First Stage of Tertiary Education,West,Never,0.3697,187,12462,0.33994,0.40314
251,251,1996,First Stage of Tertiary Education,East,At least once per week,0.14174,33,12462,0.11698,0.17422
252,252,1996,First Stage of Tertiary Education,East,Seldom,0.25358,54,12462,0.21702,0.30159
253,253,1996,First Stage of Tertiary Education,East,Never,0.60468,125,12462,0.54622,0.67343
254,254,1996,Second Stage of Tertiary Education,West,At least once per week,0.40049,355,12462,0.37001,0.43066
255,255,1996,Second Stage of Tertiary Education,West,At least once per month,0.10178,97,12462,0.08858,0.11747
256,256,1996,Second Stage of Tertiary Education,West,Seldom,0.23287,218,12462,0.21306,0.25613
257,257,1996,Second Stage of Tertiary Education,West,Never,0.26486,245,12462,0.24133,0.28791
258,258,1996,Second Stage of Tertiary Education,East,At least once per week,0.20587,178,12462,0.18808,0.22479
259,259,1996,Second Stage of Tertiary Education,East,At least once per month,0.05178,47,12462,0.04409,0.06103
260,260,1996,Second Stage of Tertiary Education,East,Seldom,0.22793,205,12462,0.21067,0.24293
261,261,1996,Second Stage of Tertiary Education,East,Never,0.51442,403,12462,0.4857,0.54602
262,262,1997,Pre-primary Level,West,At least once per week,0.80948,123,12224,0.72793,0.90857
263,263,1997,Pre-primary Level,West,Seldom,0.19052,35,12224,0.15674,0.23249
264,264,1997,Pre-primary Level,East,At least once per week,0.57435,49,12224,0.50138,0.66857
265,265,1997,Pre-primary Level,East,Seldom,0.42565,36,12224,0.35143,0.50839
266,266,1997,Primary Level,West,Seldom,0.15084,48,12224,0.10474,0.19924
267,267,1997,Primary Level,West,Never,0.84916,375,12224,0.77254,0.93496
268,268,1997,Lower Secondary Level,West,At least once per week,0.17293,336,12224,0.1594,0.18489
269,269,1997,Lower Secondary Level,West,At least once per month,0.04733,113,12224,0.04069,0.054
270,270,1997,Lower Secondary Level,West,Seldom,0.14266,304,12224,0.13093,0.15582
271,271,1997,Lower Secondary Level,West,Never,0.63709,1206,12224,0.607,0.66488
272,272,1997,Lower Secondary Level,East,At least once per week,0.12222,55,12224,0.1064,0.14366
273,273,1997,Lower Secondary Level,East,Seldom,0.14569,64,12224,0.12314,0.17493
274,274,1997,Lower Secondary Level,East,Never,0.73209,213,12224,0.67859,0.80066
275,275,1997,Upper Secondary Level,West,At least once per week,0.26375,1162,12224,0.25325,0.27332
276,276,1997,Upper Secondary Level,West,At least once per month,0.06308,305,12224,0.05862,0.06765
277,277,1997,Upper Secondary Level,West,Seldom,0.18752,863,12224,0.17905,0.19625
278,278,1997,Upper Secondary Level,West,Never,0.48565,2112,12224,0.47125,0.49984
279,279,1997,Upper Secondary Level,East,At least once per week,0.1162,237,12224,0.10686,0.12556
280,280,1997,Upper Secondary Level,East,At least once per month,0.03669,78,12224,0.03229,0.0431
281,281,1997,Upper Secondary Level,East,Seldom,0.18244,374,12224,0.17107,0.19289
282,282,1997,Upper Secondary Level,East,Never,0.66466,1267,12224,0.64403,0.6834
283,283,1997,Post-secondary Non-tertiary Level,West,At least once per week,0.37245,129,12224,0.32897,0.41742
284,284,1997,Post-secondary Non-tertiary Level,West,At least once per month,0.08486,32,12224,0.06291,0.10903
285,285,1997,Post-secondary Non-tertiary Level,West,Seldom,0.23466,79,12224,0.19573,0.27278
286,286,1997,Post-secondary Non-tertiary Level,West,Never,0.30803,134,12224,0.26385,0.34058
287,287,1997,First Stage of Tertiary Education,West,At least once per week,0.30081,157,12224,0.2652,0.33273
288,288,1997,First Stage of Tertiary Education,West,At least once per month,0.06704,35,12224,0.05519,0.08307
289,289,1997,First Stage of Tertiary Education,West,Seldom,0.22426,133,12224,0.19863,0.24468
290,290,1997,First Stage of Tertiary Education,West,Never,0.40789,196,12224,0.36589,0.44815
291,291,1997,First Stage of Tertiary Education,East,At least once per week,0.16369,36,12224,0.12805,0.19893
292,292,1997,First Stage of Tertiary Education,East,Seldom,0.17462,42,12224,0.13924,0.20985
293,293,1997,First Stage of Tertiary Education,East,Never,0.66169,135,12224,0.60484,0.73332
294,294,1997,Second Stage of Tertiary Education,West,At least once per week,0.44374,397,12224,0.41426,0.47486
295,295,1997,Second Stage of Tertiary Education,West,At least once per month,0.06859,69,12224,0.05558,0.08218
296,296,1997,Second Stage of Tertiary Education,West,Seldom,0.18508,195,12224,0.16574,0.20678
297,297,1997,Second Stage of Tertiary Education,West,Never,0.30259,267,12224,0.27315,0.32755
298,298,1997,Second Stage of Tertiary Education,East,At least once per week,0.20736,185,12224,0.18719,0.22568
299,299,1997,Second Stage of Tertiary Education,East,At least once per month,0.04747,44,12224,0.04036,0.0551
300,300,1997,Second Stage of Tertiary Education,East,Seldom,0.2442,213,12224,0.22541,0.26434
301,301,1997,Second Stage of Tertiary Education,East,Never,0.50098,391,12224,0.46927,0.52693
302,302,1998,Pre-primary Level,West,At least once per week,0.79935,138,13297,0.72265,0.8947
303,303,1998,Pre-primary Level,West,Seldom,0.20065,36,13297,0.15992,0.24199
